rougher	floors	floors
meaner	!align="right	!align="right
mean	lateral	lateral
meanest	!align="right	!align="right
mean	lateral	lateral
meaner	!align="right	!align="right
meanest	!align="right	!align="right
mightier	!align="right	!align="right
mighty	lateral	lateral
mightiest	!align="right	!align="right
mighty	lateral	lateral
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
cleaner	!align="right	!align="right
clean	lateral	lateral
cleanest	!align="right	!align="right
clean	lateral	lateral
cleaner	!align="right	!align="right
cleanest	!align="right	!align="right
louder	!align="right	!align="right
loud	violet	violet
loudest	!align="right	!align="right
loud	violet	violet
louder	!align="right	!align="right
loudest	!align="right	!align="right
newer	!align="right	!align="right
new	large-scale	large-scale
newest	!align="right	!align="right
new	violet	violet
newer	!align="right	!align="right
newest	compression	compression
cooler	!align="right	!align="right
cool	violet	violet
coolest	!align="right	!align="right
cool	violet	violet
cooler	!align="right	!align="right
coolest	!align="right	!align="right
narrower	!align="right	!align="right
narrow	violet	violet
narrowest	!align="right	!align="right
narrow	violet	violet
narrower	!align="right	!align="right
narrowest	!align="right	!align="right
busier	!align="right	!align="right
busy	violet	violet
busiest	!align="right	!align="right
busy	violet	violet
busier	!align="right	!align="right
busiest	!align="right	!align="right
gentler	!align="right	!align="right
gentle	thin	thin
gentlest	!align="right	!align="right
gentle	thin	thin
gentler	!align="right	!align="right
gentlest	!align="right	!align="right
fancier	!align="right	!align="right
fancy	thin	thin
fanciest	!align="right	!align="right
fancy	thin	thin
fancier	!align="right	!align="right
fanciest	!align="right	!align="right
noisier	!align="right	!align="right
noisy	thin	thin
noisiest	!align="right	!align="right
noisy	thin	thin
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
smarter	!align="right	!align="right
smart	thin	thin
smartest	!align="right	!align="right
smart	thin	thin
smarter	!align="right	!align="right
smartest	!align="right	!align="right
trickier	!align="right	!align="right
tricky	thin	thin
trickiest	!align="right	!align="right
tricky	thin	thin
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
tastier	!align="right	!align="right
tasty	sort	sort
tastiest	!align="right	!align="right
tasty	sort	sort
tastier	!align="right	!align="right
tastiest	!align="right	!align="right
easier	!align="right	!align="right
easy	need	need
easiest	!align="right	!align="right
easy	sort	sort
easier	!align="right	!align="right
easiest	simpler	simpler
mightier	!align="right	!align="right
mighty	sort	sort
mightiest	!align="right	!align="right
mighty	sort	sort
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
fewer	!align="right	!align="right
few	bag	bag
fewest	!align="right	!align="right
few	sort	sort
fewer	!align="right	!align="right
fewest	more	more
trickier	!align="right	!align="right
tricky	sort	sort
trickiest	!align="right	!align="right
tricky	sort	sort
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
thicker	!align="right	!align="right
thick	slopes	slopes
thickest	!align="right	!align="right
thick	slopes	slopes
thicker	!align="right	!align="right
thickest	!align="right	!align="right
earlier	!align="right	!align="right
early	early	early
earliest	!align="right	!align="right
early	neolithic	neolithic
earlier	first	first
earliest	previous	previous
swifter	!align="right	!align="right
swift	slopes	slopes
swiftest	!align="right	!align="right
swift	slopes	slopes
swifter	!align="right	!align="right
swiftest	!align="right	!align="right
bigger	!align="right	!align="right
big	big	big
biggest	!align="right	!align="right
big	major	major
bigger	largest	largest
biggest	smaller	smaller
deeper	!align="right	!align="right
deep	deep	minimal
deepest	!align="right	!align="right
deep	slopes	slopes
deeper	!align="right	!align="right
deepest	deep	deep
tighter	!align="right	!align="right
tight	warm	warm
tightest	!align="right	!align="right
tight	warm	warm
tighter	!align="right	!align="right
tightest	!align="right	!align="right
wider	!align="right	!align="right
wide	warm	warm
widest	!align="right	!align="right
wide	warm	warm
wider	!align="right	!align="right
widest	wide	wide
prettier	!align="right	!align="right
pretty	warm	warm
prettiest	!align="right	!align="right
pretty	warm	warm
prettier	!align="right	!align="right
prettiest	!align="right	!align="right
older	!align="right	!align="right
old	old	winters
oldest	!align="right	!align="right
old	largest	alive
older	largest	largest
oldest	old	old
wiser	!align="right	!align="right
wise	warm	warm
wisest	!align="right	!align="right
wise	warm	warm
wiser	!align="right	!align="right
wisest	!align="right	!align="right
milder	!align="right	!align="right
mild	exposition	exposition
mildest	!align="right	!align="right
mild	exposition	exposition
milder	!align="right	!align="right
mildest	!align="right	!align="right
prettier	!align="right	!align="right
pretty	exposition	exposition
prettiest	!align="right	!align="right
pretty	exposition	exposition
prettier	!align="right	!align="right
prettiest	!align="right	!align="right
narrower	!align="right	!align="right
narrow	exposition	exposition
narrowest	!align="right	!align="right
narrow	exposition	exposition
narrower	!align="right	!align="right
narrowest	!align="right	!align="right
stiffer	!align="right	!align="right
stiff	exposition	exposition
stiffest	!align="right	!align="right
stiff	exposition	exposition
stiffer	!align="right	!align="right
stiffest	!align="right	!align="right
older	!align="right	!align="right
old	golden	golden
oldest	!align="right	!align="right
old	largest	largest
older	largest	largest
oldest	old	old
steadier	!align="right	!align="right
steady	tropical	tropical
steadiest	!align="right	!align="right
steady	tropical	tropical
steadier	!align="right	!align="right
steadiest	!align="right	!align="right
fairer	!align="right	!align="right
fair	tropical	tropical
fairest	!align="right	!align="right
fair	tropical	tropical
fairer	!align="right	!align="right
fairest	!align="right	!align="right
smarter	!align="right	!align="right
smart	tropical	tropical
smartest	!align="right	!align="right
smart	tropical	tropical
smarter	!align="right	!align="right
smartest	!align="right	!align="right
sharper	!align="right	!align="right
sharp	tropical	tropical
sharpest	!align="right	!align="right
sharp	tropical	tropical
sharper	!align="right	!align="right
sharpest	!align="right	!align="right
deeper	!align="right	!align="right
deep	deep	deep
deepest	!align="right	!align="right
deep	tropical	tropical
deeper	!align="right	!align="right
deepest	deep	deep
bloodier	!align="right	!align="right
bloody	unhappy	unhappy
bloodiest	!align="right	!align="right
bloody	unhappy	unhappy
bloodier	!align="right	!align="right
bloodiest	!align="right	!align="right
quicker	!align="right	!align="right
quick	unhappy	unhappy
quickest	!align="right	!align="right
quick	unhappy	unhappy
quicker	!align="right	!align="right
quickest	!align="right	!align="right
narrower	!align="right	!align="right
narrow	unhappy	unhappy
narrowest	!align="right	!align="right
narrow	unhappy	unhappy
narrower	!align="right	!align="right
narrowest	!align="right	!align="right
savvier	!align="right	!align="right
savvy	unhappy	unhappy
savviest	!align="right	!align="right
savvy	unhappy	unhappy
savvier	!align="right	!align="right
savviest	!align="right	!align="right
stronger	!align="right	!align="right
strong	associated	associated
strongest	!align="right	!align="right
strong	associated	associated
stronger	biggest	biggest
strongest	less	less
better	!align="right	!align="right
good	good	good
best	!align="right	!align="right
good	worst	worst
better	worst	worst
best	good	good
slicker	!align="right	!align="right
slick	white	white
slickest	!align="right	!align="right
slick	white	white
slicker	!align="right	!align="right
slickest	!align="right	!align="right
friendlier	!align="right	!align="right
friendly	white	white
friendliest	!align="right	!align="right
friendly	white	white
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
bigger	!align="right	!align="right
big	larger	larger
biggest	!align="right	!align="right
big	major	major
bigger	largest	largest
biggest	smaller	smaller
stronger	!align="right	!align="right
strong	green	green
strongest	!align="right	!align="right
strong	green	green
stronger	biggest	biggest
strongest	less	less
milder	!align="right	!align="right
mild	bonnie	bonnie
mildest	!align="right	!align="right
mild	bonnie	bonnie
milder	!align="right	!align="right
mildest	!align="right	!align="right
faster	!align="right	!align="right
fastest	slower	slower
fast	!align="right	!align="right
fastest	quick	quick
faster	slow	slow
fast	slower	slower
busier	!align="right	!align="right
busy	bonnie	bonnie
busiest	!align="right	!align="right
busy	bonnie	bonnie
busier	!align="right	!align="right
busiest	!align="right	!align="right
luckier	!align="right	!align="right
lucky	bonnie	bonnie
luckiest	!align="right	!align="right
lucky	bonnie	bonnie
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
wiser	!align="right	!align="right
wise	bonnie	bonnie
wisest	!align="right	!align="right
wise	bonnie	bonnie
wiser	!align="right	!align="right
wisest	!align="right	!align="right
lighter	heavy	heavy
light	heavier	heavier
lightest	heavy	heavy
light	!align="right	!align="right
lighter	!align="right	!align="right
lightest	heavier	heavier
healthier	diet	diet
healthy	!align="right	!align="right
healthiest	diet	diet
healthy	!align="right	!align="right
healthier	!align="right	!align="right
healthiest	!align="right	!align="right
costlier	expensive	expensive
costly	!align="right	!align="right
costliest	expensive	expensive
costly	!align="right	!align="right
costlier	!align="right	!align="right
costliest	!align="right	!align="right
meaner	0	0
mean	!align="right	!align="right
meanest	0	0
mean	!align="right	!align="right
meaner	!align="right	!align="right
meanest	!align="right	!align="right
older	older	older
old	old	old
oldest	older	older
old	largest	largest
older	largest	largest
oldest	old	old
louder	!align="right	!align="right
loud	blue	blue
loudest	!align="right	!align="right
loud	blue	blue
louder	!align="right	!align="right
loudest	!align="right	!align="right
tougher	!align="right	!align="right
tough	blue	blue
toughest	!align="right	!align="right
tough	blue	blue
tougher	!align="right	!align="right
toughest	!align="right	!align="right
darker	!align="right	!align="right
dark	dark	dark
darkest	!align="right	!align="right
dark	blue	blue
darker	!align="right	!align="right
darkest	hindwings	hindwings
easier	!align="right	!align="right
easy	blue	blue
easiest	!align="right	!align="right
easy	blue	blue
easier	!align="right	!align="right
easiest	simpler	simpler
trickier	!align="right	!align="right
tricky	blue	blue
trickiest	!align="right	!align="right
tricky	blue	blue
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
larger	!align="right	!align="right
large	smaller	smaller
largest	!align="right	!align="right
large	biggest	biggest
larger	smallest	smallest
largest	smaller	smaller
tastier	!align="right	!align="right
tasty	remember	remember
tastiest	!align="right	!align="right
tasty	remember	remember
tastier	!align="right	!align="right
tastiest	!align="right	!align="right
healthier	!align="right	!align="right
healthy	remember	remember
healthiest	!align="right	!align="right
healthy	remember	remember
healthier	!align="right	!align="right
healthiest	!align="right	!align="right
faster	!align="right	!align="right
fastest	slower	more
fast	!align="right	!align="right
fastest	slow	slow
faster	slow	slow
fast	slower	slower
noisier	!align="right	!align="right
noisy	remember	remember
noisiest	!align="right	!align="right
noisy	remember	remember
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
smaller	!align="right	!align="right
small	larger	larger
smallest	!align="right	!align="right
small	largest	large
smaller	largest	largest
smallest	larger	larger
fuller	!align="right	!align="right
full	dennis	dennis
fullest	!align="right	!align="right
full	diet	diet
fuller	!align="right	!align="right
fullest	webb	webb
younger	!align="right	!align="right
young	young	young
youngest	!align="right	!align="right
young	mentally	mentally
younger	eldest	eldest
youngest	siblings	siblings
smarter	!align="right	!align="right
smart	diet	diet
smartest	!align="right	!align="right
smart	diet	diet
smarter	!align="right	!align="right
smartest	!align="right	!align="right
deeper	!align="right	!align="right
deep	vital	vital
deepest	!align="right	!align="right
deep	diet	diet
deeper	!align="right	!align="right
deepest	deep	deep
classier	!align="right	!align="right
classy	0	0
classiest	!align="right	!align="right
classy	0	0
classier	!align="right	!align="right
classiest	!align="right	!align="right
stickier	!align="right	!align="right
sticky	0	0
stickiest	!align="right	!align="right
sticky	0	0
stickier	!align="right	!align="right
stickiest	!align="right	!align="right
happier	!align="right	!align="right
happy	0	0
happiest	!align="right	!align="right
happy	0	0
happier	!align="right	!align="right
happiest	!align="right	!align="right
poorer	!align="right	!align="right
poor	0	0
poorest	!align="right	!align="right
poor	0	0
poorer	!align="right	!align="right
poorest	!align="right	!align="right
softer	!align="right	!align="right
soft	0	0
softest	!align="right	!align="right
soft	0	0
softer	!align="right	!align="right
softest	!align="right	!align="right
higher	!align="right	!align="right
high	low	top
highest	!align="right	!align="right
high	lowest	top
higher	lowest	lowest
highest	lower	lower
thinner	!align="right	!align="right
thin	pays	pays
thinnest	!align="right	!align="right
thin	pays	pays
thinner	!align="right	!align="right
thinnest	!align="right	!align="right
fairer	!align="right	!align="right
fair	pays	pays
fairest	!align="right	!align="right
fair	pays	pays
fairer	!align="right	!align="right
fairest	!align="right	!align="right
mightier	!align="right	!align="right
mighty	pays	pays
mightiest	!align="right	!align="right
mighty	pays	pays
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
noisier	!align="right	!align="right
noisy	pays	pays
noisiest	!align="right	!align="right
noisy	pays	pays
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
kinder	!align="right	!align="right
kind	humid	humid
kindest	!align="right	!align="right
kind	humid	humid
kinder	!align="right	!align="right
kindest	!align="right	!align="right
easier	!align="right	!align="right
easy	acute	acute
easiest	!align="right	!align="right
easy	humid	humid
easier	!align="right	!align="right
easiest	simpler	simpler
busier	!align="right	!align="right
busy	humid	humid
busiest	!align="right	!align="right
busy	humid	humid
busier	!align="right	!align="right
busiest	!align="right	!align="right
trickier	!align="right	!align="right
tricky	humid	humid
trickiest	!align="right	!align="right
tricky	humid	humid
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
riskier	!align="right	!align="right
risky	humid	humid
riskiest	!align="right	!align="right
risky	humid	humid
riskier	!align="right	!align="right
riskiest	!align="right	!align="right
rougher	!align="right	!align="right
rough	ain't	ain't
roughest	!align="right	!align="right
rough	ain't	ain't
rougher	!align="right	!align="right
roughest	!align="right	!align="right
friendlier	!align="right	!align="right
friendly	ain't	ain't
friendliest	!align="right	!align="right
friendly	ain't	ain't
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
shorter	!align="right	!align="right
short	sonny	sonny
shortest	!align="right	!align="right
short	ain't	ain't
shorter	!align="right	!align="right
shortest	longer	longer
faster	!align="right	!align="right
fastest	more	more
fast	!align="right	!align="right
fastest	slow	slow
faster	slow	slow
fast	slower	slower
fewer	!align="right	!align="right
few	more	more
fewest	!align="right	!align="right
few	ain't	ain't
fewer	!align="right	!align="right
fewest	more	more
stickier	!align="right	!align="right
sticky	!align="right	!align="right
stickiest	!align="right	!align="right
sticky	!align="right	!align="right
stickier	!align="right	!align="right
stickiest	!align="right	!align="right
messier	!align="right	!align="right
messy	!align="right	!align="right
messiest	!align="right	!align="right
messy	!align="right	!align="right
messier	!align="right	!align="right
messiest	!align="right	!align="right
leaner	!align="right	!align="right
lean	!align="right	!align="right
leanest	!align="right	!align="right
lean	!align="right	!align="right
leaner	!align="right	!align="right
leanest	!align="right	!align="right
closer	closer	closer
close	close	close
closest	closer	closer
close	nearest	nearest
closer	nearest	nearest
closest	close	close
trickier	!align="right	!align="right
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	!align="right	!align="right
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
thinner	!align="right	!align="right
thin	afraid	afraid
thinnest	!align="right	!align="right
thin	afraid	afraid
thinner	!align="right	!align="right
thinnest	!align="right	!align="right
nicer	!align="right	!align="right
nice	afraid	afraid
nicest	!align="right	!align="right
nice	afraid	afraid
nicer	!align="right	!align="right
nicest	!align="right	!align="right
savvier	!align="right	!align="right
savvy	afraid	afraid
savviest	!align="right	!align="right
savvy	afraid	afraid
savvier	!align="right	!align="right
savviest	!align="right	!align="right
smarter	!align="right	!align="right
smart	afraid	afraid
smartest	!align="right	!align="right
smart	afraid	afraid
smarter	!align="right	!align="right
smartest	!align="right	!align="right
fewer	!align="right	!align="right
few	more	more
fewest	!align="right	!align="right
few	afraid	afraid
fewer	!align="right	!align="right
fewest	more	more
simpler	realistic	realistic
simple	easier	easier
simplest	realistic	realistic
simple	!align="right	!align="right
simpler	!align="right	!align="right
simplest	easier	easier
fancier	!align="right	!align="right
fancy	!align="right	!align="right
fanciest	!align="right	!align="right
fancy	!align="right	!align="right
fancier	!align="right	!align="right
fanciest	!align="right	!align="right
greater	tremendous	tremendous
great	considerable	considerable
greatest	tremendous	tremendous
great	finest	finest
greater	finest	finest
greatest	considerable	considerable
luckier	you	you
lucky	!align="right	!align="right
luckiest	you	you
lucky	!align="right	!align="right
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
deeper	deeper	deeper
deep	deep	deep
deepest	deeper	deeper
deep	!align="right	!align="right
deeper	!align="right	!align="right
deepest	deep	deep
richer	disturbed	disturbed
rich	!align="right	!align="right
richest	disturbed	disturbed
rich	!align="right	!align="right
richer	!align="right	!align="right
richest	!align="right	!align="right
louder	guitars	guitars
loud	!align="right	!align="right
loudest	guitars	guitars
loud	!align="right	!align="right
louder	!align="right	!align="right
loudest	!align="right	!align="right
rougher	tropical	tropical
rough	!align="right	!align="right
roughest	tropical	tropical
rough	!align="right	!align="right
rougher	!align="right	!align="right
roughest	!align="right	!align="right
slower	fast	fast
slow	faster	faster
slowest	fast	fast
slow	!align="right	!align="right
slower	!align="right	!align="right
slowest	faster	faster
nastier	!align="right	!align="right
nasty	!align="right	!align="right
nastiest	!align="right	!align="right
nasty	!align="right	!align="right
nastier	!align="right	!align="right
nastiest	!align="right	!align="right
slimmer	bonnie	bonnie
slim	!align="right	!align="right
slimmest	bonnie	bonnie
slim	!align="right	!align="right
slimmer	!align="right	!align="right
slimmest	!align="right	!align="right
smoother	lateral	lateral
smooth	!align="right	!align="right
smoothest	lateral	lateral
smooth	!align="right	!align="right
smoother	!align="right	!align="right
smoothest	!align="right	!align="right
meaner	0	0
mean	!align="right	!align="right
meanest	0	0
mean	!align="right	!align="right
meaner	!align="right	!align="right
meanest	!align="right	!align="right
longer	short	short
long	still	still
longest	short	short
long	largest	largest
longer	largest	largest
longest	still	still
shorter	brief	brief
short	longer	longer
shortest	brief	brief
short	!align="right	!align="right
shorter	!align="right	!align="right
shortest	longer	longer
wider	!align="right	!align="right
wide	tremendous	tremendous
widest	!align="right	!align="right
wide	tremendous	tremendous
wider	!align="right	!align="right
widest	wide	wide
fairer	!align="right	!align="right
fair	tremendous	tremendous
fairest	!align="right	!align="right
fair	tremendous	tremendous
fairer	!align="right	!align="right
fairest	!align="right	!align="right
smarter	!align="right	!align="right
smart	tremendous	tremendous
smartest	!align="right	!align="right
smart	tremendous	tremendous
smarter	!align="right	!align="right
smartest	!align="right	!align="right
deeper	!align="right	!align="right
deep	tremendous	tremendous
deepest	!align="right	!align="right
deep	tremendous	tremendous
deeper	!align="right	!align="right
deepest	deep	deep
luckier	!align="right	!align="right
lucky	tremendous	tremendous
luckiest	!align="right	!align="right
lucky	tremendous	tremendous
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
earlier	!align="right	!align="right
early	nights	nights
earliest	!align="right	!align="right
early	first	first
earlier	first	first
earliest	previous	previous
pricier	!align="right	!align="right
pricey	you	you
priciest	!align="right	!align="right
pricey	you	you
pricier	!align="right	!align="right
priciest	!align="right	!align="right
wider	!align="right	!align="right
wide	wide	wide
widest	!align="right	!align="right
wide	you	you
wider	!align="right	!align="right
widest	wide	wide
lower	!align="right	!align="right
low	low	low
lowest	!align="right	!align="right
low	low	biggest
lower	highest	highest
lowest	upper	upper
steeper	!align="right	!align="right
steep	you	you
steepest	!align="right	!align="right
steep	you	you
steeper	!align="right	!align="right
steepest	!align="right	!align="right
wealthier	!align="right	!align="right
wealthy	expensive	expensive
wealthiest	!align="right	!align="right
wealthy	expensive	expensive
wealthier	!align="right	!align="right
wealthiest	!align="right	!align="right
richer	!align="right	!align="right
rich	expensive	expensive
richest	!align="right	!align="right
rich	expensive	expensive
richer	!align="right	!align="right
richest	!align="right	!align="right
faster	!align="right	!align="right
fastest	expensive	expensive
fast	!align="right	!align="right
fastest	slow	slow
faster	slow	slow
fast	slower	slower
taller	!align="right	!align="right
tall	expensive	expensive
tallest	!align="right	!align="right
tall	largest	largest
taller	oldest	oldest
tallest	!align="right	!align="right
luckier	!align="right	!align="right
lucky	expensive	expensive
luckiest	!align="right	!align="right
lucky	expensive	expensive
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
wider	!align="right	!align="right
wide	wide	wide
widest	!align="right	!align="right
wide	guitars	guitars
wider	!align="right	!align="right
widest	wide	wide
slower	!align="right	!align="right
slow	faster	faster
slowest	!align="right	!align="right
slow	guitars	guitars
slower	!align="right	!align="right
slowest	faster	faster
friendlier	!align="right	!align="right
friendly	guitars	guitars
friendliest	!align="right	!align="right
friendly	guitars	guitars
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
easier	!align="right	!align="right
easy	harder	harder
easiest	!align="right	!align="right
easy	guitars	guitars
easier	!align="right	!align="right
easiest	simpler	simpler
colder	!align="right	!align="right
cold	guitars	guitars
coldest	!align="right	!align="right
cold	guitars	guitars
colder	!align="right	!align="right
coldest	!align="right	!align="right
lower	!align="right	!align="right
low	low	low
lowest	!align="right	!align="right
low	low	low
lower	highest	highest
lowest	upper	upper
darker	!align="right	!align="right
dark	dark	dark
darkest	!align="right	!align="right
dark	calcium	calcium
darker	!align="right	!align="right
darkest	hindwings	hindwings
safer	!align="right	!align="right
safe	calcium	calcium
safest	!align="right	!align="right
safe	calcium	calcium
safer	!align="right	!align="right
safest	!align="right	!align="right
faster	!align="right	!align="right
fastest	slower	slower
fast	!align="right	!align="right
fastest	slow	slow
faster	slow	slow
fast	slower	slower
fresher	!align="right	!align="right
fresh	calcium	calcium
freshest	!align="right	!align="right
fresh	calcium	calcium
fresher	!align="right	!align="right
freshest	!align="right	!align="right
thinner	!align="right	!align="right
thin	milk	milk
thinnest	!align="right	!align="right
thin	milk	milk
thinner	!align="right	!align="right
thinnest	!align="right	!align="right
simpler	!align="right	!align="right
simple	powder	powder
simplest	!align="right	!align="right
simple	milk	milk
simpler	!align="right	!align="right
simplest	easier	easier
firmer	!align="right	!align="right
firm	milk	milk
firmest	!align="right	!align="right
firm	milk	milk
firmer	!align="right	!align="right
firmest	!align="right	!align="right
gentler	!align="right	!align="right
gentle	milk	milk
gentlest	!align="right	!align="right
gentle	milk	milk
gentler	!align="right	!align="right
gentlest	!align="right	!align="right
livelier	!align="right	!align="right
lively	milk	milk
liveliest	!align="right	!align="right
lively	milk	milk
livelier	!align="right	!align="right
liveliest	!align="right	!align="right
greener	blue	blue
green	!align="right	!align="right
greenest	blue	blue
green	!align="right	!align="right
greener	!align="right	!align="right
greenest	!align="right	!align="right
cheaper	available	available
cheap	harder	harder
cheapest	available	available
cheap	!align="right	!align="right
cheaper	!align="right	!align="right
cheapest	harder	harder
stickier	!align="right	!align="right
sticky	!align="right	!align="right
stickiest	!align="right	!align="right
sticky	!align="right	!align="right
stickier	!align="right	!align="right
stickiest	!align="right	!align="right
fatter	calcium	calcium
fat	!align="right	!align="right
fattest	calcium	calcium
fat	!align="right	!align="right
fatter	!align="right	!align="right
fattest	!align="right	!align="right
harder	tough	tough
hard	difficult	difficult
hardest	tough	tough
hard	!align="right	!align="right
harder	!align="right	!align="right
hardest	difficult	difficult
milder	humid	humid
mild	!align="right	!align="right
mildest	humid	humid
mild	!align="right	!align="right
milder	!align="right	!align="right
mildest	!align="right	!align="right
thinner	thick	thick
thin	!align="right	!align="right
thinnest	thick	thick
thin	!align="right	!align="right
thinner	!align="right	!align="right
thinnest	!align="right	!align="right
poorer	good	good
poor	!align="right	!align="right
poorest	good	good
poor	!align="right	!align="right
poorer	!align="right	!align="right
poorest	!align="right	!align="right
lower	high	high
low	upper	upper
lowest	high	high
low	highest	highest
lower	highest	highest
lowest	upper	upper
quicker	slow	slow
quick	!align="right	!align="right
quickest	slow	slow
quick	!align="right	!align="right
quicker	!align="right	!align="right
quickest	!align="right	!align="right
newer	!align="right	!align="right
new	severe	severe
newest	!align="right	!align="right
new	comfortable	comfortable
newer	!align="right	!align="right
newest	compression	compression
tougher	!align="right	!align="right
tough	comfortable	comfortable
toughest	!align="right	!align="right
tough	comfortable	comfortable
tougher	!align="right	!align="right
toughest	!align="right	!align="right
quicker	!align="right	!align="right
quick	comfortable	comfortable
quickest	!align="right	!align="right
quick	comfortable	comfortable
quicker	!align="right	!align="right
quickest	!align="right	!align="right
costlier	!align="right	!align="right
costly	comfortable	comfortable
costliest	!align="right	!align="right
costly	comfortable	comfortable
costlier	!align="right	!align="right
costliest	!align="right	!align="right
shorter	!align="right	!align="right
short	short	short
shortest	!align="right	!align="right
short	comfortable	comfortable
shorter	!align="right	!align="right
shortest	longer	longer
louder	!align="right	!align="right
loud	cyril	cyril
loudest	!align="right	!align="right
loud	cyril	cyril
louder	!align="right	!align="right
loudest	!align="right	!align="right
nastier	!align="right	!align="right
nasty	cyril	cyril
nastiest	!align="right	!align="right
nasty	cyril	cyril
nastier	!align="right	!align="right
nastiest	!align="right	!align="right
greater	!align="right	!align="right
great	freedom	freedom
greatest	!align="right	!align="right
great	major	major
greater	finest	finest
greatest	considerable	considerable
wiser	!align="right	!align="right
wise	cyril	cyril
wisest	!align="right	!align="right
wise	cyril	cyril
wiser	!align="right	!align="right
wisest	!align="right	!align="right
closer	!align="right	!align="right
close	alarm	alarm
closest	!align="right	!align="right
close	neighbors	neighbors
closer	nearest	nearest
closest	close	close
thicker	thin	thin
thick	!align="right	!align="right
thickest	thin	thin
thick	!align="right	!align="right
thicker	!align="right	!align="right
thickest	!align="right	!align="right
classier	!align="right	!align="right
classy	!align="right	!align="right
classiest	!align="right	!align="right
classy	!align="right	!align="right
classier	!align="right	!align="right
classiest	!align="right	!align="right
simpler	realistic	realistic
simple	easier	easier
simplest	realistic	realistic
simple	!align="right	!align="right
simpler	!align="right	!align="right
simplest	easier	easier
busier	unhappy	unhappy
busy	!align="right	!align="right
busiest	unhappy	unhappy
busy	!align="right	!align="right
busier	!align="right	!align="right
busiest	!align="right	!align="right
trickier	!align="right	!align="right
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	!align="right	!align="right
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
worse	good	good
bad	better	better
worst	good	good
bad	best	best
worse	best	best
worst	better	better
fatter	calcium	calcium
fat	!align="right	!align="right
fattest	calcium	calcium
fat	!align="right	!align="right
fatter	!align="right	!align="right
fattest	!align="right	!align="right
lower	high	high
low	upper	upper
lowest	high	high
low	highest	highest
lower	highest	highest
lowest	upper	upper
steeper	slopes	slopes
steep	!align="right	!align="right
steepest	slopes	slopes
steep	!align="right	!align="right
steeper	!align="right	!align="right
steepest	!align="right	!align="right
friendlier	comfortable	comfortable
friendly	!align="right	!align="right
friendliest	comfortable	comfortable
friendly	!align="right	!align="right
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
smaller	!align="right	!align="right
small	larger	larger
smallest	!align="right	!align="right
small	trout	trout
smaller	largest	largest
smallest	larger	larger
cheaper	!align="right	!align="right
cheap	purple	purple
cheapest	!align="right	!align="right
cheap	purple	purple
cheaper	!align="right	!align="right
cheapest	harder	harder
tighter	!align="right	!align="right
tight	purple	purple
tightest	!align="right	!align="right
tight	purple	purple
tighter	!align="right	!align="right
tightest	!align="right	!align="right
happier	!align="right	!align="right
happy	purple	purple
happiest	!align="right	!align="right
happy	purple	purple
happier	!align="right	!align="right
happiest	!align="right	!align="right
harsher	!align="right	!align="right
harsh	purple	purple
harshest	!align="right	!align="right
harsh	purple	purple
harsher	!align="right	!align="right
harshest	!align="right	!align="right
higher	low	low
high	lower	lower
highest	low	low
high	lowest	lowest
higher	lowest	lowest
highest	lower	lower
prettier	ain't	ain't
pretty	!align="right	!align="right
prettiest	ain't	ain't
pretty	!align="right	!align="right
prettier	!align="right	!align="right
prettiest	!align="right	!align="right
smoother	lateral	lateral
smooth	!align="right	!align="right
smoothest	lateral	lateral
smooth	!align="right	!align="right
smoother	!align="right	!align="right
smoothest	!align="right	!align="right
fresher	milk	milk
fresh	!align="right	!align="right
freshest	milk	milk
fresh	!align="right	!align="right
fresher	!align="right	!align="right
freshest	!align="right	!align="right
faster	largest	largest
fastest	slower	slower
fast	largest	largest
fastest	slow	slow
faster	slow	slow
fast	slower	slower
worse	good	good
bad	better	better
worst	good	good
bad	best	best
worse	best	best
worst	better	better
higher	low	low
high	lower	lower
highest	low	low
high	lowest	lowest
higher	lowest	lowest
highest	lower	lower
costlier	expensive	expensive
costly	!align="right	!align="right
costliest	expensive	expensive
costly	!align="right	!align="right
costlier	!align="right	!align="right
costliest	!align="right	!align="right
firmer	company	company
firm	!align="right	!align="right
firmest	company	company
