rougher	easier	quick
fancy	thin	thin
fancier	!align="right	!align="right
fanciest	!align="right	!align="right
noisier	!align="right	!align="right
noisy	thin	thin
noisiest	!align="right	!align="right
noisy	thin	thin
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
smarter	!align="right	!align="right
smart	thin	thin
smartest	!align="right	!align="right
smart	thin	thin
smarter	!align="right	!align="right
smartest	!align="right	!align="right
trickier	!align="right	!align="right
tricky	thin	thin
trickiest	!align="right	!align="right
tricky	thin	thin
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
tastier	!align="right	!align="right
tasty	sort	sort
tastiest	!align="right	!align="right
tasty	sort	sort
tastier	!align="right	!align="right
tastiest	!align="right	!align="right
easier	!align="right	!align="right
easy	harder	harder
easiest	!align="right	!align="right
easy	sort	sort
easier	!align="right	!align="right
easiest	harder	harder
mightier	!align="right	!align="right
mighty	sort	sort
mightiest	!align="right	!align="right
mighty	sort	sort
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
fewer	!align="right	!align="right
few	grown	happy
fewest	!align="right	!align="right
few	sort	sort
fewer	!align="right	!align="right
fewest	fined	fined
trickier	!align="right	!align="right
tricky	sort	sort
trickiest	!align="right	!align="right
tricky	sort	sort
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
thicker	!align="right	!align="right
thick	slopes	slopes
thickest	!align="right	!align="right
thick	slopes	slopes
thicker	!align="right	!align="right
thickest	!align="right	!align="right
earlier	!align="right	!align="right
early	cliffs	cliffs
earliest	!align="right	!align="right
early	oldest	oldest
earlier	oldest	oldest
earliest	previous	previous
swifter	!align="right	!align="right
swift	slopes	slopes
swiftest	!align="right	!align="right
swift	slopes	slopes
swifter	!align="right	!align="right
swiftest	!align="right	!align="right
bigger	!align="right	!align="right
big	rocky	rocky
biggest	!align="right	!align="right
big	largest	slopes
bigger	largest	largest
biggest	larger	larger
deeper	!align="right	!align="right
deep	deep	deep
deepest	!align="right	!align="right
deep	slopes	slopes
deeper	!align="right	!align="right
deepest	deep	deep
tighter	!align="right	!align="right
tight	winters	winters
tightest	!align="right	!align="right
tight	winters	winters
tighter	!align="right	!align="right
tightest	!align="right	!align="right
wider	!align="right	!align="right
wide	broader	broader
widest	!align="right	!align="right
wide	winters	winters
wider	!align="right	!align="right
widest	broader	broader
prettier	!align="right	!align="right
pretty	winters	winters
prettiest	!align="right	!align="right
pretty	winters	winters
prettier	!align="right	!align="right
prettiest	!align="right	!align="right
older	!align="right	!align="right
old	humid	humid
oldest	!align="right	!align="right
old	humid	humid
older	earliest	earliest
oldest	younger	younger
wiser	!align="right	!align="right
wise	winters	winters
wisest	!align="right	!align="right
wise	winters	winters
wiser	!align="right	!align="right
wisest	!align="right	!align="right
milder	!align="right	!align="right
mild	exposition	exposition
mildest	!align="right	!align="right
mild	exposition	exposition
milder	!align="right	!align="right
mildest	!align="right	!align="right
prettier	!align="right	!align="right
pretty	exposition	exposition
prettiest	!align="right	!align="right
pretty	exposition	exposition
prettier	!align="right	!align="right
prettiest	!align="right	!align="right
narrower	!align="right	!align="right
narrow	exposition	exposition
narrowest	!align="right	!align="right
narrow	exposition	exposition
narrower	!align="right	!align="right
narrowest	!align="right	!align="right
stiffer	!align="right	!align="right
stiff	exposition	exposition
stiffest	!align="right	!align="right
stiff	exposition	exposition
stiffer	!align="right	!align="right
stiffest	!align="right	!align="right
older	!align="right	!align="right
old	younger	celebration
oldest	!align="right	!align="right
old	finest	finest
older	earliest	earliest
oldest	younger	younger
steadier	!align="right	!align="right
steady	smooth	smooth
steadiest	!align="right	!align="right
steady	smooth	smooth
steadier	!align="right	!align="right
steadiest	!align="right	!align="right
fairer	!align="right	!align="right
fair	smooth	smooth
fairest	!align="right	!align="right
fair	smooth	smooth
fairer	!align="right	!align="right
fairest	!align="right	!align="right
smarter	!align="right	!align="right
smart	smooth	smooth
smartest	!align="right	!align="right
smart	smooth	smooth
smarter	!align="right	!align="right
smartest	!align="right	!align="right
sharper	!align="right	!align="right
sharp	smooth	smooth
sharpest	!align="right	!align="right
sharp	smooth	smooth
sharper	!align="right	!align="right
sharpest	!align="right	!align="right
deeper	!align="right	!align="right
deep	deep	deep
deepest	!align="right	!align="right
deep	smooth	smooth
deeper	!align="right	!align="right
deepest	deep	deep
bloodier	!align="right	!align="right
bloody	actively	actively
bloodiest	!align="right	!align="right
bloody	actively	actively
bloodier	!align="right	!align="right
bloodiest	!align="right	!align="right
quicker	!align="right	!align="right
quick	actively	actively
quickest	!align="right	!align="right
quick	actively	actively
quicker	!align="right	!align="right
quickest	!align="right	!align="right
narrower	!align="right	!align="right
narrow	actively	actively
narrowest	!align="right	!align="right
narrow	actively	actively
narrower	!align="right	!align="right
narrowest	!align="right	!align="right
savvier	!align="right	!align="right
savvy	actively	actively
savviest	!align="right	!align="right
savvy	actively	actively
savvier	!align="right	!align="right
savviest	!align="right	!align="right
stronger	!align="right	!align="right
strong	strong	close
strongest	!align="right	!align="right
strong	tour	tour
stronger	biggest	biggest
strongest	bigger	bigger
better	!align="right	!align="right
good	yellow	yellow
best	!align="right	!align="right
good	outstanding	outstanding
better	worst	worst
best	improve	improve
slicker	!align="right	!align="right
slick	pale	pale
slickest	!align="right	!align="right
slick	pale	pale
slicker	!align="right	!align="right
slickest	!align="right	!align="right
friendlier	!align="right	!align="right
friendly	pale	pale
friendliest	!align="right	!align="right
friendly	pale	pale
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
bigger	!align="right	!align="right
big	lighter	lighter
biggest	!align="right	!align="right
big	largest	largest
bigger	largest	largest
biggest	larger	larger
stronger	!align="right	!align="right
strong	pale	lighter
strongest	!align="right	!align="right
strong	pale	pale
stronger	biggest	biggest
strongest	bigger	bigger
milder	!align="right	!align="right
mild	slender	slender
mildest	!align="right	!align="right
mild	slender	slender
milder	!align="right	!align="right
mildest	!align="right	!align="right
faster	!align="right	!align="right
fastest	slower	slower
fast	!align="right	!align="right
fastest	slow	slow
faster	slow	slow
fast	slower	slower
busier	!align="right	!align="right
busy	slender	slender
busiest	!align="right	!align="right
busy	slender	slender
busier	!align="right	!align="right
busiest	!align="right	!align="right
luckier	!align="right	!align="right
lucky	slender	slender
luckiest	!align="right	!align="right
lucky	slender	slender
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
wiser	!align="right	!align="right
wise	slender	slender
wisest	!align="right	!align="right
wise	slender	slender
wiser	!align="right	!align="right
wisest	!align="right	!align="right
lighter	armoured	armoured
light	heavier	heavier
lightest	armoured	armoured
light	!align="right	!align="right
lighter	!align="right	!align="right
lightest	heavier	heavier
healthier	habits	habits
healthy	!align="right	!align="right
healthiest	habits	habits
healthy	!align="right	!align="right
healthier	!align="right	!align="right
healthiest	!align="right	!align="right
costlier	expensive	expensive
costly	!align="right	!align="right
costliest	expensive	expensive
costly	!align="right	!align="right
costlier	!align="right	!align="right
costliest	!align="right	!align="right
meaner	average	average
mean	!align="right	!align="right
meanest	average	average
mean	!align="right	!align="right
meaner	!align="right	!align="right
meanest	!align="right	!align="right
older	age	age
old	younger	younger
oldest	age	age
old	earliest	earliest
older	earliest	earliest
oldest	younger	younger
louder	!align="right	!align="right
loud	blue	blue
loudest	!align="right	!align="right
loud	blue	blue
louder	!align="right	!align="right
loudest	!align="right	!align="right
tougher	!align="right	!align="right
tough	blue	blue
toughest	!align="right	!align="right
tough	blue	blue
tougher	!align="right	!align="right
toughest	!align="right	!align="right
darker	!align="right	!align="right
dark	yellow	yellow
darkest	!align="right	!align="right
dark	blue	blue
darker	!align="right	!align="right
darkest	pale	pale
easier	!align="right	!align="right
easy	yellow	yellow
easiest	!align="right	!align="right
easy	blue	blue
easier	!align="right	!align="right
easiest	harder	harder
trickier	!align="right	!align="right
tricky	blue	blue
trickiest	!align="right	!align="right
tricky	blue	blue
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
larger	!align="right	!align="right
large	smaller	smaller
largest	!align="right	!align="right
large	oldest	oldest
larger	biggest	biggest
largest	smaller	smaller
tastier	!align="right	!align="right
tasty	sad	sad
tastiest	!align="right	!align="right
tasty	sad	sad
tastier	!align="right	!align="right
tastiest	!align="right	!align="right
healthier	!align="right	!align="right
healthy	sad	sad
healthiest	!align="right	!align="right
healthy	sad	sad
healthier	!align="right	!align="right
healthiest	!align="right	!align="right
faster	!align="right	!align="right
fastest	slower	slower
fast	!align="right	!align="right
fastest	slow	slow
faster	slow	slow
fast	slower	slower
noisier	!align="right	!align="right
noisy	sad	sad
noisiest	!align="right	!align="right
noisy	sad	sad
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
smaller	!align="right	!align="right
small	larger	larger
smallest	!align="right	!align="right
small	eating	eating
smaller	largest	largest
smallest	larger	larger
fuller	!align="right	!align="right
full	habits	meals
fullest	!align="right	!align="right
full	habits	habits
fuller	!align="right	!align="right
fullest	clifford	clifford
younger	!align="right	!align="right
young	older	unmarried
youngest	!align="right	!align="right
young	unmarried	unmarried
younger	oldest	oldest
youngest	older	older
smarter	!align="right	!align="right
smart	habits	habits
smartest	!align="right	!align="right
smart	habits	habits
smarter	!align="right	!align="right
smartest	!align="right	!align="right
deeper	!align="right	!align="right
deep	habits	habits
deepest	!align="right	!align="right
deep	habits	habits
deeper	!align="right	!align="right
deepest	deep	deep
classier	!align="right	!align="right
classy	average	average
classiest	!align="right	!align="right
classy	average	average
classier	!align="right	!align="right
classiest	!align="right	!align="right
stickier	!align="right	!align="right
sticky	average	average
stickiest	!align="right	!align="right
sticky	average	average
stickier	!align="right	!align="right
stickiest	!align="right	!align="right
happier	!align="right	!align="right
happy	average	average
happiest	!align="right	!align="right
happy	average	average
happier	!align="right	!align="right
happiest	!align="right	!align="right
poorer	!align="right	!align="right
poor	average	average
poorest	!align="right	!align="right
poor	average	average
poorer	!align="right	!align="right
poorest	!align="right	!align="right
softer	!align="right	!align="right
soft	average	average
softest	!align="right	!align="right
soft	average	average
softer	!align="right	!align="right
softest	!align="right	!align="right
higher	!align="right	!align="right
high	high	high
highest	!align="right	!align="right
high	lowest	lowest
higher	lowest	lowest
highest	lower	lower
thinner	!align="right	!align="right
thin	wonderful	wonderful
thinnest	!align="right	!align="right
thin	wonderful	wonderful
thinner	!align="right	!align="right
thinnest	!align="right	!align="right
fairer	!align="right	!align="right
fair	wonderful	wonderful
fairest	!align="right	!align="right
fair	wonderful	wonderful
fairer	!align="right	!align="right
fairest	!align="right	!align="right
mightier	!align="right	!align="right
mighty	wonderful	wonderful
mightiest	!align="right	!align="right
mighty	wonderful	wonderful
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
noisier	!align="right	!align="right
noisy	wonderful	wonderful
noisiest	!align="right	!align="right
noisy	wonderful	wonderful
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
kinder	!align="right	!align="right
kind	winters	winters
kindest	!align="right	!align="right
kind	winters	winters
kinder	!align="right	!align="right
kindest	!align="right	!align="right
easier	!align="right	!align="right
easy	winters	winters
easiest	!align="right	!align="right
easy	winters	winters
easier	!align="right	!align="right
easiest	harder	harder
busier	!align="right	!align="right
busy	winters	winters
busiest	!align="right	!align="right
busy	winters	winters
busier	!align="right	!align="right
busiest	!align="right	!align="right
trickier	!align="right	!align="right
tricky	winters	winters
trickiest	!align="right	!align="right
tricky	winters	winters
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
riskier	!align="right	!align="right
risky	winters	winters
riskiest	!align="right	!align="right
risky	winters	winters
riskier	!align="right	!align="right
riskiest	!align="right	!align="right
rougher	!align="right	!align="right
rough	stuff	stuff
roughest	!align="right	!align="right
rough	stuff	stuff
rougher	!align="right	!align="right
roughest	!align="right	!align="right
friendlier	!align="right	!align="right
friendly	stuff	stuff
friendliest	!align="right	!align="right
friendly	stuff	stuff
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
shorter	!align="right	!align="right
short	broader	broader
shortest	!align="right	!align="right
short	stuff	stuff
shorter	!align="right	!align="right
shortest	longer	longer
faster	!align="right	!align="right
fastest	slower	slower
fast	!align="right	!align="right
fastest	ain't	ain't
faster	slow	slow
fast	slower	slower
fewer	!align="right	!align="right
few	ain't	ain't
fewest	!align="right	!align="right
few	stuff	stuff
fewer	!align="right	!align="right
fewest	fined	fined
stickier	!align="right	!align="right
sticky	!align="right	!align="right
stickiest	!align="right	!align="right
sticky	!align="right	!align="right
stickier	!align="right	!align="right
stickiest	!align="right	!align="right
messier	!align="right	!align="right
messy	!align="right	!align="right
messiest	!align="right	!align="right
messy	!align="right	!align="right
messier	!align="right	!align="right
messiest	!align="right	!align="right
leaner	!align="right	!align="right
lean	!align="right	!align="right
leanest	!align="right	!align="right
lean	!align="right	!align="right
leaner	!align="right	!align="right
leanest	!align="right	!align="right
closer	between	between
close	worse	worse
closest	between	between
close	nearest	nearest
closer	nearest	nearest
closest	worse	worse
trickier	!align="right	!align="right
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	!align="right	!align="right
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
thinner	!align="right	!align="right
thin	funny	funny
thinnest	!align="right	!align="right
thin	funny	funny
thinner	!align="right	!align="right
thinnest	!align="right	!align="right
nicer	!align="right	!align="right
nice	funny	funny
nicest	!align="right	!align="right
nice	funny	funny
nicer	!align="right	!align="right
nicest	!align="right	!align="right
savvier	!align="right	!align="right
savvy	funny	funny
savviest	!align="right	!align="right
savvy	funny	funny
savvier	!align="right	!align="right
savviest	!align="right	!align="right
smarter	!align="right	!align="right
smart	funny	funny
smartest	!align="right	!align="right
smart	funny	funny
smarter	!align="right	!align="right
smartest	!align="right	!align="right
fewer	!align="right	!align="right
few	happy	happy
fewest	!align="right	!align="right
few	funny	funny
fewer	!align="right	!align="right
fewest	fined	fined
simpler	modest	modest
simple	easier	easier
simplest	modest	modest
simple	!align="right	!align="right
simpler	!align="right	!align="right
simplest	easier	easier
fancier	!align="right	!align="right
fancy	!align="right	!align="right
fanciest	!align="right	!align="right
fancy	!align="right	!align="right
fancier	!align="right	!align="right
fanciest	!align="right	!align="right
greater	tremendous	considerable
great	higher	higher
greatest	tremendous	considerable
great	biggest	biggest
greater	biggest	biggest
greatest	higher	higher
luckier	randolph	randolph
lucky	!align="right	!align="right
luckiest	randolph	randolph
lucky	!align="right	!align="right
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
deeper	shallow	shallow
deep	deep	deep
deepest	shallow	shallow
deep	!align="right	!align="right
deeper	!align="right	!align="right
deepest	deep	deep
richer	wealthy	wealthy
rich	!align="right	!align="right
richest	wealthy	wealthy
rich	!align="right	!align="right
richer	!align="right	!align="right
richest	!align="right	!align="right
louder	guitars	guitars
loud	!align="right	!align="right
loudest	guitars	guitars
loud	!align="right	!align="right
louder	!align="right	!align="right
loudest	!align="right	!align="right
rougher	smooth	smooth
rough	!align="right	!align="right
roughest	smooth	smooth
rough	!align="right	!align="right
rougher	!align="right	!align="right
roughest	!align="right	!align="right
slower	fast	fast
slow	faster	faster
slowest	fast	fast
slow	!align="right	!align="right
slower	!align="right	!align="right
slowest	faster	faster
nastier	!align="right	!align="right
nasty	!align="right	!align="right
nastiest	!align="right	!align="right
nasty	!align="right	!align="right
nastier	!align="right	!align="right
nastiest	!align="right	!align="right
slimmer	slender	slender
slim	!align="right	!align="right
slimmest	slender	slender
slim	!align="right	!align="right
slimmer	!align="right	!align="right
slimmest	!align="right	!align="right
smoother	bark	bark
smooth	!align="right	!align="right
smoothest	bark	bark
smooth	!align="right	!align="right
smoother	!align="right	!align="right
smoothest	!align="right	!align="right
meaner	average	average
mean	!align="right	!align="right
meanest	average	average
mean	!align="right	!align="right
meaner	!align="right	!align="right
meanest	!align="right	!align="right
longer	short	short
long	shorter	shorter
longest	short	short
long	first	first
longer	first	first
longest	shorter	shorter
shorter	long	long
short	longer	longer
shortest	long	long
short	!align="right	!align="right
shorter	!align="right	!align="right
shortest	longer	longer
wider	!align="right	!align="right
wide	broader	broader
widest	!align="right	!align="right
wide	rapid	rapid
wider	!align="right	!align="right
widest	broader	broader
fairer	!align="right	!align="right
fair	rapid	rapid
fairest	!align="right	!align="right
fair	rapid	rapid
fairer	!align="right	!align="right
fairest	!align="right	!align="right
smarter	!align="right	!align="right
smart	rapid	rapid
smartest	!align="right	!align="right
smart	rapid	rapid
smarter	!align="right	!align="right
smartest	!align="right	!align="right
deeper	!align="right	!align="right
deep	deep	deep
deepest	!align="right	!align="right
deep	rapid	rapid
deeper	!align="right	!align="right
deepest	deep	deep
luckier	!align="right	!align="right
lucky	rapid	rapid
luckiest	!align="right	!align="right
lucky	rapid	rapid
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
earlier	!align="right	!align="right
early	subsequent	subsequent
earliest	!align="right	!align="right
early	oldest	oldest
earlier	oldest	oldest
earliest	previous	previous
pricier	!align="right	!align="right
pricey	randolph	randolph
priciest	!align="right	!align="right
pricey	randolph	randolph
pricier	!align="right	!align="right
priciest	!align="right	!align="right
wider	!align="right	!align="right
wide	broader	broader
widest	!align="right	!align="right
wide	randolph	randolph
wider	!align="right	!align="right
widest	broader	broader
lower	!align="right	!align="right
low	low	low
lowest	!align="right	!align="right
low	highest	highest
lower	highest	highest
lowest	upper	upper
steeper	!align="right	!align="right
steep	randolph	randolph
steepest	!align="right	!align="right
steep	randolph	randolph
steeper	!align="right	!align="right
steepest	!align="right	!align="right
wealthier	!align="right	!align="right
wealthy	expensive	expensive
wealthiest	!align="right	!align="right
wealthy	expensive	expensive
wealthier	!align="right	!align="right
wealthiest	!align="right	!align="right
richer	!align="right	!align="right
rich	expensive	expensive
richest	!align="right	!align="right
rich	expensive	expensive
richer	!align="right	!align="right
richest	!align="right	!align="right
faster	!align="right	!align="right
fastest	expensive	expensive
fast	!align="right	!align="right
fastest	expensive	expensive
faster	slow	slow
fast	slower	slower
taller	!align="right	!align="right
tall	expensive	expensive
tallest	!align="right	!align="right
tall	atop	atop
taller	oldest	oldest
tallest	!align="right	!align="right
luckier	!align="right	!align="right
lucky	expensive	expensive
luckiest	!align="right	!align="right
lucky	expensive	expensive
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
wider	!align="right	!align="right
wide	broader	broader
widest	!align="right	!align="right
wide	guitars	guitars
wider	!align="right	!align="right
widest	broader	broader
slower	!align="right	!align="right
slow	faster	faster
slowest	!align="right	!align="right
slow	guitars	guitars
slower	!align="right	!align="right
slowest	faster	faster
friendlier	!align="right	!align="right
friendly	guitars	guitars
friendliest	!align="right	!align="right
friendly	guitars	guitars
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
easier	!align="right	!align="right
easy	harder	harder
easiest	!align="right	!align="right
easy	guitars	guitars
easier	!align="right	!align="right
easiest	harder	harder
colder	!align="right	!align="right
cold	guitars	guitars
coldest	!align="right	!align="right
cold	guitars	guitars
colder	!align="right	!align="right
coldest	!align="right	!align="right
lower	!align="right	!align="right
low	upper	upper
lowest	!align="right	!align="right
low	highest	highest
lower	highest	highest
lowest	upper	upper
darker	!align="right	!align="right
dark	lighter	lighter
darkest	!align="right	!align="right
dark	chicken	chicken
darker	!align="right	!align="right
darkest	pale	pale
safer	!align="right	!align="right
safe	chicken	chicken
safest	!align="right	!align="right
safe	chicken	chicken
safer	!align="right	!align="right
safest	!align="right	!align="right
faster	!align="right	!align="right
fastest	slower	slower
fast	!align="right	!align="right
fastest	chicken	chicken
faster	slow	slow
fast	slower	slower
fresher	!align="right	!align="right
fresh	chicken	chicken
freshest	!align="right	!align="right
fresh	chicken	chicken
fresher	!align="right	!align="right
freshest	!align="right	!align="right
thinner	!align="right	!align="right
thin	frozen	frozen
thinnest	!align="right	!align="right
thin	frozen	frozen
thinner	!align="right	!align="right
thinnest	!align="right	!align="right
simpler	!align="right	!align="right
simple	cheaper	cheaper
simplest	!align="right	!align="right
simple	frozen	frozen
simpler	!align="right	!align="right
simplest	easier	easier
firmer	!align="right	!align="right
firm	frozen	frozen
firmest	!align="right	!align="right
firm	frozen	frozen
firmer	!align="right	!align="right
firmest	!align="right	!align="right
gentler	!align="right	!align="right
gentle	frozen	frozen
gentlest	!align="right	!align="right
gentle	frozen	frozen
gentler	!align="right	!align="right
gentlest	!align="right	!align="right
livelier	!align="right	!align="right
lively	frozen	frozen
liveliest	!align="right	!align="right
lively	frozen	frozen
livelier	!align="right	!align="right
liveliest	!align="right	!align="right
greener	blue	blue
green	!align="right	!align="right
greenest	blue	blue
green	!align="right	!align="right
greener	!align="right	!align="right
greenest	!align="right	!align="right
cheaper	affordable	affordable
cheap	easier	easier
cheapest	affordable	affordable
cheap	!align="right	!align="right
cheaper	!align="right	!align="right
cheapest	easier	easier
stickier	!align="right	!align="right
sticky	!align="right	!align="right
stickiest	!align="right	!align="right
sticky	!align="right	!align="right
stickier	!align="right	!align="right
stickiest	!align="right	!align="right
fatter	chicken	chicken
fat	!align="right	!align="right
fattest	chicken	chicken
fat	!align="right	!align="right
fatter	!align="right	!align="right
fattest	!align="right	!align="right
harder	difficult	difficult
hard	easier	easier
hardest	difficult	difficult
hard	!align="right	!align="right
harder	!align="right	!align="right
hardest	easier	easier
milder	winters	winters
mild	!align="right	!align="right
mildest	winters	winters
mild	!align="right	!align="right
milder	!align="right	!align="right
mildest	!align="right	!align="right
thinner	thick	thick
thin	!align="right	!align="right
thinnest	thick	thick
thin	!align="right	!align="right
thinner	!align="right	!align="right
thinnest	!align="right	!align="right
poorer	good	good
poor	!align="right	!align="right
poorest	good	good
poor	!align="right	!align="right
poorer	!align="right	!align="right
poorest	!align="right	!align="right
lower	high	high
low	upper	upper
lowest	high	high
low	highest	highest
lower	highest	highest
lowest	upper	upper
quicker	slow	slow
quick	!align="right	!align="right
quickest	slow	slow
quick	!align="right	!align="right
quicker	!align="right	!align="right
quickest	!align="right	!align="right
newer	!align="right	!align="right
new	closest	closest
newest	!align="right	!align="right
new	match	match
newer	!align="right	!align="right
newest	older	older
tougher	!align="right	!align="right
tough	match	match
toughest	!align="right	!align="right
tough	match	match
tougher	!align="right	!align="right
toughest	!align="right	!align="right
quicker	!align="right	!align="right
quick	match	match
quickest	!align="right	!align="right
quick	match	match
quicker	!align="right	!align="right
quickest	!align="right	!align="right
costlier	!align="right	!align="right
costly	match	match
costliest	!align="right	!align="right
costly	match	match
costlier	!align="right	!align="right
costliest	!align="right	!align="right
shorter	!align="right	!align="right
short	lighter	lighter
shortest	!align="right	!align="right
short	match	match
shorter	!align="right	!align="right
shortest	longer	longer
louder	!align="right	!align="right
loud	jam	jam
loudest	!align="right	!align="right
loud	jam	jam
louder	!align="right	!align="right
loudest	!align="right	!align="right
nastier	!align="right	!align="right
nasty	jam	jam
nastiest	!align="right	!align="right
nasty	jam	jam
nastier	!align="right	!align="right
nastiest	!align="right	!align="right
greater	!align="right	!align="right
great	higher	considerable
greatest	!align="right	!align="right
great	significant	significant
greater	biggest	biggest
greatest	higher	higher
wiser	!align="right	!align="right
wise	jam	jam
wisest	!align="right	!align="right
wise	jam	jam
wiser	!align="right	!align="right
wisest	!align="right	!align="right
closer	!align="right	!align="right
close	worse	holland
closest	!align="right	!align="right
close	friends	friends
closer	nearest	nearest
closest	worse	worse
thicker	thin	thin
thick	!align="right	!align="right
thickest	thin	thin
thick	!align="right	!align="right
thicker	!align="right	!align="right
thickest	!align="right	!align="right
classier	!align="right	!align="right
classy	!align="right	!align="right
classiest	!align="right	!align="right
classy	!align="right	!align="right
classier	!align="right	!align="right
classiest	!align="right	!align="right
simpler	modest	modest
simple	easier	easier
simplest	modest	modest
simple	!align="right	!align="right
simpler	!align="right	!align="right
simplest	easier	easier
busier	actively	actively
busy	!align="right	!align="right
busiest	actively	actively
busy	!align="right	!align="right
busier	!align="right	!align="right
busiest	!align="right	!align="right
trickier	!align="right	!align="right
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	!align="right	!align="right
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
worse	good	good
bad	closer	closer
worst	good	good
bad	best	best
worse	best	best
worst	closer	closer
fatter	chicken	chicken
fat	!align="right	!align="right
fattest	chicken	chicken
fat	!align="right	!align="right
fatter	!align="right	!align="right
fattest	!align="right	!align="right
lower	high	high
low	upper	upper
lowest	high	high
low	highest	highest
lower	highest	highest
lowest	upper	upper
steeper	slopes	slopes
steep	!align="right	!align="right
steepest	slopes	slopes
steep	!align="right	!align="right
steeper	!align="right	!align="right
steepest	!align="right	!align="right
friendlier	match	match
friendly	!align="right	!align="right
friendliest	match	match
friendly	!align="right	!align="right
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
smaller	!align="right	!align="right
small	larger	larger
smallest	!align="right	!align="right
small	largest	largest
smaller	largest	largest
smallest	larger	larger
cheaper	!align="right	!align="right
cheap	easier	easier
cheapest	!align="right	!align="right
cheap	hunting	hunting
cheaper	!align="right	!align="right
cheapest	easier	easier
tighter	!align="right	!align="right
tight	hunting	hunting
tightest	!align="right	!align="right
tight	hunting	hunting
tighter	!align="right	!align="right
tightest	!align="right	!align="right
happier	!align="right	!align="right
happy	hunting	hunting
happiest	!align="right	!align="right
happy	hunting	hunting
happier	!align="right	!align="right
happiest	!align="right	!align="right
harsher	!align="right	!align="right
harsh	hunting	hunting
harshest	!align="right	!align="right
harsh	hunting	hunting
harsher	!align="right	!align="right
harshest	!align="right	!align="right
higher	low	low
high	lower	lower
highest	low	low
high	lowest	lowest
higher	lowest	lowest
highest	lower	lower
prettier	stuff	stuff
pretty	!align="right	!align="right
prettiest	stuff	stuff
pretty	!align="right	!align="right
prettier	!align="right	!align="right
prettiest	!align="right	!align="right
smoother	bark	bark
smooth	!align="right	!align="right
smoothest	bark	bark
smooth	!align="right	!align="right
smoother	!align="right	!align="right
smoothest	!align="right	!align="right
fresher	frozen	frozen
fresh	!align="right	!align="right
freshest	frozen	frozen
fresh	!align="right	!align="right
fresher	!align="right	!align="right
freshest	!align="right	!align="right
faster	ranked	ranked
fastest	slower	slower
fast	ranked	ranked
fastest	slow	slow
faster	slow	slow
fast	slower	slower
worse	good	good
bad	closer	closer
worst	good	good
bad	best	best
worse	best	best
worst	closer	closer
higher	low	low
high	lower	lower
highest	low	low
high	lowest	lowest
higher	lowest	lowest
highest	lower	lower
costlier	expensive	expensive
costly	!align="right	!align="right
costliest	expensive	expensive
costly	!align="right	!align="right
costlier	!align="right	!align="right
costliest	!align="right	!align="right
firmer	firms	firms
firm	!align="right	!align="right
firmest	firms	firms
firm	!align="right	!align="right
firmer	!align="right	!align="right
firmest	!align="right	!align="right
steeper	slopes	slopes
steep	!align="right	!align="right
steepest	slopes	slopes
steep	!align="right	!align="right
steeper	!align="right	!align="right
steepest	!align="right	!align="right
greener	!align="right	!align="right
green	dirty	dirty
greenest	!align="right	!align="right
green	dirty	dirty
greener	!align="right	!align="right
greenest	!align="right	!align="right
smaller	!align="right	!align="right
small	larger	larger
smallest	!align="right	!align="right
small	largest	connected
smaller	largest	largest
smallest	larger	larger
narrower	!align="right	!align="right
narrow	dirty	dirty
narrowest	!align="right	!align="right
narrow	dirty	dirty
narrower	!align="right	!align="right
narrowest	!align="right	!align="right
cleaner	!align="right	!align="right
clean	dirty	dirty
cleanest	!align="right	!align="right
clean	dirty	dirty
cleaner	!align="right	!align="right
cleanest	!align="right	!align="right
riskier	!align="right	!align="right
risky	dirty	dirty
riskiest	!align="right	!align="right
risky	dirty	dirty
riskier	!align="right	!align="right
riskiest	!align="right	!align="right
newer	!align="right	!align="right
new	honda	honda
newest	!align="right	!align="right
new	wind	wind
newer	!align="right	!align="right
newest	older	older
wilder	!align="right	!align="right
wild	wind	wind
wildest	!align="right	!align="right
wild	wind	wind
wilder	!align="right	!align="right
wildest	!align="right	!align="right
narrower	!align="right	!align="right
narrow	wind	wind
narrowest	!align="right	!align="right
narrow	wind	wind
narrower	!align="right	!align="right
narrowest	!align="right	!align="right
