rougher	rails	rails
mean	lateral	lateral
meanest	!align="right	!align="right
mean	lateral	lateral
meaner	!align="right	!align="right
meanest	!align="right	!align="right
mightier	!align="right	!align="right
mighty	lateral	lateral
mightiest	!align="right	!align="right
mighty	lateral	lateral
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
cleaner	!align="right	!align="right
clean	lateral	lateral
cleanest	!align="right	!align="right
clean	lateral	lateral
cleaner	!align="right	!align="right
cleanest	!align="right	!align="right
louder	!align="right	!align="right
loud	fourteenth	fourteenth
loudest	!align="right	!align="right
loud	fourteenth	fourteenth
louder	!align="right	!align="right
loudest	!align="right	!align="right
newer	!align="right	!align="right
new	incorporating	incorporating
newest	!align="right	!align="right
new	fourteenth	fourteenth
newer	!align="right	!align="right
newest	numerical	numerical
cooler	!align="right	!align="right
cool	fourteenth	fourteenth
coolest	!align="right	!align="right
cool	fourteenth	fourteenth
cooler	!align="right	!align="right
coolest	!align="right	!align="right
narrower	!align="right	!align="right
narrow	fourteenth	fourteenth
narrowest	!align="right	!align="right
narrow	fourteenth	fourteenth
narrower	!align="right	!align="right
narrowest	!align="right	!align="right
busier	!align="right	!align="right
busy	fourteenth	fourteenth
busiest	!align="right	!align="right
busy	fourteenth	fourteenth
busier	!align="right	!align="right
busiest	!align="right	!align="right
gentler	!align="right	!align="right
gentle	thin	thin
gentlest	!align="right	!align="right
gentle	thin	thin
gentler	!align="right	!align="right
gentlest	!align="right	!align="right
fancier	!align="right	!align="right
fancy	thin	thin
fanciest	!align="right	!align="right
fancy	thin	thin
fancier	!align="right	!align="right
fanciest	!align="right	!align="right
noisier	!align="right	!align="right
noisy	thin	thin
noisiest	!align="right	!align="right
noisy	thin	thin
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
smarter	!align="right	!align="right
smart	thin	thin
smartest	!align="right	!align="right
smart	thin	thin
smarter	!align="right	!align="right
smartest	!align="right	!align="right
trickier	!align="right	!align="right
tricky	thin	thin
trickiest	!align="right	!align="right
tricky	thin	thin
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
tastier	!align="right	!align="right
tasty	sort	sort
tastiest	!align="right	!align="right
tasty	sort	sort
tastier	!align="right	!align="right
tastiest	!align="right	!align="right
easier	!align="right	!align="right
easy	hollow	hollow
easiest	!align="right	!align="right
easy	sort	sort
easier	!align="right	!align="right
easiest	simpler	simpler
mightier	!align="right	!align="right
mighty	sort	sort
mightiest	!align="right	!align="right
mighty	sort	sort
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
fewer	!align="right	!align="right
few	tremendous	tremendous
fewest	!align="right	!align="right
few	sort	sort
fewer	!align="right	!align="right
fewest	more	more
trickier	!align="right	!align="right
tricky	sort	sort
trickiest	!align="right	!align="right
tricky	sort	sort
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
thicker	!align="right	!align="right
thick	slopes	slopes
thickest	!align="right	!align="right
thick	slopes	slopes
thicker	!align="right	!align="right
thickest	!align="right	!align="right
earlier	!align="right	!align="right
early	falling	falling
earliest	!align="right	!align="right
early	neolithic	neolithic
earlier	oldest	oldest
earliest	previous	previous
swifter	!align="right	!align="right
swift	slopes	slopes
swiftest	!align="right	!align="right
swift	slopes	slopes
swifter	!align="right	!align="right
swiftest	!align="right	!align="right
bigger	!align="right	!align="right
big	larger	deep
biggest	!align="right	!align="right
big	major	major
bigger	highest	highest
biggest	larger	larger
deeper	!align="right	!align="right
deep	deep	deep
deepest	!align="right	!align="right
deep	slopes	slopes
deeper	!align="right	!align="right
deepest	deep	deep
tighter	!align="right	!align="right
tight	warm	warm
tightest	!align="right	!align="right
tight	warm	warm
tighter	!align="right	!align="right
tightest	!align="right	!align="right
wider	!align="right	!align="right
wide	deeper	deeper
widest	!align="right	!align="right
wide	warm	warm
wider	!align="right	!align="right
widest	broader	broader
prettier	!align="right	!align="right
pretty	warm	warm
prettiest	!align="right	!align="right
pretty	warm	warm
prettier	!align="right	!align="right
prettiest	!align="right	!align="right
older	!align="right	!align="right
old	sleeping	sleeping
oldest	!align="right	!align="right
old	largest	largest
older	largest	largest
oldest	younger	younger
wiser	!align="right	!align="right
wise	warm	warm
wisest	!align="right	!align="right
wise	warm	warm
wiser	!align="right	!align="right
wisest	!align="right	!align="right
milder	!align="right	!align="right
mild	zoo	zoo
mildest	!align="right	!align="right
mild	zoo	zoo
milder	!align="right	!align="right
mildest	!align="right	!align="right
prettier	!align="right	!align="right
pretty	zoo	zoo
prettiest	!align="right	!align="right
pretty	zoo	zoo
prettier	!align="right	!align="right
prettiest	!align="right	!align="right
narrower	!align="right	!align="right
narrow	zoo	zoo
narrowest	!align="right	!align="right
narrow	zoo	zoo
narrower	!align="right	!align="right
narrowest	!align="right	!align="right
stiffer	!align="right	!align="right
stiff	zoo	zoo
stiffest	!align="right	!align="right
stiff	zoo	zoo
stiffer	!align="right	!align="right
stiffest	!align="right	!align="right
older	!align="right	!align="right
old	old	old
oldest	!align="right	!align="right
old	largest	largest
older	largest	largest
oldest	younger	younger
steadier	!align="right	!align="right
steady	steep	steep
steadiest	!align="right	!align="right
steady	steep	steep
steadier	!align="right	!align="right
steadiest	!align="right	!align="right
fairer	!align="right	!align="right
fair	steep	steep
fairest	!align="right	!align="right
fair	steep	steep
fairer	!align="right	!align="right
fairest	!align="right	!align="right
smarter	!align="right	!align="right
smart	steep	steep
smartest	!align="right	!align="right
smart	steep	steep
smarter	!align="right	!align="right
smartest	!align="right	!align="right
sharper	!align="right	!align="right
sharp	steep	steep
sharpest	!align="right	!align="right
sharp	steep	steep
sharper	!align="right	!align="right
sharpest	!align="right	!align="right
deeper	!align="right	!align="right
deep	deep	deep
deepest	!align="right	!align="right
deep	steep	steep
deeper	!align="right	!align="right
deepest	deep	deep
bloodier	!align="right	!align="right
bloody	faithful	faithful
bloodiest	!align="right	!align="right
bloody	faithful	faithful
bloodier	!align="right	!align="right
bloodiest	!align="right	!align="right
quicker	!align="right	!align="right
quick	faithful	faithful
quickest	!align="right	!align="right
quick	faithful	faithful
quicker	!align="right	!align="right
quickest	!align="right	!align="right
narrower	!align="right	!align="right
narrow	faithful	faithful
narrowest	!align="right	!align="right
narrow	faithful	faithful
narrower	!align="right	!align="right
narrowest	!align="right	!align="right
savvier	!align="right	!align="right
savvy	faithful	faithful
savviest	!align="right	!align="right
savvy	faithful	faithful
savvier	!align="right	!align="right
savviest	!align="right	!align="right
stronger	!align="right	!align="right
strong	sunny	sunny
strongest	!align="right	!align="right
strong	biggest	biggest
stronger	biggest	biggest
strongest	heavier	heavier
better	!align="right	!align="right
good	good	good
best	!align="right	!align="right
good	golden	golden
better	finest	finest
best	good	good
slicker	!align="right	!align="right
slick	abdomen	abdomen
slickest	!align="right	!align="right
slick	abdomen	abdomen
slicker	!align="right	!align="right
slickest	!align="right	!align="right
friendlier	!align="right	!align="right
friendly	abdomen	abdomen
friendliest	!align="right	!align="right
friendly	abdomen	abdomen
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
bigger	!align="right	!align="right
big	larger	larger
biggest	!align="right	!align="right
big	major	major
bigger	highest	highest
biggest	larger	larger
stronger	!align="right	!align="right
strong	color	color
strongest	!align="right	!align="right
strong	blue	blue
stronger	biggest	biggest
strongest	heavier	heavier
milder	!align="right	!align="right
mild	dexter	dexter
mildest	!align="right	!align="right
mild	dexter	dexter
milder	!align="right	!align="right
mildest	!align="right	!align="right
faster	!align="right	!align="right
fastest	bigger	bigger
fast	!align="right	!align="right
fastest	bigger	bigger
faster	slow	slow
fast	slower	slower
busier	!align="right	!align="right
busy	dexter	dexter
busiest	!align="right	!align="right
busy	dexter	dexter
busier	!align="right	!align="right
busiest	!align="right	!align="right
luckier	!align="right	!align="right
lucky	dexter	dexter
luckiest	!align="right	!align="right
lucky	dexter	dexter
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
wiser	!align="right	!align="right
wise	dexter	dexter
wisest	!align="right	!align="right
wise	dexter	dexter
wiser	!align="right	!align="right
wisest	!align="right	!align="right
lighter	dark	dark
light	darker	darker
lightest	dark	dark
light	!align="right	!align="right
lighter	!align="right	!align="right
lightest	darker	darker
healthier	meals	meals
healthy	!align="right	!align="right
healthiest	meals	meals
healthy	!align="right	!align="right
healthier	!align="right	!align="right
healthiest	!align="right	!align="right
costlier	expensive	expensive
costly	!align="right	!align="right
costliest	expensive	expensive
costly	!align="right	!align="right
costlier	!align="right	!align="right
costliest	!align="right	!align="right
meaner	means	means
mean	!align="right	!align="right
meanest	means	means
mean	!align="right	!align="right
meaner	!align="right	!align="right
meanest	!align="right	!align="right
older	older	older
old	younger	younger
oldest	older	older
old	largest	largest
older	largest	largest
oldest	younger	younger
louder	!align="right	!align="right
loud	blue	blue
loudest	!align="right	!align="right
loud	blue	blue
louder	!align="right	!align="right
loudest	!align="right	!align="right
tougher	!align="right	!align="right
tough	blue	blue
toughest	!align="right	!align="right
tough	blue	blue
tougher	!align="right	!align="right
toughest	!align="right	!align="right
darker	!align="right	!align="right
dark	yellow	yellow
darkest	!align="right	!align="right
dark	blue	blue
darker	!align="right	!align="right
darkest	hindwings	hindwings
easier	!align="right	!align="right
easy	hollow	hollow
easiest	!align="right	!align="right
easy	blue	blue
easier	!align="right	!align="right
easiest	simpler	simpler
trickier	!align="right	!align="right
tricky	blue	blue
trickiest	!align="right	!align="right
tricky	blue	blue
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
larger	!align="right	!align="right
large	smaller	smaller
largest	!align="right	!align="right
large	large	large
larger	smallest	smallest
largest	smaller	smaller
tastier	!align="right	!align="right
tasty	sweet	sweet
tastiest	!align="right	!align="right
tasty	sweet	sweet
tastier	!align="right	!align="right
tastiest	!align="right	!align="right
healthier	!align="right	!align="right
healthy	sweet	sweet
healthiest	!align="right	!align="right
healthy	sweet	sweet
healthier	!align="right	!align="right
healthiest	!align="right	!align="right
faster	!align="right	!align="right
fastest	slower	slower
fast	!align="right	!align="right
fastest	good	good
faster	slow	slow
fast	slower	slower
noisier	!align="right	!align="right
noisy	sweet	sweet
noisiest	!align="right	!align="right
noisy	sweet	sweet
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
smaller	!align="right	!align="right
small	larger	larger
smallest	!align="right	!align="right
small	wild	wild
smaller	largest	largest
smallest	larger	larger
fuller	!align="right	!align="right
full	young	young
fullest	!align="right	!align="right
full	meals	meals
fuller	!align="right	!align="right
fullest	biographer	biographer
younger	!align="right	!align="right
young	young	young
youngest	!align="right	!align="right
young	young	young
younger	oldest	oldest
youngest	older	older
smarter	!align="right	!align="right
smart	meals	meals
smartest	!align="right	!align="right
smart	meals	meals
smarter	!align="right	!align="right
smartest	!align="right	!align="right
deeper	!align="right	!align="right
deep	deep	deep
deepest	!align="right	!align="right
deep	meals	meals
deeper	!align="right	!align="right
deepest	deep	deep
classier	!align="right	!align="right
classy	means	means
classiest	!align="right	!align="right
classy	means	means
classier	!align="right	!align="right
classiest	!align="right	!align="right
stickier	!align="right	!align="right
sticky	means	means
stickiest	!align="right	!align="right
sticky	means	means
stickier	!align="right	!align="right
stickiest	!align="right	!align="right
happier	!align="right	!align="right
happy	means	means
happiest	!align="right	!align="right
happy	means	means
happier	!align="right	!align="right
happiest	!align="right	!align="right
poorer	!align="right	!align="right
poor	means	means
poorest	!align="right	!align="right
poor	means	means
poorer	!align="right	!align="right
poorest	!align="right	!align="right
softer	!align="right	!align="right
soft	means	means
softest	!align="right	!align="right
soft	means	means
softer	!align="right	!align="right
softest	!align="right	!align="right
higher	!align="right	!align="right
high	low	better
highest	!align="right	!align="right
high	biggest	biggest
higher	lowest	lowest
highest	lower	lower
thinner	!align="right	!align="right
thin	pretty	pretty
thinnest	!align="right	!align="right
thin	pretty	pretty
thinner	!align="right	!align="right
thinnest	!align="right	!align="right
fairer	!align="right	!align="right
fair	pretty	pretty
fairest	!align="right	!align="right
fair	pretty	pretty
fairer	!align="right	!align="right
fairest	!align="right	!align="right
mightier	!align="right	!align="right
mighty	pretty	pretty
mightiest	!align="right	!align="right
mighty	pretty	pretty
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
noisier	!align="right	!align="right
noisy	pretty	pretty
noisiest	!align="right	!align="right
noisy	pretty	pretty
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
kinder	!align="right	!align="right
kind	moderate	moderate
kindest	!align="right	!align="right
kind	moderate	moderate
kinder	!align="right	!align="right
kindest	!align="right	!align="right
easier	!align="right	!align="right
easy	harder	harder
easiest	!align="right	!align="right
easy	moderate	moderate
easier	!align="right	!align="right
easiest	simpler	simpler
busier	!align="right	!align="right
busy	moderate	moderate
busiest	!align="right	!align="right
busy	moderate	moderate
busier	!align="right	!align="right
busiest	!align="right	!align="right
trickier	!align="right	!align="right
tricky	moderate	moderate
trickiest	!align="right	!align="right
tricky	moderate	moderate
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
riskier	!align="right	!align="right
risky	moderate	moderate
riskiest	!align="right	!align="right
risky	moderate	moderate
riskier	!align="right	!align="right
riskiest	!align="right	!align="right
rougher	!align="right	!align="right
rough	you're	you're
roughest	!align="right	!align="right
rough	you're	you're
rougher	!align="right	!align="right
roughest	!align="right	!align="right
friendlier	!align="right	!align="right
friendly	you're	you're
friendliest	!align="right	!align="right
friendly	you're	you're
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
shorter	!align="right	!align="right
short	disco	disco
shortest	!align="right	!align="right
short	you're	you're
shorter	!align="right	!align="right
shortest	length	length
faster	!align="right	!align="right
fastest	slower	off
fast	!align="right	!align="right
fastest	watching	watching
faster	slow	slow
fast	slower	slower
fewer	!align="right	!align="right
few	more	more
fewest	!align="right	!align="right
few	you're	you're
fewer	!align="right	!align="right
fewest	more	more
stickier	!align="right	!align="right
sticky	!align="right	!align="right
stickiest	!align="right	!align="right
sticky	!align="right	!align="right
stickier	!align="right	!align="right
stickiest	!align="right	!align="right
messier	!align="right	!align="right
messy	!align="right	!align="right
messiest	!align="right	!align="right
messy	!align="right	!align="right
messier	!align="right	!align="right
messiest	!align="right	!align="right
leaner	!align="right	!align="right
lean	!align="right	!align="right
leanest	!align="right	!align="right
lean	!align="right	!align="right
leaner	!align="right	!align="right
leanest	!align="right	!align="right
closer	closest	closest
close	close	close
closest	closest	closest
close	nearest	nearest
closer	nearest	nearest
closest	close	close
trickier	!align="right	!align="right
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	!align="right	!align="right
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
thinner	!align="right	!align="right
thin	angry	angry
thinnest	!align="right	!align="right
thin	angry	angry
thinner	!align="right	!align="right
thinnest	!align="right	!align="right
nicer	!align="right	!align="right
nice	angry	angry
nicest	!align="right	!align="right
nice	angry	angry
nicer	!align="right	!align="right
nicest	!align="right	!align="right
savvier	!align="right	!align="right
savvy	angry	angry
savviest	!align="right	!align="right
savvy	angry	angry
savvier	!align="right	!align="right
savviest	!align="right	!align="right
smarter	!align="right	!align="right
smart	angry	angry
smartest	!align="right	!align="right
smart	angry	angry
smarter	!align="right	!align="right
smartest	!align="right	!align="right
fewer	!align="right	!align="right
few	more	more
fewest	!align="right	!align="right
few	angry	angry
fewer	!align="right	!align="right
fewest	more	more
simpler	finite	finite
simple	easier	easier
simplest	finite	finite
simple	!align="right	!align="right
simpler	!align="right	!align="right
simplest	easier	easier
fancier	!align="right	!align="right
fancy	!align="right	!align="right
fanciest	!align="right	!align="right
fancy	!align="right	!align="right
fancier	!align="right	!align="right
fanciest	!align="right	!align="right
greater	tremendous	tremendous
great	higher	higher
greatest	tremendous	tremendous
great	biggest	biggest
greater	biggest	biggest
greatest	higher	higher
luckier	curious	curious
lucky	!align="right	!align="right
luckiest	curious	curious
lucky	!align="right	!align="right
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
deeper	shallow	shallow
deep	deep	deep
deepest	shallow	shallow
deep	!align="right	!align="right
deeper	!align="right	!align="right
deepest	deep	deep
richer	landscapes	landscapes
rich	!align="right	!align="right
richest	landscapes	landscapes
rich	!align="right	!align="right
richer	!align="right	!align="right
richest	!align="right	!align="right
louder	sounds	sounds
loud	!align="right	!align="right
loudest	sounds	sounds
loud	!align="right	!align="right
louder	!align="right	!align="right
loudest	!align="right	!align="right
rougher	steep	steep
rough	!align="right	!align="right
roughest	steep	steep
rough	!align="right	!align="right
rougher	!align="right	!align="right
roughest	!align="right	!align="right
slower	quick	quick
slow	faster	faster
slowest	quick	quick
slow	!align="right	!align="right
slower	!align="right	!align="right
slowest	faster	faster
nastier	!align="right	!align="right
nasty	!align="right	!align="right
nastiest	!align="right	!align="right
nasty	!align="right	!align="right
nastier	!align="right	!align="right
nastiest	!align="right	!align="right
slimmer	dexter	dexter
slim	!align="right	!align="right
slimmest	dexter	dexter
slim	!align="right	!align="right
slimmer	!align="right	!align="right
slimmest	!align="right	!align="right
smoother	lateral	lateral
smooth	!align="right	!align="right
smoothest	lateral	lateral
smooth	!align="right	!align="right
smoother	!align="right	!align="right
smoothest	!align="right	!align="right
meaner	means	means
mean	!align="right	!align="right
meanest	means	means
mean	!align="right	!align="right
meaner	!align="right	!align="right
meanest	!align="right	!align="right
longer	short	short
long	still	still
longest	short	short
long	largest	largest
longer	largest	largest
longest	still	still
shorter	brief	brief
short	length	length
shortest	brief	brief
short	!align="right	!align="right
shorter	!align="right	!align="right
shortest	length	length
wider	!align="right	!align="right
wide	tremendous	tremendous
widest	!align="right	!align="right
wide	tremendous	tremendous
wider	!align="right	!align="right
widest	broader	broader
fairer	!align="right	!align="right
fair	tremendous	tremendous
fairest	!align="right	!align="right
fair	tremendous	tremendous
fairer	!align="right	!align="right
fairest	!align="right	!align="right
smarter	!align="right	!align="right
smart	tremendous	tremendous
smartest	!align="right	!align="right
smart	tremendous	tremendous
smarter	!align="right	!align="right
smartest	!align="right	!align="right
deeper	!align="right	!align="right
deep	tremendous	tremendous
deepest	!align="right	!align="right
deep	tremendous	tremendous
deeper	!align="right	!align="right
deepest	deep	deep
luckier	!align="right	!align="right
lucky	tremendous	tremendous
luckiest	!align="right	!align="right
lucky	tremendous	tremendous
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
earlier	!align="right	!align="right
early	previous	previous
earliest	!align="right	!align="right
early	finest	finest
earlier	oldest	oldest
earliest	previous	previous
pricier	!align="right	!align="right
pricey	curious	curious
priciest	!align="right	!align="right
pricey	curious	curious
pricier	!align="right	!align="right
priciest	!align="right	!align="right
wider	!align="right	!align="right
wide	wild	wild
widest	!align="right	!align="right
wide	curious	curious
wider	!align="right	!align="right
widest	broader	broader
lower	!align="right	!align="right
low	low	low
lowest	!align="right	!align="right
low	highest	fantastic
lower	highest	highest
lowest	upper	upper
steeper	!align="right	!align="right
steep	curious	curious
steepest	!align="right	!align="right
steep	curious	curious
steeper	!align="right	!align="right
steepest	!align="right	!align="right
wealthier	!align="right	!align="right
wealthy	expensive	expensive
wealthiest	!align="right	!align="right
wealthy	expensive	expensive
wealthier	!align="right	!align="right
wealthiest	!align="right	!align="right
richer	!align="right	!align="right
rich	expensive	expensive
richest	!align="right	!align="right
rich	expensive	expensive
richer	!align="right	!align="right
richest	!align="right	!align="right
faster	!align="right	!align="right
fastest	cheaper	more
fast	!align="right	!align="right
fastest	slow	slow
faster	slow	slow
fast	slower	slower
taller	!align="right	!align="right
tall	expensive	expensive
tallest	!align="right	!align="right
tall	largest	largest
taller	oldest	oldest
tallest	!align="right	!align="right
luckier	!align="right	!align="right
lucky	expensive	expensive
luckiest	!align="right	!align="right
lucky	expensive	expensive
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
wider	!align="right	!align="right
wide	large	large
widest	!align="right	!align="right
wide	sounds	sounds
wider	!align="right	!align="right
widest	broader	broader
slower	!align="right	!align="right
slow	heavy	heavy
slowest	!align="right	!align="right
slow	sounds	sounds
slower	!align="right	!align="right
slowest	faster	faster
friendlier	!align="right	!align="right
friendly	sounds	sounds
friendliest	!align="right	!align="right
friendly	sounds	sounds
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
easier	!align="right	!align="right
easy	harder	harder
easiest	!align="right	!align="right
easy	sounds	sounds
easier	!align="right	!align="right
easiest	simpler	simpler
colder	!align="right	!align="right
cold	sounds	sounds
coldest	!align="right	!align="right
cold	sounds	sounds
colder	!align="right	!align="right
coldest	!align="right	!align="right
lower	!align="right	!align="right
low	low	low
lowest	!align="right	!align="right
low	low	low
lower	highest	highest
lowest	upper	upper
darker	!align="right	!align="right
dark	dark	dark
darkest	!align="right	!align="right
dark	calcium	calcium
darker	!align="right	!align="right
darkest	hindwings	hindwings
safer	!align="right	!align="right
safe	calcium	calcium
safest	!align="right	!align="right
safe	calcium	calcium
safer	!align="right	!align="right
safest	!align="right	!align="right
faster	!align="right	!align="right
fastest	slower	mortality
fast	!align="right	!align="right
fastest	food	food
faster	slow	slow
fast	slower	slower
fresher	!align="right	!align="right
fresh	calcium	calcium
freshest	!align="right	!align="right
fresh	calcium	calcium
fresher	!align="right	!align="right
freshest	!align="right	!align="right
thinner	!align="right	!align="right
thin	cool	cool
thinnest	!align="right	!align="right
thin	cool	cool
thinner	!align="right	!align="right
thinnest	!align="right	!align="right
simpler	!align="right	!align="right
simple	powder	refined
simplest	!align="right	!align="right
simple	cool	cool
simpler	!align="right	!align="right
simplest	easier	easier
firmer	!align="right	!align="right
firm	cool	cool
firmest	!align="right	!align="right
firm	cool	cool
firmer	!align="right	!align="right
firmest	!align="right	!align="right
gentler	!align="right	!align="right
gentle	cool	cool
gentlest	!align="right	!align="right
gentle	cool	cool
gentler	!align="right	!align="right
gentlest	!align="right	!align="right
livelier	!align="right	!align="right
lively	cool	cool
liveliest	!align="right	!align="right
lively	cool	cool
livelier	!align="right	!align="right
liveliest	!align="right	!align="right
greener	blue	blue
green	!align="right	!align="right
greenest	blue	blue
green	!align="right	!align="right
greener	!align="right	!align="right
greenest	!align="right	!align="right
cheaper	desktop	desktop
cheap	simpler	simpler
cheapest	desktop	desktop
cheap	!align="right	!align="right
cheaper	!align="right	!align="right
cheapest	simpler	simpler
stickier	!align="right	!align="right
sticky	!align="right	!align="right
stickiest	!align="right	!align="right
sticky	!align="right	!align="right
stickier	!align="right	!align="right
stickiest	!align="right	!align="right
fatter	calcium	calcium
fat	!align="right	!align="right
fattest	calcium	calcium
fat	!align="right	!align="right
fatter	!align="right	!align="right
fattest	!align="right	!align="right
harder	difficult	difficult
hard	simpler	simpler
hardest	difficult	difficult
hard	!align="right	!align="right
harder	!align="right	!align="right
hardest	simpler	simpler
milder	moderate	moderate
mild	!align="right	!align="right
mildest	moderate	moderate
mild	!align="right	!align="right
milder	!align="right	!align="right
mildest	!align="right	!align="right
thinner	thick	thick
thin	!align="right	!align="right
thinnest	thick	thick
thin	!align="right	!align="right
thinner	!align="right	!align="right
thinnest	!align="right	!align="right
poorer	favourable	favourable
poor	!align="right	!align="right
poorest	favourable	favourable
poor	!align="right	!align="right
poorer	!align="right	!align="right
poorest	!align="right	!align="right
lower	high	high
low	upper	upper
lowest	high	high
low	highest	highest
lower	highest	highest
lowest	upper	upper
quicker	slow	slow
quick	!align="right	!align="right
quickest	slow	slow
quick	!align="right	!align="right
quicker	!align="right	!align="right
quickest	!align="right	!align="right
newer	!align="right	!align="right
new	intense	intense
newest	!align="right	!align="right
new	wales	wales
newer	!align="right	!align="right
newest	numerical	numerical
tougher	!align="right	!align="right
tough	wales	wales
toughest	!align="right	!align="right
tough	wales	wales
tougher	!align="right	!align="right
toughest	!align="right	!align="right
quicker	!align="right	!align="right
quick	wales	wales
quickest	!align="right	!align="right
quick	wales	wales
quicker	!align="right	!align="right
quickest	!align="right	!align="right
costlier	!align="right	!align="right
costly	wales	wales
costliest	!align="right	!align="right
costly	wales	wales
costlier	!align="right	!align="right
costliest	!align="right	!align="right
shorter	!align="right	!align="right
short	short	short
shortest	!align="right	!align="right
short	wales	wales
shorter	!align="right	!align="right
shortest	length	length
louder	!align="right	!align="right
loud	lloyd	lloyd
loudest	!align="right	!align="right
loud	lloyd	lloyd
louder	!align="right	!align="right
loudest	!align="right	!align="right
nastier	!align="right	!align="right
nasty	lloyd	lloyd
nastiest	!align="right	!align="right
nasty	lloyd	lloyd
nastier	!align="right	!align="right
nastiest	!align="right	!align="right
greater	!align="right	!align="right
great	little	little
greatest	!align="right	!align="right
great	major	major
greater	biggest	biggest
greatest	higher	higher
wiser	!align="right	!align="right
wise	lloyd	lloyd
wisest	!align="right	!align="right
wise	lloyd	lloyd
wiser	!align="right	!align="right
wisest	!align="right	!align="right
closer	!align="right	!align="right
close	jamie	jamie
closest	!align="right	!align="right
close	monkey	monkey
closer	nearest	nearest
closest	close	close
thicker	thin	thin
thick	!align="right	!align="right
thickest	thin	thin
thick	!align="right	!align="right
thicker	!align="right	!align="right
thickest	!align="right	!align="right
classier	!align="right	!align="right
classy	!align="right	!align="right
classiest	!align="right	!align="right
classy	!align="right	!align="right
classier	!align="right	!align="right
classiest	!align="right	!align="right
simpler	finite	finite
simple	easier	easier
simplest	finite	finite
simple	!align="right	!align="right
simpler	!align="right	!align="right
simplest	easier	easier
busier	faithful	faithful
busy	!align="right	!align="right
busiest	faithful	faithful
busy	!align="right	!align="right
busier	!align="right	!align="right
busiest	!align="right	!align="right
trickier	!align="right	!align="right
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	!align="right	!align="right
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
worse	good	good
bad	less	less
worst	good	good
bad	best	best
worse	best	best
worst	less	less
fatter	calcium	calcium
fat	!align="right	!align="right
fattest	calcium	calcium
fat	!align="right	!align="right
fatter	!align="right	!align="right
fattest	!align="right	!align="right
lower	high	high
low	upper	upper
lowest	high	high
low	highest	highest
lower	highest	highest
lowest	upper	upper
steeper	slopes	slopes
steep	!align="right	!align="right
steepest	slopes	slopes
steep	!align="right	!align="right
steeper	!align="right	!align="right
steepest	!align="right	!align="right
friendlier	wales	wales
friendly	!align="right	!align="right
friendliest	wales	wales
friendly	!align="right	!align="right
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
smaller	!align="right	!align="right
small	larger	larger
smallest	!align="right	!align="right
small	deer	deer
smaller	largest	largest
smallest	larger	larger
cheaper	!align="right	!align="right
cheap	purple	purple
cheapest	!align="right	!align="right
cheap	deer	deer
cheaper	!align="right	!align="right
cheapest	simpler	simpler
tighter	!align="right	!align="right
tight	deer	deer
tightest	!align="right	!align="right
tight	deer	deer
tighter	!align="right	!align="right
tightest	!align="right	!align="right
happier	!align="right	!align="right
happy	deer	deer
happiest	!align="right	!align="right
happy	deer	deer
happier	!align="right	!align="right
happiest	!align="right	!align="right
harsher	!align="right	!align="right
harsh	deer	deer
harshest	!align="right	!align="right
harsh	deer	deer
harsher	!align="right	!align="right
harshest	!align="right	!align="right
higher	low	low
high	lower	lower
highest	low	low
high	lowest	lowest
higher	lowest	lowest
highest	lower	lower
prettier	you're	you're
pretty	!align="right	!align="right
prettiest	you're	you're
pretty	!align="right	!align="right
prettier	!align="right	!align="right
prettiest	!align="right	!align="right
smoother	lateral	lateral
smooth	!align="right	!align="right
smoothest	lateral	lateral
smooth	!align="right	!align="right
smoother	!align="right	!align="right
smoothest	!align="right	!align="right
fresher	cool	cool
fresh	!align="right	!align="right
freshest	cool	cool
fresh	!align="right	!align="right
fresher	!align="right	!align="right
freshest	!align="right	!align="right
faster	highest	highest
fastest	slower	slower
fast	highest	highest
fastest	slow	slow
faster	slow	slow
fast	slower	slower
worse	good	good
bad	less	less
worst	good	good
bad	best	best
worse	best	best
worst	less	less
higher	low	low
high	lower	lower
highest	low	low
high	lowest	lowest
higher	lowest	lowest
highest	lower	lower
costlier	expensive	expensive
costly	!align="right	!align="right
costliest	expensive	expensive
costly	!align="right	!align="right
costlier	!align="right	!align="right
