rougher	significantly	significantly
thick	merchants	merchants
thicker	!	!
thickest	!	!
bloodier	!	!
bloody	merchants	merchants
bloodiest	!	!
bloody	merchants	merchants
bloodier	!	!
bloodiest	!	!
happier	!	!
happy	merchants	merchants
happiest	!	!
happy	merchants	merchants
happier	!	!
happiest	!	!
sharper	!	!
sharp	merchants	merchants
sharpest	!	!
sharp	merchants	merchants
sharper	!	!
sharpest	!	!
stronger	!	!
strong	merchants	merchants
strongest	!	!
strong	nobleman	nobleman
stronger	landfall	landfall
strongest	petit	petit
classier	!	!
classy	!	!
classiest	!	!
classy	course	course
classier	seminary	seminary
classiest	!	!
lighter	pale	pale
light	heavier	darker
lightest	!	!
light	course	course
lighter	seminary	seminary
lightest	!	!
gentler	terrain	terrain
gentle	!	!
gentlest	!	!
gentle	course	course
gentler	seminary	seminary
gentlest	!	!
narrower	forewings	forewings
narrow	!	!
narrowest	!	!
narrow	course	course
narrower	seminary	seminary
narrowest	!	!
livelier	amherst	amherst
lively	!	!
liveliest	!	!
lively	course	course
livelier	seminary	seminary
liveliest	!	!
savvier	!	!
savvy	guy	guy
savviest	!	!
savvy	guy	guy
savvier	!	!
savviest	!	!
livelier	!	!
lively	guy	guy
liveliest	!	!
lively	guy	guy
livelier	!	!
liveliest	!	!
harder	!	!
hard	hard	hard
hardest	!	!
hard	guy	guy
harder	!	!
hardest	hard	hard
taller	!	!
tall	guy	guy
tallest	!	!
tall	height	guinness
taller	height	height
tallest	!	!
freer	!	!
free	guy	guy
freest	!	!
free	guy	guy
freer	!	!
freest	!	!
sadder	memories	memories
sad	!	!
saddest	memories	memories
sad	!	!
sadder	!	!
saddest	!	!
rougher	seas	seas
rough	!	!
roughest	seas	seas
rough	!	!
rougher	!	!
roughest	!	!
steeper	mountain	mountain
steep	!	!
steepest	mountain	mountain
steep	!	!
steeper	!	!
steepest	!	!
smarter	funny	funny
smart	!	!
smartest	funny	funny
smart	!	!
smarter	!	!
smartest	!	!
cleaner	keeping	keeping
clean	!	!
cleanest	keeping	keeping
clean	!	!
cleaner	!	!
cleanest	!	!
lighter	!	!
light	consulting	darker
lightest	!	!
light	consulting	consulting
lighter	!	!
lightest	heavier	heavier
classier	!	!
classy	consulting	consulting
classiest	!	!
classy	consulting	consulting
classier	!	!
classiest	!	!
poorer	!	!
poor	consulting	consulting
poorest	!	!
poor	consulting	consulting
poorer	!	!
poorest	!	!
slower	!	!
slow	consulting	consulting
slowest	!	!
slow	consulting	consulting
slower	!	!
slowest	faster	faster
faster	!	!
fastest	consulting	consulting
fast	!	!
fastest	associates	associates
faster	bowler	bowler
fast	slower	slower
classier	!	!
classy	convex	convex
classiest	!	!
classy	convex	convex
classier	!	!
classiest	!	!
simpler	!	!
simple	lip	differential
simplest	!	!
simple	convex	convex
simpler	!	!
simplest	differed	differed
meaner	!	!
mean	convex	convex
meanest	!	!
mean	convex	convex
meaner	!	!
meanest	!	!
mightier	!	!
mighty	convex	convex
mightiest	!	!
mighty	convex	convex
mightier	!	!
mightiest	!	!
cleaner	!	!
clean	convex	convex
cleanest	!	!
clean	convex	convex
cleaner	!	!
cleanest	!	!
louder	!	!
loud	strokes	strokes
loudest	!	!
loud	strokes	strokes
louder	!	!
loudest	!	!
newer	!	!
new	constantly	constantly
newest	!	!
new	fraternity	fraternity
newer	alpha	alpha
newest	versions	versions
cooler	!	!
cool	humid	humid
coolest	!	!
cool	strokes	strokes
cooler	!	!
coolest	humid	humid
narrower	!	!
narrow	strokes	strokes
narrowest	!	!
narrow	strokes	strokes
narrower	!	!
narrowest	!	!
busier	!	!
busy	strokes	strokes
busiest	!	!
busy	strokes	strokes
busier	!	!
busiest	!	!
gentler	!	!
gentle	thin	thin
gentlest	!	!
gentle	thin	thin
gentler	!	!
gentlest	!	!
fancier	!	!
fancy	thin	thin
fanciest	!	!
fancy	thin	thin
fancier	!	!
fanciest	!	!
noisier	!	!
noisy	thin	thin
noisiest	!	!
noisy	thin	thin
noisier	!	!
noisiest	!	!
smarter	!	!
smart	thin	thin
smartest	!	!
smart	thin	thin
smarter	!	!
smartest	!	!
trickier	!	!
tricky	thin	thin
trickiest	!	!
tricky	thin	thin
trickier	!	!
trickiest	!	!
tastier	!	!
tasty	...	...
tastiest	!	!
tasty	...	...
tastier	!	!
tastiest	!	!
easier	!	!
easy	committing	committing
easiest	!	!
easy	...	...
easier	!	!
easiest	difficult	difficult
mightier	!	!
mighty	...	...
mightiest	!	!
mighty	...	...
mightier	!	!
mightiest	!	!
fewer	!	!
few	jobs	jobs
fewest	!	!
few	...	...
fewer	!	!
fewest	than	than
trickier	!	!
tricky	...	...
trickiest	!	!
tricky	...	...
trickier	!	!
trickiest	!	!
thicker	!	!
thick	mountain	mountain
thickest	!	!
thick	mountain	mountain
thicker	!	!
thickest	!	!
earlier	!	!
early	mountain	mountain
earliest	!	!
early	slopes	slopes
earlier	dating	dating
earliest	19th	19th
swifter	!	!
swift	mountain	mountain
swiftest	!	!
swift	mountain	mountain
swifter	!	!
swiftest	!	!
bigger	!	!
big	rocky	rocky
biggest	!	!
big	mountain	mountain
bigger	one	one
biggest	larger	larger
deeper	!	!
deep	rocky	rocky
deepest	!	!
deep	mountain	mountain
deeper	!	!
deepest	depths	depths
tighter	!	!
tight	winters	winters
tightest	!	!
tight	winters	winters
tighter	!	!
tightest	!	!
wider	!	!
wide	winters	winters
widest	!	!
wide	winters	winters
wider	!	!
widest	than	than
prettier	!	!
pretty	winters	winters
prettiest	!	!
pretty	winters	winters
prettier	!	!
prettiest	!	!
older	!	!
old	65	65
oldest	!	!
old	winters	summers
older	earliest	earliest
oldest	65	65
wiser	!	!
wise	winters	winters
wisest	!	!
wise	winters	winters
wiser	!	!
wisest	!	!
milder	!	!
mild	centennial	centennial
mildest	!	!
mild	centennial	centennial
milder	!	!
mildest	!	!
prettier	!	!
pretty	centennial	centennial
prettiest	!	!
pretty	centennial	centennial
prettier	!	!
prettiest	!	!
narrower	!	!
narrow	centennial	centennial
narrowest	!	!
narrow	centennial	centennial
narrower	!	!
narrowest	!	!
stiffer	!	!
stiff	centennial	centennial
stiffest	!	!
stiff	centennial	centennial
stiffer	!	!
stiffest	!	!
older	!	!
old	65	65
oldest	!	!
old	pavilion	graves
older	earliest	earliest
oldest	65	65
steadier	!	!
steady	seas	seas
steadiest	!	!
steady	seas	seas
steadier	!	!
steadiest	!	!
fairer	!	!
fair	seas	seas
fairest	!	!
fair	seas	seas
fairer	!	!
fairest	!	!
smarter	!	!
smart	seas	seas
smartest	!	!
smart	seas	seas
smarter	!	!
smartest	!	!
sharper	!	!
sharp	seas	seas
sharpest	!	!
sharp	seas	seas
sharper	!	!
sharpest	!	!
deeper	!	!
deep	shallow	shallow
deepest	!	!
deep	seas	seas
deeper	!	!
deepest	depths	depths
bloodier	!	!
bloody	streets	streets
bloodiest	!	!
bloody	streets	streets
bloodier	!	!
bloodiest	!	!
quicker	!	!
quick	streets	streets
quickest	!	!
quick	streets	streets
quicker	!	!
quickest	!	!
narrower	!	!
narrow	streets	streets
narrowest	!	!
narrow	streets	streets
narrower	!	!
narrowest	!	!
savvier	!	!
savvy	streets	streets
savviest	!	!
savvy	streets	streets
savvier	!	!
savviest	!	!
stronger	!	!
strong	petit	petit
strongest	!	!
strong	conducting	conducting
stronger	landfall	landfall
strongest	petit	petit
better	!	!
good	yellow	needed
best	!	!
good	awards	awards
better	awards	awards
best	more	more
slicker	!	!
slick	yellow	yellow
slickest	!	!
slick	yellow	yellow
slicker	!	!
slickest	!	!
friendlier	!	!
friendly	yellow	yellow
friendliest	!	!
friendly	yellow	yellow
friendlier	!	!
friendliest	!	!
bigger	!	!
big	yellow	purple
biggest	!	!
big	green	green
bigger	one	one
biggest	larger	larger
stronger	!	!
strong	colour	colour
strongest	!	!
strong	natalie	natalie
stronger	landfall	landfall
strongest	petit	petit
milder	!	!
mild	a.k.a.	a.k.a.
mildest	!	!
mild	a.k.a.	a.k.a.
milder	!	!
mildest	!	!
faster	!	!
fastest	slower	slower
fast	!	!
fastest	pace	blast
faster	bowler	bowler
fast	slower	slower
busier	!	!
busy	a.k.a.	a.k.a.
busiest	!	!
busy	a.k.a.	a.k.a.
busier	!	!
busiest	!	!
luckier	!	!
lucky	a.k.a.	a.k.a.
luckiest	!	!
lucky	a.k.a.	a.k.a.
luckier	!	!
luckiest	!	!
wiser	!	!
wise	a.k.a.	a.k.a.
wisest	!	!
wise	a.k.a.	a.k.a.
wiser	!	!
wisest	!	!
lighter	dark	dark
light	heavier	heavier
lightest	dark	dark
light	!	!
lighter	!	!
lightest	heavier	heavier
healthier	meals	meals
healthy	!	!
healthiest	meals	meals
healthy	!	!
healthier	!	!
healthiest	!	!
costlier	expensive	expensive
costly	!	!
costliest	expensive	expensive
costly	!	!
costlier	!	!
costliest	!	!
meaner	maximum	maximum
mean	!	!
meanest	maximum	maximum
mean	!	!
meaner	!	!
meanest	!	!
older	norse	norse
old	65	65
oldest	norse	norse
old	earliest	earliest
older	earliest	earliest
oldest	65	65
louder	!	!
loud	yellow	yellow
loudest	!	!
loud	yellow	yellow
louder	!	!
loudest	!	!
tougher	!	!
tough	yellow	yellow
toughest	!	!
tough	yellow	yellow
tougher	!	!
toughest	!	!
darker	!	!
dark	colour	colour
darkest	!	!
dark	yellow	yellow
darker	!	!
darkest	forewings	forewings
easier	!	!
easy	colour	colour
easiest	!	!
easy	yellow	yellow
easier	!	!
easiest	difficult	difficult
trickier	!	!
tricky	yellow	yellow
trickiest	!	!
tricky	yellow	yellow
trickier	!	!
trickiest	!	!
larger	!	!
large	smaller	smaller
largest	!	!
large	interesting	dramatic
larger	one	one
largest	smaller	smaller
tastier	!	!
tasty	surprising	satire
tastiest	!	!
tasty	surprising	satire
tastier	!	!
tastiest	!	!
healthier	!	!
healthy	surprising	satire
healthiest	!	!
healthy	surprising	satire
healthier	!	!
healthiest	!	!
faster	!	!
fastest	somewhat	somewhat
fast	!	!
fastest	interesting	interesting
faster	bowler	bowler
fast	slower	slower
noisier	!	!
noisy	surprising	satire
noisiest	!	!
noisy	surprising	satire
noisier	!	!
noisiest	!	!
smaller	!	!
small	meals	meals
smallest	!	!
small	babies	caring
smaller	vertices	vertices
smallest	larger	larger
fuller	!	!
full	meals	meals
fullest	!	!
full	meals	meals
fuller	!	!
fullest	seminary	seminary
younger	!	!
young	brother	brother
youngest	!	!
young	meals	meals
younger	eldest	eldest
youngest	brother	brother
smarter	!	!
smart	meals	meals
smartest	!	!
smart	meals	meals
smarter	!	!
smartest	!	!
deeper	!	!
deep	nutrition	caring
deepest	!	!
deep	meals	meals
deeper	!	!
deepest	depths	depths
classier	!	!
classy	maximum	maximum
classiest	!	!
classy	maximum	maximum
classier	!	!
classiest	!	!
stickier	!	!
sticky	maximum	maximum
stickiest	!	!
sticky	maximum	maximum
stickier	!	!
stickiest	!	!
happier	!	!
happy	maximum	maximum
happiest	!	!
happy	maximum	maximum
happier	!	!
happiest	!	!
poorer	!	!
poor	maximum	maximum
poorest	!	!
poor	maximum	maximum
poorer	!	!
poorest	!	!
softer	!	!
soft	maximum	maximum
softest	!	!
soft	maximum	maximum
softer	!	!
softest	!	!
higher	!	!
high	rates	rates
highest	!	!
high	lowest	lowest
higher	lowest	lowest
highest	education	education
thinner	!	!
thin	your	your
thinnest	!	!
thin	your	your
thinner	!	!
thinnest	!	!
fairer	!	!
fair	your	your
fairest	!	!
fair	your	your
fairer	!	!
fairest	!	!
mightier	!	!
mighty	your	your
mightiest	!	!
mighty	your	your
mightier	!	!
mightiest	!	!
noisier	!	!
noisy	your	your
noisiest	!	!
noisy	your	your
noisier	!	!
noisiest	!	!
kinder	!	!
kind	summers	summers
kindest	!	!
kind	summers	summers
kinder	!	!
kindest	!	!
easier	!	!
easy	winters	winters
easiest	!	!
easy	summers	summers
easier	!	!
easiest	difficult	difficult
busier	!	!
busy	summers	summers
busiest	!	!
busy	summers	summers
busier	!	!
busiest	!	!
trickier	!	!
tricky	summers	summers
trickiest	!	!
tricky	summers	summers
trickier	!	!
trickiest	!	!
riskier	!	!
risky	summers	summers
riskiest	!	!
risky	summers	summers
riskier	!	!
riskiest	!	!
rougher	!	!
rough	'm	'm
roughest	!	!
rough	'm	'm
rougher	!	!
roughest	!	!
friendlier	!	!
friendly	'm	'm
friendliest	!	!
friendly	'm	'm
friendlier	!	!
friendliest	!	!
shorter	!	!
short	lasts	lasts
shortest	!	!
short	'm	'm
shorter	!	!
shortest	slightly	slightly
faster	!	!
fastest	slow	slow
fast	!	!
fastest	tough	tough
faster	bowler	bowler
fast	slower	slower
fewer	!	!
few	more	more
fewest	!	!
few	'm	'm
fewer	!	!
fewest	than	than
stickier	!	!
sticky	humorous	humorous
stickiest	!	!
sticky	humorous	humorous
stickier	!	!
stickiest	!	!
messier	!	!
messy	humorous	humorous
messiest	!	!
messy	humorous	humorous
messier	!	!
messiest	!	!
leaner	!	!
lean	humorous	humorous
leanest	!	!
lean	humorous	humorous
leaner	!	!
leanest	!	!
closer	!	!
close	humorous	humorous
closest	!	!
close	satirical	satirical
closer	nearest	nearest
closest	grow	grow
trickier	!	!
tricky	humorous	humorous
trickiest	!	!
tricky	humorous	humorous
trickier	!	!
trickiest	!	!
thinner	!	!
thin	memories	memories
thinnest	!	!
thin	memories	memories
thinner	!	!
thinnest	!	!
nicer	!	!
nice	memories	memories
nicest	!	!
nice	memories	memories
nicer	!	!
nicest	!	!
savvier	!	!
savvy	memories	memories
savviest	!	!
savvy	memories	memories
savvier	!	!
savviest	!	!
smarter	!	!
smart	memories	memories
smartest	!	!
smart	memories	memories
smarter	!	!
smartest	!	!
fewer	!	!
few	than	more
fewest	!	!
few	memories	memories
fewer	!	!
fewest	than	than
simpler	very	very
simple	differed	differed
simplest	very	very
simple	!	!
simpler	!	!
simplest	differed	differed
fancier	!	!
fancy	!	!
fanciest	!	!
fancy	!	!
fancier	!	!
fanciest	!	!
greater	depression	depression
great	voivodeship	voivodeship
greatest	depression	depression
great	achievements	achievements
greater	achievements	achievements
greatest	voivodeship	voivodeship
luckier	luke	luke
lucky	!	!
luckiest	luke	luke
lucky	!	!
luckier	!	!
luckiest	!	!
deeper	shallow	shallow
deep	depths	depths
deepest	shallow	shallow
deep	!	!
deeper	!	!
deepest	depths	depths
richer	fauna	fauna
rich	!	!
richest	fauna	fauna
rich	racecourse	racecourse
richer	racecourse	racecourse
richest	!	!
louder	sounds	sounds
loud	!	!
loudest	sounds	sounds
loud	!	!
louder	!	!
loudest	!	!
rougher	seas	seas
rough	!	!
roughest	seas	seas
rough	!	!
rougher	!	!
roughest	!	!
slower	pace	pace
slow	faster	faster
slowest	pace	pace
slow	!	!
slower	!	!
slowest	faster	faster
nastier	!	!
nasty	!	!
nastiest	!	!
nasty	!	!
nastier	!	!
nastiest	!	!
slimmer	a.k.a.	a.k.a.
slim	!	!
slimmest	a.k.a.	a.k.a.
slim	!	!
slimmer	!	!
slimmest	!	!
smoother	convex	convex
smooth	!	!
smoothest	convex	convex
smooth	!	!
smoother	!	!
smoothest	!	!
meaner	maximum	maximum
mean	!	!
meanest	maximum	maximum
mean	!	!
meaner	!	!
meanest	!	!
longer	centimeters	centimeters
long	shorter	shorter
longest	centimeters	centimeters
long	span	bridge
longer	span	bridge
longest	shorter	shorter
shorter	novel	novel
short	slightly	slightly
shortest	novel	novel
short	!	!
shorter	!	!
shortest	slightly	slightly
wider	!	!
wide	rhythmic	monopoly
widest	!	!
wide	slow	slow
wider	!	!
widest	than	than
fairer	!	!
fair	slow	slow
fairest	!	!
fair	slow	slow
fairer	!	!
fairest	!	!
smarter	!	!
smart	slow	slow
smartest	!	!
smart	slow	slow
smarter	!	!
smartest	!	!
deeper	!	!
deep	slowly	slowly
deepest	!	!
deep	slow	slow
deeper	!	!
deepest	depths	depths
luckier	!	!
lucky	slow	slow
luckiest	!	!
lucky	slow	slow
luckier	!	!
luckiest	!	!
earlier	!	!
early	sarah	sarah
earliest	!	!
early	dating	attested
earlier	dating	dating
earliest	19th	19th
pricier	!	!
pricey	luke	luke
priciest	!	!
pricey	luke	luke
pricier	!	!
priciest	!	!
wider	!	!
wide	luke	luke
widest	!	!
wide	luke	luke
wider	!	!
widest	than	than
lower	!	!
low	upper	luke
lowest	!	!
low	highest	highest
lower	highest	highest
lowest	upper	upper
steeper	!	!
steep	luke	luke
steepest	!	!
steep	luke	luke
steeper	!	!
steepest	!	!
wealthier	!	!
wealthy	expensive	expensive
wealthiest	!	!
wealthy	expensive	expensive
wealthier	!	!
wealthiest	!	!
richer	!	!
rich	expensive	expensive
richest	!	!
rich	expensive	expensive
richer	racecourse	racecourse
richest	!	!
faster	!	!
fastest	expensive	expensive
fast	!	!
fastest	expensive	expensive
faster	bowler	bowler
fast	slower	slower
taller	!	!
tall	expensive	expensive
tallest	!	!
tall	expensive	expensive
taller	height	height
tallest	!	!
luckier	!	!
lucky	expensive	expensive
luckiest	!	!
lucky	expensive	expensive
luckier	!	!
luckiest	!	!
wider	!	!
wide	brake	brake
widest	!	!
wide	sounds	sounds
wider	!	!
widest	than	than
slower	!	!
slow	faster	faster
slowest	!	!
slow	sounds	sounds
slower	!	!
slowest	faster	faster
friendlier	!	!
friendly	sounds	sounds
friendliest	!	!
friendly	sounds	sounds
friendlier	!	!
friendliest	!	!
easier	!	!
easy	harder	harder
easiest	!	!
easy	sounds	sounds
easier	!	!
easiest	difficult	difficult
colder	!	!
cold	sounds	sounds
coldest	!	!
cold	sounds	sounds
colder	!	!
coldest	!	!
lower	!	!
low	upper	higher
lowest	!	!
low	highest	highest
lower	highest	highest
lowest	upper	upper
darker	!	!
dark	pale	pale
darkest	!	!
dark	muscle	muscle
darker	!	!
darkest	forewings	forewings
safer	!	!
safe	muscle	muscle
safest	!	!
safe	muscle	muscle
safer	!	!
safest	!	!
faster	!	!
fastest	than	than
fast	!	!
fastest	hip	hip
faster	bowler	bowler
fast	slower	slower
fresher	!	!
fresh	muscle	muscle
freshest	!	!
fresh	muscle	muscle
fresher	!	!
freshest	!	!
thinner	!	!
thin	vegetables	vegetables
thinnest	!	!
thin	vegetables	vegetables
thinner	!	!
thinnest	!	!
simpler	!	!
simple	processed	processed
simplest	!	!
simple	vegetables	vegetables
simpler	!	!
simplest	differed	differed
firmer	!	!
firm	vegetables	vegetables
firmest	!	!
firm	vegetables	vegetables
firmer	!	!
firmest	!	!
gentler	!	!
gentle	vegetables	vegetables
gentlest	!	!
gentle	vegetables	vegetables
gentler	!	!
gentlest	!	!
livelier	!	!
lively	vegetables	vegetables
liveliest	!	!
lively	vegetables	vegetables
livelier	!	!
liveliest	!	!
greener	yellow	yellow
green	!	!
greenest	yellow	yellow
green	!	!
greener	!	!
greenest	!	!
cheaper	trick	trick
cheap	alternatives	alternatives
cheapest	trick	trick
cheap	!	!
cheaper	!	!
cheapest	alternatives	alternatives
stickier	!	!
sticky	!	!
stickiest	!	!
sticky	!	!
stickier	!	!
stickiest	!	!
fatter	muscle	muscle
fat	!	!
fattest	muscle	muscle
fat	!	!
fatter	!	!
fattest	!	!
harder	psychedelic	psychedelic
hard	hard	hard
hardest	psychedelic	psychedelic
hard	!	!
harder	!	!
hardest	hard	hard
milder	summers	summers
mild	!	!
mildest	summers	summers
mild	!	!
milder	!	!
mildest	!	!
thinner	thick	thick
thin	!	!
thinnest	thick	thick
thin	!	!
thinner	!	!
thinnest	!	!
poorer	due	due
poor	!	!
poorest	due	due
poor	!	!
poorer	!	!
poorest	!	!
lower	high	high
low	upper	upper
lowest	high	high
low	highest	highest
lower	highest	highest
lowest	upper	upper
quicker	easy	easy
quick	!	!
quickest	easy	easy
quick	!	!
quicker	!	!
quickest	!	!
newer	!	!
new	hungary	hungary
newest	!	!
new	alpha	alpha
newer	alpha	alpha
newest	versions	versions
tougher	!	!
tough	substitute	substitute
toughest	!	!
tough	substitute	substitute
tougher	!	!
toughest	!	!
quicker	!	!
quick	substitute	substitute
quickest	!	!
quick	substitute	substitute
quicker	!	!
quickest	!	!
costlier	!	!
costly	substitute	substitute
costliest	!	!
costly	substitute	substitute
costlier	!	!
costliest	!	!
shorter	!	!
short	hungary	hungary
shortest	!	!
short	substitute	substitute
shorter	!	!
shortest	slightly	slightly
louder	!	!
loud	kick	kick
loudest	!	!
loud	kick	kick
louder	!	!
loudest	!	!
nastier	!	!
nasty	kick	kick
nastiest	!	!
nasty	kick	kick
nastier	!	!
nastiest	!	!
greater	!	!
great	achieve	achieve
greatest	!	!
great	success	success
greater	achievements	achievements
greatest	voivodeship	voivodeship
wiser	!	!
wise	kick	kick
wisest	!	!
wise	kick	kick
wiser	!	!
wisest	!	!
closer	!	!
close	ties	ties
closest	!	!
close	emmanuel	emmanuel
closer	nearest	nearest
closest	grow	grow
thicker	thin	thin
thick	!	!
thickest	thin	thin
thick	!	!
thicker	!	!
thickest	!	!
classier	!	!
classy	!	!
classiest	!	!
classy	!	!
classier	!	!
classiest	!	!
simpler	very	very
simple	differed	differed
simplest	very	very
simple	!	!
simpler	!	!
simplest	differed	differed
busier	streets	streets
busy	!	!
busiest	streets	streets
busy	!	!
busier	!	!
busiest	!	!
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	!	!
trickier	!	!
trickiest	!	!
worse	good	good
bad	bad	bad
worst	good	good
bad	floods	floods
worse	floods	floods
worst	bad	bad
fatter	muscle	muscle
fat	!	!
fattest	muscle	muscle
fat	!	!
fatter	!	!
fattest	!	!
lower	high	high
low	upper	upper
lowest	high	high
low	highest	highest
lower	highest	highest
lowest	upper	upper
steeper	mountain	mountain
steep	!	!
steepest	mountain	mountain
steep	!	!
steeper	!	!
steepest	!	!
friendlier	substitute	substitute
friendly	!	!
friendliest	substitute	substitute
friendly	!	!
friendlier	!	!
friendliest	!	!
smaller	!	!
small	larger	larger
smallest	!	!
small	deer	deer
smaller	vertices	vertices
smallest	larger	larger
cheaper	!	!
cheap	exotic	exotic
cheapest	!	!
cheap	deer	deer
cheaper	!	!
cheapest	alternatives	alternatives
tighter	!	!
tight	deer	deer
tightest	!	!
tight	deer	deer
tighter	!	!
tightest	!	!
happier	!	!
happy	deer	deer
happiest	!	!
happy	deer	deer
happier	!	!
happiest	!	!
harsher	!	!
harsh	deer	deer
harshest	!	!
harsh	deer	deer
harsher	!	!
harshest	!	!
higher	school	school
high	education	education
highest	school	school
high	lowest	lowest
higher	lowest	lowest
highest	education	education
prettier	'm	'm
pretty	!	!
prettiest	'm	'm
pretty	!	!
prettier	!	!
prettiest	!	!
smoother	convex	convex
smooth	!	!
smoothest	convex	convex
smooth	!	!
smoother	!	!
smoothest	!	!
fresher	vegetables	vegetables
fresh	!	!
freshest	vegetables	vegetables
fresh	!	!
fresher	!	!
freshest	!	!
faster	lap	lap
fastest	slower	slower
fast	lap	lap
fastest	bowler	bowler
faster	bowler	bowler
fast	slower	slower
worse	good	good
bad	bad	bad
worst	good	good
bad	floods	floods
worse	floods	floods
worst	bad	bad
higher	school	school
high	education	education
highest	school	school
high	lowest	lowest
higher	lowest	lowest
highest	education	education
costlier	expensive	expensive
costly	!	!
costliest	expensive	expensive
costly	!	!
costlier	!	!
costliest	!	!
firmer	consulting	consulting
firm	!	!
firmest	consulting	consulting
firm	!	!
firmer	!	!
firmest	!	!
steeper	mountain	mountain
steep	!	!
steepest	mountain	mountain
steep	!	!
steeper	!	!
steepest	!	!
greener	!	!
green	funny	funny
greenest	!	!
green	funny	funny
greener	!	!
greenest	!	!
smaller	!	!
small	larger	larger
smallest	!	!
small	cubic	cubic
smaller	vertices	vertices
smallest	larger	larger
narrower	!	!
narrow	funny	funny
narrowest	!	!
narrow	funny	funny
narrower	!	!
narrowest	!	!
cleaner	!	!
clean	funny	funny
cleanest	!	!
clean	funny	funny
cleaner	!	!
cleanest	!	!
riskier	!	!
risky	funny	funny
riskiest	!	!
risky	funny	funny
riskier	!	!
riskiest	!	!
newer	!	!
new	flyers	flyers
newest	!	!
new	flyers	flyers
newer	alpha	alpha
newest	versions	versions
wilder	!	!
wild	islanders	islanders
wildest	!	!
wild	islanders	islanders
wilder	!	!
wildest	!	!
narrower	!	!
narrow	islanders	islanders
narrowest	!	!
narrow	islanders	islanders
narrower	!	!
narrowest	!	!
safer	!	!
safe	islanders	islanders
safest	!	!
safe	islanders	islanders
safer	!	!
safest	!	!
faster	!	!
fastest	slow	slow
fast	!	!
fastest	slow	slow
faster	bowler	bowler
fast	slower	slower
meaner	!	!
mean	violent	violent
meanest	!	!
mean	violent	violent
meaner	!	!
meanest	!	!
heavier	!	!
heavy	lighter	lighter
heaviest	!	!
heavy	violent	violent
heavier	!	!
heaviest	lighter	lighter
nicer	!	!
nice	violent	violent
nicest	!	!
nice	violent	violent
nicer	!	!
nicest	!	!
faster	!	!
fastest	than	than
fast	!	!
fastest	pace	pace
faster	bowler	bowler
fast	slower	slower
leaner	!	!
lean	violent	violent
leanest	!	!
lean	violent	violent
leaner	!	!
leanest	!	!
weaker	strong	strong
weak	!	!
weakest	strong	strong
weak	!	!
weaker	!	!
weakest	!	!
darker	forewings	forewings
dark	forewings	forewings
darkest	forewings	forewings
dark	!	!
darker	!	!
darkest	forewings	forewings
rougher	seas	seas
rough	!	!
roughest	seas	seas
rough	!	!
rougher	!	!
roughest	!	!
mightier	islanders	islanders
mighty	!	!
mightiest	islanders	islanders
mighty	!	!
mightier	!	!
mightiest	!	!
wiser	guy	guy
wise	!	!
wisest	guy	guy
wise	!	!
wiser	!	!
wisest	!	!
laws	age	age
law	law	law
products	age	age
product	market	market
changes	age	age
change	annual	annual
citizens	age	twenty
citizen	freshman	freshman
teachers	age	taught
teacher	students	students
things	you	you
thing	what	what
minutes	residing	residing
minute	seconds	seconds
dollars	estimated	estimated
dollar	billion	billion
areas	population	population
area	forest	forest
cities	residing	cdp
city	towns	towns
streets	avenue	avenue
street	avenue	avenue
months	calendar	mayor
month	after	after
conditions	syndrome	syndrome
condition	website	website
countries	albums	unrest
country	europe	europe
operations	operations	operations
operation	air	air
schools	schools	students
school	school	school
results	others	others
result	parliament	parliament
parents	subsidiary	subsidiary
parent	children	children
charges	authorities	authorities
charge	guilty	guilty
students	students	students
student	enrollment	enrollment
employees	householder	householder
employee	employers	employers
workers	householder	householder
worker	employees	employees
miles	households	households
mile	kilometres	lies
ways	householder	them
way	passages	passages
decisions	households	households
decision	matters	matters
rights	left	left
right	equality	equality
parents	educational	educational
parent	daughters	daughters
companies	corporation	corporation
company	company	company
jobs	full-time	full-time
job	employees	hiring
authorities	vocational	vocational
authority	officials	officials
rules	empire	financial
rule	strict	strict
reports	commission	commission
report	citation	citation
programs	programs	programs
program	postgraduate	postgraduate
buildings	buildings	buildings
building	building	building
officials	youtube	youtube
official	leaders	corrupt
dollars	coin	coin
dollar	million	billion
rules	monarchy	monarchy
rule	regulations	regulations
citizens	months	months
citizen	minorities	minorities
questions	questions	questions
question	question	question
officers	commanding	chief
officer	enlisted	enlisted
cities	makeup	makeup
city	towns	city
experts	probation	probation
expert	calendar	practitioners
teachers	taught	taught
teacher	students	students
benefits	imprisonment	backing
benefit	income	income
authorities	jurisdiction	jurisdiction
authority	calendar	ambrose
games	playstation	games
game	game	game
cities	men	athletics
city	towns	towns
benefits	volleyball	soccer
benefit	salary	salary
groups	men	men
group	her	her
authorities	volleyball	governing
authority	protectorate	protectorate
rates	population	population
rate	mortality	mortality
changes	population	population
change	alterations	alterations
citizens	citizens	citizens
citizen	nationals	bahrain
questions	questions	questions
question	answer	answer
artists	painter	landscape
artist	art	art
deaths	his	his
death	migration	migration
workers	workers	workers
worker	employees	employees
sports	sports	sports
sport	softball	softball
sources	lacks	lacks
source	mention	attribute
women	her	her
woman	men	men
voters	turnout	turnout
voter	ballots	ballots
sports	soccer	soccer
sport	softball	softball
officers	commanding	commanding
