rougher	color	color
rate	rate	rate
minutes	minutes	kilometers
minute	seconds	points
games	games	games
game	games.	game
points	points	points
point	points,	point
workers	workers	workers
worker	workers.	householder
reasons	they	you
reason	reasons.	examples
groups	and	band
group	group	these
students	students	students
student	school	postgraduate
families	and	then
family	households,	number
times	years	years
time	it	often
hours	minutes	kilometers
hour	hour	hour
standards	households,	percent
standard	standards.	environmental
teams	teams	championships
team	team	team
officers	officers	officers
officer	officer	officer
cases	cases	cases
case	case	case
relations	factors	interactions
relation	affairs	equality
cities	town	town
city	towns	across
teachers	teacher.	and
teacher	students	students
owners	john	john
owner	to	convince
parties	party.	votes
party	parties.	leader
analysts	students	votes
analyst	!	|
schools	college	students
school	school	education
products	more	tonnes
product	products.	products.
rules	people	votes
rule	requirements	requirements
deaths	until	until
death	kilometres	destruction
months	week	week
month	years	weeks
drugs	global	global
drug	drug	drug
men	woman	man,
man	people	people
officials	their	billboard
official	government	officials.
employees	casualties	do.
employee	people	people
drugs	drugs	drugs
drug	drug	drug
friends	(born	children:
friend	her	her
laws	law.	laws
law	law	law
decisions	decided	decisions
decision	decision	decision
plans	plans	to
plan	plan	would
rates	rates	rates
rate	rate	rate
analysts	commentator	executives
analyst	!	!
relations	allegations	fraud
relation	and	development
benefits	benefits	relieve
benefit	increase	care
members	member.	members.
member	and	member
operations	operations	excavations
operation	and	air
cities	town	town
city	and	in
questions	questions	questions
question	and	her
women	woman,	people
woman	and	her
problems	points,	problems
problem	issues	problem
results	yards	tackles
result	that	that
citizens	families.	families.
citizen	government	footballer
questions	yards	questions
question	question	question
events	yards	games
event	event	event
rates	rates	rate.
rate	rate	rate
weeks	year	years
week	months	after
talks	radio	nationally
talk	acting	acting
terms	term.	term.
term	term	term
agencies	agency.	companies
agency	agency,	specialist
parties	party.	party.
party	town	council
streets	street.	households,
street	street	street
minutes	minutes	minutes
minute	years	after
products	products	product.
product	company	&
men	woman	people
man	town	then
lines	lines	route
line	line	line
services	services	services
service	service	service
investors	investors	investors
investor	partners	agreements
women	man	women
woman	people	people
groups	groups	groups
group	group	group
voters	turnout	registration
voter	legislature	jackson
employees	oil,	insufficient
employee	students	years
products	products	products
product	products,	technology
students	students	business
student	people	college
benefits	benefits	benefits
benefit	health	social
drugs	drugs	drugs
drug	drug	drug
workers	workers	workers
worker	workers.	industry
minutes	minutes	minutes
minute	seconds	seconds
years	years	he
year	years.	year
concerns	officials	rulers
concern	issues	issues.
rights	rights	to
right	rights.	human
dollars	$1	euro
dollar	million	million
miles	kilometers	kilometers
mile	kilometers	yards
changes	changes	changes
change	change	change
benefits	benefits	organizations,
benefit	them	burden
services	services	services
service	service	and
investors	investors	investments
investor	(born	sculptor
miles	kilometers	kilometers
mile	kilometers	(born
charges	them	charged
charge	by	by
authorities	authority.	authority.
authority	by	by
services	services	services
service	service	service
workers	workers,	workers,
worker	workers.	people
residents	and	director
resident	people	people
artists	artist,	artist,
artist	artist	singer
owners	and	director
owner	owner	owner
projects	projects	projects
project	project	and
investors	investors	firms
investor	john	ceo
sales	purchase	purchase
sale	and	and
jobs	students	people
job	and	ceo
concerns	concerns	opinion
concern	issues.	and
streets	street,	households,
street	r&b	street
rights	to	points
right	rights.	canadian
results	countries.	than
result	r&b	single
cities	city.	cities
city	r&b	city
sources	countries.	sources
source	r&b	pop
buildings	households,	households,
building	building	building
sources	households,	sources
source	source	it
issues	households,	households,
issue	and	social
authorities	households,	agencies
authority	government	government
prices	households,	percent
price	price	price
minutes	minutes	hours
minute	seconds	minutes.
laws	law,	any
law	law	and
states	federal	government
state	united	united
artists	artist,	artists
artist	artist	artist
officers	officers	officers
officer	officer	officer
rights	could	their
right	rights.	title
streets	street,	streets
street	street	river
cases	cases	cases
case	case	case
efforts	attempt	attempt
effort	effort	work
men	woman	man,
man	people	he
streets	avenue	avenue
street	street	street,
hours	hours	weekday
hour	years	years
products	information	information
product	products,	products,
citizens	environmental	environmental
citizen	people	troops
officers	officers	officers
officer	officer	wounded.
lines	lines	lines
line	line	line
services	services	services
service	service	service
ways	to	not
way	way	way
cities	town	town
city	city	city
kids	old,	albums.
kid	team,	her
results	cause	or
result	this	this
events	events	events
event	event	event
teachers	teacher.	taught
teacher	students	students
artists	singer	artists
artist	artist	band
cars	cars	cars
car	car	car
drugs	drugs	drugs
drug	drug	drug
days	year	day.
day	years	minutes
citizens	citizenship	citizenship
citizen	people	people
companies	company,	firm
company	company	company
cars	cars	cars
car	car	car
projects	united	us
project	public	projects,
months	united	months
month	years	years
analysts	united	officer,
analyst	!	!
leaders	united	commander
leader	university	government
benefits	united	have
benefit	university	health
plans	plans	plans
plan	plan	managed
weeks	year	weeks
week	years	hours
miles	kilometers	kilometres
mile	kilometers	and
students	students	students
student	school	and
families	they	they
family	households,	family
deaths	may	may
death	years	meters
miles	kilometers	approximately
mile	kilometers	meters
cities	town	city,
city	towns	cities.
points	and	and
point	points,	scoring
students	and	and
student	people	students.
parties	party.	party,
party	party	party
weapons	weapons	weapons
weapon	training	training
artists	artist,	artists
artist	artist	art
jobs	conditions	money,
job	students	students
benefits	benefits	benefits
benefit	public	health
investors	investors	investors
investor	equity	wife.
games	games	radio
game	games.	saves
cities	town	downtown
city	towns	villages
buildings	buildings	buildings
building	building	building
concerns	concerns	awareness
concern	issues	concern
years	years	years
year	years.	year
reasons	reasons	not
reason	reasons.	reasons.
sports	sports	sports
sport	football	football
leaders	leaders	leaders
leader	leader	leader
concerns	concerns	fears
concern	economic	economic
deaths	died	died
death	people	more
men	who	who
man	people	people
kids	resides	suicide.
kid	life,	sing
decisions	decided	decided
decision	decision	decision
families	born	born
family	people	people
rights	would	not
right	rights.	women's
patients	patients	symptoms
patient	people	people
operations	operations	operations
operation	operation	operation
products	such	such
product	products,	company
students	students	academic
student	people	school
lines	lines	yards
line	line	line
schools	schools	schools
school	school	school
losses	families.	minutes.
loss	economic	economic
days	years	minutes.
day	years	during
cars	cars	cars
car	car	car
children	meters	about
child	them	who
drugs	meters	about
drug	drug	disease
patients	meters	individuals
patient	disease	disease
men	meters	men
man	they	who
teachers	meters	full-time
teacher	school	medical
problems	problems	problems
problem	issues	issues
countries	r&b	countries
country	countries.	ukraine,
women	man	man
woman	and	and
artists	singer	artists
artist	artist	artist
benefits	have	purchase
benefit	social	housing,
streets	street,	street,
street	street	street
systems	systems	systems
system	system	system
sales	purchase	purchase
sale	revenue	revenue
cases	cases	cases
case	case	criminal
charges	and	them
charge	allegations	criminal
people	people	people
person	men	him
friends	(born	guitarist
friend	him	him
weapons	weapons	vehicles
weapon	weapons,	nuclear
citizens	citizens,	citizens,
citizen	people	government
teachers	teacher.	teachers
teacher	students	school
rates	rates	percent
rate	rate	act
days	hours	runs,
day	after	until
kids	kilometres	albums.
kid	until	called
cars	cars	cars
car	car	car
owners	kilometres	residents,
owner	until	company
laws	and	and
law	rules	rules
sports	yards	and
sport	football	recreation
parents	years	david
parent	they	this
men	men	who
man	people	people
companies	company,	and
company	company	company
systems	system,	system,
system	system	system
relations	reports	practice.
relation	development	development
questions	questions	questions
question	question	question
groups	groups	groups
group	group	group
cars	cars	cars
car	car	car
friends	(born	(born
friend	friends,	how
reports	years	article
report	report	report
buildings	buildings	houses
building	building	building
artists	singer	author
artist	artist	music
companies	company,	companies
company	company	battalion,
hours	hours	kilometers
hour	years	after
events	events	events
event	event	and
officials	the	their
official	government	minister
decisions	to	able
decision	decision	decision
benefits	have	have
benefit	and	influence
employees	cars,	structures,
employee	over	over
lines	lines	lines
line	line	line
laws	law.	law.
law	law	law
efforts	attempt	efforts
effort	effort	effort
numbers	many	families.
number	number	number
lives	life,	life,
life	many	and
rules	rule,	rule,
rule	these	these
products	products	products
product	other	various
residents	director	hart
resident	many	people
parents	insurance	insurance
parent	many	she
weeks	month	a.m.
week	years	year
weapons	weapons	guns
weapon	and	and
artists	artist,	artists
artist	artist	artist
benefits	benefits	genes
benefit	party's	and
decisions	to	decisions
decision	party's	decision
months	week	months.
month	years	days
talks	syndicated	airs
talk	decided	decided
weeks	year	episodes.
week	years	days
members	member.	member.
member	decided	decided
states	university	state,
state	united	u.s.
candidates	republican	executive
candidate	candidate	vote
employees	training	management,
employee	people	150
men	woman	who
man	people	him
authorities	authority.	authority,
authority	government	government
decisions	decided	plans
decision	decision	decision
weeks	weeks	weeks
week	years	year
efforts	attempt	attempt
effort	effort	campaign
sports	sports	sports
sport	football	football
days	day,	day,
day	years	year
experts	systems	systems,
expert	and	it
members	members	members
member	member	member
losses	conditions,	losses
loss	casualties	minutes,
players	player.	team
player	player	player
men	men	men
man	people	minutes,
standards	system	system
standard	standards.	institutes
friends	(born	writer
friend	her	her
hours	hours	hours
hour	years	minutes
terms	education	terms
term	a	a
results	quality	disorders
result	a	this
sources	sources	sources
source	source	source
businesses	and	products
business	business	business
times	time,	we
time	times,	times,
systems	system,	system,
system	system	systems,
conditions	conditions	conditions
condition	conditions,	conditions,
issues	issues	referendum
issue	problems	economic
deaths	died	died
death	hours	hours
friends	(born	(born
friend	you	you
cases	cases	negotiations
case	case	case
members	members	secretary,
member	people	members.
games	game.	game.
game	games,	games,
services	services	services
service	services.	services,
schools	college	university
school	school	schools,
games	video	video
game	games.	games,
operations	operations	operations
operation	operations.	operations.
parents	news	cbs
parent	they	they
lines	!	!
line	line	services,
numbers	!	!
number	numbers.	problems
officials	!	!
official	government	executives
families	!	families.
family	people	family
groups	!	!
group	group	activities
projects	projects	projects
project	project	project
streets	street,	street,
street	street	street
hours	hours	hours,
hour	years	years
kids	villages	brother.
kid	construction	radio
cars	cars	cars
car	car	car
things	something	something
thing	i	i
conditions	conditions	condition.
condition	conditions.	or
members	member.	member.
member	and	households,
states	national	institutions
state	united	united
sports	sports	organizations
sport	and	former
problems	problems	more
problem	issues	overcome
times	years	more
time	times,	"the
plans	plans	efforts
plan	plan	did
sales	million	costs
sale	selling	electronics
allegations	!	!
allegation	accusations	liability
people	reasons.	women
person	men	they
miles	kilometers	inches
mile	kilometers	years
rules	reasons.	rules
rule	not	not
standards	using	programs
standard	standards.	law
men	woman	women
man	people	people
things	really	really
thing	you	know
people	they	he
person	men	about
operations	operations	operations
operation	operations.	test
terms	name	served
term	term	"p"
states	national	district
state	united	united
businesses	such	other
business	and	and
problems	problems	problems
problem	problem	and
cities	town	town
city	and	county.
officers	officers	officers
officer	officer	officer
owners	owners	owners
owner	owner	owner
services	services	services
service	service	services,
dollars	people	billion
dollar	million	(6
cities	town	city,
city	towns	south-western
players	players	players
player	player	player
men	people	him
man	soldiers	soldiers
products	products	products
product	products,	thermal
changes	changes	to
change	change	change
reports	reports	reports
report	report	correspondent
men	woman	people
man	people	metres
questions	questions	to
question	question	situation
workers	workers,	workers
worker	workers.	workers,
losses	loss.	losses
loss	casualties	loss
laws	law.	medical
law	law	legislation
citizens	citizenship	consulting
citizen	people	government
families	and	and
family	households,	years
bank's	bank.	bank.
bank	!	!
boy's	girl	girl
boy	!	!
film's	film,	film,
film	university	film
play's	playing	play,
play	!	!
game's	game.	game.
game	university	game
district's	district,	administrative
district	school's	school
park's	park,	park.
park	!	!
girl's	boy	employer
girl	!	!
firm's	firm,	firm,
firm	!	!
community's	and	international
community	!	!
author's	writer	author,
author	!	mm
today's	its	its
today	company,	near
summer's	winter	winter
summer	!	mm
day's	week	morning,
day	!	mm
station's	station,	its
station	company,	station
agency's	agency.	agency.
agency	!	!
judge's	b.	donald
judge	!	!
area's	areas	areas,
area	!	!
center's	center,	center,
center	!	!
county's	county.	county's
county	county,	county,
child's	sexual	technologies
child	!	!
region's	region,	regions.
region	!	!
couple's	couples	same-sex
couple	!	!
committee's	committee,	committee,
committee	!	!
book's	book,	book,
book	!	!
president's	president,	presidents
president	county,	privy
area's	areas	areas,
area	!	!
team's	team.	team.
team	league	football
university's	university,	school
university	university	university
band's	band,	band's
band	county,	released
project's	development	development
project	!	!
wife's	wife,	marriage,
wife	!	!
sheriff's	chairman	deputy
sheriff	!	!
network's	network,	state-owned
network	r&b	abc
company's	company,	state-owned
company	company	company
girl's	boy	man
girl	!	!
project's	projects	projects
project	!	!
play's	plays	utilize
play	!	!
program's	programs	programs
program	!	!
father's	son	wealthy
father	cup	his
community's	public	international
community	!	!
market's	market.	consumer
market	!	!
game's	game.	all-star
game	its	original
governor's	president	incumbent
governor	still	pirates
band's	band,	band.
band	album	album,
show's	series	"my
show	series'	concert
community's	cultural	educational
community	!	!
governor's	senator	senator
governor	state	university
school's	college	education.
school	school	school
band's	band,	band,
band	their	album
person's	!	!
person	governor	human
film's	!	!
film	director	director,
play's	!	!
play	governor	governor
program's	!	!
program	governor	governor
doctor's	!	!
doctor	governor	governor
hospital's	hospital.	hospitals
hospital	!	!
region's	region,	inland
region	!	!
everyone's	anyone	girls.
everyone	!	!
town's	village	school's
town	town	town
government's	government's	government's
government	government	military
court's	supreme	reversed
court	team,	court
everyone's	anyone	they're
everyone	!	!
father's	son	his
father	club	her
week's	month	october.
week	!	!
league's	league's	league's
league	league	league.
agency's	agency.	agency.
agency	!	!
panel's	band's	band's
panel	!	!
wife's	wife,	her
wife	!	!
company's	company,	company's
company	company	company
organization's	band's	band's
organization	and	security
woman's	!	!
woman	year	this
weekend's	!	!
weekend	year	year
attorney's	!	!
attorney	year	year
party's	!	!
party	party	the
union's	!	!
union	year	year
today's	today,	the
today	college	located
park's	park,	the
park	!	!
month's	week	show's
month	!	!
show's	series	show's
show	college	show
coroner's	!	rebounds
coroner	!	!
board's	!	per
board	county	county
nation's	!	!
nation	county	council.
artist's	!	singles
artist	county	county
union's	!	!
union	county	county
band's	!	!
band	group's	john
woman's	man	woman.
woman	party.	girl
weekend's	saturday	sunday
weekend	!	!
driver's	drivers	(footballer)
driver	!	!
band's	band,	band's
band	album	album
jury's	nobel	nobel
jury	!	!
nation's	!	!
nation	agency.	economic
man's	!	!
man	agency.	crime
doctor's	!	!
doctor	agency.	agency.
county's	!	!
county	agency,	public
week's	!	!
week	agency.	agency.
board's	!	!
board	department.	and
author's	!	!
author	department.	and
evening's	!	!
evening	department.	and
girl's	!	!
girl	department.	and
world's	!	!
world	and	natural
bank's	bank,	savings
bank	!	!
patient's	patients	rehabilitation
patient	!	!
commission's	committee	commission,
commission	!	!
book's	books	books,
book	!	!
band's	band,	ensemble
band	john	recorded
summer's	!	!
summer	council.	and
project's	!	!
project	council.	and
patient's	!	bits
patient	council.	and
area's	!	!
area	council.	and
father's	!	!
father	council.	family
day's	!	!
day	council	council
club's	!	!
club	the	club
city's	!	!
city	the	local
play's	!	!
play	council	council
attorney's	!	!
attorney	council	council
tonight's	!	km
tonight	!	families.
victim's	victims	relegation
victim	!	families.
wife's	wife,	emily
wife	!	families.
bill's	mike	contracts
bill	!	families.
game's	game,	relegation
game	and	original
park's	park,	watershed
park	!	!
daughter's	married	daughter,
daughter	!	!
wife's	wife,	daughter,
wife	!	!
center's	center,	center,
center	!	!
jury's	appeals	concludes
jury	!	!
tonight's	!	!
tonight	city	(born
court's	!	!
court	court	supreme
society's	!	families.
society	city	society
family's	!	families.
family	city	john
league's	!	!
league	league	coach
boy's	!	!
boy	areas	located
club's	!	fk
club	areas	club
group's	!	!
group	areas	its
jury's	!	wins,
jury	areas	located
governor's	!	!
governor	areas	area.
judge's	court	court's
judge	!	(born
station's	stations	stations,
station	and	february
state's	federal	governmental
state	and	and
baseball's	soccer	soccer
baseball	!	(born
father's	her	his
father	john	son,
association's	!	!
association	region,	area
woman's	!	!
woman	area	it
family's	!	families.
family	area	areas
father's	!	!
father	southern	southern
center's	!	!
center	region,	area
child's	mother's	exploitation
child	!	!
president's	president,	administration.
president	son	president
night's	friday	daytime
night	!	!
weekend's	saturday	daytime
weekend	!	!
everyone's	mother's	your
everyone	!	!
nation's	!	!
nation	company	private
dollar's	!	!
dollar	company	&
system's	!	!
system	company	&
company's	!	yards
company	company	company
driver's	!	!
driver	company	&
agency's	!	!
agency	committee	committee
firm's	!	!
firm	committee	committee
general's	!	!
general	committee	committee
administration's	!	!
administration	committee	committee
week's	!	!
week	committee	committee
author's	!	(born
author	industry.	and
judge's	!	!
judge	industry.	and
program's	!	!
program	industry.	and
group's	!	!
group	industry.	industry.
book's	!	!
book	industry.	and
season's	!	!
season	"the	league,
master's	!	!
master	bachelor's	undergraduate
bank's	!	!
bank	morning	morning
party's	!	!
party	party	the
school's	!	!
school	school	special
tonight's	!	!
tonight	!	!
person's	person's	person's
person	man	it.
park's	park,	park,
park	!	!
show's	series	sitcom
show	series'	him.
general's	served	rev.
general	!	!
region's	region,	voivodeship,
region	!	!
bill's	michael	bill,
bill	!	!
school's	school,	elementary
school	school	college
county's	county.	township
county	county	county,
union's	union.	people's
union	!	!
board's	board.	board.
board	!	!
night's	series'	series'
night	!	!
patient's	series'	illness
patient	!	!
organization's	organisation	organizations.
organization	series	related
father's	son	admiral
father	his	his
woman's	man	her
woman	drama	people's
weekend's	saturday	season's
weekend	!	!
community's	health	its
community	!	!
game's	game.	game's
game	film,	novel
administration's	administration.	administration.
administration	!	!
association's	!	!
association	her	and
daughter's	!	!
daughter	her	and
agency's	!	!
agency	her	and
boy's	!	!
boy	her	and
project's	!	!
project	her	and
hospital's	hospital,	hospitals
hospital	!	(born
today's	today.	today.
today	wife	actress
victim's	father's	drinking
victim	!	(born
family's	their	father's
family	wife	had
company's	company,	companies
company	wife	and
child's	!	!
child	week	week
victim's	!	!
victim	week	week
husband's	!	!
husband	his	her
bank's	!	!
bank	week	week
book's	!	!
book	week	week
industry's	!	!
industry	centre	and
person's	!	!
person	centre	cultural
daughter's	!	1987)
daughter	centre	and
weekend's	!	1990)
weekend	centre	and
governor's	!	!
governor	centre	public
state's	national	national
state	season,	district
station's	station,	station.
station	season.	station
community's	cultural	cultural
community	!	!
program's	programs	programmes
program	!	!
government's	government,	government,
government	season,	government
country's	!	!
country	and	local
judge's	!	!
judge	and	and
play's	!	!
play	and	and
program's	!	!
program	and	and
baseball's	!	!
baseball	and	and
person's	not	mode
person	in	zoo
council's	council,	committee
council	!	!
system's	system.	systems.
system	!	!
club's	team	club's
club	in	against
coroner's	!	subdivided
coroner	!	!
association's	!	!
association	and	and
author's	!	!
author	and	and
park's	!	!
park	and	and
boy's	!	!
boy	and	and
family's	!	families.
family	public	public
building's	!	!
building	john	(born
mayor's	!	!
mayor	john	(born
evening's	!	!
evening	john	(born
government's	!	!
government	government	government
school's	!	!
school	school	justice
court's	supreme	supreme
court	cup	court
child's	children	sexual
child	!	!
boy's	girl	girl
boy	!	!
county's	county,	county,
county	cup	county
governor's	president	carolina,
governor	cup	presidential
victim's	group's	installment
victim	!	!
region's	region,	its
region	!	!
park's	park,	its
park	!	!
city's	city.	city's
city	city	city
week's	group's	installment
week	!	!
president's	!	(born
president	committee,	advisory
girl's	!	!
girl	committee,	committee.
couple's	!	kilometres
couple	committee,	committee.
film's	!	!
film	commission	its
governor's	!	!
governor	committee,	supreme
mayor's	city	clinton
mayor	!	!
evening's	morning	afternoon
evening	!	!
couple's	mother's	mother's
couple	!	!
center's	center,	services
center	!	!
band's	band,	orchestral
band	album	actor
mayor's	!	!
mayor	programs	for
region's	!	!
region	programs	for
attorney's	!	!
attorney	programs	for
doctor's	!	!
doctor	programs	for
administration's	!	!
administration	programs	for
church's	!	!
church	museum,	cultural
evening's	!	1991)
evening	museum,	museum,
mother's	!	catches
mother	museum,	family
university's	!	!
university	university	university
week's	!	!
week	museum,	museum,
author's	!	!
author	year	year
president's	!	(died
president	after	king's
judge's	!	!
judge	year	year
community's	!	!
community	year	year
town's	!	!
town	the	city's
network's	!	!
network	association	company
town's	!	!
town	city's	city's
party's	!	!
party	party	party
band's	!	!
band	their	their
league's	!	!
league	league	league,
park's	!	!
park	administration.	administration.
bank's	!	!
bank	administration.	administration.
son's	!	!
son	administration.	administration.
doctor's	!	!
doctor	administration.	administration.
father's	!	!
father	his	administration,
president's	president,	secretary
president	team	footballer.
author's	writer	editor,
author	!	!
woman's	woman,	woman,
woman	team	gallery,
man's	woman	man's
man	team	man
family's	his	his
family	club,	park
author's	!	!
author	projects	and
night's	!	!
night	projects	and
boy's	!	!
boy	projects	and
play's	!	!
play	projects	and
father's	!	!
father	his	own
building's	built	its
building	!	!
mayor's	(born	co-founder
mayor	!	!
committee's	committee.	committee.
committee	!	!
community's	county	its
community	!	!
driver's	drivers	drivers
driver	!	!
judge's	jr.,	note:
judge	!	!
baseball's	soccer	all-star
baseball	!	!
game's	game.	game.
game	church,	it
doctor's	her	veterinary
doctor	!	!
jury's	nobel	emmy
jury	!	!
victim's	victims	victims
victim	!	!
world's	cup	tennis
world	most	most
play's	played	production.
play	!	!
team's	football	clubs.
team	team	team
jury's	nobel	security.
jury	!	!
church's	!	!
church	daughter	st.
today's	!	!
today	daughter	st.
daughter's	!	!
daughter	daughter	(born
group's	!	!
group	daughter	john
governor's	!	!
governor	daughter	general
industry's	!	!
industry	market.	and
council's	!	!
council	market.	and
couple's	!	old.
couple	market.	and
county's	!	!
county	public	public
union's	!	!
union	market.	and
hospital's	!	!
hospital	singer	(born
couple's	!	kilometres
couple	singer	(born
community's	!	!
community	singer	(born
general's	!	!
general	singer	(born
county's	!	!
county	singer	director,
association's	!	!
association	bank,	in
artist's	!	reviews.
artist	bank,	in
doctor's	!	!
doctor	bank,	in
university's	!	!
university	university	university
governor's	!	!
governor	bank,	supreme
evening's	!	!
evening	drivers	drivers
show's	!	!
show	series'	director,
community's	!	!
community	drivers	drivers
network's	!	!
network	tv	television
week's	!	!
week	drivers	drivers
city's	town	town
city	city	city
bill's	john	william
bill	!	!
everyone's	him	you
everyone	!	!
group's	and	and
group	band's	band's
week's	year	year
week	!	!
hospital's	bachelor's	medical
hospital	!	!
family's	bachelor's	his
family	and	however,
driver's	bachelor's	drivers
driver	!	!
book's	bachelor's	thesis
book	!	!
union's	bachelor's	law
union	!	!
president's	!	(died
president	football	lacrosse
society's	!	families.
society	basketball	chess
station's	!	!
station	basketball	television
boy's	!	!
boy	football	football
county's	!	!
county	football	lacrosse
building's	buildings	buildings
building	!	!
agency's	agency.	agency.
agency	!	!
month's	week	week
month	!	!
world's	cup	championship
world	largest	and
jury's	nobel	nobel
jury	!	!
year's	!	!
year	the	the
victim's	!	!
victim	panels	group
society's	!	!
society	panels	historical
family's	!	born
family	their	public
game's	!	!
game	its	interactive
country's	r&b	r&b
country	and	and
day's	day.	day.
day	!	april
government's	federal	government's
government	government	government
doctor's	her	"doctor
doctor	!	april
governor's	president	democrat
governor	institute	governor
author's	!	!
author	girl	and
dollar's	!	!
dollar	girl	and
mother's	!	families.
mother	her	her
woman's	!	!
woman	girl	girl
center's	!	!
center	girl	and
nation's	!	!
nation	wife,	mother
husband's	!	!
husband	wife,	mother
artist's	!	reviews.
artist	wife,	(née
play's	!	!
play	wife,	(née
game's	!	!
game	wife,	her
person's	!	!
person	medical	medical
world's	!	!
world	medical	medical
driver's	!	reviews.
driver	hospital,	at
jury's	!	inches
jury	hospital,	at
administration's	!	!
administration	hospital,	at
bank's	!	!
bank	she	after
everyone's	!	!
everyone	she	after
area's	!	!
area	she	after
family's	!	families.
family	she	family
team's	!	!
team	he	he
dollar's	$1	contract.
dollar	!	!
weekend's	sunday	station's
weekend	!	!
program's	programs	program.
program	!	!
school's	college	schools,
school	city	school
jury's	nobel	results,
jury	!	!
husband's	!	!
husband	park,	family
wife's	!	!
wife	park,	located
network's	!	!
network	park,	company
doctor's	!	!
doctor	park,	located
team's	!	×
team	park,	club
night's	night.	night.
night	!	!
baseball's	hockey	hockey
baseball	!	!
company's	company,	its
company	games	station
book's	novel	poem
book	!	!
governor's	president	historian
governor	season	state
child's	!	!
child	nobel	nobel
building's	!	!
building	nobel	nobel
bank's	!	!
bank	nobel	nobel
man's	!	!
man	her	crime
life's	!	!
life	nobel	nobel
master's	!	!
master	bachelor's	degree
project's	!	!
project	life,	and
boy's	!	!
boy	life,	and
attorney's	!	!
attorney	life,	and
area's	!	!
area	life,	and
council's	!	!
council	association.	national
artist's	!	(born
artist	association.	national
doctor's	!	!
doctor	association.	national
governor's	!	!
governor	association.	supreme
book's	!	!
book	association.	national
today's	!	!
today	film	contemporary
system's	!	!
system	film	books
council's	!	!
council	film	books
state's	!	!
state	film	historical
son's	!	!
son	film	books
museum's	museum,	appreciation
museum	!	!
child's	children	mortality
child	!	!
family's	their	their
family	railway	town
band's	band,	band.
band	album	released
book's	book,	dvd
book	!	!
council's	!	!
council	buildings	buildings
man's	!	!
man	buildings	small
everyone's	!	seconds
everyone	buildings	buildings
world's	!	!
world	buildings	company
market's	!	!
market	buildings	buildings
state's	!	!
state	in	federal
month's	!	!
month	january	january
department's	!	sector,
department	january	january
family's	!	families.
family	winter	company
patient's	!	bits
patient	january	january
husband's	!	!
husband	her	mental
night's	!	!
night	patients	individuals
club's	!	!
club	their	their
judge's	!	!
judge	patients	individuals
town's	!	!
town	city's	treatment
tonight's	!	!
tonight	victims	victims
board's	!	per
board	victims	victims
dollar's	!	!
dollar	victims	victims
summer's	!	|
summer	victims	victims
party's	!	!
party	party	strategy
hospital's	!	!
hospital	system.	system.
husband's	!	!
husband	system,	process
woman's	!	!
woman	system.	human
state's	!	!
state	system,	system,
show's	!	!
show	system,	its
mayor's	!	!
mayor	him	you
agency's	!	!
agency	him	you
show's	!	!
show	series'	him,
station's	!	!
station	she	this
area's	!	!
area	him	you
building's	!	!
building	son	wife
life's	!	!
life	son	wife
company's	!	sector,
company	son	company
union's	!	!
union	son	wife
school's	!	!
school	married	st.
church's	church,	lutheran
church	system	churches
author's	writer	writer,
author	!	!
night's	afternoon	afternoon
night	!	!
driver's	drivers	teammate
driver	!	!
jury's	nobel	grammy
jury	!	!
district's	!	!
district	writer	school's
summer's	!	!
summer	writer	(born
state's	!	!
state	writer	chief
son's	!	!
son	writer	(born
everyone's	!	!
everyone	writer	(born
country's	!	!
country	man	cultural
board's	!	!
board	boy	you
industry's	!	sector,
industry	boy	you
mother's	!	(born
mother	her	mother
commission's	!	!
commission	boy	you
nation's	!	!
nation	john	american
couple's	!	kilometres
couple	john	william
project's	!	!
project	john	william
patient's	!	losses,
patient	john	william
family's	!	families.
family	john	family
district's	!	!
district	sunday	school's
nation's	!	!
nation	sunday	programming
station's	!	!
station	weekday	weekday
club's	!	goals
club	team's	team's
son's	!	(born
son	saturday	saturday
tonight's	!	!
tonight	her	who
country's	!	!
country	her	natural
community's	!	!
community	her	who
father's	!	!
father	her	her
administration's	!	!
administration	her	who
mayor's	!	!
mayor	played	played
girl's	!	!
girl	played	played
community's	!	!
community	played	played
department's	!	sector,
department	played	played
family's	!	families.
family	their	family
boy's	!	pounds
boy	morning	morning
film's	!	!
film	morning	television
wife's	!	!
wife	morning	morning
family's	!	species
family	morning	daily
program's	!	!
program	morning	morning
region's	!	north-east
region	$1	million
month's	!	days
month	$1	million
bank's	!	north-east
bank	$1	million
play's	!	games
play	$1	million
union's	!	representing
union	$1	million
returned	he	returned
return	can	return
returns	a	born
return	have	him
returned	been	married
returns	and	where
determined	became	won
determine	can	can
determines	a	of
determine	!	!
determined	!	!
determines	are	can
ensured	became	began
ensure	can	enjoy
ensures	a	of
ensure	!	!
ensured	!	!
ensures	are	of
decided	john	(born
decide	can	able
decides	a	(born
decide	to	to
decided	he	decided
decides	can	can
ended	january	november
end	can	can
ends	a	november
end	have	him
ended	been	after
ends	a	a
supported	and	and
support	support	support
supports	and	and
support	support	support
supported	and	for
supports	supports	supports
raised	raising	raised
raise	raise	raise
raises	raising	raising
raise	!	!
raised	!	!
raises	raising	raising
opened	and	won
open	in	act
opens	and	and
open	take	opening
opened	making	released
opens	in	in
continued	began	began
continue	to	continue
continues	continued	continues
continue	to	to
continued	continued	continued
continues	continues	continues
studied	studies	professor
study	studying	studying
studies	studies	professor
study	study	study
