rougher	easier	province,
bloodiest	!	!
happier	!	!
happy	noble	noble
happiest	!	!
happy	noble	noble
happier	!	!
happiest	!	!
sharper	!	!
sharp	noble	noble
sharpest	!	!
sharp	noble	noble
sharper	!	!
sharpest	!	!
stronger	!	!
strong	powerful	powerful
strongest	!	!
strong	noble	noble
stronger	biggest	biggest
strongest	economically	economically
classier	!	!
classy	partial	partial
classiest	!	!
classy	partial	partial
classier	!	!
classiest	!	!
lighter	!	!
light	heavier	heavier
lightest	!	!
light	partial	partial
lighter	!	!
lightest	darker	darker
gentler	!	!
gentle	partial	partial
gentlest	!	!
gentle	partial	partial
gentler	!	!
gentlest	!	!
narrower	!	!
narrow	partial	partial
narrowest	!	!
narrow	partial	partial
narrower	!	!
narrowest	!	!
livelier	!	!
lively	partial	partial
liveliest	!	!
lively	partial	partial
livelier	!	!
liveliest	!	!
savvier	!	!
savvy	winters	winters
savviest	!	!
savvy	winters	winters
savvier	!	!
savviest	!	!
livelier	!	!
lively	winters	winters
liveliest	!	!
lively	winters	winters
livelier	!	!
liveliest	!	!
harder	!	!
hard	difficult	difficult
hardest	!	!
hard	winters	winters
harder	!	!
hardest	difficult	difficult
taller	!	!
tall	winters	winters
tallest	!	!
tall	winters	winters
taller	oldest	oldest
tallest	!	!
freer	!	!
free	winters	winters
freest	!	!
free	winters	winters
freer	!	!
freest	!	!
sadder	!	!
sad	!	!
saddest	!	!
sad	!	!
sadder	!	!
saddest	!	!
rougher	vinyl	vinyl
rough	!	!
roughest	vinyl	vinyl
rough	!	!
rougher	!	!
roughest	!	!
steeper	sandstone	sandstone
steep	!	!
steepest	sandstone	sandstone
steep	!	!
steeper	!	!
steepest	!	!
smarter	imaging	imaging
smart	!	!
smartest	imaging	imaging
smart	!	!
smarter	!	!
smartest	!	!
cleaner	security.	security.
clean	!	!
cleanest	security.	security.
clean	!	!
cleaner	!	!
cleanest	!	!
lighter	!	!
light	company	lighting
lightest	!	!
light	company	firm.
lighter	!	!
lightest	darker	darker
classier	!	!
classy	company	firm.
classiest	!	!
classy	company	firm.
classier	!	!
classiest	!	!
poorer	!	!
poor	company	firm.
poorest	!	!
poor	company	firm.
poorer	!	!
poorest	!	!
slower	!	!
slow	company	company
slowest	!	!
slow	company	firm.
slower	!	!
slowest	faster	faster
faster	!	!
fastest	company	company
fast	!	!
fastest	company	company
faster	efficient	efficient
fast	slower	slower
classier	!	!
classy	thin	thin
classiest	!	!
classy	thin	thin
classier	!	!
classiest	!	!
simpler	!	!
simple	thin	thin
simplest	!	!
simple	thin	thin
simpler	!	!
simplest	!	!
meaner	!	!
mean	thin	thin
meanest	!	!
mean	thin	thin
meaner	!	!
meanest	!	!
mightier	!	!
mighty	thin	thin
mightiest	!	!
mighty	thin	thin
mightier	!	!
mightiest	!	!
cleaner	!	!
clean	thin	thin
cleanest	!	!
clean	thin	thin
cleaner	!	!
cleanest	!	!
louder	!	!
loud	technically	technically
loudest	!	!
loud	technically	technically
louder	!	!
loudest	!	!
newer	!	!
new	specific	specific
newest	!	!
new	technically	technically
newer	!	!
newest	os	os
cooler	!	!
cool	technically	technically
coolest	!	!
cool	technically	technically
cooler	!	!
coolest	!	!
narrower	!	!
narrow	technically	technically
narrowest	!	!
narrow	technically	technically
narrower	!	!
narrowest	!	!
busier	!	!
busy	technically	technically
busiest	!	!
busy	technically	technically
busier	!	!
busiest	!	!
gentler	!	!
gentle	pale	pale
gentlest	!	!
gentle	pale	pale
gentler	!	!
gentlest	!	!
fancier	!	!
fancy	pale	pale
fanciest	!	!
fancy	pale	pale
fancier	!	!
fanciest	!	!
noisier	!	!
noisy	pale	pale
noisiest	!	!
noisy	pale	pale
noisier	!	!
noisiest	!	!
smarter	!	!
smart	pale	pale
smartest	!	!
smart	pale	pale
smarter	!	!
smartest	!	!
trickier	!	!
tricky	pale	pale
trickiest	!	!
tricky	pale	pale
trickier	!	!
trickiest	!	!
tastier	!	!
tasty	sort	sort
tastiest	!	!
tasty	sort	sort
tastier	!	!
tastiest	!	!
easier	!	!
easy	sort	sort
easiest	!	!
easy	sort	sort
easier	!	!
easiest	harder	harder
mightier	!	!
mighty	sort	sort
mightiest	!	!
mighty	sort	sort
mightier	!	!
mightiest	!	!
fewer	!	!
few	serious	serious
fewest	!	!
few	sort	sort
fewer	!	!
fewest	more	more
trickier	!	!
tricky	sort	sort
trickiest	!	!
tricky	sort	sort
trickier	!	!
trickiest	!	!
thicker	!	!
thick	sandstone	sandstone
thickest	!	!
thick	sandstone	sandstone
thicker	!	!
thickest	!	!
earlier	!	!
early	infection	infection
earliest	!	!
early	marble	marble
earlier	oldest	oldest
earliest	previous	previous
swifter	!	!
swift	sandstone	sandstone
swiftest	!	!
swift	sandstone	sandstone
swifter	!	!
swiftest	!	!
bigger	!	!
big	small	small
biggest	!	!
big	small	small
bigger	largest	largest
biggest	larger	larger
deeper	!	!
deep	fertile	fertile
deepest	!	!
deep	sandstone	sandstone
deeper	!	!
deepest	fertile	fertile
tighter	!	!
tight	warm	warm
tightest	!	!
tight	warm	warm
tighter	!	!
tightest	!	!
wider	!	!
wide	temperate	temperate
widest	!	!
wide	warm	warm
wider	!	!
widest	broader	wide
prettier	!	!
pretty	warm	warm
prettiest	!	!
pretty	warm	warm
prettier	!	!
prettiest	!	!
older	!	!
old	disorder	prey
oldest	!	!
old	earliest	earliest
older	tallest	tallest
oldest	old	old
wiser	!	!
wise	warm	warm
wisest	!	!
wise	warm	warm
wiser	!	!
wisest	!	!
milder	!	!
mild	campus	campus
mildest	!	!
mild	campus	campus
milder	!	!
mildest	!	!
prettier	!	!
pretty	campus	campus
prettiest	!	!
pretty	campus	campus
prettier	!	!
prettiest	!	!
narrower	!	!
narrow	campus	campus
narrowest	!	!
narrow	campus	campus
narrower	!	!
narrowest	!	!
stiffer	!	!
stiff	campus	campus
stiffest	!	!
stiff	campus	campus
stiffer	!	!
stiffest	!	!
older	!	!
old	universal	universal
oldest	!	!
old	surviving	surviving
older	tallest	tallest
oldest	old	old
steadier	!	!
steady	vinyl	vinyl
steadiest	!	!
steady	vinyl	vinyl
steadier	!	!
steadiest	!	!
fairer	!	!
fair	vinyl	vinyl
fairest	!	!
fair	vinyl	vinyl
fairer	!	!
fairest	!	!
smarter	!	!
smart	vinyl	vinyl
smartest	!	!
smart	vinyl	vinyl
smarter	!	!
smartest	!	!
sharper	!	!
sharp	vinyl	vinyl
sharpest	!	!
sharp	vinyl	vinyl
sharper	!	!
sharpest	!	!
deeper	!	!
deep	shallow	shallow
deepest	!	!
deep	vinyl	vinyl
deeper	!	!
deepest	fertile	fertile
bloodier	!	!
bloody	drunk	drunk
bloodiest	!	!
bloody	drunk	drunk
bloodier	!	!
bloodiest	!	!
quicker	!	!
quick	drunk	drunk
quickest	!	!
quick	drunk	drunk
quicker	!	!
quickest	!	!
narrower	!	!
narrow	drunk	drunk
narrowest	!	!
narrow	drunk	drunk
narrower	!	!
narrowest	!	!
savvier	!	!
savvy	drunk	drunk
savviest	!	!
savvy	drunk	drunk
savvier	!	!
savviest	!	!
stronger	!	!
strong	drunk	drunk
strongest	!	!
strong	important	important
stronger	biggest	biggest
strongest	economically	economically
better	!	!
good	good	simple
best	!	!
good	better	better
better	"best	"best
best	good	good
slicker	!	!
slick	bark	bark
slickest	!	!
slick	bark	bark
slicker	!	!
slickest	!	!
friendlier	!	!
friendly	bark	bark
friendliest	!	!
friendly	bark	bark
friendlier	!	!
friendliest	!	!
bigger	!	!
big	small	small
biggest	!	!
big	small	small
bigger	largest	largest
biggest	larger	larger
stronger	!	!
strong	coordinated	coordinated
strongest	!	!
strong	coordinated	coordinated
stronger	biggest	biggest
strongest	economically	economically
milder	humid	humid
mild	!	!
mildest	humid	humid
mild	!	!
milder	!	!
mildest	!	!
faster	longest	longest
fastest	slower	slower
fast	longest	longest
fastest	efficient	efficient
faster	efficient	efficient
fast	slower	slower
busier	drunk	drunk
busy	!	!
busiest	drunk	drunk
busy	!	!
busier	!	!
busiest	!	!
luckier	crazy	crazy
lucky	!	!
luckiest	crazy	crazy
lucky	!	!
luckier	!	!
luckiest	!	!
wiser	winters	winters
wise	!	!
wisest	winters	winters
wise	!	!
wiser	!	!
wisest	!	!
lighter	light,	light,
light	darker	darker
lightest	light,	light,
light	!	!
lighter	!	!
lightest	darker	darker
healthier	mild	mild
healthy	!	!
healthiest	mild	mild
healthy	!	!
healthier	!	!
healthiest	!	!
costlier	!	!
costly	!	!
costliest	!	!
costly	!	!
costlier	!	!
costliest	!	!
meaner	average	average
mean	!	!
meanest	average	average
mean	!	!
meaner	!	!
meanest	!	!
older	older	older
old	old	old
oldest	older	older
old	tallest	tallest
older	tallest	tallest
oldest	old	old
louder	!	!
loud	blue	blue
loudest	!	!
loud	blue	blue
louder	!	!
loudest	!	!
tougher	!	!
tough	blue	blue
toughest	!	!
tough	blue	blue
tougher	!	!
toughest	!	!
darker	!	!
dark	blue	blue
darkest	!	!
dark	blue	blue
darker	!	!
darkest	pale	hindwings
easier	!	!
easy	difficult	difficult
easiest	!	!
easy	blue	blue
easier	!	!
easiest	harder	harder
trickier	!	!
tricky	blue	blue
trickiest	!	!
tricky	blue	blue
trickier	!	!
trickiest	!	!
larger	small	small
large	smaller	smaller
largest	small	small
large	biggest	biggest
larger	biggest	biggest
largest	smaller	smaller
tastier	!	!
tasty	!	!
tastiest	!	!
tasty	!	!
tastier	!	!
tastiest	!	!
healthier	mild	mild
healthy	!	!
healthiest	mild	mild
healthy	!	!
healthier	!	!
healthiest	!	!
faster	longest	longest
fastest	slower	slower
fast	longest	longest
fastest	efficient	efficient
faster	efficient	efficient
fast	slower	slower
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
smaller	!	!
small	small	small
smallest	!	!
small	small	small
smaller	largest	largest
smallest	larger	larger
fuller	!	!
full	mild	mild
fullest	!	!
full	mild	mild
fuller	!	!
fullest	!	!
younger	!	!
young	young	young
youngest	!	!
young	insects	insects
younger	oldest	oldest
youngest	young	eldest
smarter	!	!
smart	mild	mild
smartest	!	!
smart	mild	mild
smarter	!	!
smartest	!	!
deeper	!	!
deep	human	human
deepest	!	!
deep	mild	mild
deeper	!	!
deepest	fertile	fertile
classier	!	!
classy	average	average
classiest	!	!
classy	average	average
classier	!	!
classiest	!	!
stickier	!	!
sticky	average	average
stickiest	!	!
sticky	average	average
stickier	!	!
stickiest	!	!
happier	!	!
happy	average	average
happiest	!	!
happy	average	average
happier	!	!
happiest	!	!
poorer	!	!
poor	average	average
poorest	!	!
poor	average	average
poorer	!	!
poorest	!	!
softer	!	!
soft	average	average
softest	!	!
soft	average	average
softer	!	!
softest	!	!
higher	!	!
high	better	better
highest	!	!
high	excellent	excellent
higher	lowest	lowest
highest	lower	lower
thinner	!	!
thin	proud	proud
thinnest	!	!
thin	proud	proud
thinner	!	!
thinnest	!	!
fairer	!	!
fair	proud	proud
fairest	!	!
fair	proud	proud
fairer	!	!
fairest	!	!
mightier	!	!
mighty	proud	proud
mightiest	!	!
mighty	proud	proud
mightier	!	!
mightiest	!	!
noisier	!	!
noisy	proud	proud
noisiest	!	!
noisy	proud	proud
noisier	!	!
noisiest	!	!
kinder	!	!
kind	humid	humid
kindest	!	!
kind	humid	humid
kinder	!	!
kindest	!	!
easier	!	!
easy	worse	worse
easiest	!	!
easy	humid	humid
easier	!	!
easiest	harder	harder
busier	!	!
busy	humid	humid
busiest	!	!
busy	humid	humid
busier	!	!
busiest	!	!
trickier	!	!
tricky	humid	humid
trickiest	!	!
tricky	humid	humid
trickier	!	!
trickiest	!	!
riskier	!	!
risky	humid	humid
riskiest	!	!
risky	humid	humid
riskier	!	!
riskiest	!	!
rougher	!	!
rough	you,	you,
roughest	!	!
rough	you,	you,
rougher	!	!
roughest	!	!
friendlier	!	!
friendly	you,	you,
friendliest	!	!
friendly	you,	you,
friendlier	!	!
friendliest	!	!
shorter	!	!
short	darker	darker
shortest	!	!
short	you,	you,
shorter	!	!
shortest	longer	longer
faster	!	!
fastest	appropriate	appropriate
fast	!	!
fastest	very	very
faster	efficient	efficient
fast	slower	slower
fewer	!	!
few	better	better
fewest	!	!
few	you,	you,
fewer	!	!
fewest	more	more
stickier	!	!
sticky	!	!
stickiest	!	!
sticky	!	!
stickier	!	!
stickiest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	!	!
messier	!	!
messiest	!	!
leaner	!	!
lean	!	!
leanest	!	!
lean	!	!
leaner	!	!
leanest	!	!
closer	near	near
close	farther	farther
closest	near	near
close	nearest	nearest
closer	nearest	nearest
closest	farther	farther
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	!	!
trickier	!	!
trickiest	!	!
thinner	thick	thick
thin	!	!
thinnest	thick	thick
thin	!	!
thinner	!	!
thinnest	!	!
nicer	proud	proud
nice	!	!
nicest	proud	proud
nice	!	!
nicer	!	!
nicest	!	!
savvier	!	!
savvy	!	!
savviest	!	!
savvy	!	!
savvier	!	!
savviest	!	!
smarter	imaging	imaging
smart	!	!
smartest	imaging	imaging
smart	!	!
smarter	!	!
smartest	!	!
fewer	handful	handful
few	more	more
fewest	handful	handful
few	!	!
fewer	!	!
fewest	more	more
simpler	small	"g"
simple	!	!
simplest	small	"g"
simple	!	!
simpler	!	!
simplest	!	!
fancier	!	!
fancy	!	!
fanciest	!	!
fancy	!	!
fancier	!	!
fanciest	!	!
greater	huge	huge
great	wider	wider
greatest	huge	huge
great	biggest	biggest
greater	biggest	biggest
greatest	wider	wider
luckier	crazy	crazy
lucky	!	!
luckiest	crazy	crazy
lucky	!	!
luckier	!	!
luckiest	!	!
deeper	deeper	deeper
deep	fertile	fertile
deepest	deeper	deeper
deep	!	!
deeper	!	!
deepest	fertile	fertile
richer	distinctive	distinctive
rich	!	!
richest	distinctive	distinctive
rich	!	!
richer	!	!
richest	!	!
louder	rhythm	rhythm
loud	!	!
loudest	rhythm	rhythm
loud	!	!
louder	!	!
loudest	!	!
rougher	vinyl	vinyl
rough	!	!
roughest	vinyl	vinyl
rough	!	!
rougher	!	!
roughest	!	!
slower	loud	loud
slow	faster	faster
slowest	loud	loud
slow	!	!
slower	!	!
slowest	faster	faster
nastier	!	!
nasty	!	!
nastiest	!	!
nasty	!	!
nastier	!	!
nastiest	!	!
slimmer	!	!
slim	!	!
slimmest	!	!
slim	!	!
slimmer	!	!
slimmest	!	!
smoother	thin	thin
smooth	!	!
smoothest	thin	thin
smooth	!	!
smoother	!	!
smoothest	!	!
meaner	average	average
mean	!	!
meanest	average	average
mean	!	!
meaner	!	!
meanest	!	!
longer	long,	long,
long	no	no
longest	long,	long,
long	largest	largest
longer	largest	largest
longest	no	no
shorter	brief	brief
short	longer	longer
shortest	brief	brief
short	!	!
shorter	!	!
shortest	longer	longer
wider	!	!
wide	gradual	small
widest	!	!
wide	gradual	gradual
wider	!	!
widest	broader	wide
fairer	!	!
fair	gradual	gradual
fairest	!	!
fair	gradual	gradual
fairer	!	!
fairest	!	!
smarter	!	!
smart	gradual	gradual
smartest	!	!
smart	gradual	gradual
smarter	!	!
smartest	!	!
deeper	!	!
deep	gradual	gradual
deepest	!	!
deep	gradual	gradual
deeper	!	!
deepest	fertile	fertile
luckier	!	!
lucky	gradual	gradual
luckiest	!	!
lucky	gradual	gradual
luckier	!	!
luckiest	!	!
earlier	!	!
early	previous	raj
earliest	!	!
early	homosexual	homosexual
earlier	oldest	oldest
earliest	previous	previous
pricier	!	!
pricey	crazy	crazy
priciest	!	!
pricey	crazy	crazy
pricier	!	!
priciest	!	!
wider	!	!
wide	small	small
widest	!	!
wide	crazy	crazy
wider	!	!
widest	broader	wide
lower	!	!
low	upper	upper
lowest	!	!
low	highest	highest
lower	highest	highest
lowest	upper	upper
steeper	!	!
steep	crazy	crazy
steepest	!	!
steep	crazy	crazy
steeper	!	!
steepest	!	!
wealthier	noble	noble
wealthy	!	!
wealthiest	noble	noble
wealthy	!	!
wealthier	!	!
wealthiest	!	!
richer	distinctive	distinctive
rich	!	!
richest	distinctive	distinctive
rich	!	!
richer	!	!
richest	!	!
faster	longest	longest
fastest	slower	slower
fast	longest	longest
fastest	efficient	efficient
faster	efficient	efficient
fast	slower	slower
taller	tall,	tall,
tall	!	!
tallest	tall,	tall,
tall	oldest	oldest
taller	oldest	oldest
tallest	!	!
luckier	crazy	crazy
lucky	!	!
luckiest	crazy	crazy
lucky	!	!
luckier	!	!
luckiest	!	!
wider	!	!
wide	small	small
widest	!	!
wide	rhythm	rhythm
wider	!	!
widest	broader	wide
slower	!	!
slow	slow	slow
slowest	!	!
slow	rhythm	rhythm
slower	!	!
slowest	faster	faster
friendlier	!	!
friendly	rhythm	rhythm
friendliest	!	!
friendly	rhythm	rhythm
friendlier	!	!
friendliest	!	!
easier	!	!
easy	noise	noise
easiest	!	!
easy	rhythm	rhythm
easier	!	!
easiest	harder	harder
colder	!	!
cold	rhythm	rhythm
coldest	!	!
cold	rhythm	rhythm
colder	!	!
coldest	!	!
lower	!	!
low	upper	upper
lowest	!	!
low	armour	armour
lower	highest	highest
lowest	upper	upper
darker	!	!
dark	dark	dark
darkest	!	!
dark	rat	rat
darker	!	!
darkest	pale	hindwings
safer	!	!
safe	rat	rat
safest	!	!
safe	rat	rat
safer	!	!
safest	!	!
faster	!	!
fastest	stress	stress
fast	!	!
fastest	armour	food
faster	efficient	efficient
fast	slower	slower
fresher	!	!
fresh	rat	rat
freshest	!	!
fresh	rat	rat
fresher	!	!
freshest	!	!
thinner	!	!
thin	water.	water.
thinnest	!	!
thin	water.	water.
thinner	!	!
thinnest	!	!
simpler	!	!
simple	water.	water.
simplest	!	!
simple	water.	water.
simpler	!	!
simplest	!	!
firmer	!	!
firm	water.	water.
firmest	!	!
firm	water.	water.
firmer	!	!
firmest	!	!
gentler	!	!
gentle	water.	water.
gentlest	!	!
gentle	water.	water.
gentler	!	!
gentlest	!	!
livelier	!	!
lively	water.	water.
liveliest	!	!
lively	water.	water.
livelier	!	!
liveliest	!	!
greener	blue	blue
green	!	!
greenest	blue	blue
green	!	!
greener	!	!
greenest	!	!
cheaper	products	products
cheap	harder	harder
cheapest	products	products
cheap	!	!
cheaper	!	!
cheapest	harder	harder
stickier	!	!
sticky	!	!
stickiest	!	!
sticky	!	!
stickier	!	!
stickiest	!	!
fatter	rat	rat
fat	!	!
fattest	rat	rat
fat	!	!
fatter	!	!
fattest	!	!
harder	you"	you"
hard	difficult	difficult
hardest	you"	you"
hard	!	!
harder	!	!
hardest	difficult	difficult
milder	humid	humid
mild	!	!
mildest	humid	humid
mild	!	!
milder	!	!
mildest	!	!
thinner	thick	thick
thin	!	!
thinnest	thick	thick
thin	!	!
thinner	!	!
thinnest	!	!
poorer	good	disappointing
poor	!	!
poorest	good	disappointing
poor	!	!
poorer	!	!
poorest	!	!
lower	high	high
low	upper	upper
lowest	high	high
low	highest	highest
lower	highest	highest
lowest	upper	upper
quicker	fast	fast
quick	!	!
quickest	fast	fast
quick	!	!
quicker	!	!
quickest	!	!
newer	!	!
new	enhanced	enhanced
newest	!	!
new	3–1	3–1
newer	!	!
newest	os	os
tougher	!	!
tough	3–1	3–1
toughest	!	!
tough	3–1	3–1
tougher	!	!
toughest	!	!
quicker	!	!
quick	3–1	3–1
quickest	!	!
quick	3–1	3–1
quicker	!	!
quickest	!	!
costlier	!	!
costly	3–1	3–1
costliest	!	!
costly	3–1	3–1
costlier	!	!
costliest	!	!
shorter	!	!
short	hostile	hostile
shortest	!	!
short	3–1	3–1
shorter	!	!
shortest	longer	longer
louder	!	!
loud	ross	ross
loudest	!	!
loud	ross	ross
louder	!	!
loudest	!	!
nastier	!	!
nasty	ross	ross
nastiest	!	!
nasty	ross	ross
nastier	!	!
nastiest	!	!
greater	!	!
great	better	better
greatest	!	!
great	considerable	considerable
greater	biggest	biggest
greatest	wider	wider
wiser	!	!
wise	ross	ross
wisest	!	!
wise	ross	ross
wiser	!	!
wisest	!	!
closer	!	!
close	negotiated	negotiated
closest	!	!
close	continually	continually
closer	nearest	nearest
closest	farther	farther
thicker	pale	pale
thick	!	!
thickest	pale	pale
thick	!	!
thicker	!	!
thickest	!	!
classier	!	!
classy	!	!
classiest	!	!
classy	!	!
classier	!	!
classiest	!	!
simpler	small	"g"
simple	!	!
simplest	small	"g"
simple	!	!
simpler	!	!
simplest	!	!
busier	drunk	drunk
busy	!	!
busiest	drunk	drunk
busy	!	!
busier	!	!
busiest	!	!
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	!	!
trickier	!	!
trickiest	!	!
worse	good	good
bad	tragic	tragic
worst	good	good
bad	best	best
worse	best	best
worst	tragic	tragic
fatter	rat	rat
fat	!	!
fattest	rat	rat
fat	!	!
fatter	!	!
fattest	!	!
lower	high	high
low	upper	upper
lowest	high	high
low	highest	highest
lower	highest	highest
lowest	upper	upper
steeper	sandstone	sandstone
steep	!	!
steepest	sandstone	sandstone
steep	!	!
steeper	!	!
steepest	!	!
friendlier	3–1	3–1
friendly	!	!
friendliest	3–1	3–1
friendly	!	!
friendlier	!	!
friendliest	!	!
smaller	!	!
small	small	small
smallest	!	!
small	small	small
smaller	largest	largest
smallest	larger	larger
cheaper	!	!
cheap	sexually	sexually
cheapest	!	!
cheap	fish	fish
cheaper	!	!
cheapest	harder	harder
tighter	!	!
tight	fish	fish
tightest	!	!
tight	fish	fish
tighter	!	!
tightest	!	!
happier	!	!
happy	fish	fish
happiest	!	!
happy	fish	fish
happier	!	!
happiest	!	!
harsher	!	!
harsh	fish	fish
harshest	!	!
harsh	fish	fish
harsher	!	!
harshest	!	!
higher	low	low
high	lower	lower
highest	low	low
high	lowest	lowest
higher	lowest	lowest
highest	lower	lower
prettier	you,	you,
pretty	!	!
prettiest	you,	you,
pretty	!	!
prettier	!	!
prettiest	!	!
smoother	thin	thin
smooth	!	!
smoothest	thin	thin
smooth	!	!
smoother	!	!
smoothest	!	!
fresher	water.	water.
fresh	!	!
freshest	water.	water.
fresh	!	!
fresher	!	!
freshest	!	!
faster	longest	longest
fastest	slower	slower
fast	longest	longest
fastest	efficient	efficient
faster	efficient	efficient
fast	slower	slower
worse	good	good
bad	tragic	tragic
worst	good	good
bad	best	best
worse	best	best
worst	tragic	tragic
higher	low	low
high	lower	lower
highest	low	low
high	lowest	lowest
higher	lowest	lowest
highest	lower	lower
costlier	!	!
costly	!	!
costliest	!	!
costly	!	!
costlier	!	!
costliest	!	!
firmer	company	firm.
firm	!	!
firmest	company	firm.
firm	!	!
firmer	!	!
firmest	!	!
steeper	sandstone	sandstone
steep	!	!
steepest	sandstone	sandstone
steep	!	!
steeper	!	!
steepest	!	!
greener	!	!
green	imaging	imaging
greenest	!	!
green	imaging	imaging
greener	!	!
greenest	!	!
smaller	!	!
small	small	small
smallest	!	!
small	small	small
smaller	largest	largest
smallest	larger	larger
narrower	!	!
narrow	imaging	imaging
narrowest	!	!
narrow	imaging	imaging
narrower	!	!
narrowest	!	!
cleaner	!	!
clean	imaging	imaging
cleanest	!	!
clean	imaging	imaging
cleaner	!	!
cleanest	!	!
riskier	!	!
risky	imaging	imaging
riskiest	!	!
risky	imaging	imaging
riskier	!	!
riskiest	!	!
newer	!	!
new	machinery	machinery
newest	!	!
new	warrior	warrior
newer	!	!
newest	os	os
wilder	!	!
wild	warrior	warrior
wildest	!	!
wild	warrior	warrior
wilder	!	!
wildest	!	!
narrower	!	!
narrow	warrior	warrior
narrowest	!	!
narrow	warrior	warrior
narrower	!	!
narrowest	!	!
safer	!	!
safe	warrior	warrior
safest	!	!
safe	warrior	warrior
safer	!	!
safest	!	!
faster	!	!
fastest	instead	instead
fast	!	!
fastest	nature,	nature,
faster	efficient	efficient
fast	slower	slower
meaner	!	!
mean	bitter	bitter
meanest	!	!
mean	bitter	bitter
meaner	!	!
meanest	!	!
heavier	!	!
heavy	rotating	rotating
heaviest	!	!
heavy	bitter	bitter
heavier	!	!
heaviest	lighter	lighter
nicer	!	!
nice	bitter	bitter
nicest	!	!
nice	bitter	bitter
nicer	!	!
nicest	!	!
faster	!	!
fastest	better	better
fast	!	!
fastest	slow	slow
faster	efficient	efficient
fast	slower	slower
leaner	!	!
lean	bitter	bitter
leanest	!	!
lean	bitter	bitter
leaner	!	!
leanest	!	!
weaker	poor	poor
weak	!	!
weakest	poor	poor
weak	!	!
weaker	!	!
weakest	!	!
darker	pale	pale
dark	pale	hindwings
darkest	pale	pale
dark	!	!
darker	!	!
darkest	pale	hindwings
rougher	vinyl	vinyl
rough	!	!
roughest	vinyl	vinyl
rough	!	!
rougher	!	!
roughest	!	!
mightier	warrior	warrior
mighty	!	!
mightiest	warrior	warrior
mighty	!	!
mightier	!	!
mightiest	!	!
wiser	winters	winters
wise	!	!
wisest	winters	winters
wise	!	!
wiser	!	!
wisest	!	!
laws	law.	enforcement
law	laws,	enforce
products	repertoire	changes.
product	foods	foods
changes	changes	changes
change	change	changing
citizens	decades	railways
citizen	citizens,	enforce
teachers	teachers	teachers
teacher	year,	month,
things	tribes	tribes
thing	thinks	thinks
minutes	kilometers	kilometers
minute	seconds	seconds
dollars	million	1880
dollar	billion	billion
areas	areas	areas
area	areas.	graph
cities	town	town
city	employer	employer
streets	street,	street,
street	egg	egg
months	months	months
month	years	week
conditions	risk	risk
condition	conditions.	conditions.
countries	nights	nights
country	countries,	countries,
operations	operations	operations
operation	unofficial	original
schools	schools	schools
school	school	school
results	consequences	consequences
result	turnout	turnout
parents	goals.	goals.
parent	politician,	politician,
charges	slaves	slaves
charge	politician.	politician.
students	students	students
student	pupil	pupil
employees	inmates	inmates
employee	expenses	expenses
workers	children,	children,
worker	worker	worker
miles	kilometers	miles
mile	kilometres	kilometres
ways	ways	pieces
way	symptoms	symptoms
decisions	intention	intention
decision	fraud	fraud
rights	children	children
right	rights,	rights,
parents	parents	parents
parent	friend	friend
companies	companies	companies
company	company	company
jobs	pupils	pupils
job	employee	farm.
authorities	pupils	authorities
authority	authorities.	authorities.
rules	rule,	reign
rule	definition	definition
reports	reports	reports
report	report	report
programs	programme	programme
program	program	program
buildings	buildings	buildings
building	runway	runway
officials	academy	academy
official	authorities	dominican
dollars	billion	billion
dollar	espn	espn
rules	rule.	rule.
rule	rules,	rules,
citizens	islands,	islands,
citizen	nationals	nationals
questions	risks	risks
question	question	question
officers	commanding	commanding
officer	officer	officer
cities	town	town
city	countries	countries
experts	offshore	offshore
expert	scholars	lankan
teachers	years	instructor
teacher	students	students
benefits	cure	cure
benefit	advantages	reward
authorities	councillors	councillors
authority	authorities,	authorities,
games	games	games
game	game	game
cities	town	borough
city	brewery	brewery
benefits	tenants	tenants
benefit	won't	won't
groups	groups	groups
group	group	group
authorities	authority,	authority,
authority	lawyer	businessman
rates	rate,	percent
rate	rate,	creates
changes	changes	changes
change	change	change
citizens	people	people
citizen	citizen	citizen
questions	people	people
question	question	creates
artists	singers	singers
artist	artist	artist
deaths	rumors	rumors
death	incident	incident
workers	workers	workers
worker	workers'	workers'
sports	sports	sports
sport	sport	host
sources	sources	sources
source	source	source
women	women	eggs
woman	woman	woman
voters	countries	countries
voter	braves	braves
sports	sports	shifts
sport	athletics	attraction
officers	officers	officers
officer	officer	officer
concerns	reforms	reforms
concern	complaints	memory.
prices	exceptions	exceptions
price	news"	news"
schools	schools	schools
school	school	school
feet	north.	north.
foot	meters	meters
reports	reports	reports
report	report	report
officials	officials	officials
official	governor,	governor,
teams	teams	teams
team	team	team
cases	criminal	criminal
case	case	case
relations	complexity	complexity
relation	cuisine	cuisine
residents	design,	design,
resident	people	people
issues	issues	design,
issue	issue	issue
families	family,	family,
family	families,	families,
months	week	week
month	weeks	decade
minutes	asian,	asian,
minute	seconds	seconds
losses	losses,	losses,
loss	casualties	casualties
games	game,	game,
game	games,	games,
agencies	agencies	agencies
