rougher	numbered	numbered
strong	powerful	powerful
stronger	largest	largest
strongest	intense	intense
classier	!	!
classy	guaranteed	guaranteed
classiest	!	!
classy	guaranteed	guaranteed
classier	!	!
classiest	!	!
lighter	!	!
light	heavier	protective
lightest	!	!
light	guaranteed	guaranteed
lighter	!	!
lightest	darker	darker
gentler	!	!
gentle	guaranteed	guaranteed
gentlest	!	!
gentle	guaranteed	guaranteed
gentler	!	!
gentlest	!	!
narrower	!	!
narrow	guaranteed	guaranteed
narrowest	!	!
narrow	guaranteed	guaranteed
narrower	!	!
narrowest	!	!
livelier	!	!
lively	guaranteed	guaranteed
liveliest	!	!
lively	guaranteed	guaranteed
livelier	!	!
liveliest	!	!
savvier	!	!
savvy	norton	norton
savviest	!	!
savvy	norton	norton
savvier	!	!
savviest	!	!
livelier	!	!
lively	norton	norton
liveliest	!	!
lively	norton	norton
livelier	!	!
liveliest	!	!
harder	!	!
hard	difficult	better
hardest	!	!
hard	norton	norton
harder	!	!
hardest	easier	easier
taller	!	!
tall	norton	norton
tallest	!	!
tall	dangerous	water
taller	oldest	oldest
tallest	!	!
freer	!	!
free	norton	norton
freest	!	!
free	norton	norton
freer	!	!
freest	!	!
sadder	!	!
sad	!	!
saddest	!	!
sad	!	!
sadder	!	!
saddest	!	!
rougher	drought	drought
rough	!	!
roughest	drought	drought
rough	!	!
rougher	!	!
roughest	!	!
steeper	narrow	chancel
steep	!	!
steepest	narrow	chancel
steep	!	!
steeper	!	!
steepest	!	!
smarter	wii	wii
smart	!	!
smartest	wii	wii
smart	!	!
smarter	!	!
smartest	!	!
cleaner	security.	security.
clean	!	!
cleanest	security.	security.
clean	!	!
cleaner	!	!
cleanest	!	!
lighter	!	!
light	company	company
lightest	!	!
light	company	company
lighter	!	!
lightest	darker	darker
classier	!	!
classy	company	company
classiest	!	!
classy	company	company
classier	!	!
classiest	!	!
poorer	!	!
poor	company	company
poorest	!	!
poor	company	company
poorer	!	!
poorest	!	!
slower	!	!
slow	company	company
slowest	!	!
slow	company	company
slower	!	!
slowest	faster	faster
faster	!	!
fastest	company	company
fast	!	!
fastest	company	company
faster	slow	slow
fast	slower	slower
classier	!	!
classy	pale	pale
classiest	!	!
classy	pale	pale
classier	!	!
classiest	!	!
simpler	!	!
simple	pale	pale
simplest	!	!
simple	pale	pale
simpler	!	!
simplest	!	!
meaner	!	!
mean	pale	pale
meanest	!	!
mean	pale	pale
meaner	!	!
meanest	!	!
mightier	!	!
mighty	pale	pale
mightiest	!	!
mighty	pale	pale
mightier	!	!
mightiest	!	!
cleaner	!	!
clean	pale	pale
cleanest	!	!
clean	pale	pale
cleaner	!	!
cleanest	!	!
louder	!	!
loud	casting	casting
loudest	!	!
loud	casting	casting
louder	!	!
loudest	!	!
newer	!	!
new	production	production
newest	!	!
new	casting	casting
newer	!	!
newest	os	os
cooler	!	!
cool	casting	casting
coolest	!	!
cool	casting	casting
cooler	!	!
coolest	!	!
narrower	!	!
narrow	casting	casting
narrowest	!	!
narrow	casting	casting
narrower	!	!
narrowest	!	!
busier	!	!
busy	casting	casting
busiest	!	!
busy	casting	casting
busier	!	!
busiest	!	!
gentler	!	!
gentle	thin	pale
gentlest	!	!
gentle	thin	pale
gentler	!	!
gentlest	!	!
fancier	!	!
fancy	thin	pale
fanciest	!	!
fancy	thin	pale
fancier	!	!
fanciest	!	!
noisier	!	!
noisy	thin	pale
noisiest	!	!
noisy	thin	pale
noisier	!	!
noisiest	!	!
smarter	!	!
smart	thin	pale
smartest	!	!
smart	thin	pale
smarter	!	!
smartest	!	!
trickier	!	!
tricky	thin	pale
trickiest	!	!
tricky	thin	pale
trickier	!	!
trickiest	!	!
tastier	!	!
tasty	sort	sort
tastiest	!	!
tasty	sort	sort
tastier	!	!
tastiest	!	!
easier	!	!
easy	sort	sort
easiest	!	!
easy	sort	sort
easier	!	!
easiest	harder	harder
mightier	!	!
mighty	sort	sort
mightiest	!	!
mighty	sort	sort
mightier	!	!
mightiest	!	!
fewer	!	!
few	sort	sort
fewest	!	!
few	sort	sort
fewer	!	!
fewest	less	less
trickier	!	!
tricky	sort	sort
trickiest	!	!
tricky	sort	sort
trickier	!	!
trickiest	!	!
thicker	!	!
thick	narrow	chancel
thickest	!	!
thick	narrow	chancel
thicker	!	!
thickest	!	!
earlier	!	!
early	seasonal	seasonal
earliest	!	!
early	biblical	certain
earlier	first	first
earliest	previous	previous
swifter	!	!
swift	narrow	chancel
swiftest	!	!
swift	narrow	chancel
swifter	!	!
swiftest	!	!
bigger	!	!
big	small	small
biggest	!	!
big	small	small
bigger	largest	largest
biggest	larger	larger
deeper	!	!
deep	mountainous	mountainous
deepest	!	!
deep	narrow	chancel
deeper	!	!
deepest	humid	humid
tighter	!	!
tight	warm	warm
tightest	!	!
tight	warm	warm
tighter	!	!
tightest	!	!
wider	!	!
wide	deeper	deeper
widest	!	!
wide	warm	warm
wider	!	!
widest	broader	broader
prettier	!	!
pretty	warm	warm
prettiest	!	!
pretty	warm	warm
prettier	!	!
prettiest	!	!
older	!	!
old	warm	warm
oldest	!	!
old	finest	scandal
older	tallest	tallest
oldest	younger	younger
wiser	!	!
wise	warm	warm
wisest	!	!
wise	warm	warm
wiser	!	!
wisest	!	!
milder	!	!
mild	1952.	1952.
mildest	!	!
mild	1952.	1952.
milder	!	!
mildest	!	!
prettier	!	!
pretty	1952.	1952.
prettiest	!	!
pretty	1952.	1952.
prettier	!	!
prettiest	!	!
narrower	!	!
narrow	1952.	1952.
narrowest	!	!
narrow	1952.	1952.
narrower	!	!
narrowest	!	!
stiffer	!	!
stiff	1952.	1952.
stiffest	!	!
stiff	1952.	1952.
stiffer	!	!
stiffest	!	!
older	!	!
old	baby	budget
oldest	!	!
old	surviving	surviving
older	tallest	tallest
oldest	younger	younger
steadier	!	!
steady	drought	drought
steadiest	!	!
steady	drought	drought
steadier	!	!
steadiest	!	!
fairer	!	!
fair	drought	drought
fairest	!	!
fair	drought	drought
fairer	!	!
fairest	!	!
smarter	!	!
smart	drought	drought
smartest	!	!
smart	drought	drought
smarter	!	!
smartest	!	!
sharper	!	!
sharp	drought	drought
sharpest	!	!
sharp	drought	drought
sharper	!	!
sharpest	!	!
deeper	!	!
deep	gradual	gradual
deepest	!	!
deep	drought	drought
deeper	!	!
deepest	humid	humid
bloodier	!	!
bloody	drunk	drunk
bloodiest	!	!
bloody	drunk	drunk
bloodier	!	!
bloodiest	!	!
quicker	!	!
quick	drunk	drunk
quickest	!	!
quick	drunk	drunk
quicker	!	!
quickest	!	!
narrower	!	!
narrow	drunk	drunk
narrowest	!	!
narrow	drunk	drunk
narrower	!	!
narrowest	!	!
savvier	!	!
savvy	drunk	drunk
savviest	!	!
savvy	drunk	drunk
savvier	!	!
savviest	!	!
stronger	!	!
strong	drunk	drunk
strongest	!	!
strong	important	important
stronger	largest	largest
strongest	intense	intense
better	!	!
good	worse	worse
best	!	!
good	better	better
better	"best	"best
best	worse	worse
slicker	!	!
slick	pale	pale
slickest	!	!
slick	pale	pale
slicker	!	!
slickest	!	!
friendlier	!	!
friendly	pale	pale
friendliest	!	!
friendly	pale	pale
friendlier	!	!
friendliest	!	!
bigger	!	!
big	small	small
biggest	!	!
big	small	small
bigger	largest	largest
biggest	larger	larger
stronger	!	!
strong	worse	worse
strongest	!	!
strong	signature	signature
stronger	largest	largest
strongest	intense	intense
milder	humid	humid
mild	!	!
mildest	humid	humid
mild	!	!
milder	!	!
mildest	!	!
faster	largest	largest
fastest	slower	slower
fast	largest	largest
fastest	slow	slow
faster	slow	slow
fast	slower	slower
busier	drunk	drunk
busy	!	!
busiest	drunk	drunk
busy	!	!
busier	!	!
busiest	!	!
luckier	crazy	crazy
lucky	!	!
luckiest	crazy	crazy
lucky	!	!
luckier	!	!
luckiest	!	!
wiser	norton	norton
wise	!	!
wisest	norton	norton
wise	!	!
wiser	!	!
wisest	!	!
lighter	light,	light,
light	darker	darker
lightest	light,	light,
light	!	!
lighter	!	!
lightest	darker	darker
healthier	seed	seed
healthy	!	!
healthiest	seed	seed
healthy	!	!
healthier	!	!
healthiest	!	!
costlier	!	!
costly	!	!
costliest	!	!
costly	!	!
costlier	!	!
costliest	!	!
meaner	guarantee	guarantee
mean	!	!
meanest	guarantee	guarantee
mean	!	!
meaner	!	!
meanest	!	!
older	older	older
old	younger	younger
oldest	older	older
old	tallest	tallest
older	tallest	tallest
oldest	younger	younger
louder	!	!
loud	blue	blue
loudest	!	!
loud	blue	blue
louder	!	!
loudest	!	!
tougher	!	!
tough	blue	blue
toughest	!	!
tough	blue	blue
tougher	!	!
toughest	!	!
darker	!	!
dark	purple	purple
darkest	!	!
dark	blue	blue
darker	!	!
darkest	hindwings	hindwings
easier	!	!
easy	black	water
easiest	!	!
easy	blue	blue
easier	!	!
easiest	harder	harder
trickier	!	!
tricky	blue	blue
trickiest	!	!
tricky	blue	blue
trickier	!	!
trickiest	!	!
larger	small	small
large	smaller	smaller
largest	small	small
large	biggest	biggest
larger	biggest	biggest
largest	smaller	smaller
tastier	!	!
tasty	!	!
tastiest	!	!
tasty	!	!
tastier	!	!
tastiest	!	!
healthier	seed	seed
healthy	!	!
healthiest	seed	seed
healthy	!	!
healthier	!	!
healthiest	!	!
faster	largest	largest
fastest	slower	slower
fast	largest	largest
fastest	slow	slow
faster	slow	slow
fast	slower	slower
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
smaller	!	!
small	small	small
smallest	!	!
small	small	small
smaller	largest	largest
smallest	larger	larger
fuller	!	!
full	seed	seed
fullest	!	!
full	seed	seed
fuller	!	!
fullest	!	!
younger	!	!
young	young	young
youngest	!	!
young	african-american	african-american
younger	oldest	oldest
youngest	young	young
smarter	!	!
smart	seed	seed
smartest	!	!
smart	seed	seed
smarter	!	!
smartest	!	!
deeper	!	!
deep	cold	cold
deepest	!	!
deep	seed	seed
deeper	!	!
deepest	humid	humid
classier	!	!
classy	guarantee	guarantee
classiest	!	!
classy	guarantee	guarantee
classier	!	!
classiest	!	!
stickier	!	!
sticky	guarantee	guarantee
stickiest	!	!
sticky	guarantee	guarantee
stickier	!	!
stickiest	!	!
happier	!	!
happy	guarantee	guarantee
happiest	!	!
happy	guarantee	guarantee
happier	!	!
happiest	!	!
poorer	!	!
poor	guarantee	guarantee
poorest	!	!
poor	guarantee	guarantee
poorer	!	!
poorest	!	!
softer	!	!
soft	guarantee	guarantee
softest	!	!
soft	guarantee	guarantee
softer	!	!
softest	!	!
higher	!	!
high	better	better
highest	!	!
high	excellent	excellent
higher	lowest	lowest
highest	lower	lower
thinner	!	!
thin	me.	me.
thinnest	!	!
thin	me.	me.
thinner	!	!
thinnest	!	!
fairer	!	!
fair	me.	me.
fairest	!	!
fair	me.	me.
fairer	!	!
fairest	!	!
mightier	!	!
mighty	me.	me.
mightiest	!	!
mighty	me.	me.
mightier	!	!
mightiest	!	!
noisier	!	!
noisy	me.	me.
noisiest	!	!
noisy	me.	me.
noisier	!	!
noisiest	!	!
kinder	!	!
kind	humid	humid
kindest	!	!
kind	humid	humid
kinder	!	!
kindest	!	!
easier	!	!
easy	difficult	difficult
easiest	!	!
easy	humid	humid
easier	!	!
easiest	harder	harder
busier	!	!
busy	humid	humid
busiest	!	!
busy	humid	humid
busier	!	!
busiest	!	!
trickier	!	!
tricky	humid	humid
trickiest	!	!
tricky	humid	humid
trickier	!	!
trickiest	!	!
riskier	!	!
risky	humid	humid
riskiest	!	!
risky	humid	humid
riskier	!	!
riskiest	!	!
rougher	!	!
rough	really	really
roughest	!	!
rough	really	really
rougher	!	!
roughest	!	!
friendlier	!	!
friendly	really	really
friendliest	!	!
friendly	really	really
friendlier	!	!
friendliest	!	!
shorter	!	!
short	darker	darker
shortest	!	!
short	really	really
shorter	!	!
shortest	longer	longer
faster	!	!
fastest	better	better
fast	!	!
fastest	rapidly	rapidly
faster	slow	slow
fast	slower	slower
fewer	!	!
few	bigger	bigger
fewest	!	!
few	really	really
fewer	!	!
fewest	less	less
stickier	!	!
sticky	!	!
stickiest	!	!
sticky	!	!
stickier	!	!
stickiest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	!	!
messier	!	!
messiest	!	!
leaner	!	!
lean	!	!
leanest	!	!
lean	!	!
leaner	!	!
leanest	!	!
closer	proximity	proximity
close	farther	farther
closest	proximity	proximity
close	nearest	nearest
closer	nearest	nearest
closest	farther	farther
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	!	!
trickier	!	!
trickiest	!	!
thinner	thick	thick
thin	!	!
thinnest	thick	thick
thin	!	!
thinner	!	!
thinnest	!	!
nicer	me.	me.
nice	!	!
nicest	me.	me.
nice	!	!
nicer	!	!
nicest	!	!
savvier	!	!
savvy	!	!
savviest	!	!
savvy	!	!
savvier	!	!
savviest	!	!
smarter	wii	wii
smart	!	!
smartest	wii	wii
smart	!	!
smarter	!	!
smartest	!	!
fewer	handful	handful
few	less	less
fewest	handful	handful
few	!	!
fewer	!	!
fewest	less	less
simpler	generalized	generalized
simple	!	!
simplest	generalized	generalized
simple	!	!
simpler	!	!
simplest	!	!
fancier	!	!
fancy	!	!
fanciest	!	!
fancy	!	!
fancier	!	!
fanciest	!	!
greater	huge	huge
great	wider	wider
greatest	huge	huge
great	biggest	biggest
greater	biggest	biggest
greatest	wider	wider
luckier	crazy	crazy
lucky	!	!
luckiest	crazy	crazy
lucky	!	!
luckier	!	!
luckiest	!	!
deeper	shallow	shallow
deep	humid	humid
deepest	shallow	shallow
deep	!	!
deeper	!	!
deepest	humid	humid
richer	kid	kid
rich	!	!
richest	kid	kid
rich	!	!
richer	!	!
richest	!	!
louder	flesh	flesh
loud	!	!
loudest	flesh	flesh
loud	!	!
louder	!	!
loudest	!	!
rougher	drought	drought
rough	!	!
roughest	drought	drought
rough	!	!
rougher	!	!
roughest	!	!
slower	fast	fast
slow	faster	faster
slowest	fast	fast
slow	!	!
slower	!	!
slowest	faster	faster
nastier	!	!
nasty	!	!
nastiest	!	!
nasty	!	!
nastier	!	!
nastiest	!	!
slimmer	!	!
slim	!	!
slimmest	!	!
slim	!	!
slimmer	!	!
slimmest	!	!
smoother	pale	pale
smooth	!	!
smoothest	pale	pale
smooth	!	!
smoother	!	!
smoothest	!	!
meaner	guarantee	guarantee
mean	!	!
meanest	guarantee	guarantee
mean	!	!
meaner	!	!
meanest	!	!
longer	long,	long,
long	no	no
longest	long,	long,
long	largest	largest
longer	largest	largest
longest	no	no
shorter	shorter	shorter
short	longer	longer
shortest	shorter	shorter
short	!	!
shorter	!	!
shortest	longer	longer
wider	!	!
wide	significant	significant
widest	!	!
wide	continuous	continuous
wider	!	!
widest	broader	broader
fairer	!	!
fair	continuous	continuous
fairest	!	!
fair	continuous	continuous
fairer	!	!
fairest	!	!
smarter	!	!
smart	continuous	continuous
smartest	!	!
smart	continuous	continuous
smarter	!	!
smartest	!	!
deeper	!	!
deep	gradual	gradual
deepest	!	!
deep	continuous	continuous
deeper	!	!
deepest	humid	humid
luckier	!	!
lucky	continuous	continuous
luckiest	!	!
lucky	continuous	continuous
luckier	!	!
luckiest	!	!
earlier	!	!
early	drunk	drunk
earliest	!	!
early	hell	homosexual
earlier	first	first
earliest	previous	previous
pricier	!	!
pricey	crazy	crazy
priciest	!	!
pricey	crazy	crazy
pricier	!	!
priciest	!	!
wider	!	!
wide	subtle	subtle
widest	!	!
wide	crazy	crazy
wider	!	!
widest	broader	broader
lower	!	!
low	upper	upper
lowest	!	!
low	highest	highest
lower	highest	highest
lowest	upper	upper
steeper	!	!
steep	crazy	crazy
steepest	!	!
steep	crazy	crazy
steeper	!	!
steepest	!	!
wealthier	noble	noble
wealthy	!	!
wealthiest	noble	noble
wealthy	!	!
wealthier	!	!
wealthiest	!	!
richer	kid	kid
rich	!	!
richest	kid	kid
rich	!	!
richer	!	!
richest	!	!
faster	largest	largest
fastest	slower	slower
fast	largest	largest
fastest	slow	slow
faster	slow	slow
fast	slower	slower
taller	tall,	tall,
tall	!	!
tallest	tall,	tall,
tall	oldest	oldest
taller	oldest	oldest
tallest	!	!
luckier	crazy	crazy
lucky	!	!
luckiest	crazy	crazy
lucky	!	!
luckier	!	!
luckiest	!	!
wider	!	!
wide	subtle	subtle
widest	!	!
wide	flesh	flesh
wider	!	!
widest	broader	broader
slower	!	!
slow	gradual	gradual
slowest	!	!
slow	flesh	flesh
slower	!	!
slowest	faster	faster
friendlier	!	!
friendly	flesh	flesh
friendliest	!	!
friendly	flesh	flesh
friendlier	!	!
friendliest	!	!
easier	!	!
easy	noise	requests
easiest	!	!
easy	flesh	flesh
easier	!	!
easiest	harder	harder
colder	!	!
cold	flesh	flesh
coldest	!	!
cold	flesh	flesh
colder	!	!
coldest	!	!
lower	!	!
low	upper	upper
lowest	!	!
low	sodium	divine
lower	highest	highest
lowest	upper	upper
darker	!	!
dark	dark	dark
darkest	!	!
dark	sodium	sodium
darker	!	!
darkest	hindwings	hindwings
safer	!	!
safe	sodium	sodium
safest	!	!
safe	sodium	sodium
safer	!	!
safest	!	!
faster	!	!
fastest	stress	stress
fast	!	!
fastest	rapidly	rapidly
faster	slow	slow
fast	slower	slower
fresher	!	!
fresh	sodium	sodium
freshest	!	!
fresh	sodium	sodium
fresher	!	!
freshest	!	!
thinner	!	!
thin	water.	water.
thinnest	!	!
thin	water.	water.
thinner	!	!
thinnest	!	!
simpler	!	!
simple	water.	water.
simplest	!	!
simple	water.	water.
simpler	!	!
simplest	!	!
firmer	!	!
firm	water.	water.
firmest	!	!
firm	water.	water.
firmer	!	!
firmest	!	!
gentler	!	!
gentle	water.	water.
gentlest	!	!
gentle	water.	water.
gentler	!	!
gentlest	!	!
livelier	!	!
lively	water.	water.
liveliest	!	!
lively	water.	water.
livelier	!	!
liveliest	!	!
greener	blue	blue
green	!	!
greenest	blue	blue
green	!	!
greener	!	!
greenest	!	!
cheaper	products	products
cheap	harder	harder
cheapest	products	products
cheap	!	!
cheaper	!	!
cheapest	harder	harder
stickier	!	!
sticky	!	!
stickiest	!	!
sticky	!	!
stickier	!	!
stickiest	!	!
fatter	sodium	sodium
fat	!	!
fattest	sodium	sodium
fat	!	!
fatter	!	!
fattest	!	!
harder	harder	harder
hard	easier	easier
hardest	harder	harder
hard	!	!
harder	!	!
hardest	easier	easier
milder	humid	humid
mild	!	!
mildest	humid	humid
mild	!	!
milder	!	!
mildest	!	!
thinner	thick	thick
thin	!	!
thinnest	thick	thick
thin	!	!
thinner	!	!
thinnest	!	!
poorer	good	good
poor	!	!
poorest	good	good
poor	!	!
poorer	!	!
poorest	!	!
lower	high	high
low	upper	upper
lowest	high	high
low	highest	highest
lower	highest	highest
lowest	upper	upper
quicker	fast	fast
quick	!	!
quickest	fast	fast
quick	!	!
quicker	!	!
quickest	!	!
newer	!	!
new	passive	passive
newest	!	!
new	neutral	neutral
newer	!	!
newest	os	os
tougher	!	!
tough	neutral	neutral
toughest	!	!
tough	neutral	neutral
tougher	!	!
toughest	!	!
quicker	!	!
quick	neutral	neutral
quickest	!	!
quick	neutral	neutral
quicker	!	!
quickest	!	!
costlier	!	!
costly	neutral	neutral
costliest	!	!
costly	neutral	neutral
costlier	!	!
costliest	!	!
shorter	!	!
short	short	short
shortest	!	!
short	neutral	neutral
shorter	!	!
shortest	longer	longer
louder	!	!
loud	tight	tight
loudest	!	!
loud	tight	tight
louder	!	!
loudest	!	!
nastier	!	!
nasty	tight	tight
nastiest	!	!
nasty	tight	tight
nastier	!	!
nastiest	!	!
greater	!	!
great	better	better
greatest	!	!
great	gradual	gradual
greater	biggest	biggest
greatest	wider	wider
wiser	!	!
wise	tight	tight
wisest	!	!
wise	tight	tight
wiser	!	!
wisest	!	!
closer	!	!
close	rapidly	rapidly
closest	!	!
close	true	true
closer	nearest	nearest
closest	farther	farther
thicker	thin	pale
thick	!	!
thickest	thin	pale
thick	!	!
thicker	!	!
thickest	!	!
classier	!	!
classy	!	!
classiest	!	!
classy	!	!
classier	!	!
classiest	!	!
simpler	generalized	generalized
simple	!	!
simplest	generalized	generalized
simple	!	!
simpler	!	!
simplest	!	!
busier	drunk	drunk
busy	!	!
busiest	drunk	drunk
busy	!	!
busier	!	!
busiest	!	!
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	!	!
trickier	!	!
trickiest	!	!
worse	good	good
bad	better	better
worst	good	good
bad	best	best
worse	best	best
worst	better	better
fatter	sodium	sodium
fat	!	!
fattest	sodium	sodium
fat	!	!
fatter	!	!
fattest	!	!
lower	high	high
low	upper	upper
lowest	high	high
low	highest	highest
lower	highest	highest
lowest	upper	upper
steeper	narrow	chancel
steep	!	!
steepest	narrow	chancel
steep	!	!
steeper	!	!
steepest	!	!
friendlier	neutral	neutral
friendly	!	!
friendliest	neutral	neutral
friendly	!	!
friendlier	!	!
friendliest	!	!
smaller	!	!
small	small	small
smallest	!	!
small	small	small
smaller	largest	largest
smallest	larger	larger
cheaper	!	!
cheap	fruit	fruit
cheapest	!	!
cheap	birds	birds
cheaper	!	!
cheapest	harder	harder
tighter	!	!
tight	birds	birds
tightest	!	!
tight	birds	birds
tighter	!	!
tightest	!	!
happier	!	!
happy	birds	birds
happiest	!	!
happy	birds	birds
happier	!	!
happiest	!	!
harsher	!	!
harsh	birds	birds
harshest	!	!
harsh	birds	birds
harsher	!	!
harshest	!	!
higher	low	low
high	lower	lower
highest	low	low
high	lowest	lowest
higher	lowest	lowest
highest	lower	lower
prettier	really	really
pretty	!	!
prettiest	really	really
pretty	!	!
prettier	!	!
prettiest	!	!
smoother	pale	pale
smooth	!	!
smoothest	pale	pale
smooth	!	!
smoother	!	!
smoothest	!	!
fresher	water.	water.
fresh	!	!
freshest	water.	water.
fresh	!	!
fresher	!	!
freshest	!	!
faster	largest	largest
fastest	slower	slower
fast	largest	largest
fastest	slow	slow
faster	slow	slow
fast	slower	slower
worse	good	good
bad	better	better
worst	good	good
bad	best	best
worse	best	best
worst	better	better
higher	low	low
high	lower	lower
highest	low	low
high	lowest	lowest
higher	lowest	lowest
highest	lower	lower
costlier	!	!
costly	!	!
costliest	!	!
costly	!	!
costlier	!	!
costliest	!	!
firmer	company	company
firm	!	!
firmest	company	company
firm	!	!
firmer	!	!
firmest	!	!
steeper	narrow	chancel
steep	!	!
steepest	narrow	chancel
steep	!	!
steeper	!	!
steepest	!	!
greener	!	!
green	wii	wii
greenest	!	!
green	wii	wii
greener	!	!
greenest	!	!
smaller	!	!
small	small	small
smallest	!	!
small	small	small
smaller	largest	largest
smallest	larger	larger
narrower	!	!
narrow	wii	wii
narrowest	!	!
narrow	wii	wii
narrower	!	!
narrowest	!	!
cleaner	!	!
clean	wii	wii
cleanest	!	!
clean	wii	wii
cleaner	!	!
cleanest	!	!
riskier	!	!
risky	wii	wii
riskiest	!	!
risky	wii	wii
riskier	!	!
riskiest	!	!
newer	!	!
new	rat	rat
newest	!	!
new	loved	loved
newer	!	!
newest	os	os
wilder	!	!
wild	loved	loved
wildest	!	!
wild	loved	loved
wilder	!	!
wildest	!	!
narrower	!	!
narrow	loved	loved
narrowest	!	!
narrow	loved	loved
narrower	!	!
narrowest	!	!
safer	!	!
safe	loved	loved
safest	!	!
safe	loved	loved
safer	!	!
safest	!	!
faster	!	!
fastest	slower	slower
fast	!	!
fastest	rendering	rendering
faster	slow	slow
fast	slower	slower
meaner	!	!
mean	decisive	decisive
meanest	!	!
mean	decisive	decisive
meaner	!	!
meanest	!	!
heavier	!	!
heavy	darker	darker
heaviest	!	!
heavy	decisive	decisive
heavier	!	!
heaviest	lighter	lighter
nicer	!	!
nice	decisive	decisive
nicest	!	!
nice	decisive	decisive
nicer	!	!
nicest	!	!
faster	!	!
fastest	better	better
fast	!	!
fastest	stop	stop
faster	slow	slow
fast	slower	slower
leaner	!	!
lean	decisive	decisive
leanest	!	!
lean	decisive	decisive
leaner	!	!
leanest	!	!
weaker	nervous	nervous
weak	!	!
weakest	nervous	nervous
weak	!	!
weaker	!	!
weakest	!	!
darker	pale	pale
dark	hindwings	hindwings
darkest	pale	pale
dark	!	!
darker	!	!
darkest	hindwings	hindwings
rougher	drought	drought
rough	!	!
roughest	drought	drought
rough	!	!
rougher	!	!
roughest	!	!
mightier	loved	loved
mighty	!	!
mightiest	loved	loved
mighty	!	!
mightier	!	!
mightiest	!	!
wiser	norton	norton
wise	!	!
wisest	norton	norton
wise	!	!
wiser	!	!
wisest	!	!
laws	law.	enforcement
law	regulations	audit
products	years.	vegetable
product	crops	crops
changes	changes	changes
change	year.	year.
citizens	victims	victims
citizen	year.	un
teachers	instructor	instructor
teacher	year,	year,
things	tribes	songs
thing	thinks	thinks
minutes	minutes	minutes
minute	seconds	seconds
dollars	people,	tonnes
dollar	loan	loan
areas	hectares	hectares
area	areas,	areas,
cities	town	town
city	homage	brewery
streets	street,	street,
street	youtube	youtube
months	week	week
month	hours	hours
conditions	conditions	illness
condition	conditions.	conditions.
countries	populations	populations
country	countries,	countries,
operations	operations	operations
operation	operation	youtube
schools	schools	students
school	school	school
results	consequences	consequences
result	result	result
parents	goals.	goals.
parent	pupil	pupil
charges	slaves	charges
charge	politician.	politician.
students	students	students
student	pupil	pupil
employees	buses	buses
employee	tax	tax
workers	workers	workers
worker	workers,	labour
miles	kilometers	kilometers
mile	kilometres	kilometres
ways	children,	map
way	[the	[the
decisions	modifications	modifications
decision	fraud	fraud
rights	riders	riders
right	human	human
parents	parents	parents
parent	mother	mother
companies	company,	companies
company	company	company
jobs	tenants	tenants
job	part-time	part-time
authorities	authorities	authorities
authority	authorities.	authorities.
rules	rule,	rule,
rule	criteria	criteria
reports	reports	reports
report	report	report
programs	program,	program,
program	program	institution
buildings	buildings	buildings
building	building	building
officials	inaugural	inaugural
official	officials,	officer
dollars	liability	liability
dollar	bonds	bonds
rules	limitations	limitations
rule	rules,	espn
citizens	decades	withdrawal
citizen	members	consumers
questions	risks	risks
question	topics	topics
officers	commanding	commanding
officer	officials,	officials,
cities	town	town
city	towns	towns
experts	pharmaceutical	reconstructed
expert	scholars	scholars
teachers	instructor	instructor
teacher	clergy	clergy
benefits	loans	loans
benefit	advantages	advantages
authorities	regulatory	regulatory
authority	nationals	nationals
games	games	games
game	games,	game
cities	town	city.
city	hydroelectric	hydroelectric
benefits	support	support
benefit	compensation	hydroelectric
groups	groups	groups
group	group	group
authorities	authority,	authority,
authority	ballot	ballot
rates	rate,	rate,
rate	velocity	velocity
changes	changes	changes
change	change	change
citizens	people	people
citizen	citizen	partner
questions	people	polls
question	question	question
artists	artists	artists
artist	artist	artist
deaths	rumors	rumors
death	1989)	1989)
workers	workers	workers
worker	workers.	workers'
sports	canada	canada
sport	sport.	host
sources	sources	sources
source	source	source
women	women	women
woman	woman	woman
voters	countries	countries
voter	braves	braves
sports	sports	sports
sport	sport	sport
officers	officers	officers
officer	officer	officer
concerns	opinions	opinions
concern	concern	concern
prices	prices	prices
price	company,	news"
schools	school,	school,
school	school	school
feet	colored	colored
foot	metres	metres
reports	experts	experts
report	report	report
officials	figures	figures
official	secretary,	secretary,
teams	teams	teams
team	team	team
cases	reduction	reduction
case	case	case
relations	regards	regards
relation	relations.	correspondence
residents	developing	developing
resident	people	people
issues	issues	issues
issue	issue	issue
families	family,	family,
family	families,	families,
months	week	week
month	weeks	weeks
minutes	minutes	asian,
minute	seconds	seconds
losses	losses	losses
loss	playoffs	playoffs
games	games	games
game	games.	games.
agencies	agencies	agencies
agency	agency	agency
times	time.	time.
time	times.	twice
people	persons	persons
person	men	patients
weapons	weapons	weapons
weapon	weapon	weapon
families	families	families
family	rhine	rhine
authorities	agencies	agencies
authority	government	government
cases	cases	cases
case	case	case
relations	relationships	relationships
relation	1916	1916
kids	1950s	1950s
kid	"last	"last
authorities	authority,	authority,
authority	government	government
cars	car,	car,
