rougher	riders	riders
narrower	!align="right	!align="right
narrowest	!align="right	!align="right
leaner	!align="right	!align="right
lean	humid	winters
leanest	!align="right	!align="right
lean	humid	winters
leaner	!align="right	!align="right
leanest	!align="right	!align="right
younger	!align="right	ballots
young	his	she
youngest	!align="right	ballots
young	she	she
younger	born	november
youngest	his	who
smaller	are	are
small	are	are
smallest	are	are
small	is	than
smaller	is	than
smallest	are	are
gentler	is	has
gentle	!align="right	!align="right
gentlest	is	has
gentle	!align="right	!align="right
gentler	!align="right	!align="right
gentlest	!align="right	!align="right
mightier	his	but
mighty	!align="right	!align="right
mightiest	his	but
mighty	!align="right	!align="right
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
leaner	!align="right	!align="right
lean	!align="right	!align="right
leanest	!align="right	!align="right
lean	!align="right	!align="right
leaner	!align="right	!align="right
leanest	!align="right	!align="right
fancier	!align="right	!align="right
fancy	!align="right	!align="right
fanciest	!align="right	!align="right
fancy	!align="right	!align="right
fancier	!align="right	!align="right
fanciest	!align="right	!align="right
kinder	!align="right	ballots
kind	a	this
kindest	!align="right	ballots
kind	a	this
kinder	!align="right	!align="right
kindest	!align="right	!align="right
wider	!align="right	ballots
wide	more	of
widest	!align="right	ballots
wide	a	this
wider	!align="right	!align="right
widest	be	be
pricier	!align="right	!align="right
pricey	a	this
priciest	!align="right	!align="right
pricey	a	this
pricier	!align="right	!align="right
priciest	!align="right	!align="right
firmer	!align="right	ballots
firm	a	this
firmest	!align="right	ballots
firm	a	this
firmer	!align="right	!align="right
firmest	!align="right	!align="right
brighter	!align="right	blank
bright	a	this
brightest	!align="right	blank
bright	a	this
brighter	!align="right	!align="right
brightest	!align="right	!align="right
steadier	!align="right	ballots
steady	hindwings	long
steadiest	!align="right	ballots
steady	hindwings	long
steadier	!align="right	!align="right
steadiest	!align="right	!align="right
classier	!align="right	!align="right
classy	hindwings	long
classiest	!align="right	!align="right
classy	hindwings	long
classier	!align="right	!align="right
classiest	!align="right	!align="right
sadder	!align="right	ballots
sad	hindwings	long
saddest	!align="right	ballots
sad	hindwings	long
sadder	!align="right	!align="right
saddest	!align="right	!align="right
meaner	!align="right	voters
mean	hindwings	long
meanest	!align="right	voters
mean	hindwings	long
meaner	!align="right	!align="right
meanest	!align="right	!align="right
faster	!align="right	ballots
fastest	are	its
fast	!align="right	ballots
fastest	are	its
faster	can	this
fast	than	than
louder	!align="right	ballots
loud	is	has
loudest	!align="right	ballots
loud	is	has
louder	!align="right	!align="right
loudest	!align="right	!align="right
newer	!align="right	!align="right
new	such	such
newest	!align="right	!align="right
new	is	has
newer	!align="right	!align="right
newest	are	are
bloodier	!align="right	ballot
bloody	is	has
bloodiest	!align="right	ballot
bloody	is	has
bloodier	!align="right	!align="right
bloodiest	!align="right	!align="right
younger	!align="right	voters
young	his	his
youngest	!align="right	voters
young	his	his
younger	born	november
youngest	his	who
closer	!align="right	!align="right
close	that	to
closest	!align="right	!align="right
close	is	his
closer	is	first
closest	some	among
clearer	!align="right	ballots
clear	for	their
clearest	!align="right	ballots
clear	for	their
clearer	!align="right	!align="right
clearest	!align="right	!align="right
richer	!align="right	turnout
rich	for	their
richest	!align="right	turnout
rich	for	their
richer	!align="right	!align="right
richest	!align="right	!align="right
meaner	!align="right	turnout
mean	for	their
meanest	!align="right	turnout
mean	for	their
meaner	!align="right	!align="right
meanest	!align="right	!align="right
older	!align="right	ballots
old	or	age
oldest	!align="right	ballots
old	in	in
older	in	first
oldest	65	were
deeper	!align="right	ballots
deep	to	to
deepest	!align="right	ballots
deep	for	their
deeper	!align="right	!align="right
deepest	these	this
tastier	!align="right	!align="right
tasty	height	long
tastiest	!align="right	ballots
tasty	!align="right	turnout
tastier	!align="right	!align="right
tastiest	height	large
weaker	!align="right	ballots
weak	height	long
weakest	any	cyclone
weak	!align="right	turnout
weaker	!align="right	!align="right
weakest	height	large
sadder	!align="right	ballots
sad	height	long
saddest	i	beginning
sad	!align="right	turnout
sadder	!align="right	!align="right
saddest	height	large
better	!align="right	ballots
good	that	to
best	one	best
good	for	for
better	!align="right	!align="right
best	to	its
stronger	!align="right	!align="right
strong	which	very
strongest	one	beginning
strong	a	very
stronger	!align="right	ballots
strongest	the	to
lighter	!align="right	turnout
light	more	hot
lightest	!align="right	turnout
light	humid	winters
lighter	!align="right	!align="right
lightest	darker	than
wilder	!align="right	votes
wild	humid	winters
wildest	!align="right	votes
wild	humid	winters
wilder	!align="right	!align="right
wildest	!align="right	!align="right
prettier	!align="right	turnout
pretty	humid	winters
prettiest	!align="right	turnout
pretty	humid	winters
prettier	!align="right	!align="right
prettiest	!align="right	!align="right
heavier	!align="right	votes
heavy	temperatures	album
heaviest	!align="right	votes
heavy	humid	winters
heavier	!align="right	!align="right
heaviest	than	than
deeper	!align="right	turnout
deep	temperatures	hot
deepest	!align="right	turnout
deep	humid	winters
deeper	!align="right	!align="right
deepest	these	this
newer	!align="right	!align="right
new	are	water
newest	!align="right	!align="right
new	layer	scales
newer	!align="right	!align="right
newest	are	are
bloodier	!align="right	candidate
bloody	layer	scales
bloodiest	!align="right	candidate
bloody	layer	scales
bloodier	!align="right	!align="right
bloodiest	!align="right	!align="right
prettier	!align="right	ballots
pretty	layer	scales
prettiest	!align="right	ballots
pretty	layer	scales
prettier	!align="right	!align="right
prettiest	!align="right	!align="right
softer	!align="right	ballots
soft	layer	scales
softest	!align="right	ballots
soft	layer	scales
softer	!align="right	!align="right
softest	!align="right	!align="right
taller	!align="right	ballots
tall	layer	scales
tallest	!align="right	ballots
tall	height	height
taller	height	large
tallest	!align="right	!align="right
newer	in	first
new	are	are
newest	in	first
new	!align="right	!align="right
newer	!align="right	!align="right
newest	are	are
weaker	be	be
weak	!align="right	!align="right
weakest	be	be
weak	!align="right	!align="right
weaker	!align="right	!align="right
weakest	!align="right	!align="right
longer	this	this
long	be	be
longest	this	this
long	the	first
longer	the	first
longest	be	be
smarter	as	even
smart	!align="right	!align="right
smartest	as	even
smart	!align="right	!align="right
smarter	!align="right	!align="right
smartest	!align="right	!align="right
riskier	!align="right	!align="right
risky	!align="right	!align="right
riskiest	!align="right	!align="right
risky	!align="right	!align="right
riskier	!align="right	!align="right
riskiest	!align="right	!align="right
thicker	!align="right	ballots
thick	his	who
thickest	!align="right	ballots
thick	his	who
thicker	!align="right	!align="right
thickest	!align="right	!align="right
bloodier	!align="right	ballots
bloody	his	who
bloodiest	!align="right	ballots
bloody	his	who
bloodier	!align="right	!align="right
bloodiest	!align="right	!align="right
happier	!align="right	!align="right
happy	his	who
happiest	!align="right	!align="right
happy	his	who
happier	!align="right	!align="right
happiest	!align="right	!align="right
sharper	!align="right	ballots
sharp	his	who
sharpest	!align="right	ballots
sharp	his	who
sharper	!align="right	!align="right
sharpest	!align="right	!align="right
stronger	!align="right	!align="right
strong	that	to
strongest	!align="right	!align="right
strong	his	his
stronger	the	but
strongest	that	however
classier	!align="right	ballots
classy	!align="right	!align="right
classiest	!align="right	!align="right
classy	for	their
classier	john	marshall
classiest	!align="right	!align="right
lighter	surface	was
light	be	would
lightest	!align="right	voters
light	for	their
lighter	john	marshall
lightest	!align="right	!align="right
gentler	married	baldwin
gentle	!align="right	!align="right
gentlest	!align="right	turnout
gentle	for	their
gentler	john	marshall
gentlest	!align="right	!align="right
narrower	hindwings	valleys
narrow	!align="right	!align="right
narrowest	!align="right	!align="right
narrow	for	their
narrower	john	marshall
narrowest	!align="right	!align="right
livelier	!align="right	ballots
lively	!align="right	!align="right
liveliest	!align="right	!align="right
lively	for	their
livelier	john	marshall
liveliest	!align="right	!align="right
savvier	!align="right	!align="right
savvy	that	be
savviest	!align="right	!align="right
savvy	that	be
savvier	!align="right	!align="right
savviest	!align="right	!align="right
livelier	!align="right	!align="right
lively	that	be
liveliest	!align="right	!align="right
lively	that	be
livelier	!align="right	!align="right
liveliest	!align="right	!align="right
harder	!align="right	ballots
hard	that	i
hardest	!align="right	ballots
hard	that	be
harder	!align="right	!align="right
hardest	that	even
taller	!align="right	0.5
tall	that	be
tallest	!align="right	0.5
tall	the	its
taller	height	large
tallest	!align="right	!align="right
freer	!align="right	!align="right
free	that	be
freest	!align="right	!align="right
free	that	be
freer	!align="right	!align="right
freest	!align="right	!align="right
sadder	it's	but
sad	!align="right	!align="right
saddest	it's	but
sad	!align="right	!align="right
sadder	!align="right	!align="right
saddest	!align="right	!align="right
rougher	a	be
rough	!align="right	!align="right
roughest	a	be
rough	!align="right	!align="right
rougher	!align="right	!align="right
roughest	!align="right	!align="right
steeper	slopes	mountain
steep	!align="right	!align="right
steepest	slopes	mountain
steep	!align="right	!align="right
steeper	!align="right	!align="right
steepest	!align="right	!align="right
smarter	as	even
smart	!align="right	!align="right
smartest	as	even
smart	!align="right	!align="right
smarter	!align="right	!align="right
smartest	!align="right	!align="right
cleaner	not	this
clean	!align="right	!align="right
cleanest	not	this
clean	!align="right	!align="right
cleaner	!align="right	!align="right
cleanest	!align="right	!align="right
lighter	!align="right	voters
light	company	its
lightest	!align="right	voters
light	company	served
lighter	!align="right	!align="right
lightest	darker	than
classier	!align="right	!align="right
classy	company	served
classiest	!align="right	!align="right
classy	company	served
classier	!align="right	!align="right
classiest	!align="right	!align="right
poorer	!align="right	turnout
poor	company	served
poorest	!align="right	turnout
poor	company	served
poorer	!align="right	!align="right
poorest	!align="right	!align="right
slower	!align="right	valid
slow	company	its
slowest	!align="right	valid
slow	company	served
slower	!align="right	!align="right
slowest	more	than
faster	!align="right	turnout
fastest	company	its
fast	!align="right	turnout
fastest	company	its
faster	can	this
fast	than	than
classier	!align="right	!align="right
classy	shape	are
classiest	!align="right	!align="right
classy	shape	are
classier	!align="right	!align="right
classiest	!align="right	!align="right
simpler	!align="right	ballots
simple	or	linear
simplest	!align="right	ballots
simple	shape	are
simpler	!align="right	!align="right
simplest	using	be
meaner	!align="right	turnout
mean	shape	are
meanest	!align="right	turnout
mean	shape	are
meaner	!align="right	!align="right
meanest	!align="right	!align="right
mightier	!align="right	voters
mighty	shape	are
mightiest	!align="right	voters
mighty	shape	are
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
cleaner	!align="right	!align="right
clean	shape	are
cleanest	!align="right	!align="right
clean	shape	are
cleaner	!align="right	!align="right
cleanest	!align="right	!align="right
louder	!align="right	ballots
loud	a	first
loudest	!align="right	ballots
loud	a	first
louder	!align="right	!align="right
loudest	!align="right	!align="right
newer	!align="right	!align="right
new	used	an
newest	!align="right	!align="right
new	a	first
newer	!align="right	!align="right
newest	are	are
cooler	!align="right	ballots
cool	a	first
coolest	!align="right	ballots
cool	a	first
cooler	!align="right	!align="right
coolest	!align="right	!align="right
narrower	!align="right	!align="right
narrow	a	first
narrowest	!align="right	!align="right
narrow	a	first
narrower	!align="right	!align="right
narrowest	!align="right	!align="right
busier	!align="right	ballots
busy	a	first
busiest	!align="right	ballots
busy	a	first
busier	!align="right	!align="right
busiest	!align="right	!align="right
gentler	!align="right	turnout
gentle	diameter	long
gentlest	!align="right	turnout
gentle	diameter	long
gentler	!align="right	!align="right
gentlest	!align="right	!align="right
fancier	!align="right	!align="right
fancy	diameter	long
fanciest	!align="right	!align="right
fancy	diameter	long
fancier	!align="right	!align="right
fanciest	!align="right	!align="right
noisier	!align="right	!align="right
noisy	diameter	long
noisiest	!align="right	!align="right
noisy	diameter	long
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
smarter	!align="right	turnout
smart	diameter	long
smartest	!align="right	turnout
smart	diameter	long
smarter	!align="right	!align="right
smartest	!align="right	!align="right
trickier	!align="right	!align="right
tricky	diameter	long
trickiest	!align="right	!align="right
tricky	diameter	long
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
tastier	!align="right	!align="right
tasty	that	this
tastiest	!align="right	!align="right
tasty	that	this
tastier	!align="right	!align="right
tastiest	!align="right	!align="right
easier	!align="right	ballots
easy	not	very
easiest	!align="right	ballots
easy	that	this
easier	!align="right	!align="right
easiest	be	this
mightier	!align="right	ballots
mighty	that	this
mightiest	!align="right	ballots
mighty	that	this
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
fewer	!align="right	ballots
few	that	different
fewest	!align="right	ballots
few	that	this
fewer	!align="right	!align="right
fewest	than	than
trickier	!align="right	!align="right
tricky	that	this
trickiest	!align="right	!align="right
tricky	that	this
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
thicker	!align="right	ballots
thick	slopes	mountain
thickest	!align="right	ballots
thick	slopes	mountain
thicker	!align="right	!align="right
thickest	!align="right	!align="right
earlier	!align="right	ballots
early	the	through
earliest	!align="right	ballots
early	slopes	area
earlier	of	evidence
earliest	by	this
swifter	!align="right	!align="right
swift	slopes	mountain
swiftest	!align="right	!align="right
swift	slopes	mountain
swifter	!align="right	!align="right
swiftest	!align="right	!align="right
bigger	!align="right	ballots
big	slopes	through
biggest	!align="right	ballots
big	slopes	area
bigger	best	first
biggest	time	even
deeper	!align="right	ballots
deep	slopes	slopes
deepest	!align="right	ballots
deep	slopes	mountain
deeper	!align="right	!align="right
deepest	these	this
tighter	!align="right	ballots
tight	temperatures	winters
tightest	!align="right	ballots
tight	temperatures	winters
tighter	!align="right	!align="right
tightest	!align="right	!align="right
wider	!align="right	ballots
wide	which	its
widest	!align="right	ballots
wide	temperatures	winters
wider	!align="right	!align="right
widest	be	be
prettier	!align="right	ballots
pretty	temperatures	winters
prettiest	!align="right	ballots
pretty	temperatures	winters
prettier	!align="right	!align="right
prettiest	!align="right	!align="right
older	!align="right	ballots
old	or	of
oldest	!align="right	ballots
old	in	in
older	in	first
oldest	65	were
wiser	!align="right	votes
wise	temperatures	winters
wisest	!align="right	votes
wise	temperatures	winters
wiser	!align="right	!align="right
wisest	!align="right	!align="right
milder	!align="right	ballots
mild	that	has
mildest	!align="right	ballots
mild	that	has
milder	!align="right	!align="right
mildest	!align="right	!align="right
prettier	!align="right	ballots
pretty	that	has
prettiest	!align="right	ballots
pretty	that	has
prettier	!align="right	!align="right
prettiest	!align="right	!align="right
narrower	!align="right	!align="right
narrow	that	has
narrowest	!align="right	!align="right
narrow	that	has
narrower	!align="right	!align="right
narrowest	!align="right	!align="right
stiffer	!align="right	!align="right
stiff	that	has
stiffest	!align="right	!align="right
stiff	that	has
stiffer	!align="right	!align="right
stiffest	!align="right	!align="right
older	!align="right	ballots
old	age	age
oldest	!align="right	ballots
old	in	in
older	in	first
oldest	65	were
steadier	!align="right	ballots
steady	a	be
steadiest	!align="right	ballots
steady	a	be
steadier	!align="right	!align="right
steadiest	!align="right	!align="right
fairer	!align="right	ballots
fair	a	be
fairest	!align="right	ballots
fair	a	be
fairer	!align="right	!align="right
fairest	!align="right	!align="right
smarter	!align="right	turnout
smart	a	be
smartest	!align="right	turnout
smart	a	be
smarter	!align="right	!align="right
smartest	!align="right	!align="right
sharper	!align="right	turnout
sharp	a	be
sharpest	!align="right	turnout
sharp	a	be
sharper	!align="right	!align="right
sharpest	!align="right	!align="right
deeper	!align="right	ballots
deep	is	two
deepest	!align="right	ballots
deep	a	be
deeper	!align="right	!align="right
deepest	these	this
bloodier	!align="right	gubernatorial
bloody	the	this
bloodiest	!align="right	gubernatorial
bloody	the	this
bloodier	!align="right	!align="right
bloodiest	!align="right	!align="right
quicker	!align="right	ballots
quick	the	this
quickest	!align="right	ballots
quick	the	this
quicker	!align="right	!align="right
quickest	!align="right	!align="right
narrower	!align="right	!align="right
narrow	the	this
narrowest	!align="right	!align="right
narrow	the	this
narrower	!align="right	!align="right
narrowest	!align="right	!align="right
savvier	!align="right	!align="right
savvy	the	this
savviest	!align="right	!align="right
savvy	the	this
savvier	!align="right	!align="right
savviest	!align="right	!align="right
stronger	!align="right	!align="right
strong	to	to
strongest	!align="right	!align="right
strong	the	to
stronger	the	but
strongest	that	however
better	!align="right	voters
good	to	to
best	!align="right	voters
good	with	song
better	award	nominated
best	that	their
slicker	!align="right	!align="right
slick	pale	are
slickest	!align="right	!align="right
slick	pale	are
slicker	!align="right	!align="right
slickest	!align="right	!align="right
friendlier	!align="right	ballots
friendly	pale	are
friendliest	!align="right	ballots
friendly	pale	are
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
bigger	!align="right	ballots
big	are	to
biggest	!align="right	ballots
big	which	two
bigger	best	first
biggest	time	even
stronger	!align="right	!align="right
strong	that	to
strongest	!align="right	!align="right
strong	the	to
stronger	the	but
strongest	that	however
milder	!align="right	ballots
mild	by	however
mildest	!align="right	ballots
mild	by	however
milder	!align="right	!align="right
mildest	!align="right	!align="right
faster	!align="right	ballots
fastest	can	to
fast	!align="right	ballots
fastest	which	to
faster	can	this
fast	than	than
busier	!align="right	ballots
busy	by	however
busiest	!align="right	ballots
busy	by	however
busier	!align="right	!align="right
busiest	!align="right	!align="right
luckier	!align="right	ballots
lucky	by	however
luckiest	!align="right	ballots
lucky	by	however
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
wiser	!align="right	votes
wise	by	however
wisest	!align="right	votes
wise	by	however
wiser	!align="right	!align="right
wisest	!align="right	!align="right
lighter	are	are
light	darker	than
lightest	are	are
light	!align="right	!align="right
lighter	!align="right	!align="right
lightest	darker	than
healthier	food	this
healthy	!align="right	!align="right
healthiest	food	this
healthy	!align="right	!align="right
healthier	!align="right	!align="right
healthiest	!align="right	!align="right
costlier	be	be
costly	!align="right	!align="right
costliest	be	be
costly	!align="right	!align="right
costlier	!align="right	!align="right
costliest	!align="right	!align="right
meaner	or	if
mean	!align="right	!align="right
meanest	or	if
mean	!align="right	!align="right
meaner	!align="right	!align="right
meanest	!align="right	!align="right
older	the	were
old	65	were
oldest	the	were
old	in	first
older	in	first
oldest	65	were
louder	!align="right	ballots
loud	yellow	this
loudest	!align="right	ballots
loud	yellow	this
louder	!align="right	!align="right
loudest	!align="right	!align="right
tougher	!align="right	voting
tough	yellow	this
toughest	!align="right	voting
tough	yellow	this
tougher	!align="right	!align="right
toughest	!align="right	!align="right
darker	!align="right	!align="right
dark	yellow	yellow
darkest	!align="right	!align="right
dark	yellow	this
darker	!align="right	!align="right
darkest	forewings	scales
easier	!align="right	ordering
easy	it	to
easiest	!align="right	ordering
easy	yellow	this
easier	!align="right	!align="right
easiest	be	this
trickier	!align="right	!align="right
tricky	yellow	this
trickiest	!align="right	!align="right
tricky	yellow	this
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
larger	!align="right	!align="right
large	it	like
largest	!align="right	!align="right
large	the	in
larger	located	among
largest	are	this
tastier	!align="right	!align="right
tasty	really	telling
tastiest	!align="right	!align="right
tasty	really	telling
tastier	!align="right	!align="right
tastiest	!align="right	!align="right
healthier	!align="right	turnout
healthy	really	telling
healthiest	!align="right	turnout
healthy	really	telling
healthier	!align="right	!align="right
healthiest	!align="right	!align="right
faster	!align="right	turnout
fastest	you	really
fast	!align="right	turnout
fastest	really	really
faster	can	this
fast	than	than
noisier	!align="right	!align="right
noisy	really	telling
noisiest	!align="right	!align="right
noisy	really	telling
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
smaller	!align="right	!align="right
small	are	to
smallest	!align="right	!align="right
small	food	food
smaller	is	than
smallest	are	are
fuller	!align="right	!align="right
full	to	to
fullest	!align="right	!align="right
full	food	this
fuller	!align="right	!align="right
fullest	john	marshall
younger	!align="right	ballots
young	his	to
youngest	!align="right	ballots
young	his	children
younger	born	november
youngest	his	who
smarter	!align="right	gubernatorial
smart	food	this
smartest	!align="right	gubernatorial
smart	food	this
smarter	!align="right	!align="right
smartest	!align="right	!align="right
deeper	!align="right	ballots
deep	food	to
deepest	!align="right	ballots
deep	food	this
deeper	!align="right	!align="right
deepest	these	this
classier	!align="right	!align="right
classy	or	if
classiest	!align="right	!align="right
classy	or	if
classier	!align="right	!align="right
classiest	!align="right	!align="right
stickier	!align="right	!align="right
sticky	or	if
stickiest	!align="right	!align="right
sticky	or	if
stickier	!align="right	!align="right
stickiest	!align="right	!align="right
happier	!align="right	!align="right
happy	or	if
happiest	!align="right	!align="right
happy	or	if
happier	!align="right	!align="right
happiest	!align="right	!align="right
poorer	!align="right	ballots
poor	or	if
poorest	!align="right	ballots
poor	or	if
poorer	!align="right	!align="right
poorest	!align="right	!align="right
softer	!align="right	ballots
soft	or	if
softest	!align="right	ballots
soft	or	if
softer	!align="right	!align="right
softest	!align="right	!align="right
higher	!align="right	ballots
high	high	high
highest	!align="right	ballots
high	in	in
higher	in	first
highest	are	be
thinner	!align="right	blank
thin	she	but
thinnest	!align="right	blank
thin	she	but
thinner	!align="right	!align="right
thinnest	!align="right	!align="right
fairer	!align="right	ballots
fair	she	but
fairest	!align="right	ballots
fair	she	but
fairer	!align="right	!align="right
fairest	!align="right	!align="right
mightier	!align="right	voters
mighty	she	but
mightiest	!align="right	voters
mighty	she	but
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
noisier	!align="right	!align="right
noisy	she	but
noisiest	!align="right	!align="right
noisy	she	but
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
kinder	!align="right	christie
kind	humid	winters
kindest	!align="right	christie
kind	humid	winters
kinder	!align="right	!align="right
kindest	!align="right	!align="right
easier	!align="right	ordering
easy	are	temperatures
easiest	!align="right	ordering
easy	humid	winters
easier	!align="right	!align="right
easiest	be	this
busier	!align="right	ballots
busy	humid	winters
busiest	!align="right	ballots
busy	humid	winters
busier	!align="right	!align="right
busiest	!align="right	!align="right
trickier	!align="right	!align="right
tricky	humid	winters
trickiest	!align="right	!align="right
tricky	humid	winters
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
riskier	!align="right	!align="right
risky	humid	winters
riskiest	!align="right	!align="right
risky	humid	winters
riskier	!align="right	!align="right
riskiest	!align="right	!align="right
rougher	!align="right	ballots
rough	i	get
roughest	!align="right	ballots
rough	i	get
rougher	!align="right	!align="right
roughest	!align="right	!align="right
friendlier	!align="right	ballots
friendly	i	get
friendliest	!align="right	ballots
friendly	i	get
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
shorter	!align="right	ballots
short	i	short
shortest	!align="right	ballots
short	i	get
shorter	!align="right	!align="right
shortest	than	than
faster	!align="right	ballots
fastest	you	i
fast	!align="right	ballots
fastest	i	i
faster	can	this
fast	than	than
fewer	!align="right	ballots
few	i	i
fewest	!align="right	ballots
few	i	get
fewer	!align="right	!align="right
fewest	than	than
stickier	!align="right	!align="right
sticky	!align="right	!align="right
stickiest	!align="right	!align="right
sticky	!align="right	!align="right
stickier	!align="right	!align="right
stickiest	!align="right	!align="right
messier	!align="right	!align="right
messy	!align="right	!align="right
messiest	!align="right	!align="right
messy	!align="right	!align="right
messier	!align="right	!align="right
messiest	!align="right	!align="right
leaner	!align="right	!align="right
lean	!align="right	!align="right
leanest	!align="right	!align="right
lean	!align="right	!align="right
leaner	!align="right	!align="right
leanest	!align="right	!align="right
closer	it	this
close	some	among
closest	it	this
close	is	first
closer	is	first
closest	some	among
trickier	!align="right	!align="right
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	!align="right	!align="right
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
thinner	!align="right	blank
thin	it's	but
thinnest	!align="right	blank
thin	it's	but
thinner	!align="right	!align="right
thinnest	!align="right	!align="right
nicer	!align="right	!align="right
nice	it's	but
nicest	!align="right	!align="right
nice	it's	but
nicer	!align="right	!align="right
nicest	!align="right	!align="right
savvier	!align="right	!align="right
savvy	it's	but
savviest	!align="right	!align="right
savvy	it's	but
savvier	!align="right	!align="right
savviest	!align="right	!align="right
smarter	!align="right	votes
smart	it's	but
smartest	!align="right	votes
smart	it's	but
smarter	!align="right	!align="right
smartest	!align="right	!align="right
fewer	!align="right	ballots
few	that	i
fewest	!align="right	ballots
few	it's	but
fewer	!align="right	!align="right
fewest	than	than
simpler	this	this
simple	using	be
simplest	this	this
simple	!align="right	!align="right
simpler	!align="right	!align="right
simplest	using	be
fancier	!align="right	!align="right
fancy	!align="right	!align="right
fanciest	!align="right	!align="right
fancy	!align="right	!align="right
fancier	!align="right	!align="right
fanciest	!align="right	!align="right
greater	of	this
great	of	be
greatest	of	this
great	best	first
greater	best	first
greatest	of	be
luckier	you	leaving
lucky	!align="right	!align="right
luckiest	you	leaving
lucky	!align="right	!align="right
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
deeper	water	this
deep	these	this
deepest	water	this
deep	!align="right	!align="right
deeper	!align="right	!align="right
deepest	these	this
richer	is	this
rich	!align="right	!align="right
richest	is	this
rich	!align="right	!align="right
richer	!align="right	!align="right
richest	!align="right	!align="right
louder	we	even
loud	!align="right	!align="right
loudest	we	even
loud	!align="right	!align="right
louder	!align="right	!align="right
loudest	!align="right	!align="right
rougher	a	be
rough	!align="right	!align="right
roughest	a	be
rough	!align="right	!align="right
rougher	!align="right	!align="right
roughest	!align="right	!align="right
slower	this	this
slow	more	than
slowest	this	this
slow	!align="right	!align="right
slower	!align="right	!align="right
slowest	more	than
nastier	!align="right	!align="right
nasty	!align="right	!align="right
nastiest	!align="right	!align="right
nasty	!align="right	!align="right
nastier	!align="right	!align="right
nastiest	!align="right	!align="right
slimmer	by	however
slim	!align="right	!align="right
slimmest	by	however
slim	!align="right	!align="right
slimmer	!align="right	!align="right
slimmest	!align="right	!align="right
smoother	shape	are
smooth	!align="right	!align="right
smoothest	shape	are
smooth	!align="right	!align="right
smoother	!align="right	!align="right
smoothest	!align="right	!align="right
meaner	or	if
mean	!align="right	!align="right
meanest	or	if
mean	!align="right	!align="right
meaner	!align="right	!align="right
meanest	!align="right	!align="right
longer	this	this
long	be	be
longest	this	this
long	the	first
longer	the	first
longest	be	be
shorter	film	long
short	than	than
shortest	film	long
short	!align="right	!align="right
shorter	!align="right	!align="right
shortest	than	than
wider	!align="right	ballots
wide	to	to
widest	!align="right	ballots
wide	to	their
wider	!align="right	!align="right
widest	be	be
fairer	!align="right	ballots
fair	to	their
fairest	!align="right	ballots
fair	to	their
fairer	!align="right	!align="right
fairest	!align="right	!align="right
smarter	!align="right	turnout
smart	to	their
smartest	!align="right	turnout
smart	to	their
smarter	!align="right	!align="right
smartest	!align="right	!align="right
deeper	!align="right	ballots
deep	to	to
deepest	!align="right	ballots
deep	to	their
deeper	!align="right	!align="right
deepest	these	this
luckier	!align="right	ballot
lucky	to	their
luckiest	!align="right	ballot
lucky	to	their
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
earlier	!align="right	turnout
early	his	his
earliest	!align="right	turnout
early	his	his
earlier	of	evidence
earliest	by	this
pricier	!align="right	!align="right
pricey	you	leaving
priciest	!align="right	!align="right
pricey	you	leaving
pricier	!align="right	!align="right
priciest	!align="right	!align="right
wider	!align="right	turnout
wide	to	to
widest	!align="right	turnout
wide	you	leaving
wider	!align="right	!align="right
widest	be	be
lower	!align="right	!align="right
low	the	its
lowest	!align="right	!align="right
low	one	to
lower	highest	than
lowest	upper	this
steeper	!align="right	turnout
steep	you	leaving
steepest	!align="right	turnout
steep	you	leaving
steeper	!align="right	!align="right
steepest	!align="right	!align="right
wealthier	!align="right	gubernatorial
wealthy	be	be
wealthiest	!align="right	gubernatorial
wealthy	be	be
wealthier	!align="right	!align="right
wealthiest	!align="right	!align="right
richer	!align="right	blank
rich	be	be
richest	!align="right	blank
rich	be	be
richer	!align="right	!align="right
richest	!align="right	!align="right
faster	!align="right	ballots
fastest	can	to
fast	!align="right	ballots
fastest	can	to
faster	can	this
fast	than	than
taller	!align="right	blank
tall	be	be
tallest	!align="right	blank
tall	building	to
taller	height	large
tallest	!align="right	!align="right
luckier	!align="right	blank
lucky	be	be
luckiest	!align="right	blank
lucky	be	be
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
wider	!align="right	votes
wide	more	very
widest	!align="right	votes
wide	we	even
wider	!align="right	!align="right
widest	be	be
slower	!align="right	votes
slow	more	slow
slowest	!align="right	votes
slow	we	even
