rougher	denser	denser
loud	loud	deeper
loudest	!align="right	!align="right
loud	italic	italic
louder	!align="right	!align="right
loudest	loud	loud
newer	!align="right	!align="right
new	contrasting	contrasting
newest	!align="right	!align="right
new	latest	latest
newer	latest	latest
newest	larger	larger
cooler	!align="right	!align="right
cool	cool	sunny
coolest	!align="right	!align="right
cool	italic	italic
cooler	!align="right	!align="right
coolest	warmer	warmer
narrower	!align="right	!align="right
narrow	narrow	narrow
narrowest	!align="right	!align="right
narrow	narrow	narrow
narrower	widest	widest
narrowest	narrow	narrow
busier	!align="right	!align="right
busy	italic	italic
busiest	!align="right	!align="right
busy	sensational	sensational
busier	largest	largest
busiest	!align="right	!align="right
gentler	quieter	quieter
gentle	!align="right	!align="right
gentlest	!align="right	!align="right
gentle	thin	thin
gentler	thinner	thinner
gentlest	!align="right	!align="right
fancier	farewell	farewell
fancy	!align="right	!align="right
fanciest	!align="right	!align="right
fancy	thin	thin
fancier	thinner	thinner
fanciest	!align="right	!align="right
noisier	quieter	quieter
noisy	!align="right	!align="right
noisiest	!align="right	!align="right
noisy	thin	thin
noisier	thinner	thinner
noisiest	!align="right	!align="right
smarter	smarter	smarter
smart	fraud	fraud
smartest	!align="right	!align="right
smart	thin	thin
smarter	thinner	thinner
smartest	!align="right	!align="right
trickier	easier	sinclair
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	thin	thin
trickier	thinner	thinner
trickiest	!align="right	!align="right
tastier	!align="right	!align="right
tasty	!align="right	!align="right
tastiest	!align="right	!align="right
tasty	sort	sort
tastier	wicks	wicks
tastiest	!align="right	!align="right
easier	easier	easier
easy	sort	sort
easiest	!align="right	!align="right
easy	sort	sort
easier	easy	easy
easiest	!align="right	colspan=3|total
mightier	marty	marty
mighty	!align="right	!align="right
mightiest	!align="right	!align="right
mighty	sort	sort
mightier	wicks	wicks
mightiest	!align="right	!align="right
fewer	several	several
few	kinds	kinds
fewest	!align="right	colspan=3|total
few	sort	sort
fewer	minimal	minimal
fewest	!align="right	colspan=3|total
trickier	philips	drake
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	sort	sort
trickier	wicks	wicks
trickiest	!align="right	!align="right
thicker	thicker	thicker
thick	thin	thin
thickest	!align="right	!align="right
thick	steeper	steeper
thicker	steep	steep
thickest	!align="right	!align="right
earlier	late	late
early	previous	previous
earliest	!align="right	!align="right
early	early	spectacular
earlier	finest	finest
earliest	!align="right	!align="right
swifter	safer	sanford
swift	!align="right	!align="right
swiftest	!align="right	!align="right
swift	steeper	steeper
swifter	steep	steep
swiftest	!align="right	!align="right
bigger	bigger	bigger
big	larger	large
biggest	!align="right	!align="right
big	huge	huge
bigger	largest	massive
biggest	!align="right	!align="right
deeper	deeper	deeper
deep	deep	deep
deepest	!align="right	!align="right
deep	deep	deep
deeper	deeper	deeper
deepest	!align="right	!align="right
tighter	tighter	tighter
tight	tight	tight
tightest	driest	tighter
tight	!align="right	!align="right
tighter	!align="right	!align="right
tightest	driest	undue
wider	wider	wider
wide	broader	wide
widest	widest	widest
wide	wider	broad
wider	wider	wider
widest	widest	widest
prettier	funny	funny
pretty	!align="right	!align="right
prettiest	driest	driest
pretty	!align="right	!align="right
prettier	!align="right	!align="right
prettiest	!align="right	!align="right
older	older	older
old	old	old
oldest	older	older
old	earliest	earliest
older	earliest	older
oldest	wettest	oldest
wiser	bowman	bowman
wise	!align="right	!align="right
wisest	driest	wealthiest
wise	!align="right	!align="right
wiser	!align="right	!align="right
wisest	!align="right	!align="right
milder	!align="right	!align="right
mild	harsh	harsh
mildest	groin	groin
mild	!align="right	!align="right
milder	!align="right	!align="right
mildest	cooler	cooler
prettier	!align="right	!align="right
pretty	fairs	fairs
prettiest	funny	funny
pretty	!align="right	!align="right
prettier	!align="right	!align="right
prettiest	obec	obec
narrower	!align="right	colspan=3|total
narrow	broad	broad
narrowest	narrower	narrower
narrow	widest	widest
narrower	!align="right	!align="right
narrowest	broad	broad
stiffer	!align="right	!align="right
stiff	fairs	fairs
stiffest	glandular	glandular
stiff	!align="right	!align="right
stiffer	!align="right	!align="right
stiffest	obec	obec
older	!align="right	!align="right
old	younger	earlier
oldest	older	older
old	largest	largest
older	!align="right	!align="right
oldest	younger	younger
steadier	!align="right	!align="right
steady	treacherous	treacherous
steadiest	!align="right	!align="right
steady	treacherous	treacherous
steadier	!align="right	!align="right
steadiest	!align="right	!align="right
fairer	!align="right	!align="right
fair	treacherous	treacherous
fairest	!align="right	!align="right
fair	lightning	lightning
fairer	obec	obec
fairest	!align="right	!align="right
smarter	!align="right	!align="right
smart	better	better
smartest	!align="right	!align="right
smart	treacherous	treacherous
smarter	!align="right	!align="right
smartest	faster	faster
sharper	!align="right	!align="right
sharp	better	better
sharpest	!align="right	!align="right
sharp	treacherous	treacherous
sharper	!align="right	!align="right
sharpest	smoother	smoother
deeper	!align="right	!align="right
deep	deep	deep
deepest	!align="right	!align="right
deep	deep	deep
deeper	deep	deep
deepest	deep	deep
bloodier	!align="right	!align="right
bloody	congested	congested
bloodiest	largest	franco-prussian
bloody	!align="right	!align="right
bloodier	!align="right	!align="right
bloodiest	largest	largest
quicker	!align="right	!align="right
quick	slower	slower
quickest	rapid	rapid
quick	slow	slow
quicker	!align="right	!align="right
quickest	faster	faster
narrower	!align="right	!align="right
narrow	narrow	narrow
narrowest	narrowest	narrowest
narrow	narrow	narrow
narrower	!align="right	!align="right
narrowest	narrow	narrow
savvier	!align="right	!align="right
savvy	congested	congested
savviest	!align="right	!align="right
savvy	!align="right	!align="right
savvier	!align="right	!align="right
savviest	largest	largest
stronger	!align="right	!align="right
strong	strong	strong
strongest	strongest	strongest
strong	strong	strong
stronger	!align="right	!align="right
strongest	strongest	strongest
better	better	better
good	good	good
best	bad	best
good	better	better
better	better	better
best	best	best
slicker	update	update
slick	!align="right	!align="right
slickest	rap	rap
slick	!align="right	!align="right
slicker	!align="right	!align="right
slickest	!align="right	!align="right
friendlier	rivalry	italians
friendly	!align="right	!align="right
friendliest	sino-japanese	sino-japanese
friendly	!align="right	!align="right
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
bigger	bigger	bigger
big	big	big
biggest	biggest	biggest
big	largest	huge
bigger	largest	bigger
biggest	biggest	biggest
stronger	stronger	stronger
strong	strong	strong
strongest	strongest	strongest
strong	strong	strong
stronger	stronger	stronger
strongest	strongest	strongest
milder	!align="right	!align="right
mild	mild	mild
mildest	!align="right	!align="right
mild	chuck	smooth
milder	!align="right	!align="right
mildest	drier	drier
faster	!align="right	!align="right
fastest	slower	slower
fast	!align="right	!align="right
fastest	slow	slow
faster	slow	slow
fast	slower	slower
busier	!align="right	!align="right
busy	chuck	smooth
busiest	!align="right	!align="right
busy	busy	busy
busier	largest	largest
busiest	!align="right	!align="right
luckier	!align="right	!align="right
lucky	chuck	smooth
luckiest	!align="right	!align="right
lucky	chuck	smooth
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
wiser	!align="right	!align="right
wise	chuck	smooth
wisest	!align="right	!align="right
wise	chuck	smooth
wiser	!align="right	!align="right
wisest	!align="right	!align="right
lighter	!align="right	!align="right
light	heavier	dazzling
lightest	!align="right	!align="right
light	fashionable	fashionable
lighter	!align="right	!align="right
lightest	heavier	heavier
healthier	!align="right	!align="right
healthy	better	better
healthiest	!align="right	!align="right
healthy	fashionable	fashionable
healthier	!align="right	!align="right
healthiest	healthy	healthy
costlier	!align="right	colspan=3|total
costly	fashionable	fashionable
costliest	!align="right	colspan=3|total
costly	fashionable	fashionable
costlier	!align="right	!align="right
costliest	!align="right	!align="right
meaner	!align="right	colspan=3|total
mean	fashionable	fashionable
meanest	!align="right	colspan=3|total
mean	fashionable	fashionable
meaner	!align="right	!align="right
meanest	!align="right	!align="right
older	!align="right	!align="right
old	earlier	earlier
oldest	!align="right	!align="right
old	largest	richest
older	largest	largest
oldest	younger	younger
louder	!align="right	!align="right
loud	blue	blue
loudest	!align="right	!align="right
loud	yellow	yellow
louder	!align="right	!align="right
loudest	loud	loud
tougher	!align="right	!align="right
tough	blue	gray
toughest	!align="right	!align="right
tough	blue	blue
tougher	hardest	hardest
toughest	healthier	healthier
darker	!align="right	!align="right
dark	dark	dark
darkest	!align="right	!align="right
dark	dark	dark
darker	finest	finest
darkest	paler	paler
easier	!align="right	!align="right
easy	easy	brown
easiest	!align="right	!align="right
easy	blue	blue
easier	difficult	difficult
easiest	difficult	difficult
trickier	!align="right	!align="right
tricky	yellow	yellow
trickiest	!align="right	!align="right
tricky	yellow	yellow
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
larger	!align="right	!align="right
large	smaller	smaller
largest	small	largest
large	biggest	large
larger	!align="right	!align="right
largest	smaller	smaller
tastier	!align="right	!align="right
tasty	hilarious	hilarious
tastiest	!align="right	!align="right
tasty	!align="right	!align="right
tastier	!align="right	!align="right
tastiest	sexiest	sexiest
healthier	!align="right	!align="right
healthy	fun	fun
healthiest	nutrition	nutrition
healthy	!align="right	!align="right
healthier	!align="right	!align="right
healthiest	better	better
faster	!align="right	!align="right
fastest	slower	slow
fast	fastest-growing	fastest-growing
fastest	slow	slow
faster	!align="right	!align="right
fast	slower	slower
noisier	!align="right	!align="right
noisy	hilarious	hilarious
noisiest	noctuidae	28.9
noisy	!align="right	!align="right
noisier	!align="right	!align="right
noisiest	sexiest	sexiest
smaller	smaller	smaller
small	small	small
smallest	!align="right	!align="right
small	small	small
smaller	larger	larger
smallest	!align="right	!align="right
fuller	full-time	full-time
full	whitney	whitney
fullest	!align="right	!align="right
full	healthier	healthier
fuller	healthy	healthy
fullest	!align="right	!align="right
younger	younger	younger
young	young	young
youngest	!align="right	!align="right
young	young	young
younger	healthy	healthy
youngest	!align="right	!align="right
smarter	phones	phones
smart	smart	smart
smartest	!align="right	!align="right
smart	healthier	healthier
smarter	healthy	healthy
smartest	!align="right	!align="right
deeper	deeper	deeper
deep	deep	deep
deepest	!align="right	!align="right
deep	deep	deep
deeper	deeper	deeper
deepest	!align="right	!align="right
classier	!align="right	!align="right
classy	denote	denote
classiest	!align="right	!align="right
classy	denote	denote
classier	!align="right	!align="right
classiest	!align="right	!align="right
stickier	!align="right	!align="right
sticky	denote	denote
stickiest	!align="right	!align="right
sticky	denote	denote
stickier	!align="right	!align="right
stickiest	!align="right	!align="right
happier	!align="right	!align="right
happy	happy	better
happiest	!align="right	!align="right
happy	denote	denote
happier	!align="right	!align="right
happiest	happy	happy
poorer	!align="right	!align="right
poor	better	better
poorest	!align="right	!align="right
poor	better	better
poorer	wealthiest	wealthiest
poorest	poor	poor
softer	!align="right	!align="right
soft	better	better
softest	!align="right	!align="right
soft	denote	denote
softer	!align="right	!align="right
softest	thicker	thicker
higher	!align="right	!align="right
high	lower	better
highest	!align="right	!align="right
high	lowest	spectacular
higher	lowest	lowest
highest	lower	lower
thinner	!align="right	!align="right
thin	sweet	sweet
thinnest	!align="right	!align="right
thin	sweet	sweet
thinner	!align="right	!align="right
thinnest	thicker	thicker
fairer	!align="right	!align="right
fair	sweet	sweet
fairest	!align="right	!align="right
fair	funny	quiet
fairer	obec	obec
fairest	!align="right	!align="right
mightier	!align="right	!align="right
mighty	sweet	sweet
mightiest	!align="right	!align="right
mighty	sweet	sweet
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
noisier	!align="right	!align="right
noisy	sweet	sweet
noisiest	!align="right	!align="right
noisy	sweet	sweet
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
kinder	sort	sort
kind	nice	nice
kindest	!align="right	!align="right
kind	severe	severe
kinder	drier	drier
kindest	!align="right	!align="right
easier	easier	difficult
easy	easy	easy
easiest	!align="right	!align="right
easy	severe	cool
easier	difficult	better
easiest	!align="right	!align="right
busier	norm	norm
busy	!align="right	!align="right
busiest	!align="right	!align="right
busy	weather	weather
busier	cooler	cooler
busiest	!align="right	!align="right
trickier	difficult	difficult
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	severe	severe
trickier	drier	drier
trickiest	!align="right	!align="right
riskier	difficult	difficult
risky	!align="right	!align="right
riskiest	!align="right	!align="right
risky	severe	severe
riskier	drier	drier
riskiest	!align="right	!align="right
rougher	!align="right	colspan=3|total
rough	very	very
roughest	!align="right	colspan=3|total
rough	very	very
rougher	!align="right	!align="right
roughest	!align="right	!align="right
friendlier	!align="right	!align="right
friendly	very	very
friendliest	!align="right	!align="right
friendly	very	very
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
shorter	!align="right	!align="right
short	long	long
shortest	!align="right	!align="right
short	funny	funny
shorter	longest	longest
shortest	short	short
faster	!align="right	!align="right
fastest	fast	fast
fast	!align="right	!align="right
fastest	slow	slow
faster	slow	slow
fast	slower	slower
fewer	colspan=3|total	colspan=3|total
few	more	more
fewest	colspan=3|total	colspan=3|total
few	very	very
fewer	season-high	season-high
fewest	less	less
stickier	!align="right	!align="right
sticky	realistic	realistic
stickiest	!align="right	!align="right
sticky	realistic	realistic
stickier	!align="right	!align="right
stickiest	!align="right	!align="right
messier	!align="right	!align="right
messy	spectacular	spectacular
messiest	!align="right	!align="right
messy	realistic	realistic
messier	!align="right	!align="right
messiest	alouettes	alouettes
leaner	!align="right	!align="right
lean	realistic	realistic
leanest	!align="right	!align="right
lean	realistic	realistic
leaner	!align="right	!align="right
leanest	!align="right	!align="right
closer	!align="right	!align="right
close	close	close
closest	!align="right	!align="right
close	close	close
closer	nearest	nearest
closest	close	close
trickier	!align="right	!align="right
tricky	realistic	realistic
trickiest	!align="right	!align="right
tricky	realistic	realistic
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
thinner	!align="right	!align="right
thin	lighter	lighter
thinnest	!align="right	!align="right
thin	happy	happy
thinner	!align="right	!align="right
thinnest	thicker	thicker
nicer	!align="right	!align="right
nice	happy	happy
nicest	!align="right	!align="right
nice	happy	happy
nicer	!align="right	!align="right
nicest	!align="right	!align="right
savvier	!align="right	!align="right
savvy	happy	happy
savviest	!align="right	!align="right
savvy	happy	happy
savvier	!align="right	!align="right
savviest	!align="right	!align="right
smarter	!align="right	!align="right
smart	happy	happy
smartest	!align="right	!align="right
smart	happy	happy
smarter	!align="right	!align="right
smartest	faster	faster
fewer	!align="right	colspan=3|total
few	more	more
fewest	!align="right	colspan=3|total
few	upset	upset
fewer	season-high	season-high
fewest	less	less
simpler	!align="right	!align="right
simple	simple	simple
simplest	!align="right	!align="right
simple	simple	simple
simpler	simple	simple
simplest	simple	simple
fancier	!align="right	!align="right
fancy	extremely	extremely
fanciest	!align="right	!align="right
fancy	extremely	extremely
fancier	!align="right	!align="right
fanciest	!align="right	!align="right
greater	!align="right	!align="right
great	larger	larger
greatest	!align="right	!align="right
great	finest	great
greater	biggest	biggest
greatest	higher	higher
luckier	!align="right	!align="right
lucky	extremely	extremely
luckiest	!align="right	!align="right
lucky	extremely	extremely
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
deeper	!align="right	!align="right
deep	deep	deep
deepest	!align="right	!align="right
deep	deep	deep
deeper	deep	deep
deepest	deep	deep
richer	!align="right	!align="right
rich	rich	rich
richest	!align="right	!align="right
rich	rich	rich
richer	wealthiest	wealthiest
richest	rich	rich
louder	!align="right	!align="right
loud	screaming	spike
loudest	!align="right	!align="right
loud	complicated	complicated
louder	!align="right	!align="right
loudest	loud	loud
rougher	!align="right	!align="right
rough	complicated	complicated
roughest	!align="right	!align="right
rough	complicated	complicated
rougher	!align="right	!align="right
roughest	!align="right	!align="right
slower	!align="right	!align="right
slow	faster	faster
slowest	!align="right	!align="right
slow	complicated	complicated
slower	!align="right	!align="right
slowest	faster	faster
nastier	!align="right	!align="right
nasty	complicated	complicated
nastiest	!align="right	!align="right
nasty	complicated	complicated
nastier	!align="right	!align="right
nastiest	!align="right	!align="right
slimmer	!align="right	!align="right
slim	bad	bad
slimmest	!align="right	!align="right
slim	bad	bad
slimmer	!align="right	!align="right
slimmest	!align="right	!align="right
smoother	!align="right	!align="right
smooth	bad	bad
smoothest	!align="right	!align="right
smooth	bad	bad
smoother	!align="right	!align="right
smoothest	quieter	quieter
meaner	!align="right	!align="right
mean	bad	bad
meanest	!align="right	!align="right
mean	bad	bad
meaner	!align="right	!align="right
meanest	!align="right	!align="right
longer	!align="right	!align="right
long	long	long
longest	!align="right	!align="right
long	long	long
longer	shortest	shortest
longest	shorter	shorter
shorter	!align="right	!align="right
short	short	short
shortest	!align="right	!align="right
short	endless	endless
shorter	longest	longest
shortest	short	short
wider	!align="right	!align="right
wide	broader	massive
widest	!align="right	!align="right
wide	continuous	continuous
wider	narrowest	narrowest
widest	broader	broader
fairer	!align="right	!align="right
fair	continuous	continuous
fairest	!align="right	!align="right
fair	constant	quiet
fairer	obec	obec
fairest	!align="right	!align="right
smarter	!align="right	!align="right
smart	faster	faster
smartest	!align="right	!align="right
smart	continuous	continuous
smarter	!align="right	!align="right
smartest	faster	faster
deeper	!align="right	!align="right
deep	deep	deep
deepest	!align="right	!align="right
deep	deep	deep
deeper	deep	deep
deepest	deep	deep
luckier	!align="right	!align="right
lucky	continuous	continuous
luckiest	!align="right	!align="right
lucky	continuous	continuous
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
earlier	!align="right	!align="right
early	previous	later
earliest	!align="right	!align="right
early	early	early
earlier	oldest	oldest
earliest	previous	previous
pricier	!align="right	!align="right
pricey	wild	wild
priciest	!align="right	!align="right
pricey	wild	wild
pricier	!align="right	!align="right
priciest	!align="right	!align="right
wider	!align="right	!align="right
wide	broader	broader
widest	!align="right	!align="right
wide	wide	wide
wider	narrowest	narrowest
widest	broader	broader
lower	!align="right	!align="right
low	upper	upper
lowest	!align="right	!align="right
low	highest	highest
lower	highest	highest
lowest	upper	upper
steeper	!align="right	!align="right
steep	steep	tougher
steepest	!align="right	!align="right
steep	wild	wild
steeper	!align="right	!align="right
steepest	steep	steep
wealthier	!align="right	!align="right
wealthy	expensive	expensive
wealthiest	!align="right	!align="right
wealthy	expensive	expensive
wealthier	richest	richest
wealthiest	affluent	affluent
richer	!align="right	!align="right
rich	deeper	deeper
richest	!align="right	!align="right
rich	expensive	expensive
richer	wealthiest	wealthiest
richest	rich	rich
faster	!align="right	!align="right
fastest	slower	slower
fast	!align="right	!align="right
fastest	slow	slow
faster	slow	slow
fast	slower	slower
taller	!align="right	!align="right
tall	expensive	more
tallest	!align="right	!align="right
tall	expensive	expensive
taller	oldest	oldest
tallest	tall	tall
luckier	!align="right	!align="right
lucky	expensive	expensive
luckiest	!align="right	!align="right
lucky	expensive	expensive
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
wider	wider	wider
wide	wide	wide
widest	!align="right	!align="right
wide	wide	wide
wider	wider	wider
widest	!align="right	!align="right
slower	faster	faster
slow	fast	fast
slowest	!align="right	!align="right
slow	sounds	sounds
slower	loud	loud
slowest	!align="right	!align="right
friendlier	ambivalent	aggregate
friendly	!align="right	!align="right
friendliest	!align="right	!align="right
friendly	sounds	sounds
friendlier	loud	loud
friendliest	!align="right	!align="right
easier	easier	easier
easy	difficult	difficult
easiest	!align="right	!align="right
easy	fast	fast
easier	deeper	deeper
easiest	!align="right	!align="right
colder	colder	colder
cold	humid	humid
coldest	!align="right	!align="right
cold	warmest	temperatures
colder	warmest	warmest
coldest	!align="right	!align="right
lower	!align="right	!align="right
low	upper	low
lowest	!align="right	!align="right
low	low	low
lower	highest	highest
lowest	upper	upper
darker	!align="right	colspan=3|total
dark	dark	dark
darkest	!align="right	colspan=3|total
dark	dark	dark
darker	finest	finest
darkest	paler	paler
safer	!align="right	!align="right
safe	better	better
safest	!align="right	!align="right
safe	egg	egg
safer	cheapest	cheapest
safest	safe	safe
faster	!align="right	colspan=3|total
fastest	slower	slower
fast	!align="right	colspan=3|total
fastest	slow	slow
faster	slow	slow
fast	slower	slower
fresher	!align="right	colspan=3|total
fresh	cholesterol	cholesterol
freshest	!align="right	colspan=3|total
fresh	cholesterol	cholesterol
fresher	!align="right	!align="right
freshest	!align="right	!align="right
thinner	!align="right	!align="right
thin	warm	warm
thinnest	!align="right	!align="right
thin	dried	dried
thinner	!align="right	!align="right
thinnest	thicker	thicker
simpler	!align="right	!align="right
simple	simple	simple
simplest	!align="right	!align="right
simple	simple	clean
simpler	simple	simple
simplest	simple	simple
firmer	!align="right	!align="right
firm	dried	dried
firmest	!align="right	!align="right
firm	dried	dried
firmer	!align="right	!align="right
firmest	!align="right	!align="right
gentler	!align="right	!align="right
gentle	dried	dried
gentlest	!align="right	!align="right
gentle	dried	dried
gentler	!align="right	!align="right
gentlest	!align="right	!align="right
livelier	!align="right	!align="right
lively	dried	dried
liveliest	!align="right	!align="right
lively	dried	dried
livelier	!align="right	!align="right
liveliest	!align="right	!align="right
greener	yellow	yellow
green	!align="right	!align="right
greenest	yellow	yellow
green	!align="right	!align="right
greener	!align="right	!align="right
greenest	!align="right	!align="right
cheaper	inexpensive	inexpensive
cheap	easier	easier
cheapest	inexpensive	inexpensive
cheap	safest	safest
cheaper	safest	safest
cheapest	easier	easier
stickier	glabrous	glabrous
sticky	!align="right	!align="right
stickiest	glabrous	glabrous
sticky	!align="right	!align="right
stickier	!align="right	!align="right
stickiest	!align="right	!align="right
fatter	cholesterol	cholesterol
fat	!align="right	!align="right
fattest	cholesterol	cholesterol
fat	!align="right	!align="right
fatter	!align="right	!align="right
fattest	!align="right	!align="right
harder	harder	harder
hard	hard	hard
hardest	harder	harder
hard	toughest	toughest
harder	toughest	toughest
hardest	hard	hard
milder	severe	severe
mild	drier	drier
mildest	severe	severe
mild	!align="right	!align="right
milder	!align="right	!align="right
mildest	drier	drier
thinner	thick	thick
thin	thicker	thicker
thinnest	thick	thick
thin	!align="right	!align="right
thinner	!align="right	!align="right
thinnest	thicker	thicker
poorer	good	good
poor	poor	poor
poorest	good	good
poor	wealthiest	wealthiest
poorer	wealthiest	wealthiest
poorest	poor	poor
lower	high	high
low	upper	upper
lowest	high	high
low	highest	highest
lower	highest	highest
lowest	upper	upper
quicker	slow	slow
quick	faster	faster
quickest	slow	slow
quick	fastest	fastest
quicker	fastest	fastest
quickest	faster	faster
newer	!align="right	!align="right
new	larger	improved
newest	!align="right	!align="right
new	latest	latest
newer	latest	latest
newest	larger	larger
tougher	!align="right	!align="right
tough	relaxed	relaxed
toughest	!align="right	!align="right
tough	tough	tough
tougher	hardest	hardest
toughest	healthier	healthier
quicker	!align="right	!align="right
quick	faster	faster
quickest	!align="right	!align="right
quick	slow	slow
quicker	fastest	fastest
quickest	faster	faster
costlier	!align="right	!align="right
costly	hostile	hostile
costliest	!align="right	!align="right
costly	hostile	hostile
costlier	!align="right	!align="right
costliest	!align="right	!align="right
shorter	!align="right	!align="right
short	short	short
shortest	!align="right	!align="right
short	hostile	quiet
shorter	longest	longest
shortest	short	short
louder	!align="right	!align="right
loud	loud	loud
loudest	!align="right	!align="right
loud	adams	adams
louder	!align="right	!align="right
loudest	loud	loud
nastier	!align="right	!align="right
nasty	adams	adams
nastiest	!align="right	!align="right
nasty	adams	adams
nastier	!align="right	!align="right
nastiest	!align="right	!align="right
greater	!align="right	!align="right
great	great	great
greatest	!align="right	!align="right
great	great	great
greater	biggest	biggest
greatest	higher	higher
wiser	!align="right	!align="right
wise	adams	adams
wisest	!align="right	!align="right
wise	adams	adams
wiser	!align="right	!align="right
wisest	!align="right	!align="right
closer	!align="right	!align="right
close	close	close
closest	!align="right	!align="right
close	close	close
closer	nearest	nearest
closest	close	close
thicker	thin	thin
thick	thinner	thinner
thickest	thin	thin
thick	!align="right	!align="right
thicker	!align="right	!align="right
thickest	thinner	thinner
classier	!align="right	!align="right
classy	!align="right	!align="right
classiest	!align="right	!align="right
classy	!align="right	!align="right
classier	!align="right	!align="right
classiest	!align="right	!align="right
simpler	simpler	simpler
simple	simple	simple
simplest	simpler	simpler
simple	simple	simple
simpler	simple	simple
simplest	simple	simple
busier	congested	congested
busy	!align="right	!align="right
busiest	congested	congested
busy	largest	largest
busier	largest	largest
busiest	!align="right	!align="right
trickier	complicated	complicated
tricky	!align="right	!align="right
trickiest	complicated	complicated
tricky	!align="right	!align="right
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
worse	good	good
bad	better	better
worst	good	good
bad	best	best
worse	best	best
worst	better	better
fatter	cholesterol	cholesterol
fat	!align="right	!align="right
fattest	cholesterol	cholesterol
fat	!align="right	!align="right
fatter	!align="right	!align="right
fattest	!align="right	!align="right
lower	high	high
low	upper	upper
lowest	high	high
low	highest	highest
lower	highest	highest
lowest	upper	upper
steeper	steeper	steeper
steep	steep	steep
steepest	steeper	steeper
steep	!align="right	!align="right
steeper	!align="right	!align="right
steepest	steep	steep
friendlier	hostile	hostile
friendly	!align="right	!align="right
friendliest	hostile	hostile
friendly	!align="right	!align="right
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
smaller	large	large
small	larger	larger
smallest	!align="right	!align="right
small	small	small
smaller	smaller	smaller
smallest	!align="right	!align="right
cheaper	hitchcock	hitchcock
cheap	animals	animals
cheapest	!align="right	!align="right
cheap	exotic	exotic
cheaper	bullock	bullock
cheapest	!align="right	!align="right
tighter	woodson	woodson
tight	animal	animal
tightest	!align="right	!align="right
tight	deer	deer
tighter	hitchcock	hitchcock
tightest	!align="right	!align="right
happier	thrilled	thrilled
happy	animal	animal
happiest	!align="right	!align="right
happy	deer	deer
happier	hitchcock	hitchcock
happiest	!align="right	!align="right
harsher	harsher	harsher
harsh	harsh	harsh
harshest	!align="right	!align="right
harsh	deer	deer
harsher	hitchcock	hitchcock
harshest	!align="right	!align="right
higher	!align="right	!align="right
high	lower	lower
highest	!align="right	!align="right
high	lowest	lowest
higher	lowest	lowest
highest	lower	lower
prettier	!align="right	!align="right
pretty	catchy	catchy
prettiest	!align="right	!align="right
pretty	catchy	catchy
prettier	!align="right	!align="right
prettiest	!align="right	!align="right
smoother	!align="right	!align="right
smooth	smooth	smooth
smoothest	!align="right	!align="right
smooth	catchy	catchy
smoother	!align="right	!align="right
smoothest	quieter	quieter
fresher	!align="right	!align="right
fresh	catchy	catchy
freshest	!align="right	!align="right
fresh	catchy	catchy
fresher	!align="right	!align="right
freshest	!align="right	!align="right
faster	!align="right	!align="right
fastest	slower	slower
fast	!align="right	!align="right
fastest	slow	slow
faster	slow	slow
fast	slower	slower
worse	good	good
bad	complicated	complicated
worst	!align="right	!align="right
bad	bizarre	bizarre
worse	best	best
worst	!align="right	!align="right
higher	low	highest
high	lower	warmed
highest	!align="right	!align="right
high	lowest	spectacular
higher	lowest	lowest
highest	!align="right	!align="right
costlier	smolensk	smolensk
costly	!align="right	!align="right
costliest	!align="right	!align="right
costly	bizarre	bizarre
costlier	alouettes	alouettes
costliest	!align="right	!align="right
firmer	llp	llp
firm	!align="right	!align="right
firmest	!align="right	!align="right
firm	bizarre	bizarre
firmer	alouettes	alouettes
firmest	!align="right	!align="right
steeper	slopes	skiers
steep	complicated	complicated
steepest	!align="right	!align="right
steep	bizarre	bizarre
steeper	alouettes	alouettes
steepest	!align="right	!align="right
greener	yellow	yellow
green	!align="right	!align="right
greenest	!align="right	!align="right
green	biometric	biometric
greener	faster	faster
greenest	!align="right	!align="right
smaller	smaller	smaller
small	small	small
smallest	!align="right	!align="right
small	small	small
smaller	larger	larger
smallest	!align="right	!align="right
narrower	narrower	anteriorly
narrow	narrow	distinct
narrowest	!align="right	colspan=3|total
narrow	bright	bright
narrower	better	better
narrowest	!align="right	!align="right
cleaner	better	better
clean	lighting	lighting
cleanest	!align="right	!align="right
clean	biometric	biometric
cleaner	faster	faster
cleanest	!align="right	!align="right
riskier	difficult	difficult
risky	!align="right	!align="right
riskiest	!align="right	!align="right
risky	biometric	biometric
riskier	faster	faster
riskiest	!align="right	!align="right
newer	!align="right	!align="right
new	doom	doom
newest	!align="right	!align="right
new	latest	savage
