rougher	cheaper	cheaper
new	larger	larger
newest	!align="right	!align="right
new	flawless	flawless
newer	oldest	oldest
newest	larger	larger
cooler	!align="right	!align="right
cool	cool	cool
coolest	!align="right	!align="right
cool	italics	italics
cooler	!align="right	!align="right
coolest	colder	colder
narrower	!align="right	!align="right
narrow	narrow	narrow
narrowest	!align="right	!align="right
narrow	narrow	narrow
narrower	widest	widest
narrowest	narrow	narrow
busier	!align="right	!align="right
busy	italics	italics
busiest	!align="right	!align="right
busy	busy	busy
busier	largest	largest
busiest	!align="right	!align="right
gentler	musically	musically
gentle	!align="right	!align="right
gentlest	!align="right	!align="right
gentle	thin	thin
gentler	thinner	thinner
gentlest	!align="right	!align="right
fancier	trump	trump
fancy	!align="right	!align="right
fanciest	!align="right	!align="right
fancy	thin	thin
fancier	thinner	thinner
fanciest	!align="right	!align="right
noisier	quieter	quieter
noisy	!align="right	!align="right
noisiest	!align="right	!align="right
noisy	thin	thin
noisier	thinner	thinner
noisiest	!align="right	!align="right
smarter	upgrades	upgrades
smart	dense	faulty
smartest	!align="right	!align="right
smart	thin	thin
smarter	thinner	thinner
smartest	!align="right	!align="right
trickier	keeper	keeper
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	thin	thin
trickier	thinner	thinner
trickiest	!align="right	!align="right
tastier	!align="right	!align="right
tasty	!align="right	!align="right
tastiest	!align="right	!align="right
tasty	sort	sort
tastier	beatrice	beatrice
tastiest	!align="right	!align="right
easier	easier	easier
easy	sort	sort
easiest	!align="right	!align="right
easy	sort	sort
easier	easy	bad
easiest	!align="right	!align="right
mightier	madsen	madsen
mighty	!align="right	!align="right
mightiest	!align="right	!align="right
mighty	sort	sort
mightier	beatrice	beatrice
mightiest	!align="right	!align="right
fewer	several	several
few	sort	kinds
fewest	!align="right	colspan=3|total
few	sort	sort
fewer	bad	bad
fewest	!align="right	!align="right
trickier	barton	barton
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	sort	sort
trickier	beatrice	beatrice
trickiest	!align="right	!align="right
thicker	thicker	thicker
thick	thick	thick
thickest	!align="right	!align="right
thick	steeper	steeper
thicker	steep	steep
thickest	!align="right	!align="right
earlier	late	late
early	previous	previous
earliest	!align="right	!align="right
early	chalk	chalk
earlier	steep	typical
earliest	!align="right	!align="right
swifter	faster	decker
swift	!align="right	!align="right
swiftest	!align="right	!align="right
swift	steeper	steeper
swifter	steep	steep
swiftest	!align="right	!align="right
bigger	bigger	bigger
big	larger	larger
biggest	!align="right	!align="right
big	largest	huge
bigger	largest	huge
biggest	!align="right	!align="right
deeper	deeper	deeper
deep	deep	deep
deepest	!align="right	!align="right
deep	deep	deep
deeper	deep	deep
deepest	!align="right	!align="right
tighter	tighter	tighter
tight	repressive	repressive
tightest	driest	linebackers
tight	!align="right	!align="right
tighter	!align="right	!align="right
tightest	driest	amending
wider	wider	wider
wide	broader	broader
widest	widest	widest
wide	broad	broad
wider	wider	wider
widest	wide	wide
prettier	very	very
pretty	!align="right	!align="right
prettiest	driest	driest
pretty	!align="right	!align="right
prettier	!align="right	!align="right
prettiest	!align="right	!align="right
older	older	older
old	old	old
oldest	driest	extinct
old	earliest	memorial
older	older	older
oldest	old	old
wiser	parliaments	parliaments
wise	!align="right	!align="right
wisest	warmest	wealthiest
wise	!align="right	!align="right
wiser	!align="right	!align="right
wisest	!align="right	!align="right
milder	!align="right	!align="right
mild	decent	decent
mildest	kppen	cruciate
mild	!align="right	defendant's
milder	!align="right	!align="right
mildest	fuller	fuller
prettier	!align="right	!align="right
pretty	exposition	exposition
prettiest	she's	she's
pretty	!align="right	defendant's
prettier	!align="right	!align="right
prettiest	pyrams	pyrams
narrower	!align="right	!align="right
narrow	broad	broad
narrowest	subterminal	subterminal
narrow	widest	widest
narrower	!align="right	!align="right
narrowest	narrow	narrow
stiffer	!align="right	!align="right
stiff	exposition	exposition
stiffest	cruciate	cruciate
stiff	!align="right	defendant's
stiffer	!align="right	!align="right
stiffest	pyrams	pyrams
older	!align="right	!align="right
old	younger	good
oldest	older	older
old	largest	largest
older	!align="right	!align="right
oldest	younger	younger
steadier	!align="right	!align="right
steady	smooth	smooth
steadiest	!align="right	!align="right
steady	smooth	smooth
steadier	!align="right	!align="right
steadiest	!align="right	!align="right
fairer	!align="right	!align="right
fair	smooth	smooth
fairest	!align="right	!align="right
fair	bad	bad
fairer	pyrams	pyrams
fairest	!align="right	!align="right
smarter	!align="right	!align="right
smart	better	better
smartest	!align="right	!align="right
smart	smooth	smooth
smarter	!align="right	!align="right
smartest	better	better
sharper	!align="right	!align="right
sharp	smooth	bad
sharpest	!align="right	!align="right
sharp	smooth	smooth
sharper	!align="right	!align="right
sharpest	smoother	smoother
deeper	!align="right	!align="right
deep	deep	deep
deepest	!align="right	!align="right
deep	deep	deep
deeper	deep	deep
deepest	deep	deep
bloodier	!align="right	!align="right
bloody	bustling	bustling
bloodiest	deadliest	deadliest
bloody	!align="right	!align="right
bloodier	!align="right	!align="right
bloodiest	largest	largest
quicker	!align="right	!align="right
quick	slower	slower
quickest	rapid	rapid
quick	quicker	quicker
quicker	!align="right	!align="right
quickest	faster	faster
narrower	!align="right	!align="right
narrow	narrow	narrow
narrowest	narrowest	narrowest
narrow	narrow	narrow
narrower	!align="right	!align="right
narrowest	narrow	narrow
savvier	!align="right	!align="right
savvy	bustling	bustling
savviest	!align="right	!align="right
savvy	!align="right	!align="right
savvier	!align="right	!align="right
savviest	largest	largest
stronger	!align="right	!align="right
strong	strong	strong
strongest	strongest	strongest
strong	strong	strong
stronger	!align="right	!align="right
strongest	strongest	strongest
better	better	better
good	good	good
best	excellent	excellent
good	worst	good
better	better	better
best	best	best
slicker	softer	softer
slick	!align="right	!align="right
slickest	marvel	marvel
slick	!align="right	!align="right
slicker	!align="right	!align="right
slickest	!align="right	!align="right
friendlier	apiece	apiece
friendly	!align="right	!align="right
friendliest	arab-israeli	arab-israeli
friendly	!align="right	!align="right
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
bigger	bigger	bigger
big	larger	larger
biggest	biggest	biggest
big	largest	largest
bigger	largest	bigger
biggest	biggest	biggest
stronger	stronger	stronger
strong	strong	strong
strongest	strongest	strongest
strong	strong	strong
stronger	stronger	stronger
strongest	strongest	strongest
milder	!align="right	!align="right
mild	mild	bud
mildest	!align="right	!align="right
mild	tall	tall
milder	!align="right	!align="right
mildest	drier	drier
faster	!align="right	!align="right
fastest	slower	fast
fast	!align="right	!align="right
fastest	slow	slow
faster	slow	slow
fast	slower	slower
busier	!align="right	!align="right
busy	tall	tall
busiest	!align="right	!align="right
busy	busy	busy
busier	largest	largest
busiest	!align="right	!align="right
luckier	!align="right	!align="right
lucky	tall	tall
luckiest	!align="right	!align="right
lucky	tall	tall
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
wiser	!align="right	!align="right
wise	tall	tall
wisest	!align="right	!align="right
wise	tall	tall
wiser	!align="right	!align="right
wisest	!align="right	!align="right
lighter	!align="right	!align="right
light	colorful	colorful
lightest	!align="right	!align="right
light	dress	dress
lighter	!align="right	!align="right
lightest	heavier	heavier
healthier	!align="right	!align="right
healthy	better	better
healthiest	!align="right	!align="right
healthy	dress	dress
healthier	!align="right	!align="right
healthiest	healthy	healthy
costlier	!align="right	!align="right
costly	dress	dress
costliest	!align="right	!align="right
costly	dress	dress
costlier	!align="right	!align="right
costliest	!align="right	!align="right
meaner	!align="right	!align="right
mean	dress	dress
meanest	!align="right	!align="right
mean	dress	dress
meaner	!align="right	!align="right
meanest	!align="right	!align="right
older	!align="right	!align="right
old	younger	younger
oldest	!align="right	!align="right
old	finest	finest
older	largest	largest
oldest	younger	younger
louder	!align="right	!align="right
loud	pink	pink
loudest	!align="right	!align="right
loud	blue	blue
louder	!align="right	!align="right
loudest	loud	loud
tougher	!align="right	!align="right
tough	red	red
toughest	!align="right	!align="right
tough	red	red
tougher	hardest	hardest
toughest	stronger	stronger
darker	!align="right	!align="right
dark	dark	dark
darkest	!align="right	!align="right
dark	dark	dark
darker	finest	finest
darkest	dark	paler
easier	!align="right	!align="right
easy	easy	harder
easiest	!align="right	!align="right
easy	red	red
easier	difficult	difficult
easiest	difficult	difficult
trickier	!align="right	!align="right
tricky	blue	blue
trickiest	!align="right	!align="right
tricky	blue	blue
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
larger	!align="right	pulmonate
large	smaller	smaller
largest	small	small
large	biggest	massive
larger	!align="right	!align="right
largest	smaller	smaller
tastier	!align="right	!align="right
tasty	exciting	exciting
tastiest	!align="right	!align="right
tasty	!align="right	!align="right
tastier	!align="right	!align="right
tastiest	sexiest	sexiest
healthier	!align="right	!align="right
healthy	entertaining	entertaining
healthiest	poorest	poorest
healthy	!align="right	!align="right
healthier	!align="right	!align="right
healthiest	better	better
faster	!align="right	!align="right
fastest	fast	fast
fast	fastest-growing	fastest-growing
fastest	slow	slow
faster	!align="right	!align="right
fast	slower	slower
noisier	!align="right	!align="right
noisy	exciting	exciting
noisiest	finest	finest
noisy	!align="right	!align="right
noisier	!align="right	!align="right
noisiest	sexiest	sexiest
smaller	smaller	smaller
small	small	small
smallest	!align="right	!align="right
small	small	small
smaller	larger	larger
smallest	!align="right	!align="right
fuller	full-time	full-time
full	mccoy	mccoy
fullest	!align="right	!align="right
full	healthier	healthier
fuller	healthy	healthy
fullest	!align="right	!align="right
younger	younger	younger
young	young	young
youngest	!align="right	!align="right
young	young	young
younger	younger	healthy
youngest	!align="right	!align="right
smarter	hewlett-packard	hewlett-packard
smart	intelligent	intelligent
smartest	!align="right	!align="right
smart	healthier	healthier
smarter	healthy	healthy
smartest	!align="right	!align="right
deeper	deeper	deeper
deep	deep	deep
deepest	!align="right	colspan=3|total
deep	deep	deep
deeper	deeper	deeper
deepest	!align="right	!align="right
classier	!align="right	!align="right
classy	imply	imply
classiest	!align="right	!align="right
classy	imply	imply
classier	!align="right	!align="right
classiest	!align="right	!align="right
stickier	!align="right	!align="right
sticky	imply	imply
stickiest	!align="right	!align="right
sticky	imply	imply
stickier	!align="right	!align="right
stickiest	!align="right	!align="right
happier	!align="right	!align="right
happy	happy	perfect
happiest	!align="right	!align="right
happy	imply	imply
happier	!align="right	!align="right
happiest	happy	happy
poorer	!align="right	!align="right
poor	poor	poor
poorest	!align="right	!align="right
poor	bad	bad
poorer	wealthiest	wealthiest
poorest	poor	poor
softer	!align="right	!align="right
soft	hard	hard
softest	!align="right	!align="right
soft	imply	imply
softer	!align="right	!align="right
softest	heavier	heavier
higher	!align="right	colspan=3|total
high	high	high
highest	!align="right	colspan=3|total
high	lowest	high
higher	lowest	lowest
highest	lower	lower
thinner	!align="right	!align="right
thin	mild	mild
thinnest	!align="right	!align="right
thin	arles	arles
thinner	!align="right	!align="right
thinnest	thicker	thicker
fairer	!align="right	!align="right
fair	arles	arles
fairest	!align="right	!align="right
fair	lovely	lovely
fairer	pyrams	pyrams
fairest	!align="right	!align="right
mightier	!align="right	!align="right
mighty	arles	arles
mightiest	!align="right	!align="right
mighty	arles	arles
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
noisier	!align="right	!align="right
noisy	arles	arles
noisiest	!align="right	!align="right
noisy	arles	arles
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
kinder	sort	sort
kind	delicate	miller
kindest	!align="right	!align="right
kind	severe	severe
kinder	drier	drier
kindest	!align="right	!align="right
easier	easier	difficult
easy	easy	easy
easiest	!align="right	!align="right
easy	warm	warm
easier	difficult	difficult
easiest	!align="right	!align="right
busier	difficult	difficult
busy	!align="right	!align="right
busiest	!align="right	!align="right
busy	weather	weather
busier	drier	drier
busiest	!align="right	!align="right
trickier	difficult	difficult
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	severe	severe
trickier	drier	drier
trickiest	!align="right	!align="right
riskier	difficult	difficult
risky	!align="right	!align="right
riskiest	!align="right	!align="right
risky	severe	severe
riskier	drier	drier
riskiest	!align="right	!align="right
rougher	!align="right	!align="right
rough	quite	quite
roughest	!align="right	!align="right
rough	quite	quite
rougher	!align="right	!align="right
roughest	!align="right	!align="right
friendlier	!align="right	!align="right
friendly	quite	quite
friendliest	!align="right	!align="right
friendly	quite	quite
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
shorter	!align="right	colspan=3|total
short	short	very
shortest	!align="right	colspan=3|total
short	lovely	good
shorter	longest	longest
shortest	short	short
faster	!align="right	!align="right
fastest	fast	fast
fast	!align="right	!align="right
fastest	slow	slow
faster	slow	slow
fast	slower	slower
fewer	!align="right	colspan=3|total
few	more	more
fewest	!align="right	colspan=3|total
few	very	bad
fewer	season-high	season-high
fewest	more	more
stickier	!align="right	!align="right
sticky	beautiful	beautiful
stickiest	!align="right	!align="right
sticky	beautiful	beautiful
stickier	!align="right	!align="right
stickiest	!align="right	!align="right
messier	!align="right	!align="right
messy	sharp	sharp
messiest	!align="right	!align="right
messy	beautiful	beautiful
messier	!align="right	!align="right
messiest	defenseman	defenseman
leaner	!align="right	!align="right
lean	beautiful	beautiful
leanest	!align="right	!align="right
lean	beautiful	beautiful
leaner	!align="right	!align="right
leanest	!align="right	!align="right
closer	!align="right	!align="right
close	close	close
closest	!align="right	!align="right
close	close	close
closer	nearest	nearest
closest	close	close
trickier	!align="right	!align="right
tricky	beautiful	beautiful
trickiest	!align="right	!align="right
tricky	beautiful	beautiful
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
thinner	!align="right	!align="right
thin	bad	bad
thinnest	!align="right	!align="right
thin	happy	happy
thinner	!align="right	!align="right
thinnest	thicker	thicker
nicer	!align="right	!align="right
nice	happy	happy
nicest	!align="right	!align="right
nice	happy	happy
nicer	!align="right	!align="right
nicest	!align="right	!align="right
savvier	!align="right	!align="right
savvy	happy	happy
savviest	!align="right	!align="right
savvy	happy	happy
savvier	!align="right	!align="right
savviest	!align="right	!align="right
smarter	!align="right	!align="right
smart	happy	happy
smartest	!align="right	!align="right
smart	happy	happy
smarter	!align="right	!align="right
smartest	better	better
fewer	!align="right	colspan=3|total
few	more	more
fewest	!align="right	colspan=3|total
few	bad	bad
fewer	season-high	season-high
fewest	more	more
simpler	!align="right	!align="right
simple	simple	complex
simplest	!align="right	!align="right
simple	complex	complex
simpler	formula_15	formula_15
simplest	simple	simple
fancier	!align="right	!align="right
fancy	loud	loud
fanciest	!align="right	!align="right
fancy	loud	loud
fancier	!align="right	!align="right
fanciest	!align="right	!align="right
greater	!align="right	!align="right
great	larger	larger
greatest	!align="right	!align="right
great	finest	finest
greater	biggest	biggest
greatest	higher	higher
luckier	!align="right	!align="right
lucky	loud	loud
luckiest	!align="right	!align="right
lucky	loud	loud
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
deeper	!align="right	!align="right
deep	deep	deep
deepest	!align="right	!align="right
deep	deep	deep
deeper	deep	deep
deepest	deep	deep
richer	!align="right	!align="right
rich	rich	rich
richest	!align="right	!align="right
rich	rich	rich
richer	wealthiest	wealthiest
richest	hotter	hotter
louder	!align="right	!align="right
loud	sounds	sounds
loudest	!align="right	!align="right
loud	complicated	complicated
louder	!align="right	!align="right
loudest	loud	loud
rougher	!align="right	!align="right
rough	complicated	complicated
roughest	!align="right	!align="right
rough	complicated	complicated
rougher	!align="right	!align="right
roughest	!align="right	!align="right
slower	!align="right	!align="right
slow	faster	faster
slowest	!align="right	!align="right
slow	complicated	complicated
slower	!align="right	!align="right
slowest	faster	faster
nastier	!align="right	!align="right
nasty	complicated	complicated
nastiest	!align="right	!align="right
nasty	complicated	complicated
nastier	!align="right	!align="right
nastiest	!align="right	!align="right
slimmer	!align="right	!align="right
slim	bad	bad
slimmest	!align="right	!align="right
slim	bad	bad
slimmer	!align="right	!align="right
slimmest	!align="right	!align="right
smoother	!align="right	!align="right
smooth	bad	bad
smoothest	!align="right	!align="right
smooth	bad	bad
smoother	!align="right	!align="right
smoothest	steeper	steeper
meaner	!align="right	!align="right
mean	bad	bad
meanest	!align="right	!align="right
mean	bad	bad
meaner	!align="right	!align="right
meanest	!align="right	!align="right
longer	!align="right	!align="right
long	long	long
longest	!align="right	!align="right
long	long	long
longer	shortest	shortest
longest	shorter	shorter
shorter	!align="right	colspan=3|total
short	short	short
shortest	!align="right	colspan=3|total
short	bad	bad
shorter	longest	longest
shortest	short	short
wider	!align="right	!align="right
wide	wide	deeper
widest	!align="right	!align="right
wide	continuous	continuous
wider	narrowest	narrowest
widest	broader	broader
fairer	!align="right	!align="right
fair	constant	constant
fairest	!align="right	!align="right
fair	constant	constant
fairer	pyrams	pyrams
fairest	!align="right	!align="right
smarter	!align="right	!align="right
smart	better	fast
smartest	!align="right	!align="right
smart	constant	constant
smarter	!align="right	!align="right
smartest	better	better
deeper	!align="right	colspan=3|total
deep	deep	deep
deepest	!align="right	colspan=3|total
deep	deep	deep
deeper	deep	deep
deepest	deep	deep
luckier	!align="right	!align="right
lucky	constant	constant
luckiest	!align="right	!align="right
lucky	constant	constant
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
earlier	!align="right	colspan=3|total
early	previous	later
earliest	!align="right	colspan=3|total
early	best-known	best-known
earlier	oldest	oldest
earliest	previous	previous
pricier	!align="right	!align="right
pricey	smarter	smarter
priciest	!align="right	!align="right
pricey	smarter	smarter
pricier	!align="right	!align="right
priciest	!align="right	!align="right
wider	!align="right	colspan=3|total
wide	wide	wide
widest	!align="right	colspan=3|total
wide	wide	wide
wider	narrowest	narrowest
widest	broader	broader
lower	!align="right	!align="right
low	upper	upper
lowest	!align="right	!align="right
low	highest	low
lower	highest	highest
lowest	upper	upper
steeper	!align="right	!align="right
steep	steep	cool
steepest	!align="right	!align="right
steep	smarter	smarter
steeper	!align="right	!align="right
steepest	steep	steep
wealthier	!align="right	!align="right
wealthy	expensive	expensive
wealthiest	!align="right	!align="right
wealthy	expensive	expensive
wealthier	richest	richest
wealthiest	affluent	affluent
richer	!align="right	!align="right
rich	expensive	expensive
richest	!align="right	!align="right
rich	expensive	expensive
richer	wealthiest	wealthiest
richest	hotter	hotter
faster	!align="right	!align="right
fastest	expensive	expensive
fast	!align="right	!align="right
fastest	slow	slow
faster	slow	slow
fast	slower	slower
taller	!align="right	!align="right
tall	expensive	more
tallest	!align="right	!align="right
tall	expensive	expensive
taller	oldest	oldest
tallest	tall	tall
luckier	!align="right	!align="right
lucky	expensive	expensive
luckiest	!align="right	!align="right
lucky	expensive	expensive
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
wider	wider	wider
wide	wide	wide
widest	!align="right	!align="right
wide	wide	wide
wider	wider	wider
widest	!align="right	!align="right
slower	slower	slower
slow	slow	fast
slowest	!align="right	!align="right
slow	sounds	sounds
slower	loud	loud
slowest	!align="right	!align="right
friendlier	almeida	almeida
friendly	!align="right	!align="right
friendliest	!align="right	!align="right
friendly	sounds	sounds
friendlier	loud	loud
friendliest	!align="right	!align="right
easier	easier	easier
easy	easy	easy
easiest	!align="right	!align="right
easy	fast	fast
easier	better	better
easiest	!align="right	!align="right
colder	colder	colder
cold	cooler	cooler
coldest	!align="right	!align="right
cold	warm	warm
colder	colder	colder
coldest	!align="right	!align="right
lower	!align="right	!align="right
low	upper	upper
lowest	!align="right	!align="right
low	low	low
lower	highest	highest
lowest	upper	upper
darker	!align="right	!align="right
dark	dark	dark
darkest	!align="right	!align="right
dark	blood	blood
darker	finest	finest
darkest	dark	paler
safer	!align="right	!align="right
safe	better	better
safest	!align="right	!align="right
safe	muscle	muscle
safer	fastest-growing	fastest-growing
safest	better	safe
faster	!align="right	!align="right
fastest	slower	slower
fast	!align="right	!align="right
fastest	slow	slow
faster	slow	slow
fast	slower	slower
fresher	!align="right	!align="right
fresh	milk	milk
freshest	!align="right	!align="right
fresh	milk	milk
fresher	!align="right	!align="right
freshest	!align="right	!align="right
thinner	!align="right	!align="right
thin	dried	warm
thinnest	!align="right	!align="right
thin	dried	dried
thinner	!align="right	!align="right
thinnest	thicker	thicker
simpler	!align="right	!align="right
simple	simple	fast
simplest	!align="right	!align="right
simple	warm	warm
simpler	formula_15	formula_15
simplest	simple	simple
firmer	!align="right	!align="right
firm	dried	dried
firmest	!align="right	!align="right
firm	dried	dried
firmer	!align="right	!align="right
firmest	!align="right	!align="right
gentler	!align="right	!align="right
gentle	dried	dried
gentlest	!align="right	!align="right
gentle	dried	dried
gentler	!align="right	!align="right
gentlest	!align="right	!align="right
livelier	!align="right	!align="right
lively	dried	dried
liveliest	!align="right	!align="right
lively	dried	dried
livelier	!align="right	!align="right
liveliest	!align="right	!align="right
greener	blue	blue
green	!align="right	!align="right
greenest	blue	blue
green	!align="right	!align="right
greener	!align="right	!align="right
greenest	!align="right	!align="right
cheaper	inexpensive	inexpensive
cheap	inexpensive	inexpensive
cheapest	inexpensive	inexpensive
cheap	expensive	expensive
cheaper	expensive	expensive
cheapest	inexpensive	inexpensive
stickier	glabrous	glabrous
sticky	!align="right	!align="right
stickiest	glabrous	glabrous
sticky	!align="right	!align="right
stickier	!align="right	!align="right
stickiest	!align="right	!align="right
fatter	milk	milk
fat	!align="right	!align="right
fattest	milk	milk
fat	!align="right	!align="right
fatter	!align="right	!align="right
fattest	!align="right	!align="right
harder	harder	harder
hard	easier	easier
hardest	harder	harder
hard	toughest	toughest
harder	toughest	toughest
hardest	easier	easier
milder	severe	severe
mild	drier	drier
mildest	severe	severe
mild	!align="right	!align="right
milder	!align="right	!align="right
mildest	drier	drier
thinner	thick	thick
thin	thicker	thicker
thinnest	thick	thick
thin	!align="right	!align="right
thinner	!align="right	!align="right
thinnest	thicker	thicker
poorer	poorer	poorer
poor	poor	poor
poorest	poorer	poorer
poor	wealthiest	wealthiest
poorer	wealthiest	wealthiest
poorest	poor	poor
lower	high	high
low	upper	upper
lowest	high	high
low	highest	highest
lower	highest	highest
lowest	upper	upper
quicker	slow	slow
quick	faster	faster
quickest	slow	slow
quick	fastest	fastest
quicker	fastest	fastest
quickest	faster	faster
newer	!align="right	!align="right
new	larger	improved
newest	!align="right	!align="right
new	smart	smart
newer	oldest	oldest
newest	larger	larger
tougher	!align="right	!align="right
tough	tough	tough
toughest	!align="right	!align="right
tough	tough	tough
tougher	hardest	hardest
toughest	stronger	stronger
quicker	!align="right	!align="right
quick	faster	faster
quickest	!align="right	!align="right
quick	warm	good
quicker	fastest	fastest
quickest	faster	faster
costlier	!align="right	!align="right
costly	cordial	cordial
costliest	!align="right	!align="right
costly	cordial	cordial
costlier	!align="right	!align="right
costliest	!align="right	!align="right
shorter	!align="right	!align="right
short	short	short
shortest	!align="right	!align="right
short	longest	good
shorter	longest	longest
shortest	short	short
louder	!align="right	!align="right
loud	loud	loud
loudest	!align="right	!align="right
loud	nelson	nelson
louder	!align="right	!align="right
loudest	loud	loud
nastier	!align="right	!align="right
nasty	nelson	nelson
nastiest	!align="right	!align="right
nasty	nelson	nelson
nastier	!align="right	!align="right
nastiest	!align="right	!align="right
greater	!align="right	!align="right
great	little	little
greatest	!align="right	!align="right
great	remarkable	remarkable
greater	biggest	biggest
greatest	higher	higher
wiser	!align="right	!align="right
wise	nelson	nelson
wisest	!align="right	!align="right
wise	nelson	nelson
wiser	!align="right	!align="right
wisest	!align="right	!align="right
closer	!align="right	!align="right
close	close	close
closest	!align="right	!align="right
close	close	close
closer	nearest	nearest
closest	close	close
thicker	thin	thin
thick	thinner	thinner
thickest	thin	thin
thick	!align="right	!align="right
thicker	!align="right	!align="right
thickest	thinner	thinner
classier	!align="right	!align="right
classy	!align="right	!align="right
classiest	!align="right	!align="right
classy	!align="right	!align="right
classier	!align="right	!align="right
classiest	!align="right	!align="right
simpler	straightforward	straightforward
simple	simple	simple
simplest	straightforward	straightforward
simple	formula_15	formula_15
simpler	formula_15	formula_15
simplest	simple	simple
busier	bustling	bustling
busy	!align="right	!align="right
busiest	bustling	bustling
busy	largest	largest
busier	largest	largest
busiest	!align="right	!align="right
trickier	complicated	complicated
tricky	!align="right	!align="right
trickiest	complicated	complicated
tricky	!align="right	!align="right
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
worse	good	good
bad	better	better
worst	good	good
bad	best	best
worse	best	best
worst	better	better
fatter	milk	milk
fat	!align="right	!align="right
fattest	milk	milk
fat	!align="right	!align="right
fatter	!align="right	!align="right
fattest	!align="right	!align="right
lower	high	high
low	upper	upper
lowest	high	high
low	highest	highest
lower	highest	highest
lowest	upper	upper
steeper	steeper	steeper
steep	steep	steep
steepest	steeper	steeper
steep	!align="right	!align="right
steeper	!align="right	!align="right
steepest	steep	steep
friendlier	cordial	cordial
friendly	!align="right	!align="right
friendliest	cordial	cordial
friendly	!align="right	!align="right
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
smaller	large	large
small	larger	larger
smallest	!align="right	!align="right
small	small	small
smaller	smaller	smaller
smallest	!align="right	!align="right
cheaper	inexpensive	inexpensive
cheap	fragrant	fragrant
cheapest	!align="right	!align="right
cheap	exotic	exotic
cheaper	expensive	handy
cheapest	!align="right	!align="right
tighter	punter	stephenson
tight	animal	animal
tightest	!align="right	!align="right
tight	deer	deer
tighter	mccullough	mccullough
tightest	!align="right	!align="right
happier	musically	musically
happy	animal	animal
happiest	!align="right	!align="right
happy	deer	deer
happier	mccullough	mccullough
happiest	!align="right	!align="right
harsher	oppressive	oppressive
harsh	harsh	harsh
harshest	!align="right	!align="right
harsh	deer	deer
harsher	mccullough	mccullough
harshest	!align="right	!align="right
higher	!align="right	!align="right
high	lower	high
highest	!align="right	!align="right
high	lowest	high
higher	lowest	lowest
highest	lower	lower
prettier	!align="right	!align="right
pretty	starr	sprinkled
prettiest	!align="right	!align="right
pretty	starr	sprinkled
prettier	!align="right	!align="right
prettiest	!align="right	!align="right
smoother	!align="right	!align="right
smooth	smooth	smooth
smoothest	!align="right	!align="right
smooth	starr	sprinkled
smoother	!align="right	!align="right
smoothest	steeper	steeper
fresher	!align="right	!align="right
fresh	starr	sprinkled
freshest	!align="right	!align="right
fresh	starr	sprinkled
fresher	!align="right	!align="right
freshest	!align="right	!align="right
faster	!align="right	!align="right
fastest	slower	fast
fast	!align="right	!align="right
fastest	slow	slow
faster	slow	slow
fast	slower	slower
worse	good	good
bad	horrible	horrible
worst	!align="right	!align="right
bad	best	bad
worse	best	best
worst	!align="right	!align="right
higher	higher	highest
high	lower	lower
highest	!align="right	!align="right
high	lowest	spectacular
higher	lowest	high
highest	!align="right	!align="right
costlier	gallipoli	gallipoli
costly	!align="right	!align="right
costliest	!align="right	!align="right
costly	gorgeous	gorgeous
costlier	defenseman	defenseman
costliest	!align="right	!align="right
firmer	llp	llp
firm	!align="right	!align="right
firmest	!align="right	!align="right
firm	gorgeous	gorgeous
firmer	defenseman	defenseman
firmest	!align="right	!align="right
steeper	slopes	slopes
steep	steeply	clumsy
steepest	!align="right	!align="right
steep	gorgeous	gorgeous
steeper	defenseman	defenseman
steepest	!align="right	!align="right
greener	red	reddish-brown
green	!align="right	!align="right
greenest	!align="right	!align="right
green	funny	funny
greener	better	better
greenest	!align="right	!align="right
smaller	smaller	smaller
small	small	small
smallest	!align="right	!align="right
small	small	small
smaller	larger	larger
smallest	!align="right	!align="right
narrower	narrower	anteriorly
narrow	narrow	narrow
narrowest	!align="right	colspan=3|total
narrow	sharp	sharp
narrower	better	better
narrowest	!align="right	!align="right
cleaner	better	breath
clean	lighting	eng
cleanest	!align="right	!align="right
clean	funny	funny
cleaner	better	better
cleanest	!align="right	!align="right
riskier	easier	easier
risky	!align="right	!align="right
riskiest	!align="right	!align="right
risky	funny	funny
riskier	better	better
riskiest	!align="right	!align="right
newer	!align="right	!align="right
new	big	big
newest	!align="right	!align="right
new	magic	magic
newer	oldest	oldest
newest	larger	larger
wilder	!align="right	!align="right
wild	brooks	brooks
wildest	!align="right	!align="right
wild	warriors	warriors
wilder	!align="right	!align="right
