rougher	tougher	tougher
fanciest	!align="right	!align="right
noisier	cooler	cooler
noisy	!align="right	!align="right
noisiest	!align="right	!align="right
noisy	thin	thin
noisier	thinner	thinner
noisiest	!align="right	!align="right
smarter	peripherals	peripherals
smart	deep	deep
smartest	!align="right	!align="right
smart	thin	thin
smarter	thinner	thinner
smartest	!align="right	!align="right
trickier	advertisers	advertisers
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	thin	thin
trickier	thinner	thinner
trickiest	!align="right	!align="right
tastier	!align="right	!align="right
tasty	!align="right	!align="right
tastiest	!align="right	!align="right
tasty	sort	sort
tastier	hollis	hollis
tastiest	!align="right	!align="right
easier	easier	easier
easy	sort	sort
easiest	!align="right	!align="right
easy	sort	sort
easier	difficult	difficult
easiest	!align="right	!align="right
mightier	woodruff	woodruff
mighty	!align="right	!align="right
mightiest	!align="right	!align="right
mighty	sort	sort
mightier	hollis	hollis
mightiest	!align="right	!align="right
fewer	several	several
few	sort	kinds
fewest	!align="right	colspan=3|total
few	sort	sort
fewer	thorn	thorn
fewest	!align="right	!align="right
trickier	rooney	rooney
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	sort	sort
trickier	hollis	hollis
trickiest	!align="right	!align="right
thicker	thicker	thicker
thick	thin	thin
thickest	!align="right	!align="right
thick	steeper	steeper
thicker	steep	steep
thickest	!align="right	!align="right
earlier	late	late
early	previous	previous
earliest	!align="right	!align="right
early	chalk	chalk
earlier	heaviest	rough
earliest	!align="right	!align="right
swifter	yaw	yaw
swift	!align="right	!align="right
swiftest	!align="right	!align="right
swift	steeper	steeper
swifter	steep	steep
swiftest	!align="right	!align="right
bigger	bigger	bigger
big	larger	large
biggest	!align="right	!align="right
big	huge	huge
bigger	largest	significant
biggest	!align="right	!align="right
deeper	deeper	deeper
deep	deep	deep
deepest	!align="right	!align="right
deep	deep	deep
deeper	deeper	deeper
deepest	!align="right	!align="right
tighter	tighter	tighter
tight	barring	barring
tightest	driest	tighter
tight	!align="right	!align="right
tighter	!align="right	!align="right
tightest	driest	amending
wider	wider	wider
wide	wide	wide
widest	widest	widest
wide	wide	broad
wider	wider	wider
widest	wide	wide
prettier	very	very
pretty	!align="right	!align="right
prettiest	driest	driest
pretty	!align="right	!align="right
prettier	!align="right	!align="right
prettiest	!align="right	!align="right
older	older	older
old	old	old
oldest	driest	ancient
old	earliest	earliest
older	largest	older
oldest	oldest	oldest
wiser	submissive	rufus
wise	!align="right	!align="right
wisest	warmest	warmest
wise	!align="right	!align="right
wiser	!align="right	!align="right
wisest	!align="right	!align="right
milder	!align="right	!align="right
mild	sunny	sunny
mildest	groin	groin
mild	!align="right	!align="right
milder	!align="right	!align="right
mildest	drier	weasel
prettier	!align="right	!align="right
pretty	fairs	fairs
prettiest	terribly	terribly
pretty	!align="right	!align="right
prettier	!align="right	!align="right
prettiest	lgion	lgion
narrower	!align="right	!align="right
narrow	broad	good
narrowest	narrower	narrower
narrow	widest	widest
narrower	!align="right	!align="right
narrowest	broad	broad
stiffer	!align="right	!align="right
stiff	fairs	fairs
stiffest	leathery	wildcards
stiff	!align="right	!align="right
stiffer	!align="right	!align="right
stiffest	lgion	lgion
older	!align="right	!align="right
old	younger	better
oldest	older	older
old	largest	largest
older	!align="right	!align="right
oldest	younger	younger
steadier	!align="right	!align="right
steady	shallow	shallow
steadiest	!align="right	!align="right
steady	shallow	shallow
steadier	!align="right	!align="right
steadiest	!align="right	!align="right
fairer	!align="right	!align="right
fair	shallow	shallow
fairest	!align="right	!align="right
fair	tough	tough
fairer	lgion	lgion
fairest	!align="right	!align="right
smarter	!align="right	!align="right
smart	better	better
smartest	!align="right	!align="right
smart	shallow	shallow
smarter	!align="right	!align="right
smartest	better	better
sharper	!align="right	!align="right
sharp	finer	finer
sharpest	!align="right	!align="right
sharp	shallow	shallow
sharper	!align="right	!align="right
sharpest	lighter	lighter
deeper	!align="right	!align="right
deep	deep	deep
deepest	!align="right	!align="right
deep	deep	deep
deeper	deep	deep
deepest	deep	deep
bloodier	!align="right	!align="right
bloody	bustling	bustling
bloodiest	biggest	biggest
bloody	!align="right	!align="right
bloodier	!align="right	!align="right
bloodiest	most-watched	most-watched
quicker	!align="right	!align="right
quick	faster	faster
quickest	rapid	rapid
quick	slower	comfortable
quicker	!align="right	!align="right
quickest	faster	faster
narrower	!align="right	!align="right
narrow	broad	broad
narrowest	semicircular	semicircular
narrow	comfortable	comfortable
narrower	!align="right	!align="right
narrowest	steeper	deeper
savvier	!align="right	!align="right
savvy	bustling	bustling
savviest	!align="right	!align="right
savvy	!align="right	!align="right
savvier	!align="right	!align="right
savviest	most-watched	most-watched
stronger	!align="right	!align="right
strong	strong	strong
strongest	strongest	strongest
strong	strong	strong
stronger	!align="right	!align="right
strongest	strongest	strongest
better	better	better
good	good	good
best	excellent	best
good	better	better
better	better	better
best	best	best
slicker	raps	raps
slick	!align="right	!align="right
slickest	trey	all-stars
slick	!align="right	!align="right
slicker	!align="right	!align="right
slickest	!align="right	!align="right
friendlier	hostile	unavoidable
friendly	!align="right	!align="right
friendliest	residing	residing
friendly	!align="right	!align="right
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
bigger	bigger	bigger
big	larger	big
biggest	biggest	biggest
big	largest	huge
bigger	largest	bigger
biggest	biggest	biggest
stronger	stronger	stronger
strong	strong	strong
strongest	strongest	strongest
strong	strong	strong
stronger	stronger	stronger
strongest	strongest	strongest
milder	!align="right	!align="right
mild	severe	cold
mildest	!align="right	!align="right
mild	jojo	jojo
milder	!align="right	!align="right
mildest	drier	drier
faster	!align="right	!align="right
fastest	slower	fast
fast	!align="right	!align="right
fastest	slow	slow
faster	slow	slow
fast	slower	slower
busier	!align="right	!align="right
busy	jojo	jojo
busiest	!align="right	!align="right
busy	thomson	thomson
busier	most-watched	most-watched
busiest	!align="right	!align="right
luckier	!align="right	!align="right
lucky	jojo	jojo
luckiest	!align="right	!align="right
lucky	jojo	jojo
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
wiser	!align="right	!align="right
wise	jojo	jojo
wisest	!align="right	!align="right
wise	jojo	jojo
wiser	!align="right	!align="right
wisest	!align="right	!align="right
lighter	!align="right	!align="right
light	heavier	dazzling
lightest	!align="right	!align="right
light	dresses	dresses
lighter	!align="right	!align="right
lightest	heavier	heavier
healthier	!align="right	!align="right
healthy	better	better
healthiest	!align="right	!align="right
healthy	dresses	dresses
healthier	!align="right	!align="right
healthiest	healthy	healthy
costlier	!align="right	colspan=3|total
costly	dresses	dresses
costliest	!align="right	colspan=3|total
costly	dresses	dresses
costlier	!align="right	!align="right
costliest	!align="right	!align="right
meaner	!align="right	!align="right
mean	dresses	dresses
meanest	!align="right	!align="right
mean	dresses	dresses
meaner	!align="right	!align="right
meanest	!align="right	!align="right
older	!align="right	!align="right
old	younger	earlier
oldest	!align="right	!align="right
old	largest	finest
older	largest	largest
oldest	younger	younger
louder	!align="right	!align="right
loud	red	red
loudest	!align="right	!align="right
loud	red	red
louder	!align="right	!align="right
loudest	loud	loud
tougher	!align="right	!align="right
tough	red	red
toughest	!align="right	!align="right
tough	monster	monster
tougher	biggest	biggest
toughest	smoother	smoother
darker	!align="right	!align="right
dark	dark	dark
darkest	!align="right	!align="right
dark	dark	dark
darker	darker	darker
darkest	paler	paler
easier	!align="right	!align="right
easy	harder	harder
easiest	!align="right	!align="right
easy	blue	blue
easier	easier	easier
easiest	difficult	difficult
trickier	!align="right	!align="right
tricky	red	red
trickiest	!align="right	!align="right
tricky	red	red
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
larger	!align="right	!align="right
large	smaller	smaller
largest	small	largest
large	biggest	large
larger	!align="right	!align="right
largest	smaller	smaller
tastier	!align="right	!align="right
tasty	scary	scary
tastiest	!align="right	colspan=3|total
tasty	!align="right	!align="right
tastier	!align="right	!align="right
tastiest	sexiest	sexiest
healthier	!align="right	!align="right
healthy	healthy	healthy
healthiest	sexiest	wealthiest
healthy	!align="right	!align="right
healthier	!align="right	!align="right
healthiest	healthy	healthy
faster	!align="right	!align="right
fastest	slow	slow
fast	fastest-growing	fastest-growing
fastest	slow	slow
faster	!align="right	!align="right
fast	slower	slower
noisier	!align="right	!align="right
noisy	scary	scary
noisiest	worst	worst
noisy	!align="right	!align="right
noisier	!align="right	!align="right
noisiest	sexiest	sexiest
smaller	smaller	smaller
small	larger	large
smallest	!align="right	!align="right
small	smaller	larger
smaller	larger	larger
smallest	!align="right	!align="right
fuller	full-time	full-time
full	davis	davis
fullest	!align="right	!align="right
full	healthier	healthier
fuller	healthy	healthy
fullest	!align="right	!align="right
younger	younger	younger
young	young	young
youngest	!align="right	!align="right
young	oldest	oldest
younger	healthy	healthy
youngest	!align="right	!align="right
smarter	phones	phones
smart	smart	smart
smartest	!align="right	!align="right
smart	healthier	healthier
smarter	healthy	healthy
smartest	!align="right	!align="right
deeper	deeper	deeper
deep	deep	deep
deepest	!align="right	!align="right
deep	deep	deep
deeper	deeper	deeper
deepest	!align="right	colspan=3|total
classier	!align="right	!align="right
classy	indicate	indicate
classiest	!align="right	!align="right
classy	indicate	indicate
classier	!align="right	!align="right
classiest	!align="right	!align="right
stickier	!align="right	!align="right
sticky	indicate	indicate
stickiest	!align="right	!align="right
sticky	indicate	indicate
stickier	!align="right	!align="right
stickiest	!align="right	!align="right
happier	!align="right	!align="right
happy	happy	better
happiest	!align="right	!align="right
happy	indicate	indicate
happier	!align="right	!align="right
happiest	happy	happy
poorer	!align="right	!align="right
poor	poor	poor
poorest	!align="right	!align="right
poor	poorer	better
poorer	wealthiest	wealthiest
poorest	poor	poor
softer	!align="right	!align="right
soft	better	better
softest	!align="right	!align="right
soft	indicate	indicate
softer	!align="right	!align="right
softest	heavier	heavier
higher	!align="right	colspan=3|total
high	lower	better
highest	!align="right	colspan=3|total
high	lowest	spectacular
higher	lowest	lowest
highest	lower	lower
thinner	!align="right	colspan=3|total
thin	cool	cool
thinnest	!align="right	colspan=3|total
thin	toulouse	toulouse
thinner	!align="right	!align="right
thinnest	thicker	thicker
fairer	!align="right	colspan=3|total
fair	toulouse	toulouse
fairest	!align="right	colspan=3|total
fair	paris	paris
fairer	lgion	lgion
fairest	!align="right	!align="right
mightier	!align="right	colspan=3|total
mighty	toulouse	toulouse
mightiest	!align="right	colspan=3|total
mighty	toulouse	toulouse
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
noisier	!align="right	colspan=3|total
noisy	toulouse	toulouse
noisiest	!align="right	colspan=3|total
noisy	toulouse	toulouse
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
kinder	sort	sort
kind	warmth	warmth
kindest	!align="right	!align="right
kind	humid	humid
kinder	drier	drier
kindest	!align="right	!align="right
easier	difficult	difficult
easy	easy	easy
easiest	!align="right	!align="right
easy	cold	cold
easier	deeper	deeper
easiest	!align="right	!align="right
busier	difficult	difficult
busy	!align="right	!align="right
busiest	!align="right	!align="right
busy	weather	weather
busier	cooler	cooler
busiest	!align="right	!align="right
trickier	unfamiliar	unfamiliar
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	humid	humid
trickier	drier	drier
trickiest	!align="right	!align="right
riskier	difficult	difficult
risky	!align="right	!align="right
riskiest	!align="right	!align="right
risky	humid	humid
riskier	drier	drier
riskiest	!align="right	!align="right
rougher	!align="right	colspan=3|total
rough	very	very
roughest	!align="right	colspan=3|total
rough	very	very
rougher	!align="right	!align="right
roughest	!align="right	!align="right
friendlier	!align="right	!align="right
friendly	very	very
friendliest	!align="right	!align="right
friendly	very	very
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
shorter	!align="right	!align="right
short	very	better
shortest	!align="right	!align="right
short	good	good
shorter	longest	longest
shortest	longer	longer
faster	!align="right	colspan=3|total
fastest	fast	fast
fast	!align="right	colspan=3|total
fastest	slow	slow
faster	slow	slow
fast	slower	slower
fewer	!align="right	colspan=3|total
few	more	more
fewest	!align="right	colspan=3|total
few	fantastic	fantastic
fewer	season-high	season-high
fewest	more	more
stickier	!align="right	!align="right
sticky	vivid	vivid
stickiest	!align="right	!align="right
sticky	vivid	vivid
stickier	!align="right	!align="right
stickiest	!align="right	!align="right
messier	!align="right	!align="right
messy	stellar	stellar
messiest	!align="right	!align="right
messy	vivid	vivid
messier	!align="right	!align="right
messiest	defenseman	defenseman
leaner	!align="right	!align="right
lean	vivid	vivid
leanest	!align="right	!align="right
lean	vivid	vivid
leaner	!align="right	!align="right
leanest	!align="right	!align="right
closer	!align="right	!align="right
close	close	close
closest	!align="right	!align="right
close	close	close
closer	nearest	nearest
closest	close	close
trickier	!align="right	!align="right
tricky	vivid	vivid
trickiest	!align="right	!align="right
tricky	vivid	vivid
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
thinner	!align="right	!align="right
thin	lighter	lighter
thinnest	!align="right	!align="right
thin	happy	happy
thinner	!align="right	!align="right
thinnest	thicker	thicker
nicer	!align="right	!align="right
nice	happy	happy
nicest	!align="right	!align="right
nice	happy	happy
nicer	!align="right	!align="right
nicest	!align="right	!align="right
savvier	!align="right	!align="right
savvy	happy	happy
savviest	!align="right	!align="right
savvy	happy	happy
savvier	!align="right	!align="right
savviest	!align="right	!align="right
smarter	!align="right	!align="right
smart	happy	happy
smartest	!align="right	!align="right
smart	happy	happy
smarter	!align="right	!align="right
smartest	better	better
fewer	!align="right	colspan=3|total
few	more	more
fewest	!align="right	colspan=3|total
few	bad	fantastic
fewer	season-high	season-high
fewest	more	more
simpler	!align="right	!align="right
simple	simple	simple
simplest	!align="right	!align="right
simple	simple	simple
simpler	symmetric	symmetric
simplest	simple	simple
fancier	!align="right	!align="right
fancy	violent	violent
fanciest	!align="right	!align="right
fancy	violent	violent
fancier	!align="right	!align="right
fanciest	!align="right	!align="right
greater	!align="right	!align="right
great	larger	larger
greatest	!align="right	!align="right
great	finest	finest
greater	biggest	biggest
greatest	larger	larger
luckier	!align="right	!align="right
lucky	violent	violent
luckiest	!align="right	!align="right
lucky	violent	violent
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
deeper	!align="right	!align="right
deep	deep	deep
deepest	!align="right	!align="right
deep	deep	deep
deeper	deep	deep
deepest	deep	deep
richer	!align="right	!align="right
rich	rich	rich
richest	!align="right	!align="right
rich	rich	rich
richer	wealthiest	wealthiest
richest	rich	rich
louder	!align="right	colspan=3|total
loud	loud	loud
loudest	!align="right	colspan=3|total
loud	complicated	complicated
louder	!align="right	!align="right
loudest	loud	loud
rougher	!align="right	colspan=3|total
rough	complicated	complicated
roughest	!align="right	colspan=3|total
rough	complicated	complicated
rougher	!align="right	!align="right
roughest	!align="right	!align="right
slower	!align="right	!align="right
slow	faster	faster
slowest	!align="right	!align="right
slow	complicated	complicated
slower	!align="right	!align="right
slowest	faster	faster
nastier	!align="right	!align="right
nasty	complicated	complicated
nastiest	!align="right	!align="right
nasty	complicated	complicated
nastier	!align="right	!align="right
nastiest	!align="right	!align="right
slimmer	!align="right	!align="right
slim	bad	bad
slimmest	!align="right	!align="right
slim	bad	bad
slimmer	!align="right	!align="right
slimmest	!align="right	!align="right
smoother	!align="right	!align="right
smooth	bad	bad
smoothest	!align="right	!align="right
smooth	bad	bad
smoother	!align="right	!align="right
smoothest	faster	faster
meaner	!align="right	!align="right
mean	bad	bad
meanest	!align="right	!align="right
mean	bad	bad
meaner	!align="right	!align="right
meanest	!align="right	!align="right
longer	!align="right	!align="right
long	anymore	anymore
longest	!align="right	!align="right
long	long	bloody
longer	shortest	shortest
longest	shorter	shorter
shorter	!align="right	!align="right
short	short	short
shortest	!align="right	!align="right
short	endless	endless
shorter	longest	longest
shortest	longer	longer
wider	!align="right	!align="right
wide	deeper	deeper
widest	!align="right	!align="right
wide	continuous	continuous
wider	narrowest	narrowest
widest	broader	broader
fairer	!align="right	!align="right
fair	slow	slow
fairest	!align="right	!align="right
fair	terrific	terrific
fairer	lgion	lgion
fairest	!align="right	!align="right
smarter	!align="right	!align="right
smart	better	deeper
smartest	!align="right	!align="right
smart	slow	slow
smarter	!align="right	!align="right
smartest	better	better
deeper	!align="right	!align="right
deep	deep	deep
deepest	!align="right	!align="right
deep	deep	deep
deeper	deep	deep
deepest	deep	deep
luckier	!align="right	!align="right
lucky	slow	slow
luckiest	!align="right	!align="right
lucky	slow	slow
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
earlier	!align="right	colspan=3|total
early	previous	previous
earliest	!align="right	colspan=3|total
early	early	early
earlier	oldest	oldest
earliest	previous	previous
pricier	!align="right	!align="right
pricey	boo	boo
priciest	!align="right	!align="right
pricey	boo	boo
pricier	!align="right	!align="right
priciest	!align="right	!align="right
wider	!align="right	!align="right
wide	broader	wide
widest	!align="right	!align="right
wide	wide	good
wider	narrowest	narrowest
widest	broader	broader
lower	!align="right	!align="right
low	upper	upper
lowest	!align="right	!align="right
low	highest	highest
lower	highest	highest
lowest	upper	upper
steeper	!align="right	!align="right
steep	steep	rough
steepest	!align="right	!align="right
steep	boo	boo
steeper	!align="right	!align="right
steepest	steep	steep
wealthier	!align="right	!align="right
wealthy	expensive	expensive
wealthiest	!align="right	!align="right
wealthy	expensive	expensive
wealthier	richest	richest
wealthiest	affluent	affluent
richer	!align="right	!align="right
rich	expensive	more
richest	!align="right	!align="right
rich	expensive	expensive
richer	wealthiest	wealthiest
richest	rich	rich
faster	!align="right	!align="right
fastest	slower	slower
fast	!align="right	!align="right
fastest	slow	slow
faster	slow	slow
fast	slower	slower
taller	!align="right	!align="right
tall	more	more
tallest	!align="right	!align="right
tall	expensive	expensive
taller	oldest	oldest
tallest	tall	tall
luckier	!align="right	!align="right
lucky	expensive	expensive
luckiest	!align="right	!align="right
lucky	expensive	expensive
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
wider	wider	wider
wide	wide	wide
widest	!align="right	!align="right
wide	wide	wide
wider	wider	wider
widest	!align="right	!align="right
slower	slower	faster
slow	fast	fast
slowest	!align="right	!align="right
slow	noise	noise
slower	loud	loud
slowest	!align="right	!align="right
friendlier	ambivalent	ambivalent
friendly	!align="right	!align="right
friendliest	!align="right	!align="right
friendly	noise	noise
friendlier	loud	loud
friendliest	!align="right	!align="right
easier	easier	easier
easy	easy	easy
easiest	!align="right	!align="right
easy	fast	fast
easier	deeper	deeper
easiest	!align="right	!align="right
colder	colder	colder
cold	cooler	cooler
coldest	!align="right	!align="right
cold	warmest	temperatures
colder	temperatures	temperatures
coldest	!align="right	!align="right
lower	!align="right	!align="right
low	upper	upper
lowest	!align="right	!align="right
low	low	low
lower	highest	highest
lowest	upper	upper
darker	!align="right	!align="right
dark	dark	dark
darkest	!align="right	!align="right
dark	dark	dark
darker	darker	darker
darkest	paler	paler
safer	!align="right	!align="right
safe	better	better
safest	!align="right	!align="right
safe	lipid	rough
safer	cheapest	cheapest
safest	safe	safe
faster	!align="right	!align="right
fastest	slower	slower
fast	!align="right	!align="right
fastest	slow	slow
faster	slow	slow
fast	slower	slower
fresher	!align="right	!align="right
fresh	lipid	lipid
freshest	!align="right	!align="right
fresh	lipid	lipid
fresher	!align="right	!align="right
freshest	!align="right	!align="right
thinner	!align="right	!align="right
thin	warm	deeper
thinnest	!align="right	!align="right
thin	meat	meat
thinner	!align="right	!align="right
thinnest	thicker	thicker
simpler	!align="right	!align="right
simple	deeper	deeper
simplest	!align="right	!align="right
simple	deeper	deeper
simpler	symmetric	symmetric
simplest	simple	simple
firmer	!align="right	!align="right
firm	meat	meat
firmest	!align="right	!align="right
firm	meat	meat
firmer	!align="right	!align="right
firmest	!align="right	!align="right
gentler	!align="right	!align="right
gentle	meat	meat
gentlest	!align="right	!align="right
gentle	meat	meat
gentler	!align="right	!align="right
gentlest	!align="right	!align="right
livelier	!align="right	!align="right
lively	meat	meat
liveliest	!align="right	!align="right
lively	meat	meat
livelier	!align="right	!align="right
liveliest	!align="right	!align="right
greener	red	red
green	!align="right	!align="right
greenest	red	red
green	!align="right	!align="right
greener	!align="right	!align="right
greenest	!align="right	!align="right
cheaper	inexpensive	inexpensive
cheap	faster	faster
cheapest	inexpensive	inexpensive
cheap	expensive	expensive
cheaper	expensive	expensive
cheapest	faster	faster
stickier	creamy	creamy
sticky	!align="right	!align="right
stickiest	creamy	creamy
sticky	!align="right	!align="right
stickier	!align="right	!align="right
stickiest	!align="right	!align="right
fatter	lipid	lipid
fat	!align="right	!align="right
fattest	lipid	lipid
fat	!align="right	!align="right
fatter	!align="right	!align="right
fattest	!align="right	!align="right
harder	harder	harder
hard	easier	easier
hardest	harder	harder
hard	toughest	toughest
harder	toughest	toughest
hardest	easier	easier
milder	humid	humid
mild	drier	drier
mildest	humid	humid
mild	!align="right	!align="right
milder	!align="right	!align="right
mildest	drier	drier
thinner	thick	thick
thin	thicker	thicker
thinnest	thick	thick
thin	!align="right	!align="right
thinner	!align="right	!align="right
thinnest	thicker	thicker
poorer	poorer	poorer
poor	poor	poor
poorest	poorer	poorer
poor	wealthiest	wealthiest
poorer	wealthiest	wealthiest
poorest	poor	poor
lower	high	high
low	upper	upper
lowest	high	high
low	highest	highest
lower	highest	highest
lowest	upper	upper
quicker	fast	fast
quick	faster	faster
quickest	fast	fast
quick	fastest	fastest
quicker	fastest	fastest
quickest	faster	faster
newer	!align="right	!align="right
new	modern	modern
newest	!align="right	!align="right
new	smart	smart
newer	latest	latest
newest	smaller	smaller
tougher	!align="right	!align="right
tough	tough	tough
toughest	!align="right	!align="right
tough	tough	tough
tougher	biggest	biggest
toughest	smoother	smoother
quicker	!align="right	!align="right
quick	faster	faster
quickest	!align="right	!align="right
quick	slow	slow
quicker	fastest	fastest
quickest	faster	faster
costlier	!align="right	colspan=3|total
costly	hostile	hostile
costliest	!align="right	colspan=3|total
costly	hostile	hostile
costlier	!align="right	!align="right
costliest	!align="right	!align="right
shorter	!align="right	!align="right
short	short	short
shortest	!align="right	!align="right
short	good	good
shorter	longest	longest
shortest	longer	longer
louder	!align="right	!align="right
loud	loud	loud
loudest	!align="right	!align="right
loud	jackson	jackson
louder	!align="right	!align="right
loudest	loud	loud
nastier	!align="right	!align="right
nasty	jackson	jackson
nastiest	!align="right	!align="right
nasty	jackson	jackson
nastier	!align="right	!align="right
nastiest	!align="right	!align="right
greater	!align="right	!align="right
great	great	great
greatest	!align="right	!align="right
great	great	great
greater	biggest	biggest
greatest	larger	larger
wiser	!align="right	!align="right
wise	jackson	jackson
wisest	!align="right	!align="right
wise	jackson	jackson
wiser	!align="right	!align="right
wisest	!align="right	!align="right
closer	!align="right	!align="right
close	close	close
closest	!align="right	!align="right
close	close	close
closer	nearest	nearest
closest	close	close
thicker	thin	thin
thick	thinner	thinner
thickest	thin	thin
thick	!align="right	!align="right
thicker	!align="right	!align="right
thickest	thinner	thinner
classier	!align="right	!align="right
classy	!align="right	!align="right
classiest	!align="right	!align="right
classy	!align="right	!align="right
classier	!align="right	!align="right
classiest	!align="right	!align="right
simpler	simpler	simpler
simple	simple	simple
simplest	simpler	simpler
simple	symmetric	symmetric
simpler	symmetric	symmetric
simplest	simple	simple
busier	bustling	bustling
busy	!align="right	!align="right
busiest	bustling	bustling
busy	most-watched	most-watched
busier	most-watched	most-watched
busiest	!align="right	!align="right
trickier	complicated	complicated
tricky	!align="right	!align="right
trickiest	complicated	complicated
tricky	!align="right	!align="right
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
worse	good	good
bad	better	better
worst	good	good
bad	best	best
worse	best	best
worst	better	better
fatter	lipid	lipid
fat	!align="right	!align="right
fattest	lipid	lipid
fat	!align="right	!align="right
fatter	!align="right	!align="right
fattest	!align="right	!align="right
lower	high	high
low	upper	upper
lowest	high	high
low	highest	highest
lower	highest	highest
lowest	upper	upper
steeper	steeper	steeper
steep	steep	steep
steepest	steeper	steeper
steep	!align="right	!align="right
steeper	!align="right	!align="right
steepest	steep	steep
friendlier	hostile	hostile
friendly	!align="right	!align="right
friendliest	hostile	hostile
friendly	!align="right	!align="right
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
smaller	large	large
small	larger	larger
smallest	!align="right	!align="right
small	smaller	smaller
smaller	smaller	smaller
smallest	!align="right	!align="right
cheaper	inexpensive	affordable
cheap	animals	exporters
cheapest	!align="right	!align="right
cheap	fantastic	fantastic
cheaper	expensive	expensive
cheapest	!align="right	!align="right
tighter	stephenson	stephenson
tight	animal	animal
tightest	!align="right	!align="right
tight	animals	animals
tighter	miller	miller
tightest	!align="right	!align="right
happier	thrilled	brenda
happy	animal	animal
happiest	!align="right	!align="right
happy	animals	animals
happier	miller	miller
happiest	!align="right	!align="right
harsher	oppressive	oppressive
harsh	harsh	harsh
harshest	!align="right	!align="right
harsh	animals	animals
harsher	miller	miller
harshest	!align="right	!align="right
higher	!align="right	!align="right
high	lower	deeper
highest	!align="right	!align="right
high	lowest	lowest
higher	lowest	lowest
highest	lower	lower
prettier	!align="right	!align="right
pretty	rocker	rocker
prettiest	!align="right	!align="right
pretty	rocker	rocker
prettier	!align="right	!align="right
prettiest	!align="right	!align="right
smoother	!align="right	!align="right
smooth	smooth	smooth
smoothest	!align="right	!align="right
smooth	rocker	rocker
smoother	!align="right	!align="right
smoothest	faster	faster
fresher	!align="right	!align="right
fresh	rocker	rocker
freshest	!align="right	!align="right
fresh	rocker	rocker
fresher	!align="right	!align="right
freshest	!align="right	!align="right
faster	!align="right	!align="right
fastest	slower	slower
fast	!align="right	!align="right
fastest	slow	slow
faster	slow	slow
fast	slower	slower
worse	good	gauls
bad	complicated	poor
worst	!align="right	!align="right
bad	best	bad
worse	best	best
worst	!align="right	!align="right
higher	low	highest
high	lower	lower
highest	!align="right	!align="right
high	lowest	lowest
higher	lowest	lowest
highest	!align="right	!align="right
costlier	usn	usn
costly	!align="right	!align="right
costliest	!align="right	!align="right
costly	complicated	complicated
costlier	defenseman	defenseman
costliest	!align="right	!align="right
firmer	firms	firms
firm	!align="right	!align="right
firmest	!align="right	!align="right
firm	complicated	complicated
firmer	defenseman	defenseman
firmest	!align="right	!align="right
steeper	slopes	slopes
steep	complicated	complicated
steepest	!align="right	!align="right
steep	complicated	complicated
steeper	defenseman	defenseman
steepest	!align="right	!align="right
greener	red	reddish
green	!align="right	!align="right
greenest	!align="right	!align="right
green	funny	funny
greener	better	better
greenest	!align="right	!align="right
smaller	smaller	smaller
small	small	small
smallest	!align="right	!align="right
small	small	monster
smaller	larger	larger
smallest	!align="right	!align="right
narrower	broader	broader
narrow	broad	broad
narrowest	!align="right	!align="right
narrow	sophisticated	sophisticated
narrower	deeper	deeper
narrowest	!align="right	!align="right
cleaner	tougher	worse
clean	mixer	mixer
cleanest	!align="right	!align="right
clean	funny	funny
cleaner	better	better
cleanest	!align="right	!align="right
riskier	difficult	difficult
risky	!align="right	!align="right
riskiest	!align="right	!align="right
risky	funny	funny
riskier	better	better
riskiest	!align="right	!align="right
newer	!align="right	!align="right
new	classic	classic
newest	!align="right	!align="right
new	robot	robot
newer	latest	latest
newest	smaller	smaller
wilder	!align="right	!align="right
wild	savage	savage
wildest	!align="right	!align="right
wild	heavenly	heavenly
wilder	!align="right	!align="right
wildest	miller	miller
narrower	!align="right	!align="right
narrow	broad	broad
narrowest	!align="right	!align="right
narrow	narrow	massive
narrower	widest	widest
narrowest	narrow	narrow
safer	!align="right	!align="right
safe	dangerous	dangerous
safest	!align="right	!align="right
safe	strongest	thunder
safer	cheapest	cheapest
safest	safe	safe
faster	!align="right	!align="right
fastest	slower	slower
fast	!align="right	!align="right
fastest	quick	quick
faster	slow	slow
fast	slower	slower
meaner	!align="right	!align="right
mean	brutal	brutal
meanest	!align="right	!align="right
mean	brutal	brutal
meaner	!align="right	!align="right
meanest	!align="right	!align="right
heavier	!align="right	!align="right
heavy	heavy	heavy
heaviest	!align="right	!align="right
heavy	heavy	heavy
heavier	heavy	heavy
