rougher	considerably	considerably
wilder	warmer	warmer
wildest	!	!
prettier	've	definitely
pretty	!	!
prettiest	!	!
pretty	warm	warm
prettier	warmer	warmer
prettiest	!	!
heavier	heavier	heavier
heavy	lighter	lighter
heaviest	!	!
heavy	warm	warm
heavier	warmer	warmer
heaviest	!	!
deeper	deeper	deeper
deep	deep	deep
deepest	!	!
deep	warm	cooler
deeper	warmer	colder
deepest	!	!
newer	york	york
new	coated	silicon
newest	!	!
new	thick	thick
newer	thicker	thicker
newest	!	!
bloodier	brutal	brutal
bloody	!	!
bloodiest	!	!
bloody	thick	thick
bloodier	thicker	thicker
bloodiest	!	!
prettier	really	think
pretty	!	!
prettiest	!	!
pretty	thick	thick
prettier	thicker	thicker
prettiest	!	!
softer	than	than
soft	layer	soft
softest	!	!
soft	thick	thick
softer	thicker	thicker
softest	!	!
taller	taller	taller
tall	tall	tall
tallest	!	!
tall	skyscraper	tall
taller	taller	taller
tallest	!	!
newer	!	!
new	solaris	solaris
newest	!	!
new	sigma	sigma
newer	fraternity	fraternity
newest	versions	versions
weaker	!	!
weak	stronger	stronger
weakest	!	!
weak	flaw	songwriters
weaker	quiz	quiz
weakest	stronger	stronger
longer	!	!
long	shorter	shorter
longest	!	!
long	shortest	shortest
longer	span	span
longest	shorter	shorter
smarter	!	!
smart	fat	fat
smartest	!	!
smart	fat	fat
smarter	!	!
smartest	!	!
riskier	!	!
risky	fat	fat
riskiest	!	!
risky	fat	fat
riskier	!	!
riskiest	!	!
thicker	thin	thicker
thick	banker	banker
thickest	thin	thin
thick	!	!
thicker	!	!
thickest	thinner	thick
bloodier	ensued	clashes
bloody	!	!
bloodiest	ensued	ensued
bloody	!	!
bloodier	!	!
bloodiest	!	!
happier	're	're
happy	!	!
happiest	're	're
happy	!	!
happier	!	!
happiest	!	!
sharper	blunt	blunt
sharp	!	!
sharpest	blunt	blunt
sharp	!	!
sharper	!	!
sharpest	!	!
stronger	stronger	stronger
strong	banker	banker
strongest	well-developed	well-developed
strong	hurricane	hurricane
stronger	hurricane	hurricane
strongest	weaker	powerful
classier	!	!
classy	!	!
classiest	!	!
classy	entire	once
classier	rev.	rev.
classiest	!	!
lighter	ultraviolet	ultraviolet
light	heavier	smaller
lightest	!	!
light	entire	once
lighter	rev.	rev.
lightest	!	!
gentler	slope	slope
gentle	!	!
gentlest	!	!
gentle	entire	once
gentler	rev.	rev.
gentlest	!	!
narrower	broad	curved
narrow	larger	smaller
narrowest	!	!
narrow	entire	once
narrower	rev.	rev.
narrowest	!	!
livelier	valentine	valentine
lively	!	!
liveliest	!	!
lively	entire	once
livelier	rev.	rev.
liveliest	!	!
savvier	!	!
savvy	charming	charming
savviest	!	!
savvy	charming	charming
savvier	!	!
savviest	!	!
livelier	!	!
lively	charming	charming
liveliest	!	!
lively	charming	charming
livelier	!	!
liveliest	!	!
harder	!	!
hard	durable	durable
hardest	!	!
hard	sages	sages
harder	toughest	wanna
hardest	softer	softer
taller	!	!
tall	tall	tall
tallest	!	!
tall	skyscraper	skyscraper
taller	skyscraper	skyscraper
tallest	tall	tall
freer	!	!
free	charming	charming
freest	!	!
free	charming	charming
freer	!	!
freest	!	!
sadder	!	!
sad	behaviors	behaviors
saddest	!	!
sad	behaviors	behaviors
sadder	!	!
saddest	!	!
rougher	!	!
rough	behaviors	behaviors
roughest	!	!
rough	behaviors	behaviors
rougher	!	!
roughest	!	!
steeper	!	!
steep	behaviors	behaviors
steepest	!	!
steep	behaviors	behaviors
steeper	!	!
steepest	!	!
smarter	!	!
smart	behaviors	behaviors
smartest	!	!
smart	behaviors	behaviors
smarter	!	!
smartest	!	!
cleaner	!	!
clean	safer	inefficient
cleanest	!	!
clean	behaviors	behaviors
cleaner	!	!
cleanest	cleaning	cleaning
lighter	!	!
light	heavier	heavier
lightest	!	!
light	consulting	consulting
lighter	!	!
lightest	heavier	heavier
classier	!	!
classy	consulting	consulting
classiest	!	!
classy	consulting	consulting
classier	!	!
classiest	!	!
poorer	!	!
poor	llp	llp
poorest	!	!
poor	llp	llp
poorer	wealthier	wealthier
poorest	wealthier	wealthier
slower	!	!
slow	faster	faster
slowest	!	!
slow	consulting	consulting
slower	!	!
slowest	faster	faster
faster	!	!
fastest	slower	slower
fast	!	!
fastest	llp	llp
faster	slow	slow
fast	slower	slower
classier	!	!
classy	whorls	whorls
classiest	!	!
classy	whorls	whorls
classier	!	!
classiest	!	!
simpler	!	!
simple	riemann	riemann
simplest	!	!
simple	riemann	geometry
simpler	theorems	theorems
simplest	cheaper	cheaper
meaner	!	!
mean	whorls	whorls
meanest	!	!
mean	whorls	whorls
meaner	!	!
meanest	!	!
mightier	!	!
mighty	whorls	whorls
mightiest	!	!
mighty	whorls	whorls
mightier	!	!
mightiest	!	!
cleaner	!	!
clean	manifold	manifold
cleanest	!	!
clean	whorls	whorls
cleaner	!	!
cleanest	cleaning	cleaning
louder	!	!
loud	italics	unorthodox
loudest	!	!
loud	typeface	typeface
louder	!	!
loudest	quieter	quieter
newer	!	!
new	italic	italic
newest	!	!
new	italic	italic
newer	fraternity	fraternity
newest	versions	versions
cooler	!	!
cool	warmer	warmer
coolest	!	!
cool	typeface	typeface
cooler	!	!
coolest	warmer	warmer
narrower	!	!
narrow	italic	italic
narrowest	!	!
narrow	typeface	typeface
narrower	!	!
narrowest	wider	wider
busier	!	!
busy	typeface	typeface
busiest	!	!
busy	airports	metro
busier	airports	airports
busiest	!	!
gentler	than	quieter
gentle	!	!
gentlest	!	!
gentle	thin	thin
gentler	thinner	thinner
gentlest	!	!
fancier	than	than
fancy	!	!
fanciest	!	!
fancy	thin	thin
fancier	thinner	thinner
fanciest	!	!
noisier	quieter	quieter
noisy	!	!
noisiest	!	!
noisy	thin	thin
noisier	thinner	thinner
noisiest	!	!
smarter	phones	phones
smart	!	!
smartest	!	!
smart	thin	thin
smarter	thinner	thinner
smartest	!	!
trickier	than	slower
tricky	!	!
trickiest	!	!
tricky	thin	thin
trickier	thinner	thinner
trickiest	!	!
tastier	!	!
tasty	!	!
tastiest	!	!
tasty	something	something
tastier	ein	ein
tastiest	!	!
easier	easier	lets
easy	easy	easy
easiest	!	!
easy	easy	easy
easier	climbs	climbs
easiest	!	!
mightier	jungle	buck
mighty	!	!
mightiest	!	!
mighty	something	something
mightier	ein	ein
mightiest	!	!
fewer	hundred	hundred
few	things	things
fewest	!	!
few	career-best	career-best
fewer	shutouts	shutout
fewest	!	!
trickier	bjrk	applauded
tricky	!	!
trickiest	!	!
tricky	something	something
trickier	ein	ein
trickiest	!	!
thicker	!	!
thick	slope	slope
thickest	!	!
thick	slopes	slopes
thicker	!	!
thickest	thinner	thinner
earlier	!	late
early	slopes	slopes
earliest	!	late
early	steeply	steeply
earlier	dating	dating
earliest	previous	previous
swifter	!	!
swift	slopes	slopes
swiftest	!	!
swift	slopes	slopes
swifter	!	!
swiftest	!	!
bigger	!	!
big	slope	slope
biggest	!	!
big	slope	slope
bigger	largest	largest
biggest	larger	larger
deeper	!	!
deep	deep	deep
deepest	!	!
deep	deep	deep
deeper	deep	deep
deepest	depths	depths
tighter	quarterback	tighter
tight	tight	tight
tightest	linebacker	linebacker
tight	!	!
tighter	!	!
tightest	exceed	exceed
wider	width	width
wide	broad	broad
widest	width	width
wide	wide	wide
wider	wide	wide
widest	broader	range
prettier	really	think
pretty	!	!
prettiest	thing	thing
pretty	!	!
prettier	!	!
prettiest	!	!
older	norse	norse
old	65	65
oldest	norse	norse
old	dating	dating
older	dating	dating
oldest	65	25
wiser	charming	faithful
wise	!	!
wisest	faithful	faithful
wise	!	!
wiser	!	!
wisest	!	!
milder	!	!
mild	mild	mild
mildest	essendon	essendon
mild	!	!
milder	!	!
mildest	vfl	vfa
prettier	!	!
pretty	fairs	fairs
prettiest	essendon	carlton
pretty	!	!
prettier	!	!
prettiest	vfl	vfl
narrower	!	!
narrow	wider	narrow
narrowest	premierships	premierships
narrow	!	!
narrower	!	!
narrowest	vfl	collingwood
stiffer	!	!
stiff	fairs	fairs
stiffest	collingwood	carlton
stiff	!	!
stiffer	!	!
stiffest	vfl	vfl
older	!	!
old	65	65
oldest	premierships	premierships
old	today	today
older	!	!
oldest	65	kilda
steadier	!	!
steady	terrain	terrain
steadiest	!	!
steady	terrain	terrain
steadier	!	!
steadiest	!	!
fairer	!	!
fair	terrain	terrain
fairest	!	!
fair	vfl	collingwood
fairer	vfl	vfl
fairest	!	!
smarter	!	!
smart	terrain	terrain
smartest	!	!
smart	terrain	terrain
smarter	!	!
smartest	!	!
sharper	!	!
sharp	terrain	terrain
sharpest	!	!
sharp	terrain	terrain
sharper	!	!
sharpest	!	!
deeper	!	!
deep	deep	deep
deepest	!	!
deep	deep	deep
deeper	deep	deep
deepest	depths	depths
bloodier	!	!
bloody	traffic	traffic
bloodiest	heathrow	crackdown
bloody	!	!
bloodier	!	!
bloodiest	airports	airports
quicker	!	!
quick	faster	faster
quickest	heathrow	surpassed
quick	!	!
quicker	!	!
quickest	airports	airports
narrower	!	!
narrow	wider	congested
narrowest	broad	broad
narrow	!	!
narrower	!	!
narrowest	airports	hubs
savvier	!	!
savvy	traffic	traffic
savviest	!	!
savvy	!	!
savvier	!	!
savviest	airports	airports
stronger	!	!
strong	weaker	weaker
strongest	strongest	strongest
strong	storm	storm
stronger	!	!
strongest	weaker	weaker
better	better	better
good	pink	always
best	bad	bad
good	awards	emmy
better	nominations	nominations
best	good	good
slicker	intriguing	closer
slick	!	!
slickest	constellation	canis
slick	!	!
slicker	!	!
slickest	!	!
friendlier	u21	u21
friendly	!	!
friendliest	u21	u21
friendly	!	!
friendlier	!	!
friendliest	!	!
bigger	conference	larger
big	pink	always
biggest	constellation	constellation
big	pink	pink
bigger	bigger	bigger
biggest	stellar	stellar
stronger	stronger	stronger
strong	pink	pink
strongest	constellation	stellar
strong	shades	shades
stronger	hurricane	hurricane
strongest	stellar	stellar
milder	!	!
mild	mild	cooler
mildest	!	!
mild	lamar	lamar
milder	!	!
mildest	mild	mild
faster	!	!
fastest	slower	slower
fast	!	!
fastest	pace	right-arm
faster	slow	slow
fast	slower	slower
busier	!	!
busy	lamar	lamar
busiest	!	!
busy	metro	lumpur
busier	airports	airports
busiest	!	!
luckier	!	!
lucky	lamar	lamar
luckiest	!	!
lucky	lamar	lamar
luckier	!	!
luckiest	!	!
wiser	!	!
wise	lamar	lamar
wisest	!	!
wise	lamar	lamar
wiser	!	!
wisest	!	!
lighter	!	!
light	heavier	heavier
lightest	!	!
light	dresses	dresses
lighter	!	!
lightest	heavier	heavier
healthier	!	!
healthy	dresses	dresses
healthiest	!	!
healthy	dresses	dresses
healthier	!	!
healthiest	!	!
costlier	!	!
costly	dresses	dresses
costliest	!	!
costly	dresses	dresses
costlier	!	!
costliest	!	!
meaner	!	!
mean	dresses	dresses
meanest	!	!
mean	dresses	dresses
meaner	!	!
meanest	!	!
older	!	!
old	65	65
oldest	!	!
old	earliest	authorship
older	dating	dating
oldest	65	65
louder	!	!
loud	yellow	darker
loudest	!	!
loud	yellow	yellow
louder	!	!
loudest	quieter	quieter
tougher	!	!
tough	yellow	pink
toughest	!	!
tough	yellow	yellow
tougher	hardest	hardest
toughest	stronger	stronger
darker	!	!
dark	colour	colour
darkest	!	!
dark	yellow	yellow
darker	journey	journey
darkest	paler	paler
easier	!	!
easy	yellow	colors
easiest	!	!
easy	yellow	yellow
easier	easy	easy
easiest	easy	easy
trickier	!	!
tricky	yellow	yellow
trickiest	!	!
tricky	yellow	yellow
trickier	!	!
trickiest	!	!
larger	!	!
large	hilarious	amusing
largest	!	!
large	hilarious	hilarious
larger	biggest	biggest
largest	smaller	smaller
tastier	!	!
tasty	hilarious	hilarious
tastiest	!	!
tasty	hilarious	hilarious
tastier	!	!
tastiest	!	!
healthier	!	!
healthy	hilarious	hilarious
healthiest	!	!
healthy	hilarious	hilarious
healthier	!	!
healthiest	!	!
faster	!	!
fastest	slower	entertaining
fast	!	!
fastest	clever	clever
faster	slow	slow
fast	slower	slower
noisier	!	!
noisy	hilarious	hilarious
noisiest	!	!
noisy	hilarious	hilarious
noisier	!	!
noisiest	!	!
smaller	!	!
small	larger	larger
smallest	!	!
small	vegetarian	vegetarian
smaller	length	length
smallest	larger	larger
fuller	!	!
full	nutrition	nutrition
fullest	!	!
full	diet	diet
fuller	!	!
fullest	rev.	rev.
younger	!	!
young	elder	elder
youngest	!	!
young	siblings	siblings
younger	daughter	daughter
youngest	brother	brother
smarter	!	!
smart	diet	diet
smartest	!	!
smart	diet	diet
smarter	!	!
smartest	!	!
deeper	!	!
deep	deep	deep
deepest	!	!
deep	deep	deep
deeper	deep	deep
deepest	depths	depths
classier	!	!
classy	variance	variance
classiest	!	!
classy	variance	variance
classier	!	!
classiest	!	!
stickier	!	!
sticky	variance	variance
stickiest	!	!
sticky	variance	variance
stickier	!	!
stickiest	!	!
happier	!	!
happy	variance	variance
happiest	!	!
happy	variance	variance
happier	!	!
happiest	!	!
poorer	!	!
poor	wealthier	measured
poorest	!	!
poor	incomes	averages
poorer	wealthier	wealthier
poorest	wealthier	wealthier
softer	!	!
soft	difference	difference
softest	!	!
soft	variance	variance
softer	!	!
softest	harder	harder
higher	!	!
high	low	increases
highest	!	!
high	second-highest	second-highest
higher	second-highest	second-highest
highest	low	low
thinner	!	!
thin	thicker	thicker
thinnest	!	!
thin	marseille	marseille
thinner	!	!
thinnest	thicker	thicker
fairer	!	!
fair	marseille	marseille
fairest	!	!
fair	vfl	vfl
fairer	vfl	vfl
fairest	!	!
mightier	!	!
mighty	marseille	marseille
mightiest	!	!
mighty	marseille	marseille
mightier	!	!
mightiest	!	!
noisier	!	!
noisy	marseille	marseille
noisiest	!	!
noisy	marseille	marseille
noisier	!	!
noisiest	!	!
kinder	...	like
kind	die	die
kindest	!	!
kind	winters	winters
kinder	mild	mild
kindest	!	!
easier	easier	easier
easy	easy	easy
easiest	!	!
easy	winters	winters
easier	warmer	warmer
easiest	!	!
busier	traffic	traffic
busy	!	!
busiest	!	!
busy	kppen	kppen
busier	mild	mild
busiest	!	!
trickier	slower	slower
tricky	!	!
trickiest	!	!
tricky	winters	winters
trickier	mild	mild
trickiest	!	!
riskier	volatility	volatility
risky	!	!
riskiest	!	!
risky	winters	winters
riskier	mild	mild
riskiest	!	!
rougher	!	!
rough	really	really
roughest	!	!
rough	really	really
rougher	!	!
roughest	!	!
friendlier	!	!
friendly	really	really
friendliest	!	!
friendly	really	really
friendlier	!	!
friendliest	!	!
shorter	!	!
short	longer	faster
shortest	!	!
short	definitely	exciting
shorter	longest	longest
shortest	longer	longer
faster	!	rosberg
fastest	slower	slower
fast	!	rosberg
fastest	pace	pace
faster	slow	slow
fast	slower	slower
fewer	!	!
few	than	definitely
fewest	!	!
few	tallied	interesting
fewer	shutouts	shutouts
fewest	than	than
stickier	!	!
sticky	witty	witty
stickiest	!	!
sticky	witty	witty
stickier	!	!
stickiest	!	!
messier	!	!
messy	witty	witty
messiest	!	!
messy	witty	witty
messier	!	!
messiest	!	!
leaner	!	!
lean	witty	witty
leanest	!	!
lean	witty	witty
leaner	!	!
leanest	!	!
closer	!	!
close	thoughtful	thoughtful
closest	!	!
close	nearest	nearest
closer	nearest	nearest
closest	than	than
trickier	!	!
tricky	witty	witty
trickiest	!	!
tricky	witty	witty
trickier	!	!
trickiest	!	!
thinner	!	!
thin	thicker	thicker
thinnest	!	!
thin	novi	novi
thinner	!	!
thinnest	thicker	thicker
nicer	!	!
nice	novi	novi
nicest	!	!
nice	novi	novi
nicer	!	!
nicest	!	!
savvier	!	!
savvy	novi	novi
savviest	!	!
savvy	novi	novi
savvier	!	!
savviest	!	!
smarter	!	!
smart	novi	novi
smartest	!	!
smart	novi	novi
smarter	!	!
smartest	!	!
fewer	!	!
few	than	than
fewest	!	!
few	shutouts	shutouts
fewer	shutouts	shutouts
fewest	than	than
simpler	!	!
simple	faster	faster
simplest	!	!
simple	algorithm	algorithm
simpler	theorems	theorems
simplest	cheaper	cheaper
fancier	!	!
fancy	loud	loud
fanciest	!	!
fancy	loud	loud
fancier	!	!
fanciest	!	!
greater	!	!
great	lesser	lesser
greatest	!	!
great	one	enthusiastic
greater	one	one
greatest	within	within
luckier	!	!
lucky	loud	loud
luckiest	!	!
lucky	loud	loud
luckier	!	!
luckiest	!	!
deeper	!	!
deep	deep	thinner
deepest	!	!
deep	deep	feelings
deeper	deep	deep
deepest	depths	depths
richer	!	!
rich	lighter	lighter
richest	!	!
rich	wealthiest	wealthiest
richer	wealthiest	wealthiest
richest	lighter	rich
louder	!	!
loud	levine	levine
loudest	!	!
loud	bjrk	bjrk
louder	!	!
loudest	quieter	quieter
rougher	!	!
rough	bjrk	bjrk
roughest	!	!
rough	bjrk	bjrk
rougher	!	!
roughest	!	!
slower	!	!
slow	faster	faster
slowest	!	!
slow	bjrk	bjrk
slower	!	!
slowest	faster	faster
nastier	!	!
nasty	bjrk	bjrk
nastiest	!	!
nasty	bjrk	bjrk
nastier	!	!
nastiest	!	!
slimmer	!	!
slim	bully	bully
slimmest	!	!
slim	bully	bully
slimmer	!	!
slimmest	!	!
smoother	!	!
smooth	bully	bully
smoothest	!	!
smooth	bully	bully
smoother	!	!
smoothest	!	!
meaner	!	!
mean	bully	bully
meanest	!	!
mean	bully	bully
meaner	!	!
meanest	!	!
longer	!	!
long	shorter	long
longest	!	!
long	span	span
longer	span	span
longest	shorter	shorter
shorter	!	!
short	long	long
shortest	!	!
short	longest	longest
shorter	longest	longest
shortest	longer	longer
wider	!	!
wide	decline	faster
widest	!	!
wide	steadily	uninterrupted
wider	width	width
widest	broader	broader
fairer	!	!
fair	slow	slow
fairest	!	!
fair	vfl	vfl
fairer	vfl	vfl
fairest	!	!
smarter	!	!
smart	slow	slow
smartest	!	!
smart	slow	slow
smarter	!	!
smartest	!	!
deeper	!	!
deep	depths	steadily
deepest	!	!
deep	deep	steadily
deeper	deep	deep
deepest	depths	depths
luckier	!	!
lucky	slow	slow
luckiest	!	!
lucky	slow	slow
luckier	!	!
luckiest	!	!
earlier	late	late
early	previous	previous
earliest	late	late
early	extant	extant
earlier	dating	dating
earliest	previous	previous
pricier	!	!
pricey	loser	loser
priciest	!	!
pricey	loser	loser
pricier	!	!
priciest	!	!
wider	!	!
wide	narrower	stronger
widest	!	!
wide	8km	8km
wider	width	width
widest	broader	broader
lower	!	!
low	upper	upper
lowest	!	!
low	highest	highest
lower	highest	highest
lowest	upper	upper
steeper	!	!
steep	loser	loser
steepest	!	!
steep	loser	loser
steeper	!	!
steepest	!	!
wealthier	!	!
wealthy	affluent	affluent
wealthiest	!	!
wealthy	richest	affluent
wealthier	richest	richest
wealthiest	middle-class	middle-class
richer	!	!
rich	expensive	expensive
richest	!	!
rich	wealthiest	wealthiest
richer	wealthiest	wealthiest
richest	lighter	rich
faster	!	!
fastest	slower	slower
fast	!	!
fastest	expensive	expensive
faster	slow	slow
fast	slower	slower
taller	!	!
tall	tall	expensive
tallest	!	!
tall	skyscraper	skyscraper
taller	skyscraper	skyscraper
tallest	tall	tall
luckier	!	!
lucky	expensive	expensive
luckiest	!	!
lucky	expensive	expensive
luckier	!	!
luckiest	!	!
wider	width	width
wide	audience	audience
widest	!	!
wide	noises	noises
wider	narrower	narrower
widest	!	!
slower	slower	slower
slow	faster	faster
slowest	!	!
slow	noises	noises
slower	quieter	quieter
slowest	!	!
friendlier	u19	1-0
friendly	!	!
friendliest	!	!
friendly	noises	noises
friendlier	quieter	quieter
friendliest	!	!
easier	easier	easier
easy	easy	easy
easiest	!	!
easy	noises	audible
easier	harder	harder
easiest	!	!
colder	warmer	warmer
cold	cold	cold
coldest	!	cool
cold	snowfall	snowfall
colder	temperatures	warmer
coldest	!	!
lower	!	!
low	upper	upper
lowest	!	!
low	percentage	percentage
lower	highest	highest
lowest	upper	upper
darker	!	brown
dark	paler	lighter
darkest	!	brown
dark	cholesterol	cholesterol
darker	journey	journey
darkest	paler	paler
safer	!	!
safe	dietary	vitamins
safest	!	!
safe	fatty	fatty
safer	!	!
safest	easier	easier
faster	!	!
fastest	slower	slower
fast	!	!
fastest	carbohydrates	vegetarian
faster	slow	slow
fast	slower	slower
fresher	!	!
fresh	fatty	fatty
freshest	!	!
fresh	fatty	fatty
fresher	!	!
freshest	!	!
thinner	!	!
thin	thicker	thicker
thinnest	!	!
thin	dried	dried
thinner	!	!
thinnest	thicker	thicker
simpler	!	!
simple	sour	sour
simplest	!	!
simple	vegetables	yogurt
simpler	theorems	theorems
simplest	cheaper	cheaper
firmer	!	!
firm	dried	dried
firmest	!	!
firm	dried	dried
firmer	!	!
firmest	!	!
gentler	!	!
gentle	dried	dried
gentlest	!	!
gentle	dried	dried
gentler	!	!
gentlest	!	!
livelier	!	!
lively	dried	dried
liveliest	!	!
lively	dried	dried
livelier	!	!
liveliest	!	!
greener	yellow	yellow
green	!	!
greenest	yellow	yellow
green	!	!
greener	!	!
greenest	!	!
cheaper	prices	prices
cheap	expensive	expensive
cheapest	prices	prices
cheap	!	!
cheaper	!	!
cheapest	expensive	expensive
stickier	latex	latex
sticky	!	!
stickiest	latex	latex
sticky	!	!
stickier	!	!
stickiest	!	!
fatter	fatty	fatty
fat	!	!
fattest	fatty	fatty
fat	!	!
fatter	!	!
fattest	!	!
harder	disk	disk
hard	softer	softer
hardest	disk	disk
hard	toughest	wanna
harder	toughest	wanna
hardest	softer	softer
milder	winters	winters
mild	mild	mild
mildest	winters	winters
mild	!	!
milder	!	!
mildest	mild	mild
thinner	thick	thick
thin	thicker	thicker
thinnest	thick	thick
thin	!	!
thinner	!	!
thinnest	thicker	thicker
poorer	impoverished	impoverished
poor	wealthier	wealthier
poorest	impoverished	impoverished
poor	wealthier	wealthier
poorer	wealthier	wealthier
poorest	wealthier	wealthier
lower	higher	higher
low	upper	upper
lowest	higher	higher
low	highest	highest
lower	highest	highest
lowest	upper	upper
quicker	pace	pace
quick	faster	faster
quickest	pace	pace
quick	!	!
quicker	!	!
quickest	faster	faster
newer	!	!
new	1-1	2-2
newest	!	!
new	friendlies	1-1
newer	fraternity	fraternity
newest	versions	versions
tougher	!	!
tough	u21	u21
toughest	!	!
tough	friendlies	friendlies
tougher	hardest	hardest
toughest	stronger	stronger
quicker	!	!
quick	faster	faster
quickest	!	!
quick	u19	u19
quicker	!	!
quickest	faster	faster
costlier	!	!
costly	u19	u19
costliest	!	!
costly	u19	u19
costlier	!	!
costliest	!	!
shorter	!	!
short	longer	longer
shortest	!	!
short	1-1	1-1
shorter	longest	longest
shortest	longer	longer
louder	!	!
loud	aguilera	levine
loudest	!	!
loud	timberlake	timberlake
louder	!	!
loudest	quieter	quieter
nastier	!	!
nasty	timberlake	timberlake
nastiest	!	!
nasty	timberlake	timberlake
nastier	!	!
nastiest	!	!
greater	!	!
great	lesser	lesser
greatest	!	!
great	finest	finest
greater	one	one
greatest	within	within
wiser	!	!
wise	timberlake	timberlake
wisest	!	!
wise	timberlake	timberlake
wiser	!	!
wisest	!	!
closer	!	!
close	farther	farther
closest	!	!
close	nearest	clarkson
closer	nearest	nearest
closest	than	than
thicker	thin	thin
thick	thinner	thinner
thickest	thin	thin
thick	!	!
thicker	!	!
thickest	thinner	thinner
classier	!	!
classy	!	!
classiest	!	!
classy	!	!
classier	!	!
classiest	!	!
simpler	rather	rather
simple	cheaper	cheaper
simplest	rather	rather
simple	theorems	theorems
simpler	theorems	theorems
simplest	cheaper	cheaper
busier	traffic	traffic
busy	!	!
busiest	traffic	traffic
busy	airports	airports
busier	airports	airports
busiest	!	!
trickier	bjrk	bjrk
tricky	!	!
trickiest	bjrk	bjrk
tricky	!	!
trickier	!	!
trickiest	!	!
worse	good	good
bad	better	better
worst	good	good
bad	catastrophic	catastrophic
worse	catastrophic	catastrophic
worst	better	better
fatter	fatty	fatty
fat	!	!
fattest	fatty	fatty
fat	!	!
fatter	!	!
fattest	!	!
lower	higher	higher
low	upper	upper
lowest	higher	higher
low	highest	highest
lower	highest	highest
lowest	upper	upper
steeper	slopes	slopes
steep	!	!
steepest	slopes	slopes
steep	!	!
steeper	!	!
steepest	!	!
friendlier	u19	u19
friendly	!	!
friendliest	u19	u19
friendly	!	!
friendlier	!	!
friendliest	!	!
smaller	snails	snails
small	larger	larger
smallest	!	!
small	deer	domesticated
smaller	vertices	vertices
smallest	!	!
cheaper	inexpensive	inexpensive
cheap	domesticated	domesticated
cheapest	!	!
cheap	deer	deer
cheaper	silent	silent
cheapest	!	!
tighter	linebacker	linebacker
tight	domesticated	domesticated
tightest	!	!
tight	deer	deer
tighter	silent	silent
tightest	!	!
happier	everyone	everyone
happy	!	!
happiest	!	!
happy	deer	deer
happier	silent	silent
happiest	!	!
harsher	conditions	punishments
harsh	!	!
harshest	!	!
harsh	deer	deer
harsher	silent	silent
harshest	!	!
higher	!	!
high	low	compared
highest	!	!
high	second-highest	second-highest
higher	second-highest	second-highest
highest	low	low
prettier	!	!
pretty	clever	clever
prettiest	!	!
pretty	clever	clever
prettier	!	!
prettiest	!	!
smoother	!	!
smooth	clever	clever
smoothest	!	!
smooth	clever	clever
smoother	!	!
smoothest	!	!
fresher	!	!
fresh	clever	clever
freshest	!	!
fresh	clever	clever
fresher	!	!
freshest	!	!
faster	!	!
fastest	slower	slower
fast	!	!
fastest	pace	pace
faster	slow	slow
fast	slower	slower
worse	good	good
bad	better	better
worst	good	good
bad	catastrophic	catastrophic
worse	catastrophic	catastrophic
worst	better	better
higher	school	school
high	low	low
highest	school	school
high	second-highest	second-highest
higher	second-highest	second-highest
highest	low	low
costlier	expensive	expensive
costly	!	!
costliest	expensive	expensive
costly	!	!
costlier	!	!
costliest	!	!
firmer	consulting	consulting
firm	!	!
firmest	consulting	consulting
firm	!	!
firmer	!	!
firmest	!	!
steeper	slopes	slopes
steep	!	!
steepest	slopes	slopes
steep	!	!
steeper	!	!
steepest	!	!
greener	!	!
green	phones	phones
greenest	!	!
green	phones	phones
greener	!	!
greenest	!	!
smaller	!	!
small	larger	larger
smallest	!	!
small	phones	phones
smaller	length	length
smallest	larger	larger
narrower	!	!
narrow	phones	laptops
narrowest	!	!
narrow	phones	phones
narrower	!	!
narrowest	wider	wider
cleaner	!	!
clean	intelligent	intelligent
cleanest	!	!
clean	phones	phones
cleaner	!	!
cleanest	cleaning	cleaning
riskier	!	!
risky	phones	phones
riskiest	!	!
risky	phones	phones
riskier	!	!
riskiest	!	!
newer	!	!
new	solaris	macintosh
newest	!	!
new	flyers	sabres
newer	fraternity	fraternity
newest	versions	versions
wilder	!	!
wild	penguins	kindred
wildest	!	!
wild	penguins	penguins
wilder	!	!
wildest	silent	silent
narrower	!	!
narrow	wider	wider
narrowest	!	!
narrow	penguins	penguins
narrower	!	!
narrowest	wider	wider
safer	!	!
safe	pedestrians	pedestrians
safest	!	!
safe	penguins	penguins
safer	!	!
safest	easier	easier
faster	!	!
fastest	slower	slower
fast	!	!
fastest	pace	pace
faster	slow	slow
fast	slower	slower
meaner	!	!
mean	ensued	ensued
meanest	!	!
mean	ensued	ensued
meaner	!	!
meanest	!	!
heavier	!	!
heavy	lighter	lighter
heaviest	!	!
heavy	ensued	ensued
heavier	weighing	weighing
heaviest	lighter	lighter
nicer	!	!
nice	ensued	ensued
nicest	!	!
nice	ensued	ensued
nicer	!	!
nicest	!	!
faster	!	!
fastest	slower	slower
fast	!	!
fastest	right-arm	right-arm
faster	slow	slow
fast	slower	slower
leaner	!	!
lean	ensued	ensued
leanest	!	!
lean	ensued	ensued
leaner	!	!
leanest	!	!
weaker	!	!
weak	stronger	stronger
weakest	!	!
weak	latex	clarkson
weaker	quiz	quiz
weakest	stronger	stronger
darker	!	!
dark	whitish	whitish
darkest	!	!
dark	adhesive	hairs
darker	journey	journey
darkest	paler	paler
rougher	!	!
