rougher	finer	finer
lightest	heavier	heavier
classier	!align="right	!align="right
classy	firms	firms
classiest	!align="right	!align="right
classy	firms	firms
classier	!align="right	!align="right
classiest	!align="right	!align="right
poorer	!align="right	!align="right
poor	firms	firms
poorest	!align="right	!align="right
poor	firms	firms
poorer	wealthiest	wealthiest
poorest	poor	poor
slower	!align="right	!align="right
slow	firms	firms
slowest	!align="right	!align="right
slow	firms	firms
slower	!align="right	!align="right
slowest	faster	faster
faster	!align="right	colspan=3|total
fastest	firms	firms
fast	!align="right	colspan=3|total
fastest	firms	firms
faster	slow	slow
fast	slower	slower
classier	!align="right	!align="right
classy	!align="right	!align="right
classiest	!align="right	!align="right
classy	thin	thin
classier	faster	faster
classiest	!align="right	!align="right
simpler	simpler	simpler
simple	simple	simple
simplest	!align="right	!align="right
simple	simple	simple
simpler	simpler	simpler
simplest	!align="right	!align="right
meaner	imply	cost
mean	!align="right	!align="right
meanest	!align="right	!align="right
mean	thin	thin
meaner	faster	faster
meanest	!align="right	!align="right
mightier	god	barbarian
mighty	!align="right	!align="right
mightiest	!align="right	!align="right
mighty	thin	thin
mightier	faster	faster
mightiest	!align="right	!align="right
cleaner	quieter	quieter
clean	clean	clean
cleanest	!align="right	!align="right
clean	thin	thin
cleaner	faster	faster
cleanest	!align="right	!align="right
louder	!align="right	!align="right
loud	loud	loud
loudest	!align="right	!align="right
loud	italics	italics
louder	!align="right	!align="right
loudest	faster	faster
newer	!align="right	!align="right
new	simpler	simpler
newest	!align="right	!align="right
new	latest	latest
newer	latest	latest
newest	larger	older
cooler	!align="right	!align="right
cool	cool	cool
coolest	!align="right	!align="right
cool	italics	italics
cooler	!align="right	!align="right
coolest	colder	colder
narrower	!align="right	!align="right
narrow	broad	broad
narrowest	!align="right	!align="right
narrow	narrow	narrow
narrower	widest	widest
narrowest	narrow	narrow
busier	!align="right	!align="right
busy	italics	italics
busiest	!align="right	!align="right
busy	finest	spectacular
busier	most-watched	most-watched
busiest	!align="right	!align="right
gentler	happier	headphones
gentle	!align="right	!align="right
gentlest	!align="right	!align="right
gentle	thin	thin
gentler	thinner	thinner
gentlest	!align="right	!align="right
fancier	sentient	participant
fancy	!align="right	!align="right
fanciest	!align="right	!align="right
fancy	thin	thin
fancier	thinner	thinner
fanciest	!align="right	!align="right
noisier	quieter	quieter
noisy	!align="right	!align="right
noisiest	!align="right	!align="right
noisy	thin	thin
noisier	thinner	thinner
noisiest	!align="right	!align="right
smarter	darpa	sinclair
smart	fraud	fraud
smartest	!align="right	!align="right
smart	thin	thin
smarter	thinner	thinner
smartest	!align="right	!align="right
trickier	smarter	smarter
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	thin	thin
trickier	thinner	thinner
trickiest	!align="right	!align="right
tastier	!align="right	!align="right
tasty	!align="right	!align="right
tastiest	!align="right	!align="right
tasty	sort	sort
tastier	happy	happy
tastiest	!align="right	!align="right
easier	easier	easier
easy	sort	sort
easiest	!align="right	!align="right
easy	sort	sort
easier	easy	easy
easiest	!align="right	!align="right
mightier	trojans	trojans
mighty	!align="right	!align="right
mightiest	!align="right	!align="right
mighty	sort	sort
mightier	happy	happy
mightiest	!align="right	!align="right
fewer	several	several
few	types	types
fewest	!align="right	colspan=3|total
few	sort	sort
fewer	sharp	sharp
fewest	!align="right	!align="right
trickier	<onlyinclude	<onlyinclude
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	sort	sort
trickier	happy	happy
trickiest	!align="right	!align="right
thicker	thicker	thicker
thick	thick	thick
thickest	!align="right	!align="right
thick	steeper	steeper
thicker	steep	steep
thickest	!align="right	!align="right
earlier	late	late
early	previous	previous
earliest	!align="right	!align="right
early	early	spectacular
earlier	early	elaborate
earliest	!align="right	!align="right
swifter	winchester	winchester
swift	!align="right	!align="right
swiftest	!align="right	!align="right
swift	steeper	steeper
swifter	steep	steep
swiftest	!align="right	!align="right
bigger	bigger	bigger
big	large	large
biggest	!align="right	!align="right
big	huge	huge
bigger	largest	bigger
biggest	!align="right	!align="right
deeper	deeper	deeper
deep	deep	deep
deepest	!align="right	!align="right
deep	deep	deep
deeper	deeper	deeper
deepest	!align="right	!align="right
tighter	basal	ligand
tight	tight	caps
tightest	driest	tighter
tight	!align="right	!align="right
tighter	!align="right	!align="right
tightest	undue	undue
wider	wider	wider
wide	wide	wide
widest	widest	widest
wide	wide	wide
wider	wider	wider
widest	wide	wide
prettier	quite	quite
pretty	!align="right	!align="right
prettiest	driest	driest
pretty	!align="right	!align="right
prettier	!align="right	!align="right
prettiest	!align="right	!align="right
older	older	older
old	younger	old
oldest	wettest	wettest
old	earliest	mortuary
older	older	older
oldest	oldest	oldest
wiser	noble	hennessy
wise	!align="right	!align="right
wisest	warmest	wealthiest
wise	!align="right	!align="right
wiser	!align="right	!align="right
wisest	!align="right	!align="right
milder	!align="right	!align="right
mild	cooler	decent
mildest	severe	groin
mild	!align="right	!align="right
milder	!align="right	!align="right
mildest	cooler	autumn
prettier	!align="right	!align="right
pretty	exposition	exposition
prettiest	cowardly	roxanne
pretty	!align="right	!align="right
prettier	!align="right	!align="right
prettiest	obec	obec
narrower	!align="right	colspan=3|total
narrow	broad	broad
narrowest	narrower	narrower
narrow	widest	widest
narrower	!align="right	!align="right
narrowest	broad	broad
stiffer	!align="right	!align="right
stiff	exposition	exposition
stiffest	cruciate	cruciate
stiff	!align="right	!align="right
stiffer	!align="right	!align="right
stiffest	obec	obec
older	!align="right	!align="right
old	younger	better
oldest	older	older
old	largest	largest
older	!align="right	!align="right
oldest	younger	younger
steadier	!align="right	!align="right
steady	treacherous	treacherous
steadiest	!align="right	!align="right
steady	treacherous	treacherous
steadier	!align="right	!align="right
steadiest	!align="right	!align="right
fairer	!align="right	!align="right
fair	treacherous	treacherous
fairest	!align="right	!align="right
fair	bad	bad
fairer	obec	obec
fairest	!align="right	!align="right
smarter	!align="right	!align="right
smart	better	better
smartest	!align="right	!align="right
smart	treacherous	treacherous
smarter	!align="right	!align="right
smartest	healthier	healthier
sharper	!align="right	!align="right
sharp	better	better
sharpest	!align="right	!align="right
sharp	treacherous	treacherous
sharper	!align="right	!align="right
sharpest	smoother	smoother
deeper	!align="right	!align="right
deep	deep	deep
deepest	!align="right	!align="right
deep	deep	deep
deeper	deep	deep
deepest	deep	deep
bloodier	!align="right	!align="right
bloody	bustling	bustling
bloodiest	deadliest	biggest
bloody	!align="right	!align="right
bloodier	!align="right	!align="right
bloodiest	most-watched	most-watched
quicker	!align="right	!align="right
quick	fast	fast
quickest	rapid	rapid
quick	briton	briton
quicker	!align="right	!align="right
quickest	faster	faster
narrower	!align="right	!align="right
narrow	narrow	narrow
narrowest	narrowest	narrowest
narrow	comfortable	comfortable
narrower	!align="right	!align="right
narrowest	wider	wider
savvier	!align="right	!align="right
savvy	bustling	bustling
savviest	!align="right	!align="right
savvy	!align="right	!align="right
savvier	!align="right	!align="right
savviest	most-watched	most-watched
stronger	!align="right	!align="right
strong	strong	strong
strongest	strongest	strongest
strong	strong	strong
stronger	!align="right	!align="right
strongest	strongest	strongest
better	better	better
good	good	good
best	excellent	best
good	better	better
better	better	better
best	best	best
slicker	uptempo	uptempo
slick	!align="right	!align="right
slickest	guitarists	guitarists
slick	!align="right	!align="right
slicker	!align="right	!align="right
slickest	!align="right	!align="right
friendlier	healthier	healthier
friendly	!align="right	!align="right
friendliest	vegan	vegan
friendly	!align="right	!align="right
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
bigger	bigger	bigger
big	big	big
biggest	biggest	biggest
big	largest	huge
bigger	largest	bigger
biggest	biggest	biggest
stronger	stronger	stronger
strong	strong	strong
strongest	strongest	strongest
strong	strong	strong
stronger	stronger	stronger
strongest	strongest	strongest
milder	!align="right	!align="right
mild	cold	cold
mildest	!align="right	!align="right
mild	inches	inches
milder	!align="right	!align="right
mildest	warmer	warmer
faster	!align="right	!align="right
fastest	fast	fast
fast	!align="right	!align="right
fastest	slow	slow
faster	slow	slow
fast	slower	slower
busier	!align="right	!align="right
busy	inches	inches
busiest	!align="right	!align="right
busy	atlanta	atlanta
busier	most-watched	most-watched
busiest	!align="right	!align="right
luckier	!align="right	!align="right
lucky	inches	inches
luckiest	!align="right	!align="right
lucky	inches	inches
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
wiser	!align="right	!align="right
wise	inches	inches
wisest	!align="right	!align="right
wise	inches	inches
wiser	!align="right	!align="right
wisest	!align="right	!align="right
lighter	!align="right	!align="right
light	heavier	dark
lightest	!align="right	!align="right
light	roast	roast
lighter	!align="right	!align="right
lightest	heavier	heavier
healthier	!align="right	!align="right
healthy	better	better
healthiest	!align="right	!align="right
healthy	roast	roast
healthier	!align="right	!align="right
healthiest	healthy	healthy
costlier	!align="right	!align="right
costly	roast	roast
costliest	!align="right	!align="right
costly	roast	roast
costlier	!align="right	!align="right
costliest	!align="right	!align="right
meaner	!align="right	!align="right
mean	roast	roast
meanest	!align="right	!align="right
mean	roast	roast
meaner	!align="right	!align="right
meanest	!align="right	!align="right
older	!align="right	!align="right
old	younger	younger
oldest	!align="right	!align="right
old	finest	finest
older	largest	largest
oldest	younger	younger
louder	!align="right	!align="right
loud	red	red
loudest	!align="right	!align="right
loud	blue	blue
louder	!align="right	!align="right
loudest	faster	faster
tougher	!align="right	!align="right
tough	red	red
toughest	!align="right	!align="right
tough	red	red
tougher	hardest	hardest
toughest	tighter	tighter
darker	!align="right	!align="right
dark	dark	dark
darkest	!align="right	!align="right
dark	dark	dark
darker	darker	darker
darkest	paler	paler
easier	!align="right	!align="right
easy	easy	easy
easiest	!align="right	!align="right
easy	blue	blue
easier	difficult	difficult
easiest	difficult	difficult
trickier	!align="right	!align="right
tricky	blue	blue
trickiest	!align="right	!align="right
tricky	blue	blue
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
larger	!align="right	!align="right
large	smaller	smaller
largest	small	small
large	biggest	biggest
larger	!align="right	!align="right
largest	smaller	smaller
tastier	!align="right	!align="right
tasty	hilarious	hilarious
tastiest	!align="right	colspan=3|total
tasty	!align="right	!align="right
tastier	!align="right	!align="right
tastiest	sexiest	sexiest
healthier	!align="right	!align="right
healthy	healthy	healthy
healthiest	worst	worst
healthy	!align="right	!align="right
healthier	!align="right	!align="right
healthiest	healthy	healthy
faster	!align="right	colspan=3|total
fastest	fast	fast
fast	fastest-growing	fastest-growing
fastest	slow	slow
faster	!align="right	!align="right
fast	slower	slower
noisier	!align="right	!align="right
noisy	hilarious	hilarious
noisiest	worst	worst
noisy	!align="right	!align="right
noisier	!align="right	!align="right
noisiest	sexiest	sexiest
smaller	smaller	smaller
small	larger	small
smallest	!align="right	!align="right
small	small	small
smaller	larger	larger
smallest	!align="right	!align="right
fuller	fully	fully
full	miller	miller
fullest	!align="right	!align="right
full	healthier	healthier
fuller	healthy	healthy
fullest	!align="right	!align="right
younger	younger	younger
young	young	young
youngest	!align="right	!align="right
young	young	young
younger	younger	younger
youngest	!align="right	!align="right
smarter	samsung	samsung
smart	flawless	flawless
smartest	!align="right	!align="right
smart	healthier	healthier
smarter	healthy	healthy
smartest	!align="right	!align="right
deeper	deeper	deeper
deep	deep	deep
deepest	!align="right	colspan=3|total
deep	deep	deep
deeper	deeper	deeper
deepest	!align="right	colspan=3|total
classier	!align="right	!align="right
classy	literally	literally
classiest	!align="right	!align="right
classy	literally	literally
classier	!align="right	!align="right
classiest	!align="right	!align="right
stickier	!align="right	!align="right
sticky	literally	literally
stickiest	!align="right	!align="right
sticky	literally	literally
stickier	!align="right	!align="right
stickiest	!align="right	!align="right
happier	!align="right	!align="right
happy	happy	deeper
happiest	!align="right	!align="right
happy	literally	literally
happier	!align="right	!align="right
happiest	happy	happy
poorer	!align="right	!align="right
poor	poor	poor
poorest	!align="right	!align="right
poor	better	better
poorer	wealthiest	wealthiest
poorest	poor	poor
softer	!align="right	!align="right
soft	sometimes	sometimes
softest	!align="right	!align="right
soft	literally	literally
softer	!align="right	!align="right
softest	thicker	thicker
higher	!align="right	colspan=3|total
high	lower	better
highest	!align="right	colspan=3|total
high	lowest	lowest
higher	lowest	lowest
highest	lower	lower
thinner	colspan=3|total	colspan=3|total
thin	lighter	cool
thinnest	colspan=3|total	colspan=3|total
thin	paris	paris
thinner	!align="right	!align="right
thinnest	thicker	thicker
fairer	!align="right	colspan=3|total
fair	paris	paris
fairest	!align="right	colspan=3|total
fair	vigo	vigo
fairer	obec	obec
fairest	!align="right	!align="right
mightier	!align="right	colspan=3|total
mighty	paris	paris
mightiest	!align="right	colspan=3|total
mighty	paris	paris
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
noisier	!align="right	colspan=3|total
noisy	paris	paris
noisiest	!align="right	colspan=3|total
noisy	paris	paris
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
kinder	sort	sort
kind	happy	happy
kindest	!align="right	!align="right
kind	severe	severe
kinder	warmer	warmer
kindest	!align="right	!align="right
easier	easier	easier
easy	easy	easy
easiest	!align="right	colspan=3|total
easy	cool	cool
easier	difficult	difficult
easiest	!align="right	!align="right
busier	quieter	quieter
busy	!align="right	!align="right
busiest	!align="right	!align="right
busy	severe	cool
busier	cooler	cooler
busiest	!align="right	!align="right
trickier	difficult	unfamiliar
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	severe	severe
trickier	warmer	warmer
trickiest	!align="right	!align="right
riskier	difficult	difficult
risky	!align="right	!align="right
riskiest	!align="right	!align="right
risky	severe	severe
riskier	warmer	warmer
riskiest	!align="right	!align="right
rougher	!align="right	!align="right
rough	very	very
roughest	!align="right	!align="right
rough	very	very
rougher	!align="right	!align="right
roughest	!align="right	!align="right
friendlier	!align="right	!align="right
friendly	very	very
friendliest	!align="right	!align="right
friendly	very	very
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
shorter	!align="right	!align="right
short	short	short
shortest	!align="right	!align="right
short	good	good
shorter	longest	longest
shortest	short	short
faster	!align="right	colspan=3|total
fastest	fast	fast
fast	!align="right	colspan=3|total
fastest	slow	slow
faster	slow	slow
fast	slower	slower
fewer	!align="right	colspan=3|total
few	more	more
fewest	!align="right	colspan=3|total
few	very	very
fewer	season-high	season-high
fewest	more	more
stickier	!align="right	!align="right
sticky	beautiful	beautiful
stickiest	!align="right	!align="right
sticky	beautiful	beautiful
stickier	!align="right	!align="right
stickiest	!align="right	!align="right
messier	!align="right	!align="right
messy	sharp	sharp
messiest	!align="right	!align="right
messy	beautiful	beautiful
messier	!align="right	!align="right
messiest	ngc	ngc
leaner	!align="right	!align="right
lean	beautiful	beautiful
leanest	!align="right	!align="right
lean	beautiful	beautiful
leaner	!align="right	!align="right
leanest	!align="right	!align="right
closer	!align="right	!align="right
close	close	close
closest	!align="right	!align="right
close	close	close
closer	nearest	nearest
closest	close	close
trickier	!align="right	!align="right
tricky	beautiful	beautiful
trickiest	!align="right	!align="right
tricky	beautiful	beautiful
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
thinner	!align="right	colspan=3|total
thin	lighter	bad
thinnest	!align="right	colspan=3|total
thin	happy	happy
thinner	!align="right	!align="right
thinnest	thicker	thicker
nicer	!align="right	!align="right
nice	happy	happy
nicest	!align="right	!align="right
nice	happy	happy
nicer	!align="right	!align="right
nicest	!align="right	!align="right
savvier	!align="right	!align="right
savvy	happy	happy
savviest	!align="right	!align="right
savvy	happy	happy
savvier	!align="right	!align="right
savviest	!align="right	!align="right
smarter	!align="right	!align="right
smart	happy	happy
smartest	!align="right	!align="right
smart	happy	happy
smarter	!align="right	!align="right
smartest	healthier	healthier
fewer	!align="right	colspan=3|total
few	more	more
fewest	!align="right	colspan=3|total
few	dramatic	dramatic
fewer	season-high	season-high
fewest	more	more
simpler	!align="right	!align="right
simple	simple	simple
simplest	!align="right	!align="right
simple	simple	complex
simpler	boolean	boolean
simplest	simple	simple
fancier	!align="right	!align="right
fancy	weak	weak
fanciest	!align="right	!align="right
fancy	weak	weak
fancier	!align="right	!align="right
fanciest	!align="right	!align="right
greater	!align="right	!align="right
great	larger	larger
greatest	!align="right	!align="right
great	finest	finest
greater	biggest	biggest
greatest	larger	larger
luckier	!align="right	!align="right
lucky	weak	weak
luckiest	!align="right	!align="right
lucky	weak	weak
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
deeper	!align="right	colspan=3|total
deep	deep	deep
deepest	!align="right	colspan=3|total
deep	deep	deep
deeper	deep	deep
deepest	deep	deep
richer	!align="right	!align="right
rich	rich	rich
richest	!align="right	!align="right
rich	rich	rich
richer	wealthiest	wealthiest
richest	rich	rich
louder	!align="right	!align="right
loud	loud	loud
loudest	!align="right	!align="right
loud	dangerous	dangerous
louder	!align="right	!align="right
loudest	faster	faster
rougher	!align="right	!align="right
rough	dangerous	dangerous
roughest	!align="right	!align="right
rough	dangerous	dangerous
rougher	!align="right	!align="right
roughest	!align="right	!align="right
slower	!align="right	!align="right
slow	faster	faster
slowest	!align="right	!align="right
slow	dangerous	dangerous
slower	!align="right	!align="right
slowest	faster	faster
nastier	!align="right	!align="right
nasty	dangerous	dangerous
nastiest	!align="right	!align="right
nasty	dangerous	dangerous
nastier	!align="right	!align="right
nastiest	!align="right	!align="right
slimmer	!align="right	!align="right
slim	bad	bad
slimmest	!align="right	!align="right
slim	bad	bad
slimmer	!align="right	!align="right
slimmest	!align="right	!align="right
smoother	!align="right	!align="right
smooth	bad	bad
smoothest	!align="right	!align="right
smooth	bad	bad
smoother	!align="right	!align="right
smoothest	faster	faster
meaner	!align="right	!align="right
mean	bad	bad
meanest	!align="right	!align="right
mean	bad	bad
meaner	!align="right	!align="right
meanest	!align="right	!align="right
longer	!align="right	!align="right
long	long	long
longest	!align="right	!align="right
long	long	long
longer	shortest	shortest
longest	shorter	shorter
shorter	!align="right	!align="right
short	short	short
shortest	!align="right	!align="right
short	bad	bad
shorter	longest	longest
shortest	short	short
wider	!align="right	colspan=3|total
wide	broader	deeper
widest	!align="right	colspan=3|total
wide	continuous	continuous
wider	narrowest	narrowest
widest	broader	broader
fairer	!align="right	!align="right
fair	rapid	rapid
fairest	!align="right	!align="right
fair	constant	constant
fairer	obec	obec
fairest	!align="right	!align="right
smarter	!align="right	!align="right
smart	deeper	deeper
smartest	!align="right	!align="right
smart	rapid	rapid
smarter	!align="right	!align="right
smartest	healthier	healthier
deeper	!align="right	colspan=3|total
deep	deep	deep
deepest	!align="right	colspan=3|total
deep	deep	deep
deeper	deep	deep
deepest	deep	deep
luckier	!align="right	!align="right
lucky	rapid	rapid
luckiest	!align="right	!align="right
lucky	rapid	rapid
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
earlier	!align="right	colspan=3|total
early	previous	previous
earliest	!align="right	colspan=3|total
early	early	early
earlier	oldest	oldest
earliest	previous	previous
pricier	!align="right	!align="right
pricey	wild	wild
priciest	!align="right	!align="right
pricey	wild	wild
pricier	!align="right	!align="right
priciest	!align="right	!align="right
wider	!align="right	colspan=3|total
wide	broader	wide
widest	!align="right	colspan=3|total
wide	wide	wide
wider	narrowest	narrowest
widest	broader	broader
lower	!align="right	!align="right
low	upper	upper
lowest	!align="right	!align="right
low	highest	highest
lower	highest	highest
lowest	upper	upper
steeper	!align="right	colspan=3|total
steep	steep	rough
steepest	!align="right	colspan=3|total
steep	wild	wild
steeper	!align="right	!align="right
steepest	steep	steep
wealthier	!align="right	!align="right
wealthy	expensive	expensive
wealthiest	!align="right	!align="right
wealthy	expensive	expensive
wealthier	richest	richest
wealthiest	affluent	affluent
richer	!align="right	!align="right
rich	deeper	deeper
richest	!align="right	!align="right
rich	expensive	expensive
richer	wealthiest	wealthiest
richest	rich	rich
faster	!align="right	!align="right
fastest	expensive	expensive
fast	!align="right	!align="right
fastest	slow	slow
faster	slow	slow
fast	slower	slower
taller	!align="right	!align="right
tall	larger	larger
tallest	!align="right	!align="right
tall	expensive	expensive
taller	oldest	oldest
tallest	tall	tall
luckier	!align="right	!align="right
lucky	expensive	expensive
luckiest	!align="right	!align="right
lucky	expensive	expensive
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
wider	wider	wider
wide	broader	huge
widest	!align="right	!align="right
wide	wide	wide
wider	wider	wider
widest	!align="right	!align="right
slower	slower	slower
slow	fast	fast
slowest	!align="right	!align="right
slow	sounds	sounds
slower	faster	faster
slowest	!align="right	!align="right
friendlier	neutral	neutral
friendly	!align="right	!align="right
friendliest	!align="right	!align="right
friendly	sounds	sounds
friendlier	faster	faster
friendliest	!align="right	!align="right
easier	easier	easier
easy	easy	easy
easiest	!align="right	!align="right
easy	easy	easy
easier	deeper	deeper
easiest	!align="right	!align="right
colder	colder	colder
cold	humid	humid
coldest	!align="right	!align="right
cold	warm	warm
colder	driest	drier
coldest	!align="right	!align="right
lower	!align="right	!align="right
low	upper	upper
lowest	!align="right	!align="right
low	low	low
lower	highest	highest
lowest	upper	upper
darker	!align="right	!align="right
dark	dark	dark
darkest	!align="right	!align="right
dark	milk	heat
darker	darker	darker
darkest	paler	paler
safer	!align="right	!align="right
safe	better	better
safest	!align="right	!align="right
safe	melt	melt
safer	fastest-growing	fastest-growing
safest	safe	safe
faster	!align="right	!align="right
fastest	slower	fast
fast	!align="right	!align="right
fastest	slow	slow
faster	slow	slow
fast	slower	slower
fresher	!align="right	!align="right
fresh	milk	milk
freshest	!align="right	!align="right
fresh	milk	milk
fresher	!align="right	!align="right
freshest	!align="right	!align="right
thinner	!align="right	!align="right
thin	thicker	deeper
thinnest	!align="right	!align="right
thin	dried	dried
thinner	!align="right	!align="right
thinnest	thicker	thicker
simpler	!align="right	!align="right
simple	simple	simple
simplest	!align="right	!align="right
simple	clean	clean
simpler	boolean	boolean
simplest	simple	simple
firmer	!align="right	!align="right
firm	dried	dried
firmest	!align="right	!align="right
firm	dried	dried
firmer	!align="right	!align="right
firmest	!align="right	!align="right
gentler	!align="right	!align="right
gentle	dried	dried
gentlest	!align="right	!align="right
gentle	dried	dried
gentler	!align="right	!align="right
gentlest	!align="right	!align="right
livelier	!align="right	!align="right
lively	dried	dried
liveliest	!align="right	!align="right
lively	dried	dried
livelier	!align="right	!align="right
liveliest	!align="right	!align="right
greener	blue	blue
green	!align="right	!align="right
greenest	blue	blue
green	!align="right	!align="right
greener	!align="right	!align="right
greenest	!align="right	!align="right
cheaper	inexpensive	inexpensive
cheap	expensive	expensive
cheapest	inexpensive	inexpensive
cheap	expensive	safest
cheaper	expensive	safest
cheapest	expensive	expensive
stickier	creamy	creamy
sticky	!align="right	!align="right
stickiest	creamy	creamy
sticky	!align="right	!align="right
stickier	!align="right	!align="right
stickiest	!align="right	!align="right
fatter	milk	milk
fat	!align="right	!align="right
fattest	milk	milk
fat	!align="right	!align="right
fatter	!align="right	!align="right
fattest	!align="right	!align="right
harder	harder	harder
hard	hard	hard
hardest	harder	harder
hard	toughest	toughest
harder	toughest	toughest
hardest	hard	hard
milder	severe	severe
mild	warmer	warmer
mildest	severe	severe
mild	!align="right	!align="right
milder	!align="right	!align="right
mildest	warmer	warmer
thinner	thick	thick
thin	thicker	thicker
thinnest	thick	thick
thin	!align="right	!align="right
thinner	!align="right	!align="right
thinnest	thicker	thicker
poorer	poorer	poorer
poor	poor	poor
poorest	poorer	poorer
poor	wealthiest	wealthiest
poorer	wealthiest	wealthiest
poorest	poor	poor
lower	high	high
low	upper	upper
lowest	high	high
low	highest	highest
lower	highest	highest
lowest	upper	upper
quicker	slow	slow
quick	faster	faster
quickest	slow	slow
quick	fastest	fastest
quicker	fastest	fastest
quickest	faster	faster
newer	!align="right	!align="right
new	modern	modern
newest	!align="right	!align="right
new	smart	smart
newer	latest	latest
newest	larger	older
tougher	!align="right	!align="right
tough	tough	tough
toughest	!align="right	!align="right
tough	tough	tough
tougher	hardest	hardest
toughest	tighter	tighter
quicker	!align="right	!align="right
quick	faster	faster
quickest	!align="right	!align="right
quick	slow	slow
quicker	fastest	fastest
quickest	faster	faster
costlier	!align="right	!align="right
costly	hostile	hostile
costliest	!align="right	!align="right
costly	hostile	hostile
costlier	!align="right	!align="right
costliest	!align="right	!align="right
shorter	!align="right	!align="right
short	short	short
shortest	!align="right	!align="right
short	longest	good
shorter	longest	longest
shortest	short	short
louder	!align="right	!align="right
loud	loud	loud
loudest	!align="right	!align="right
loud	farrar	farrar
louder	!align="right	!align="right
loudest	faster	faster
nastier	!align="right	!align="right
nasty	farrar	farrar
nastiest	!align="right	!align="right
nasty	farrar	farrar
nastier	!align="right	!align="right
nastiest	!align="right	!align="right
greater	!align="right	!align="right
great	larger	considerable
greatest	!align="right	!align="right
great	remarkable	remarkable
greater	biggest	biggest
greatest	larger	larger
wiser	!align="right	!align="right
wise	farrar	farrar
wisest	!align="right	!align="right
wise	farrar	farrar
wiser	!align="right	!align="right
wisest	!align="right	!align="right
closer	!align="right	!align="right
close	deeper	deeper
closest	!align="right	!align="right
close	close	close
closer	nearest	nearest
closest	close	close
thicker	thin	thin
thick	thinner	thinner
thickest	thin	thin
thick	!align="right	!align="right
thicker	!align="right	!align="right
thickest	thinner	thinner
classier	!align="right	!align="right
classy	!align="right	!align="right
classiest	!align="right	!align="right
classy	!align="right	!align="right
classier	!align="right	!align="right
classiest	!align="right	!align="right
simpler	straightforward	straightforward
simple	simple	simple
simplest	straightforward	straightforward
simple	boolean	boolean
simpler	boolean	boolean
simplest	simple	simple
busier	bustling	bustling
busy	!align="right	!align="right
busiest	bustling	bustling
busy	most-watched	most-watched
busier	most-watched	most-watched
busiest	!align="right	!align="right
trickier	dangerous	dangerous
tricky	!align="right	!align="right
trickiest	dangerous	dangerous
tricky	!align="right	!align="right
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
worse	good	good
bad	better	better
worst	good	good
bad	best	best
worse	best	best
worst	better	better
fatter	milk	milk
fat	!align="right	!align="right
fattest	milk	milk
fat	!align="right	!align="right
fatter	!align="right	!align="right
fattest	!align="right	!align="right
lower	high	high
low	upper	upper
lowest	high	high
low	highest	highest
lower	highest	highest
lowest	upper	upper
steeper	steeper	steeper
steep	steep	steep
steepest	steeper	steeper
steep	!align="right	!align="right
steeper	!align="right	!align="right
steepest	steep	steep
friendlier	hostile	hostile
friendly	!align="right	!align="right
friendliest	hostile	hostile
friendly	!align="right	!align="right
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
smaller	large	large
small	larger	larger
smallest	!align="right	!align="right
small	small	small
smaller	smaller	smaller
smallest	!align="right	!align="right
cheaper	inexpensive	inexpensive
cheap	animals	animals
cheapest	!align="right	!align="right
cheap	fantastic	fantastic
cheaper	shelley	cutting
cheapest	!align="right	!align="right
tighter	fielder	winfield
tight	animal	animal
tightest	!align="right	!align="right
tight	deer	deer
tighter	shelley	shelley
tightest	!align="right	!align="right
happier	musically	musically
happy	animal	animal
happiest	!align="right	!align="right
happy	deer	deer
happier	shelley	shelley
happiest	!align="right	!align="right
harsher	shelley	shelley
harsh	harsh	harsh
harshest	!align="right	!align="right
harsh	deer	deer
harsher	shelley	shelley
harshest	!align="right	!align="right
higher	!align="right	!align="right
high	lower	lower
highest	!align="right	!align="right
high	lowest	lowest
higher	lowest	lowest
highest	lower	lower
prettier	!align="right	!align="right
pretty	indistinct	indistinct
prettiest	!align="right	!align="right
pretty	indistinct	indistinct
prettier	!align="right	!align="right
prettiest	!align="right	!align="right
smoother	!align="right	!align="right
smooth	smooth	smooth
smoothest	!align="right	!align="right
smooth	indistinct	indistinct
smoother	!align="right	!align="right
smoothest	faster	faster
fresher	!align="right	!align="right
fresh	indistinct	indistinct
freshest	!align="right	!align="right
fresh	indistinct	indistinct
fresher	!align="right	!align="right
freshest	!align="right	!align="right
faster	!align="right	!align="right
fastest	slower	slower
fast	!align="right	!align="right
fastest	slow	slow
faster	slow	slow
fast	slower	slower
worse	trier	trier
bad	happier	even
worst	!align="right	!align="right
