rougher	poorly	poorly
sad	difficult	difficult
sadder	!align="right	!align="right
saddest	!align="right	!align="right
rougher	!align="right	!align="right
rough	difficult	difficult
roughest	!align="right	!align="right
rough	difficult	difficult
rougher	!align="right	!align="right
roughest	!align="right	!align="right
steeper	!align="right	!align="right
steep	steep	steep
steepest	!align="right	!align="right
steep	difficult	difficult
steeper	!align="right	!align="right
steepest	steep	steep
smarter	!align="right	!align="right
smart	better	better
smartest	!align="right	!align="right
smart	difficult	difficult
smarter	!align="right	!align="right
smartest	healthier	healthier
cleaner	!align="right	!align="right
clean	safer	safer
cleanest	!align="right	!align="right
clean	difficult	difficult
cleaner	!align="right	!align="right
cleanest	hotter	hotter
lighter	!align="right	!align="right
light	company	company
lightest	!align="right	!align="right
light	firms	firms
lighter	!align="right	!align="right
lightest	heavier	heavier
classier	!align="right	!align="right
classy	firms	firms
classiest	!align="right	!align="right
classy	firms	firms
classier	!align="right	!align="right
classiest	!align="right	!align="right
poorer	!align="right	!align="right
poor	firms	firms
poorest	!align="right	!align="right
poor	firms	firms
poorer	wealthiest	wealthiest
poorest	poor	poor
slower	!align="right	!align="right
slow	faster	faster
slowest	!align="right	!align="right
slow	firms	firms
slower	!align="right	!align="right
slowest	faster	faster
faster	!align="right	!align="right
fastest	slower	fast
fast	!align="right	!align="right
fastest	company	slow
faster	slow	slow
fast	slower	slower
classier	!align="right	!align="right
classy	!align="right	!align="right
classiest	!align="right	!align="right
classy	yellowish	yellowish
classier	smooth	smooth
classiest	!align="right	!align="right
simpler	simpler	simpler
simple	simple	simple
simplest	!align="right	!align="right
simple	simple	simple
simpler	simpler	simpler
simplest	!align="right	!align="right
meaner	reckoned	reckoned
mean	!align="right	!align="right
meanest	!align="right	!align="right
mean	yellowish	yellowish
meaner	smooth	smooth
meanest	!align="right	!align="right
mightier	powerful	powerful
mighty	!align="right	!align="right
mightiest	!align="right	!align="right
mighty	yellowish	yellowish
mightier	smooth	smooth
mightiest	!align="right	!align="right
cleaner	potable	potable
clean	clean	clean
cleanest	!align="right	!align="right
clean	yellowish	yellowish
cleaner	smooth	smooth
cleanest	!align="right	!align="right
louder	!align="right	!align="right
loud	aggressive	aggressive
loudest	!align="right	!align="right
loud	italic	italic
louder	!align="right	!align="right
loudest	loud	loud
newer	!align="right	!align="right
new	stylish	contemporary
newest	!align="right	!align="right
new	courageous	bravo
newer	best-known	best-known
newest	larger	larger
cooler	!align="right	!align="right
cool	cool	colorful
coolest	!align="right	!align="right
cool	italic	italic
cooler	!align="right	!align="right
coolest	colder	colder
narrower	!align="right	!align="right
narrow	broad	broad
narrowest	!align="right	!align="right
narrow	narrow	narrow
narrower	widest	widest
narrowest	narrow	narrow
busier	!align="right	!align="right
busy	italic	italic
busiest	!align="right	!align="right
busy	stylish	stylish
busier	most-watched	most-watched
busiest	!align="right	!align="right
gentler	happier	dunlop
gentle	!align="right	!align="right
gentlest	!align="right	!align="right
gentle	thin	thin
gentler	thinner	thinner
gentlest	!align="right	!align="right
fancier	tomorrow	tomorrow
fancy	!align="right	!align="right
fanciest	!align="right	!align="right
fancy	thin	thin
fancier	thinner	thinner
fanciest	!align="right	!align="right
noisier	easier	easier
noisy	!align="right	!align="right
noisiest	!align="right	!align="right
noisy	thin	thin
noisier	thinner	thinner
noisiest	!align="right	!align="right
smarter	smarter	smarter
smart	meandering	meandering
smartest	!align="right	!align="right
smart	thin	thin
smarter	thinner	thinner
smartest	!align="right	!align="right
trickier	smarter	smarter
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	thin	thin
trickier	thinner	thinner
trickiest	!align="right	!align="right
tastier	!align="right	!align="right
tasty	!align="right	!align="right
tastiest	!align="right	!align="right
tasty	sort	sort
tastier	janssen	janssen
tastiest	!align="right	!align="right
easier	easier	difficult
easy	sort	sort
easiest	!align="right	!align="right
easy	sort	sort
easier	difficult	difficult
easiest	!align="right	!align="right
mightier	challenger	challenger
mighty	!align="right	!align="right
mightiest	!align="right	!align="right
mighty	sort	sort
mightier	janssen	janssen
mightiest	!align="right	!align="right
fewer	several	several
few	types	types
fewest	!align="right	colspan=3|total
few	sort	type
fewer	erin	erin
fewest	!align="right	!align="right
trickier	bohemians	bohemians
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	sort	sort
trickier	janssen	janssen
trickiest	!align="right	!align="right
thicker	thicker	thicker
thick	thin	thin
thickest	!align="right	!align="right
thick	steeper	steeper
thicker	steep	steep
thickest	!align="right	!align="right
earlier	late	late
early	previous	previous
earliest	!align="right	!align="right
early	chalk	chalk
earlier	finest	finest
earliest	!align="right	!align="right
swifter	faster	faster
swift	!align="right	!align="right
swiftest	!align="right	!align="right
swift	steeper	steeper
swifter	steep	steep
swiftest	!align="right	!align="right
bigger	bigger	bigger
big	larger	large
biggest	!align="right	!align="right
big	largest	huge
bigger	largest	greatest
biggest	!align="right	!align="right
deeper	deeper	deeper
deep	deep	deep
deepest	!align="right	!align="right
deep	deep	deep
deeper	deeper	deeper
deepest	!align="right	!align="right
tighter	tighter	tighter
tight	tightening	tightening
tightest	driest	tighter
tight	!align="right	!align="right
tighter	!align="right	!align="right
tightest	driest	tightening
wider	wider	wider
wide	broader	broader
widest	widest	widest
wide	broad	broad
wider	wider	wider
widest	broader	wide
prettier	quite	symmetric
pretty	!align="right	!align="right
prettiest	driest	driest
pretty	!align="right	!align="right
prettier	!align="right	!align="right
prettiest	!align="right	!align="right
older	older	older
old	old	old
oldest	wettest	ancient
old	earliest	full-service
older	surviving	older
oldest	oldest	oldest
wiser	younger	younger
wise	!align="right	!align="right
wisest	warmest	wealthiest
wise	!align="right	!align="right
wiser	!align="right	!align="right
wisest	!align="right	!align="right
milder	!align="right	!align="right
mild	fairs	fairs
mildest	severe	severe
mild	!align="right	!align="right
milder	!align="right	!align="right
mildest	fuller	fuller
prettier	!align="right	!align="right
pretty	fairs	fairs
prettiest	she's	she's
pretty	!align="right	!align="right
prettier	!align="right	!align="right
prettiest	charadriiformesfamily	charadriiformesfamily
narrower	!align="right	!align="right
narrow	broad	broad
narrowest	narrower	ochreous
narrow	widest	widest
narrower	!align="right	!align="right
narrowest	broad	broad
stiffer	!align="right	!align="right
stiff	fairs	fairs
stiffest	glabrous	glabrous
stiff	!align="right	!align="right
stiffer	!align="right	!align="right
stiffest	charadriiformesfamily	charadriiformesfamily
older	!align="right	!align="right
old	younger	better
oldest	older	older
old	largest	largest
older	!align="right	!align="right
oldest	younger	younger
steadier	!align="right	!align="right
steady	damp	damp
steadiest	!align="right	!align="right
steady	damp	damp
steadier	!align="right	!align="right
steadiest	!align="right	!align="right
fairer	!align="right	!align="right
fair	damp	damp
fairest	!align="right	!align="right
fair	sparse	sparse
fairer	charadriiformesfamily	charadriiformesfamily
fairest	!align="right	!align="right
smarter	!align="right	!align="right
smart	better	better
smartest	!align="right	!align="right
smart	damp	damp
smarter	!align="right	!align="right
smartest	healthier	healthier
sharper	!align="right	!align="right
sharp	sharp	sharp
sharpest	!align="right	!align="right
sharp	damp	damp
sharper	!align="right	!align="right
sharpest	smoother	smoother
deeper	!align="right	!align="right
deep	deep	deep
deepest	!align="right	!align="right
deep	deep	deep
deeper	deep	deep
deepest	deep	deep
bloodier	!align="right	!align="right
bloody	bustling	bustling
bloodiest	tallest	tallest
bloody	!align="right	!align="right
bloodier	!align="right	!align="right
bloodiest	most-watched	most-watched
quicker	!align="right	!align="right
quick	slower	slower
quickest	rapid	rapid
quick	quicker	quicker
quicker	!align="right	!align="right
quickest	faster	faster
narrower	!align="right	!align="right
narrow	quieter	quieter
narrowest	narrowest	narrowest
narrow	narrow	comfortable
narrower	!align="right	!align="right
narrowest	shorter	shorter
savvier	!align="right	!align="right
savvy	bustling	bustling
savviest	!align="right	!align="right
savvy	!align="right	!align="right
savvier	!align="right	!align="right
savviest	most-watched	most-watched
stronger	!align="right	!align="right
strong	strong	strong
strongest	strongest	strongest
strong	strong	strong
stronger	!align="right	!align="right
strongest	strong	strongest
better	better	better
good	good	good
best	excellent	best
good	worst	better
better	better	better
best	best	best
slicker	raps	columnists
slick	!align="right	!align="right
slickest	guitarists	guitarists
slick	!align="right	!align="right
slicker	!align="right	!align="right
slickest	!align="right	!align="right
friendlier	warm-up	warm-up
friendly	!align="right	!align="right
friendliest	hottest	hottest
friendly	!align="right	!align="right
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
bigger	bigger	bigger
big	larger	big
biggest	biggest	biggest
big	largest	huge
bigger	largest	largest
biggest	biggest	biggest
stronger	stronger	stronger
strong	strong	strong
strongest	strongest	strongest
strong	strong	strong
stronger	stronger	stronger
strongest	strongest	strongest
milder	!align="right	!align="right
mild	mild	mild
mildest	!align="right	!align="right
mild	chuck	chuck
milder	!align="right	!align="right
mildest	wetter	wetter
faster	!align="right	!align="right
fastest	slower	fast
fast	!align="right	!align="right
fastest	slow	slow
faster	slow	slow
fast	slower	slower
busier	!align="right	!align="right
busy	chuck	chuck
busiest	!align="right	!align="right
busy	busy	busy
busier	most-watched	most-watched
busiest	!align="right	!align="right
luckier	!align="right	!align="right
lucky	chuck	chuck
luckiest	!align="right	!align="right
lucky	chuck	chuck
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
wiser	!align="right	!align="right
wise	chuck	chuck
wisest	!align="right	!align="right
wise	chuck	chuck
wiser	!align="right	!align="right
wisest	!align="right	!align="right
lighter	!align="right	!align="right
light	dazzling	shoes
lightest	!align="right	!align="right
light	dress	dress
lighter	!align="right	!align="right
lightest	heavier	heavier
healthier	!align="right	!align="right
healthy	better	better
healthiest	!align="right	!align="right
healthy	dress	dress
healthier	!align="right	!align="right
healthiest	better	better
costlier	!align="right	!align="right
costly	dress	dress
costliest	!align="right	!align="right
costly	dress	dress
costlier	!align="right	!align="right
costliest	!align="right	!align="right
meaner	!align="right	!align="right
mean	dress	dress
meanest	!align="right	!align="right
mean	dress	dress
meaner	!align="right	!align="right
meanest	!align="right	!align="right
older	!align="right	!align="right
old	younger	younger
oldest	!align="right	!align="right
old	finest	finest
older	largest	largest
oldest	younger	younger
louder	!align="right	!align="right
loud	red	red
loudest	!align="right	!align="right
loud	yellow	yellow
louder	!align="right	!align="right
loudest	loud	loud
tougher	!align="right	!align="right
tough	blue	blue
toughest	!align="right	!align="right
tough	blue	black
tougher	hardest	hardest
toughest	smoother	smoother
darker	!align="right	!align="right
dark	dark	dark
darkest	!align="right	!align="right
dark	dark	dark
darker	finest	finest
darkest	paler	paler
easier	!align="right	!align="right
easy	harder	harder
easiest	!align="right	!align="right
easy	bright	bright
easier	cheapest	cheapest
easiest	difficult	difficult
trickier	!align="right	!align="right
tricky	yellow	yellow
trickiest	!align="right	!align="right
tricky	yellow	yellow
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
larger	!align="right	!align="right
large	smaller	smaller
largest	small	small
large	biggest	biggest
larger	!align="right	!align="right
largest	smaller	smaller
tastier	!align="right	!align="right
tasty	hilarious	hilarious
tastiest	!align="right	!align="right
tasty	!align="right	!align="right
tastier	!align="right	!align="right
tastiest	sexiest	sexiest
healthier	!align="right	!align="right
healthy	exciting	fun
healthiest	nutrition	nutrition
healthy	!align="right	!align="right
healthier	!align="right	!align="right
healthiest	best	best
faster	!align="right	!align="right
fastest	fast	fast
fast	fastest-growing	fastest-growing
fastest	slow	slow
faster	!align="right	!align="right
fast	slower	slower
noisier	!align="right	!align="right
noisy	hilarious	hilarious
noisiest	highest-rated	highest-rated
noisy	!align="right	!align="right
noisier	!align="right	!align="right
noisiest	sexiest	sexiest
smaller	smaller	smaller
small	small	small
smallest	!align="right	!align="right
small	small	small
smaller	larger	larger
smallest	!align="right	!align="right
fuller	png	png
full	miller	miller
fullest	!align="right	!align="right
full	healthier	healthier
fuller	better	better
fullest	!align="right	!align="right
younger	younger	younger
young	young	young
youngest	!align="right	!align="right
young	young	young
younger	younger	younger
youngest	!align="right	!align="right
smarter	smarter	barbie
smart	benign	benign
smartest	!align="right	!align="right
smart	healthier	healthier
smarter	better	better
smartest	!align="right	!align="right
deeper	deeper	deeper
deep	deep	deep
deepest	!align="right	!align="right
deep	deep	deep
deeper	deeper	deeper
deepest	!align="right	!align="right
classier	!align="right	!align="right
classy	imply	imply
classiest	!align="right	!align="right
classy	imply	imply
classier	!align="right	!align="right
classiest	!align="right	!align="right
stickier	!align="right	!align="right
sticky	imply	imply
stickiest	!align="right	!align="right
sticky	imply	imply
stickier	!align="right	!align="right
stickiest	!align="right	!align="right
happier	!align="right	!align="right
happy	something	better
happiest	!align="right	!align="right
happy	imply	imply
happier	!align="right	!align="right
happiest	healthier	healthier
poorer	!align="right	!align="right
poor	poor	poor
poorest	!align="right	!align="right
poor	1-5	1-5
poorer	wealthiest	wealthiest
poorest	poor	poor
softer	!align="right	!align="right
soft	sometimes	sometimes
softest	!align="right	!align="right
soft	imply	imply
softer	!align="right	!align="right
softest	heavier	heavier
higher	!align="right	!align="right
high	lower	lower
highest	!align="right	!align="right
high	lowest	spectacular
higher	lowest	lowest
highest	lower	lower
thinner	!align="right	!align="right
thin	lighter	mild
thinnest	!align="right	!align="right
thin	wonderful	wonderful
thinner	!align="right	!align="right
thinnest	thicker	thicker
fairer	!align="right	!align="right
fair	wonderful	wonderful
fairest	!align="right	!align="right
fair	pleasant	pleasant
fairer	charadriiformesfamily	charadriiformesfamily
fairest	!align="right	!align="right
mightier	!align="right	!align="right
mighty	wonderful	wonderful
mightiest	!align="right	!align="right
mighty	wonderful	wonderful
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
noisier	!align="right	!align="right
noisy	wonderful	wonderful
noisiest	!align="right	!align="right
noisy	wonderful	wonderful
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
kinder	sort	sort
kind	goldsmith	goldsmith
kindest	!align="right	!align="right
kind	severe	severe
kinder	wetter	wetter
kindest	!align="right	!align="right
easier	easier	difficult
easy	easy	easy
easiest	!align="right	!align="right
easy	cold	cold
easier	difficult	better
easiest	!align="right	!align="right
busier	smarter	sought-after
busy	!align="right	!align="right
busiest	!align="right	!align="right
busy	severe	heavy
busier	mild	mild
busiest	!align="right	!align="right
trickier	unfamiliar	unfamiliar
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	severe	severe
trickier	wetter	wetter
trickiest	!align="right	!align="right
riskier	difficult	cheaper
risky	!align="right	!align="right
riskiest	!align="right	!align="right
risky	severe	severe
riskier	wetter	wetter
riskiest	!align="right	!align="right
rougher	!align="right	!align="right
rough	very	very
roughest	!align="right	!align="right
rough	very	very
rougher	!align="right	!align="right
roughest	!align="right	!align="right
friendlier	!align="right	!align="right
friendly	very	very
friendliest	!align="right	!align="right
friendly	very	very
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
shorter	!align="right	!align="right
short	short	fairly
shortest	!align="right	!align="right
short	good	good
shorter	longest	longest
shortest	short	short
faster	!align="right	!align="right
fastest	fast	fast
fast	!align="right	!align="right
fastest	slow	slow
faster	slow	slow
fast	slower	slower
fewer	!align="right	colspan=3|total
few	more	more
fewest	!align="right	colspan=3|total
few	very	very
fewer	season-high	season-high
fewest	more	more
stickier	!align="right	!align="right
sticky	vivid	vivid
stickiest	!align="right	!align="right
sticky	vivid	vivid
stickier	!align="right	!align="right
stickiest	!align="right	!align="right
messier	!align="right	!align="right
messy	strange	strange
messiest	!align="right	!align="right
messy	vivid	vivid
messier	!align="right	!align="right
messiest	defenseman	defenseman
leaner	!align="right	!align="right
lean	vivid	vivid
leanest	!align="right	!align="right
lean	vivid	vivid
leaner	!align="right	!align="right
leanest	!align="right	!align="right
closer	!align="right	!align="right
close	close	close
closest	!align="right	!align="right
close	close	close
closer	nearest	nearest
closest	close	close
trickier	!align="right	!align="right
tricky	vivid	vivid
trickiest	!align="right	!align="right
tricky	vivid	vivid
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
thinner	!align="right	!align="right
thin	lighter	lighter
thinnest	!align="right	!align="right
thin	happy	happy
thinner	!align="right	!align="right
thinnest	thicker	thicker
nicer	!align="right	!align="right
nice	happy	happy
nicest	!align="right	!align="right
nice	happy	happy
nicer	!align="right	!align="right
nicest	!align="right	!align="right
savvier	!align="right	!align="right
savvy	happy	happy
savviest	!align="right	!align="right
savvy	happy	happy
savvier	!align="right	!align="right
savviest	!align="right	!align="right
smarter	!align="right	!align="right
smart	happy	happy
smartest	!align="right	!align="right
smart	happy	happy
smarter	!align="right	!align="right
smartest	healthier	healthier
fewer	!align="right	colspan=3|total
few	more	more
fewest	!align="right	colspan=3|total
few	happy	happy
fewer	season-high	season-high
fewest	more	more
simpler	!align="right	!align="right
simple	simple	simple
simplest	!align="right	!align="right
simple	simple	simple
simpler	symmetric	formula_22
simplest	simple	simple
fancier	!align="right	!align="right
fancy	noise	noise
fanciest	!align="right	!align="right
fancy	noise	noise
fancier	!align="right	!align="right
fanciest	!align="right	!align="right
greater	!align="right	!align="right
great	larger	larger
greatest	!align="right	!align="right
great	finest	finest
greater	biggest	biggest
greatest	higher	higher
luckier	!align="right	!align="right
lucky	noise	noise
luckiest	!align="right	!align="right
lucky	noise	noise
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
deeper	!align="right	!align="right
deep	deep	deep
deepest	!align="right	!align="right
deep	deep	deep
deeper	deep	deep
deepest	deep	deep
richer	!align="right	!align="right
rich	rich	rich
richest	!align="right	!align="right
rich	rich	rich
richer	wealthiest	wealthiest
richest	poorer	poorer
louder	!align="right	!align="right
loud	sound	sound
loudest	!align="right	!align="right
loud	dangerous	dangerous
louder	!align="right	!align="right
loudest	loud	loud
rougher	!align="right	!align="right
rough	dangerous	dangerous
roughest	!align="right	!align="right
rough	dangerous	dangerous
rougher	!align="right	!align="right
roughest	!align="right	!align="right
slower	!align="right	!align="right
slow	faster	faster
slowest	!align="right	!align="right
slow	dangerous	dangerous
slower	!align="right	!align="right
slowest	faster	faster
nastier	!align="right	!align="right
nasty	dangerous	dangerous
nastiest	!align="right	!align="right
nasty	dangerous	dangerous
nastier	!align="right	!align="right
nastiest	!align="right	!align="right
slimmer	!align="right	!align="right
slim	bad	bad
slimmest	!align="right	!align="right
slim	bad	bad
slimmer	!align="right	!align="right
slimmest	!align="right	!align="right
smoother	!align="right	!align="right
smooth	bad	bad
smoothest	!align="right	!align="right
smooth	bad	bad
smoother	!align="right	!align="right
smoothest	smooth	smooth
meaner	!align="right	!align="right
mean	bad	bad
meanest	!align="right	!align="right
mean	bad	bad
meaner	!align="right	!align="right
meanest	!align="right	!align="right
longer	!align="right	!align="right
long	long	long
longest	!align="right	!align="right
long	long	long
longer	shortest	shortest
longest	shorter	shorter
shorter	!align="right	!align="right
short	short	short
shortest	!align="right	!align="right
short	bad	bad
shorter	longest	longest
shortest	short	short
wider	!align="right	!align="right
wide	broader	continuous
widest	!align="right	!align="right
wide	continuous	continuous
wider	narrowest	narrowest
widest	broader	broader
fairer	!align="right	!align="right
fair	constant	constant
fairest	!align="right	!align="right
fair	calm	calm
fairer	charadriiformesfamily	charadriiformesfamily
fairest	!align="right	!align="right
smarter	!align="right	!align="right
smart	better	better
smartest	!align="right	!align="right
smart	constant	constant
smarter	!align="right	!align="right
smartest	healthier	healthier
deeper	!align="right	colspan=3|total
deep	deep	deep
deepest	!align="right	colspan=3|total
deep	deep	deep
deeper	deep	deep
deepest	deep	deep
luckier	!align="right	!align="right
lucky	constant	constant
luckiest	!align="right	!align="right
lucky	constant	constant
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
earlier	!align="right	!align="right
early	previous	previous
earliest	!align="right	!align="right
early	early	early
earlier	oldest	oldest
earliest	previous	previous
pricier	!align="right	!align="right
pricey	happy	happy
priciest	!align="right	!align="right
pricey	happy	happy
pricier	!align="right	!align="right
priciest	!align="right	!align="right
wider	!align="right	!align="right
wide	broader	wide
widest	!align="right	!align="right
wide	wide	wide
wider	narrowest	narrowest
widest	broader	broader
lower	!align="right	!align="right
low	upper	low
lowest	!align="right	!align="right
low	highest	highest
lower	highest	highest
lowest	upper	upper
steeper	!align="right	!align="right
steep	steep	tougher
steepest	!align="right	!align="right
steep	happy	happy
steeper	!align="right	!align="right
steepest	steep	steep
wealthier	!align="right	!align="right
wealthy	expensive	expensive
wealthiest	!align="right	!align="right
wealthy	expensive	expensive
wealthier	richest	richest
wealthiest	affluent	affluent
richer	!align="right	!align="right
rich	expensive	expensive
richest	!align="right	!align="right
rich	expensive	expensive
richer	wealthiest	wealthiest
richest	poorer	poorer
faster	!align="right	!align="right
fastest	expensive	expensive
fast	!align="right	!align="right
fastest	slow	slow
faster	slow	slow
fast	slower	slower
taller	!align="right	!align="right
tall	expensive	expensive
tallest	!align="right	!align="right
tall	expensive	expensive
taller	oldest	oldest
tallest	tall	tall
luckier	!align="right	!align="right
lucky	expensive	expensive
luckiest	!align="right	!align="right
lucky	expensive	expensive
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
wider	wider	wider
wide	wide	wide
widest	!align="right	!align="right
wide	wide	wide
wider	wider	wider
widest	!align="right	!align="right
slower	faster	faster
slow	faster	slow
slowest	!align="right	!align="right
slow	roar	roar
slower	loud	loud
slowest	!align="right	!align="right
friendlier	peaceful	peaceful
friendly	!align="right	!align="right
friendliest	!align="right	!align="right
friendly	roar	roar
friendlier	loud	loud
friendliest	!align="right	!align="right
easier	easier	easier
easy	easy	easy
easiest	!align="right	!align="right
easy	fast	fast
easier	better	better
easiest	!align="right	!align="right
colder	cool	colder
cold	humid	wet
coldest	!align="right	!align="right
cold	temperatures	bright
colder	temperatures	temperatures
coldest	!align="right	!align="right
lower	!align="right	!align="right
low	upper	upper
lowest	!align="right	!align="right
low	highest	low
lower	highest	highest
lowest	upper	upper
darker	!align="right	colspan=3|total
dark	dark	dark
darkest	!align="right	colspan=3|total
dark	dark	dark
darker	finest	finest
darkest	paler	paler
safer	!align="right	!align="right
safe	better	better
safest	!align="right	!align="right
safe	egg	egg
safer	fastest-growing	fastest-growing
safest	safe	safe
faster	!align="right	!align="right
fastest	slower	fast
fast	!align="right	!align="right
fastest	slow	slow
faster	slow	slow
fast	slower	slower
fresher	!align="right	!align="right
fresh	cholesterol	cholesterol
freshest	!align="right	!align="right
fresh	cholesterol	cholesterol
fresher	!align="right	!align="right
freshest	!align="right	!align="right
thinner	!align="right	!align="right
thin	lighter	warm
thinnest	!align="right	!align="right
thin	salads	salads
thinner	!align="right	!align="right
thinnest	thicker	thicker
simpler	!align="right	!align="right
simple	simple	simple
simplest	!align="right	!align="right
simple	organic	organic
simpler	symmetric	formula_22
simplest	simple	simple
firmer	!align="right	!align="right
firm	salads	salads
firmest	!align="right	!align="right
firm	salads	salads
firmer	!align="right	!align="right
firmest	!align="right	!align="right
gentler	!align="right	!align="right
gentle	salads	salads
gentlest	!align="right	!align="right
gentle	salads	salads
gentler	!align="right	!align="right
gentlest	!align="right	!align="right
livelier	!align="right	!align="right
lively	salads	salads
liveliest	!align="right	!align="right
lively	salads	salads
livelier	!align="right	!align="right
liveliest	!align="right	!align="right
greener	yellow	yellow
green	!align="right	!align="right
greenest	yellow	yellow
green	!align="right	!align="right
greener	!align="right	!align="right
greenest	!align="right	!align="right
cheaper	inexpensive	inexpensive
cheap	expensive	expensive
cheapest	inexpensive	inexpensive
cheap	safest	safest
cheaper	safest	safest
cheapest	expensive	expensive
stickier	creamy	creamy
sticky	!align="right	!align="right
stickiest	creamy	creamy
sticky	!align="right	!align="right
stickier	!align="right	!align="right
stickiest	!align="right	!align="right
fatter	cholesterol	cholesterol
fat	!align="right	!align="right
fattest	cholesterol	cholesterol
fat	!align="right	!align="right
fatter	!align="right	!align="right
fattest	!align="right	!align="right
harder	harder	harder
hard	easier	easier
hardest	harder	harder
hard	toughest	toughest
harder	toughest	toughest
hardest	easier	easier
milder	severe	severe
mild	wetter	wetter
mildest	severe	severe
mild	!align="right	!align="right
milder	!align="right	!align="right
mildest	wetter	wetter
thinner	thick	thick
thin	thicker	thicker
thinnest	thick	thick
thin	!align="right	!align="right
thinner	!align="right	!align="right
thinnest	thicker	thicker
poorer	poorer	poorer
poor	poor	poor
poorest	poorer	poorer
poor	wealthiest	wealthiest
poorer	wealthiest	wealthiest
poorest	poor	poor
lower	high	high
low	upper	upper
lowest	high	high
low	highest	highest
lower	highest	highest
lowest	upper	upper
quicker	rapid	rapid
quick	faster	faster
quickest	rapid	rapid
quick	fastest	fastest
quicker	fastest	fastest
quickest	faster	faster
newer	!align="right	!align="right
new	modern	modern
newest	!align="right	!align="right
new	luxury	robot
newer	best-known	best-known
newest	larger	larger
tougher	!align="right	!align="right
tough	tough	tough
toughest	!align="right	!align="right
tough	tough	tough
tougher	hardest	hardest
toughest	smoother	smoother
quicker	!align="right	!align="right
quick	faster	faster
quickest	!align="right	!align="right
quick	quiet	quiet
quicker	fastest	fastest
quickest	faster	faster
costlier	!align="right	!align="right
costly	hostile	hostile
costliest	!align="right	!align="right
costly	hostile	hostile
costlier	!align="right	!align="right
costliest	!align="right	!align="right
shorter	!align="right	!align="right
short	short	short
shortest	!align="right	!align="right
short	good	good
shorter	longest	longest
shortest	short	short
louder	!align="right	!align="right
loud	loud	loud
loudest	!align="right	!align="right
loud	sullivan	sullivan
louder	!align="right	!align="right
loudest	loud	loud
nastier	!align="right	!align="right
nasty	sullivan	sullivan
nastiest	!align="right	!align="right
nasty	sullivan	sullivan
nastier	!align="right	!align="right
nastiest	!align="right	!align="right
greater	!align="right	!align="right
great	tremendous	tremendous
greatest	!align="right	!align="right
great	great	great
greater	biggest	biggest
greatest	higher	higher
wiser	!align="right	!align="right
wise	sullivan	sullivan
wisest	!align="right	!align="right
wise	sullivan	sullivan
wiser	!align="right	!align="right
wisest	!align="right	!align="right
closer	!align="right	!align="right
close	close	close
closest	!align="right	!align="right
close	close	close
closer	nearest	nearest
closest	close	close
thicker	thin	thin
thick	thinner	thinner
thickest	thin	thin
thick	!align="right	!align="right
thicker	!align="right	!align="right
thickest	thinner	thinner
classier	!align="right	!align="right
classy	!align="right	!align="right
classiest	!align="right	!align="right
classy	!align="right	!align="right
classier	!align="right	!align="right
classiest	!align="right	!align="right
simpler	straightforward	straightforward
simple	simple	simple
simplest	straightforward	straightforward
simple	symmetric	formula_22
simpler	symmetric	formula_22
simplest	simple	simple
busier	bustling	bustling
busy	!align="right	!align="right
busiest	bustling	bustling
busy	most-watched	most-watched
busier	most-watched	most-watched
busiest	!align="right	!align="right
trickier	dangerous	dangerous
tricky	!align="right	!align="right
trickiest	dangerous	dangerous
tricky	!align="right	!align="right
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
worse	good	good
bad	better	better
worst	good	good
bad	best	best
worse	best	best
worst	better	better
fatter	cholesterol	cholesterol
fat	!align="right	!align="right
fattest	cholesterol	cholesterol
fat	!align="right	!align="right
fatter	!align="right	!align="right
fattest	!align="right	!align="right
lower	high	high
low	upper	upper
lowest	high	high
low	highest	highest
lower	highest	highest
lowest	upper	upper
steeper	steeper	steeper
steep	steep	steep
steepest	steeper	steeper
steep	!align="right	!align="right
steeper	!align="right	!align="right
steepest	steep	steep
friendlier	hostile	hostile
friendly	!align="right	!align="right
friendliest	hostile	hostile
friendly	!align="right	!align="right
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
smaller	large	large
small	larger	small
smallest	!align="right	!align="right
small	smaller	small
smaller	larger	larger
smallest	!align="right	!align="right
cheaper	inexpensive	winfield
cheap	animals	animals
cheapest	!align="right	!align="right
cheap	animal	honey
cheaper	expensive	aurora
cheapest	!align="right	!align="right
tighter	winfield	winfield
tight	animal	animal
tightest	!align="right	!align="right
tight	deer	deer
tighter	scorsese	scorsese
tightest	!align="right	!align="right
happier	musically	musically
happy	animal	animal
happiest	!align="right	!align="right
happy	deer	deer
happier	scorsese	scorsese
happiest	!align="right	!align="right
