rougher	denser	denser
coolest	colder	colder
narrower	!align="right	!align="right
narrow	narrow	narrow
narrowest	!align="right	!align="right
narrow	narrow	narrow
narrower	widest	widest
narrowest	narrow	narrow
busier	!align="right	!align="right
busy	italic	italic
busiest	!align="right	!align="right
busy	finest	spectacular
busier	most-watched	most-watched
busiest	!align="right	!align="right
gentler	sharper	blessing
gentle	!align="right	!align="right
gentlest	!align="right	!align="right
gentle	thin	thin
gentler	thinner	thinner
gentlest	!align="right	!align="right
fancier	cleaner	cleaner
fancy	!align="right	!align="right
fanciest	!align="right	!align="right
fancy	thin	thin
fancier	thinner	thinner
fanciest	!align="right	!align="right
noisier	easier	easier
noisy	!align="right	!align="right
noisiest	!align="right	!align="right
noisy	thin	thin
noisier	thinner	thinner
noisiest	!align="right	!align="right
smarter	smarter	sinclair
smart	dense	fraud
smartest	!align="right	!align="right
smart	thin	thin
smarter	thinner	thinner
smartest	!align="right	!align="right
trickier	easier	easier
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	thin	thin
trickier	thinner	thinner
trickiest	!align="right	!align="right
tastier	!align="right	!align="right
tasty	!align="right	!align="right
tastiest	!align="right	!align="right
tasty	sort	sort
tastier	tate	tate
tastiest	!align="right	!align="right
easier	easier	easier
easy	sort	sort
easiest	!align="right	!align="right
easy	sort	sort
easier	easy	easy
easiest	!align="right	!align="right
mightier	wolfsburg	racked
mighty	!align="right	!align="right
mightiest	!align="right	!align="right
mighty	sort	sort
mightier	tate	tate
mightiest	!align="right	!align="right
fewer	several	several
few	sort	sort
fewest	!align="right	colspan=3|total
few	sort	sort
fewer	205	205
fewest	!align="right	colspan=3|total
trickier	tate	neale
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	sort	sort
trickier	tate	tate
trickiest	!align="right	!align="right
thicker	thinner	thinner
thick	leathery	leathery
thickest	!align="right	!align="right
thick	steeper	steeper
thicker	steep	steep
thickest	!align="right	!align="right
earlier	late	late
early	previous	previous
earliest	!align="right	!align="right
early	early	chalk
earlier	finest	finest
earliest	!align="right	!align="right
swifter	faster	ida
swift	!align="right	!align="right
swiftest	!align="right	!align="right
swift	steeper	steeper
swifter	steep	steep
swiftest	!align="right	!align="right
bigger	bigger	bigger
big	larger	larger
biggest	!align="right	!align="right
big	huge	huge
bigger	largest	massive
biggest	!align="right	!align="right
deeper	deeper	deeper
deep	deep	deep
deepest	!align="right	!align="right
deep	deep	deep
deeper	shallow	deeper
deepest	!align="right	!align="right
tighter	tighter	tighter
tight	tight	rigid
tightest	driest	basal
tight	!align="right	!align="right
tighter	!align="right	!align="right
tightest	fiba	fiba
wider	wider	wider
wide	broader	wide
widest	widest	widest
wide	broad	broad
wider	wider	wider
widest	wide	wide
prettier	fairly	fairly
pretty	!align="right	!align="right
prettiest	driest	driest
pretty	!align="right	!align="right
prettier	!align="right	!align="right
prettiest	!align="right	!align="right
older	older	older
old	younger	old
oldest	driest	extinct
old	earliest	earliest
older	earliest	earliest
oldest	oldest	oldest
wiser	charming	charming
wise	!align="right	!align="right
wisest	driest	wealthiest
wise	!align="right	!align="right
wiser	!align="right	!align="right
wisest	!align="right	!align="right
milder	!align="right	!align="right
mild	good	good
mildest	groin	groin
mild	!align="right	!align="right
milder	!align="right	!align="right
mildest	mild	rash
prettier	!align="right	!align="right
pretty	exposition	exposition
prettiest	cowardly	barbra
pretty	!align="right	!align="right
prettier	!align="right	!align="right
prettiest	fourth-place	fourth-place
narrower	!align="right	colspan=3|total
narrow	broad	broad
narrowest	narrower	suffused
narrow	widest	widest
narrower	!align="right	!align="right
narrowest	broad	broad
stiffer	!align="right	!align="right
stiff	exposition	exposition
stiffest	wildcards	wildcards
stiff	!align="right	!align="right
stiffer	!align="right	!align="right
stiffest	fourth-place	fourth-place
older	!align="right	!align="right
old	younger	better
oldest	older	aged
old	largest	largest
older	!align="right	!align="right
oldest	younger	younger
steadier	!align="right	!align="right
steady	damp	damp
steadiest	!align="right	!align="right
steady	damp	damp
steadier	!align="right	!align="right
steadiest	!align="right	!align="right
fairer	!align="right	!align="right
fair	damp	damp
fairest	!align="right	!align="right
fair	lightning	lightning
fairer	fourth-place	fourth-place
fairest	!align="right	!align="right
smarter	!align="right	!align="right
smart	better	better
smartest	!align="right	!align="right
smart	damp	damp
smarter	!align="right	!align="right
smartest	better	better
sharper	!align="right	!align="right
sharp	finer	finer
sharpest	!align="right	!align="right
sharp	damp	damp
sharper	!align="right	!align="right
sharpest	smoother	smoother
deeper	!align="right	!align="right
deep	deep	deep
deepest	!align="right	!align="right
deep	shallow	deep
deeper	deep	deep
deepest	deep	deep
bloodier	!align="right	!align="right
bloody	congested	congested
bloodiest	deadliest	factional
bloody	!align="right	!align="right
bloodier	!align="right	!align="right
bloodiest	most-watched	most-watched
quicker	!align="right	!align="right
quick	fast	fast
quickest	rapid	rapid
quick	comfortable	comfortable
quicker	!align="right	!align="right
quickest	faster	faster
narrower	!align="right	!align="right
narrow	narrow	narrow
narrowest	narrowest	narrowest
narrow	comfortable	comfortable
narrower	!align="right	!align="right
narrowest	narrow	narrow
savvier	!align="right	!align="right
savvy	congested	congested
savviest	!align="right	!align="right
savvy	!align="right	!align="right
savvier	!align="right	!align="right
savviest	most-watched	most-watched
stronger	!align="right	!align="right
strong	strong	strong
strongest	strongest	strongest
strong	strong	strong
stronger	!align="right	!align="right
strongest	strong	strongest
better	better	better
good	excellent	excellent
best	excellent	best
good	better	better
better	better	better
best	best	best
slicker	album's	album's
slick	!align="right	!align="right
slickest	focussed	focussed
slick	!align="right	!align="right
slicker	!align="right	!align="right
slickest	!align="right	!align="right
friendlier	korea	korea
friendly	!align="right	!align="right
friendliest	peacekeepers	sino-japanese
friendly	!align="right	!align="right
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
bigger	bigger	bigger
big	larger	big
biggest	biggest	biggest
big	largest	huge
bigger	largest	bigger
biggest	biggest	biggest
stronger	stronger	stronger
strong	strong	strong
strongest	strongest	strongest
strong	strong	strong
stronger	stronger	stronger
strongest	strongest	strongest
milder	!align="right	!align="right
mild	cold	cold
mildest	!align="right	!align="right
mild	brett	brett
milder	!align="right	!align="right
mildest	drier	drier
faster	!align="right	!align="right
fastest	fast	fast
fast	!align="right	!align="right
fastest	slow	slow
faster	slow	slow
fast	slower	slower
busier	!align="right	!align="right
busy	brett	brett
busiest	!align="right	!align="right
busy	busy	busy
busier	most-watched	most-watched
busiest	!align="right	!align="right
luckier	!align="right	!align="right
lucky	brett	brett
luckiest	!align="right	!align="right
lucky	brett	brett
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
wiser	!align="right	!align="right
wise	brett	brett
wisest	!align="right	!align="right
wise	brett	brett
wiser	!align="right	!align="right
wisest	!align="right	!align="right
lighter	!align="right	colspan=3|total
light	heavier	heavier
lightest	!align="right	colspan=3|total
light	silk	silk
lighter	!align="right	!align="right
lightest	heavier	heavier
healthier	!align="right	!align="right
healthy	better	better
healthiest	!align="right	!align="right
healthy	silk	silk
healthier	!align="right	!align="right
healthiest	healthy	healthy
costlier	!align="right	colspan=3|total
costly	silk	silk
costliest	!align="right	colspan=3|total
costly	silk	silk
costlier	!align="right	!align="right
costliest	!align="right	!align="right
meaner	!align="right	!align="right
mean	silk	silk
meanest	!align="right	!align="right
mean	silk	silk
meaner	!align="right	!align="right
meanest	!align="right	!align="right
older	!align="right	!align="right
old	younger	earlier
oldest	!align="right	!align="right
old	finest	finest
older	largest	largest
oldest	younger	younger
louder	!align="right	!align="right
loud	blue	blue
loudest	!align="right	!align="right
loud	blue	blue
louder	!align="right	!align="right
loudest	smarter	smarter
tougher	!align="right	!align="right
tough	blue	blue
toughest	!align="right	!align="right
tough	blue	blue
tougher	deadliest	deadliest
toughest	harder	harder
darker	!align="right	!align="right
dark	dark	dark
darkest	!align="right	!align="right
dark	blue	dark
darker	finest	finest
darkest	paler	paler
easier	!align="right	!align="right
easy	difficult	blue
easiest	!align="right	!align="right
easy	blue	blue
easier	easy	easy
easiest	difficult	difficult
trickier	!align="right	!align="right
tricky	blue	blue
trickiest	!align="right	!align="right
tricky	blue	blue
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
larger	!align="right	!align="right
large	smaller	smaller
largest	small	small
large	biggest	biggest
larger	!align="right	!align="right
largest	smaller	smaller
tastier	!align="right	!align="right
tasty	hilarious	hilarious
tastiest	!align="right	colspan=3|total
tasty	!align="right	!align="right
tastier	!align="right	!align="right
tastiest	sexiest	sexiest
healthier	!align="right	!align="right
healthy	good	good
healthiest	sexiest	sexiest
healthy	!align="right	!align="right
healthier	!align="right	!align="right
healthiest	healthy	healthy
faster	!align="right	!align="right
fastest	fast	fast
fast	fastest-growing	fastest-growing
fastest	slow	slow
faster	!align="right	!align="right
fast	slower	slower
noisier	!align="right	!align="right
noisy	hilarious	hilarious
noisiest	highest-rated	highest-rated
noisy	!align="right	!align="right
noisier	!align="right	!align="right
noisiest	sexiest	sexiest
smaller	smaller	smaller
small	larger	large
smallest	!align="right	!align="right
small	larger	larger
smaller	larger	larger
smallest	!align="right	!align="right
fuller	full-time	full-time
full	young	young
fullest	!align="right	!align="right
full	healthier	healthier
fuller	healthy	healthy
fullest	!align="right	!align="right
younger	younger	younger
young	young	young
youngest	!align="right	!align="right
young	oldest	young
younger	younger	younger
youngest	!align="right	!align="right
smarter	mattel	mattel
smart	smart	smart
smartest	!align="right	!align="right
smart	healthier	healthier
smarter	healthy	healthy
smartest	!align="right	!align="right
deeper	deeper	deeper
deep	deep	deep
deepest	!align="right	!align="right
deep	deeper	deeper
deeper	deeper	deeper
deepest	!align="right	!align="right
classier	!align="right	!align="right
classy	imply	imply
classiest	!align="right	!align="right
classy	imply	imply
classier	!align="right	!align="right
classiest	!align="right	!align="right
stickier	!align="right	!align="right
sticky	imply	imply
stickiest	!align="right	!align="right
sticky	imply	imply
stickier	!align="right	!align="right
stickiest	!align="right	!align="right
happier	!align="right	!align="right
happy	closer	closer
happiest	!align="right	!align="right
happy	imply	imply
happier	!align="right	!align="right
happiest	happy	happy
poorer	!align="right	!align="right
poor	poor	better
poorest	!align="right	!align="right
poor	arise	better
poorer	wealthiest	wealthiest
poorest	poor	poor
softer	!align="right	!align="right
soft	better	better
softest	!align="right	!align="right
soft	imply	imply
softer	!align="right	!align="right
softest	thicker	thicker
higher	!align="right	colspan=3|total
high	lower	better
highest	!align="right	colspan=3|total
high	lowest	spectacular
higher	lowest	lowest
highest	lower	lower
thinner	!align="right	colspan=3|total
thin	lighter	warm
thinnest	!align="right	colspan=3|total
thin	toulouse	toulouse
thinner	!align="right	!align="right
thinnest	thicker	thicker
fairer	!align="right	!align="right
fair	toulouse	toulouse
fairest	!align="right	!align="right
fair	toulouse	toulouse
fairer	fourth-place	fourth-place
fairest	!align="right	!align="right
mightier	!align="right	colspan=3|total
mighty	toulouse	toulouse
mightiest	!align="right	colspan=3|total
mighty	toulouse	toulouse
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
noisier	!align="right	colspan=3|total
noisy	toulouse	toulouse
noisiest	!align="right	colspan=3|total
noisy	toulouse	toulouse
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
kinder	sort	sort
kind	hardy	hardy
kindest	!align="right	!align="right
kind	severe	severe
kinder	drier	drier
kindest	!align="right	!align="right
easier	difficult	difficult
easy	easy	easy
easiest	!align="right	!align="right
easy	severe	severe
easier	difficult	difficult
easiest	!align="right	!align="right
busier	schedule	schedule
busy	!align="right	!align="right
busiest	!align="right	!align="right
busy	severe	severe
busier	coldest	quieter
busiest	!align="right	!align="right
trickier	stricter	stricter
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	severe	severe
trickier	drier	drier
trickiest	!align="right	!align="right
riskier	difficult	difficult
risky	!align="right	!align="right
riskiest	!align="right	!align="right
risky	severe	severe
riskier	drier	drier
riskiest	!align="right	!align="right
rougher	!align="right	!align="right
rough	really	really
roughest	!align="right	!align="right
rough	really	really
rougher	!align="right	!align="right
roughest	!align="right	!align="right
friendlier	!align="right	!align="right
friendly	really	really
friendliest	!align="right	!align="right
friendly	really	really
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
shorter	!align="right	!align="right
short	short	short
shortest	!align="right	!align="right
short	good	good
shorter	longest	longest
shortest	short	short
faster	!align="right	!align="right
fastest	fast	fast
fast	!align="right	!align="right
fastest	slow	slow
faster	slow	slow
fast	slower	slower
fewer	!align="right	colspan=3|total
few	more	more
fewest	!align="right	colspan=3|total
few	remarkably	good
fewer	season-high	season-high
fewest	more	more
stickier	!align="right	!align="right
sticky	realistic	realistic
stickiest	!align="right	!align="right
sticky	realistic	realistic
stickier	!align="right	!align="right
stickiest	!align="right	!align="right
messier	!align="right	!align="right
messy	savage	savage
messiest	!align="right	!align="right
messy	realistic	realistic
messier	!align="right	!align="right
messiest	defenseman	defenseman
leaner	!align="right	!align="right
lean	realistic	realistic
leanest	!align="right	!align="right
lean	realistic	realistic
leaner	!align="right	!align="right
leanest	!align="right	!align="right
closer	!align="right	!align="right
close	close	close
closest	!align="right	!align="right
close	close	close
closer	nearest	nearest
closest	close	close
trickier	!align="right	!align="right
tricky	realistic	realistic
trickiest	!align="right	!align="right
tricky	realistic	realistic
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
thinner	!align="right	!align="right
thin	lighter	lighter
thinnest	!align="right	!align="right
thin	tragic	tragic
thinner	!align="right	!align="right
thinnest	thicker	thicker
nicer	!align="right	!align="right
nice	tragic	tragic
nicest	!align="right	!align="right
nice	tragic	tragic
nicer	!align="right	!align="right
nicest	!align="right	!align="right
savvier	!align="right	!align="right
savvy	tragic	tragic
savviest	!align="right	!align="right
savvy	tragic	tragic
savvier	!align="right	!align="right
savviest	!align="right	!align="right
smarter	!align="right	!align="right
smart	joyful	bad
smartest	!align="right	!align="right
smart	tragic	tragic
smarter	!align="right	!align="right
smartest	better	better
fewer	!align="right	colspan=3|total
few	more	more
fewest	!align="right	colspan=3|total
few	bad	bad
fewer	season-high	season-high
fewest	more	more
simpler	!align="right	!align="right
simple	simple	simple
simplest	!align="right	!align="right
simple	simple	surreal
simpler	symmetric	symmetric
simplest	simple	simple
fancier	!align="right	!align="right
fancy	violent	loudly
fanciest	!align="right	!align="right
fancy	violent	loudly
fancier	!align="right	!align="right
fanciest	!align="right	!align="right
greater	!align="right	!align="right
great	larger	larger
greatest	!align="right	!align="right
great	great	great
greater	biggest	biggest
greatest	larger	larger
luckier	!align="right	!align="right
lucky	violent	loudly
luckiest	!align="right	!align="right
lucky	violent	loudly
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
deeper	!align="right	!align="right
deep	deep	deep
deepest	!align="right	!align="right
deep	deep	deep
deeper	deep	deep
deepest	deep	deep
richer	!align="right	!align="right
rich	rich	rich
richest	!align="right	!align="right
rich	rich	rich
richer	wealthiest	wealthiest
richest	rich	rich
louder	!align="right	colspan=3|total
loud	loud	loud
loudest	!align="right	colspan=3|total
loud	dangerous	dangerous
louder	!align="right	!align="right
loudest	smarter	smarter
rougher	!align="right	colspan=3|total
rough	dangerous	dangerous
roughest	!align="right	colspan=3|total
rough	dangerous	dangerous
rougher	!align="right	!align="right
roughest	!align="right	!align="right
slower	!align="right	!align="right
slow	faster	faster
slowest	!align="right	!align="right
slow	dangerous	dangerous
slower	!align="right	!align="right
slowest	faster	faster
nastier	!align="right	!align="right
nasty	dangerous	dangerous
nastiest	!align="right	!align="right
nasty	dangerous	dangerous
nastier	!align="right	!align="right
nastiest	!align="right	!align="right
slimmer	!align="right	!align="right
slim	bad	bad
slimmest	!align="right	!align="right
slim	bad	bad
slimmer	!align="right	!align="right
slimmest	!align="right	!align="right
smoother	!align="right	!align="right
smooth	bad	bad
smoothest	!align="right	!align="right
smooth	bad	bad
smoother	!align="right	!align="right
smoothest	faster	faster
meaner	!align="right	!align="right
mean	bad	bad
meanest	!align="right	!align="right
mean	bad	bad
meaner	!align="right	!align="right
meanest	!align="right	!align="right
longer	!align="right	!align="right
long	long	long
longest	!align="right	!align="right
long	long	long
longer	shortest	shortest
longest	shorter	shorter
shorter	!align="right	!align="right
short	short	short
shortest	!align="right	!align="right
short	bad	bad
shorter	longest	longest
shortest	short	short
wider	!align="right	!align="right
wide	broader	deeper
widest	!align="right	!align="right
wide	continuous	continuous
wider	narrowest	narrowest
widest	broader	broader
fairer	!align="right	!align="right
fair	slow	slow
fairest	!align="right	!align="right
fair	constant	constant
fairer	fourth-place	fourth-place
fairest	!align="right	!align="right
smarter	!align="right	!align="right
smart	better	better
smartest	!align="right	!align="right
smart	slow	slow
smarter	!align="right	!align="right
smartest	better	better
deeper	!align="right	!align="right
deep	deep	deep
deepest	!align="right	!align="right
deep	deeper	deeper
deeper	deep	deep
deepest	deep	deep
luckier	!align="right	!align="right
lucky	slow	slow
luckiest	!align="right	!align="right
lucky	slow	slow
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
earlier	!align="right	colspan=3|total
early	previous	previous
earliest	!align="right	colspan=3|total
early	early	early
earlier	oldest	oldest
earliest	previous	previous
pricier	!align="right	!align="right
pricey	happy	happy
priciest	!align="right	!align="right
pricey	happy	happy
pricier	!align="right	!align="right
priciest	!align="right	!align="right
wider	!align="right	!align="right
wide	broader	wide
widest	!align="right	!align="right
wide	wide	wide
wider	narrowest	narrowest
widest	broader	broader
lower	!align="right	!align="right
low	upper	upper
lowest	!align="right	!align="right
low	highest	highest
lower	highest	highest
lowest	upper	upper
steeper	!align="right	!align="right
steep	steep	steep
steepest	!align="right	!align="right
steep	happy	happy
steeper	!align="right	!align="right
steepest	steep	steep
wealthier	!align="right	!align="right
wealthy	expensive	expensive
wealthiest	!align="right	!align="right
wealthy	expensive	expensive
wealthier	richest	richest
wealthiest	affluent	affluent
richer	!align="right	!align="right
rich	expensive	deeper
richest	!align="right	!align="right
rich	expensive	expensive
richer	wealthiest	wealthiest
richest	rich	rich
faster	!align="right	!align="right
fastest	expensive	expensive
fast	!align="right	!align="right
fastest	slow	slow
faster	slow	slow
fast	slower	slower
taller	!align="right	!align="right
tall	more	more
tallest	!align="right	!align="right
tall	expensive	expensive
taller	oldest	oldest
tallest	tall	tall
luckier	!align="right	!align="right
lucky	expensive	expensive
luckiest	!align="right	!align="right
lucky	expensive	expensive
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
wider	wider	wider
wide	broader	broader
widest	!align="right	!align="right
wide	wide	wide
wider	wider	wider
widest	!align="right	!align="right
slower	slower	slower
slow	slow	slow
slowest	!align="right	!align="right
slow	sounds	sounds
slower	smarter	smarter
slowest	!align="right	!align="right
friendlier	affectionate	preferential
friendly	!align="right	!align="right
friendliest	!align="right	!align="right
friendly	sounds	sounds
friendlier	smarter	smarter
friendliest	!align="right	!align="right
easier	easier	easier
easy	difficult	difficult
easiest	!align="right	!align="right
easy	fast	fast
easier	deeper	deeper
easiest	!align="right	!align="right
colder	colder	colder
cold	cooler	wet
coldest	!align="right	!align="right
cold	warm	warm
colder	temperatures	colder
coldest	!align="right	!align="right
lower	!align="right	!align="right
low	upper	low
lowest	!align="right	!align="right
low	low	low
lower	highest	highest
lowest	upper	upper
darker	!align="right	colspan=3|total
dark	dark	dark
darkest	!align="right	colspan=3|total
dark	sweat	sweat
darker	finest	finest
darkest	paler	paler
safer	!align="right	!align="right
safe	better	better
safest	!align="right	!align="right
safe	crocodile	crocodile
safer	cheapest	cheapest
safest	safe	safe
faster	!align="right	colspan=3|total
fastest	slower	slower
fast	!align="right	colspan=3|total
fastest	slow	slow
faster	slow	slow
fast	slower	slower
fresher	!align="right	!align="right
fresh	cholesterol	cholesterol
freshest	!align="right	!align="right
fresh	cholesterol	cholesterol
fresher	!align="right	!align="right
freshest	!align="right	!align="right
thinner	!align="right	!align="right
thin	lighter	warm
thinnest	!align="right	!align="right
thin	meat	dried
thinner	!align="right	!align="right
thinnest	thicker	thicker
simpler	!align="right	!align="right
simple	simple	simple
simplest	!align="right	!align="right
simple	organic	organic
simpler	symmetric	symmetric
simplest	simple	simple
firmer	!align="right	!align="right
firm	meat	dried
firmest	!align="right	!align="right
firm	meat	dried
firmer	!align="right	!align="right
firmest	!align="right	!align="right
gentler	!align="right	!align="right
gentle	meat	dried
gentlest	!align="right	!align="right
gentle	meat	dried
gentler	!align="right	!align="right
gentlest	!align="right	!align="right
livelier	!align="right	!align="right
lively	meat	dried
liveliest	!align="right	!align="right
lively	meat	dried
livelier	!align="right	!align="right
liveliest	!align="right	!align="right
greener	blue	blue
green	!align="right	!align="right
greenest	blue	blue
green	!align="right	!align="right
greener	!align="right	!align="right
greenest	!align="right	!align="right
cheaper	inexpensive	inexpensive
cheap	expensive	expensive
cheapest	inexpensive	inexpensive
cheap	safest	safest
cheaper	safest	safest
cheapest	expensive	expensive
stickier	glabrous	glabrous
sticky	!align="right	!align="right
stickiest	glabrous	glabrous
sticky	!align="right	!align="right
stickier	!align="right	!align="right
stickiest	!align="right	!align="right
fatter	cholesterol	cholesterol
fat	!align="right	!align="right
fattest	cholesterol	cholesterol
fat	!align="right	!align="right
fatter	!align="right	!align="right
fattest	!align="right	!align="right
harder	harder	harder
hard	hard	hard
hardest	harder	harder
hard	hard	difficult
harder	hard	difficult
hardest	hard	hard
milder	severe	severe
mild	drier	drier
mildest	severe	severe
mild	!align="right	!align="right
milder	!align="right	!align="right
mildest	drier	drier
thinner	thick	thick
thin	thicker	thicker
thinnest	thick	thick
thin	!align="right	!align="right
thinner	!align="right	!align="right
thinnest	thicker	thicker
poorer	poorer	poorer
poor	poor	poor
poorest	poorer	poorer
poor	wealthiest	wealthiest
poorer	wealthiest	wealthiest
poorest	poor	poor
lower	high	high
low	upper	upper
lowest	high	high
low	highest	highest
lower	highest	highest
lowest	upper	upper
quicker	slow	slow
quick	faster	faster
quickest	slow	slow
quick	fastest	fastest
quicker	fastest	fastest
quickest	faster	faster
newer	!align="right	!align="right
new	larger	relaxed
newest	!align="right	!align="right
new	latest	latest
newer	latest	latest
newest	larger	larger
tougher	!align="right	!align="right
tough	tough	tough
toughest	!align="right	!align="right
tough	tough	tough
tougher	deadliest	deadliest
toughest	harder	harder
quicker	!align="right	!align="right
quick	faster	improved
quickest	!align="right	!align="right
quick	slow	lively
quicker	fastest	fastest
quickest	faster	faster
costlier	!align="right	!align="right
costly	hostile	hostile
costliest	!align="right	!align="right
costly	hostile	hostile
costlier	!align="right	!align="right
costliest	!align="right	!align="right
shorter	!align="right	!align="right
short	short	short
shortest	!align="right	!align="right
short	good	good
shorter	longest	longest
shortest	short	short
louder	!align="right	!align="right
loud	loud	loud
loudest	!align="right	!align="right
loud	hunt	hunt
louder	!align="right	!align="right
loudest	smarter	smarter
nastier	!align="right	!align="right
nasty	hunt	hunt
nastiest	!align="right	!align="right
nasty	hunt	hunt
nastier	!align="right	!align="right
nastiest	!align="right	!align="right
greater	!align="right	!align="right
great	great	great
greatest	!align="right	!align="right
great	great	great
greater	biggest	biggest
greatest	larger	larger
wiser	!align="right	!align="right
wise	hunt	hunt
wisest	!align="right	!align="right
wise	hunt	hunt
wiser	!align="right	!align="right
wisest	!align="right	!align="right
closer	!align="right	!align="right
close	close	close
closest	!align="right	!align="right
close	close	close
closer	nearest	nearest
closest	close	close
thicker	thin	thin
thick	thinner	thinner
thickest	thin	thin
thick	!align="right	!align="right
thicker	!align="right	!align="right
thickest	thinner	thinner
classier	!align="right	!align="right
classy	!align="right	!align="right
classiest	!align="right	!align="right
classy	!align="right	!align="right
classier	!align="right	!align="right
classiest	!align="right	!align="right
simpler	simpler	simpler
simple	simple	simple
simplest	simpler	simpler
simple	symmetric	symmetric
simpler	symmetric	symmetric
simplest	simple	simple
busier	congested	congested
busy	!align="right	!align="right
busiest	congested	congested
busy	most-watched	most-watched
busier	most-watched	most-watched
busiest	!align="right	!align="right
trickier	dangerous	dangerous
tricky	!align="right	!align="right
trickiest	dangerous	dangerous
tricky	!align="right	!align="right
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
worse	good	good
bad	better	better
worst	good	good
bad	best	best
worse	best	best
worst	better	better
fatter	cholesterol	cholesterol
fat	!align="right	!align="right
fattest	cholesterol	cholesterol
fat	!align="right	!align="right
fatter	!align="right	!align="right
fattest	!align="right	!align="right
lower	high	high
low	upper	upper
lowest	high	high
low	highest	highest
lower	highest	highest
lowest	upper	upper
steeper	steeper	steeper
steep	steep	steep
steepest	steeper	steeper
steep	!align="right	!align="right
steeper	!align="right	!align="right
steepest	steep	steep
friendlier	hostile	hostile
friendly	!align="right	!align="right
friendliest	hostile	hostile
friendly	!align="right	!align="right
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
smaller	large	large
small	larger	larger
smallest	!align="right	!align="right
small	smaller	smaller
smaller	smaller	smaller
smallest	!align="right	!align="right
cheaper	inexpensive	inexpensive
cheap	animals	animals
cheapest	!align="right	!align="right
cheap	exotic	exotic
cheaper	expensive	lynch
cheapest	!align="right	!align="right
tighter	tighter	tighter
tight	animal	animal
tightest	!align="right	!align="right
tight	deer	deer
tighter	allen	allen
tightest	!align="right	!align="right
happier	thrilled	thrilled
happy	animal	animal
happiest	!align="right	!align="right
happy	deer	deer
happier	allen	allen
happiest	!align="right	!align="right
harsher	harsher	alfred
harsh	harsh	harsh
harshest	!align="right	!align="right
harsh	deer	deer
harsher	allen	allen
harshest	!align="right	!align="right
higher	!align="right	!align="right
high	lower	lower
highest	!align="right	!align="right
high	lowest	lowest
higher	lowest	lowest
highest	lower	lower
prettier	!align="right	!align="right
pretty	rocker	rocker
prettiest	!align="right	!align="right
pretty	rocker	rocker
prettier	!align="right	!align="right
prettiest	!align="right	!align="right
smoother	!align="right	!align="right
smooth	lighter	lighter
smoothest	!align="right	!align="right
smooth	rocker	rocker
smoother	!align="right	!align="right
smoothest	faster	faster
fresher	!align="right	!align="right
fresh	rocker	rocker
freshest	!align="right	!align="right
fresh	rocker	rocker
fresher	!align="right	!align="right
freshest	!align="right	!align="right
faster	!align="right	!align="right
fastest	slower	fast
fast	!align="right	!align="right
fastest	slow	slow
faster	slow	slow
fast	slower	slower
worse	good	moncton
bad	complicated	complicated
worst	!align="right	!align="right
bad	worse	worse
worse	best	best
worst	!align="right	!align="right
higher	highest	highest
high	lower	lower
highest	!align="right	!align="right
high	lowest	low
higher	lowest	lowest
highest	!align="right	!align="right
costlier	smolensk	deployed
costly	!align="right	!align="right
costliest	!align="right	colspan=3|total
costly	complicated	complicated
costlier	defenseman	defenseman
costliest	!align="right	!align="right
firmer	co	co
firm	!align="right	!align="right
firmest	!align="right	!align="right
firm	complicated	complicated
firmer	defenseman	defenseman
firmest	!align="right	!align="right
steeper	slopes	skiers
steep	steep	cynical
steepest	!align="right	!align="right
steep	complicated	complicated
steeper	defenseman	defenseman
steepest	!align="right	!align="right
greener	red	red
green	!align="right	!align="right
greenest	!align="right	!align="right
green	sophisticated	sophisticated
greener	better	better
greenest	!align="right	!align="right
smaller	smaller	smaller
small	small	small
smallest	!align="right	!align="right
small	small	small
smaller	larger	larger
smallest	!align="right	!align="right
narrower	narrower	narrower
narrow	broad	broad
narrowest	!align="right	!align="right
narrow	sophisticated	sophisticated
narrower	deeper	deeper
narrowest	!align="right	!align="right
cleaner	cleaner	cleaner
clean	lighting	lighting
cleanest	!align="right	!align="right
clean	sophisticated	sophisticated
cleaner	better	better
cleanest	!align="right	!align="right
riskier	costly	costly
risky	!align="right	!align="right
riskiest	!align="right	!align="right
risky	sophisticated	sophisticated
riskier	better	better
riskiest	!align="right	!align="right
newer	!align="right	!align="right
new	larger	classic
newest	!align="right	!align="right
new	latest	big
newer	latest	latest
newest	larger	larger
wilder	!align="right	!align="right
wild	savage	savage
wildest	!align="right	!align="right
wild	big	big
wilder	!align="right	!align="right
wildest	allen	allen
narrower	!align="right	!align="right
