rougher	riders	riders
classy	llp	llp
classiest	!align="right	!align="right
classy	llp	llp
classier	!align="right	!align="right
classiest	!align="right	!align="right
poorer	!align="right	!align="right
poor	consulting	consulting
poorest	!align="right	!align="right
poor	llp	llp
poorer	neighborhoods	neighborhoods
poorest	affluent	affluent
slower	!align="right	!align="right
slow	faster	faster
slowest	!align="right	!align="right
slow	llp	llp
slower	!align="right	!align="right
slowest	faster	faster
faster	!align="right	!align="right
fastest	slower	slower
fast	!align="right	!align="right
fastest	consulting	consulting
faster	slow	slow
fast	slower	slower
classier	!align="right	!align="right
classy	convex	convex
classiest	!align="right	!align="right
classy	convex	convex
classier	!align="right	!align="right
classiest	!align="right	!align="right
simpler	!align="right	!align="right
simple	much	much
simplest	!align="right	!align="right
simple	elliptic	algebraic
simpler	algorithms	algorithms
simplest	much	much
meaner	!align="right	!align="right
mean	convex	convex
meanest	!align="right	!align="right
mean	convex	convex
meaner	!align="right	!align="right
meanest	!align="right	!align="right
mightier	!align="right	!align="right
mighty	convex	convex
mightiest	!align="right	!align="right
mighty	convex	convex
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
cleaner	!align="right	!align="right
clean	manifold	manifold
cleanest	!align="right	!align="right
clean	convex	convex
cleaner	!align="right	!align="right
cleanest	fuels	fuels
louder	!align="right	!align="right
loud	italics	italics
loudest	!align="right	!align="right
loud	italics	italics
louder	!align="right	!align="right
loudest	!align="right	!align="right
newer	!align="right	!align="right
new	italics	italics
newest	!align="right	!align="right
new	italics	italics
newer	proximity	proximity
newest	usb	usb
cooler	!align="right	!align="right
cool	warmer	warm
coolest	!align="right	!align="right
cool	italics	italics
cooler	!align="right	!align="right
coolest	warmer	warmer
narrower	colspan=3|total	colspan=3|total
narrow	italics	italics
narrowest	colspan=3|total	colspan=3|total
narrow	italics	italics
narrower	!align="right	!align="right
narrowest	narrow	narrow
busier	!align="right	!align="right
busy	italics	italics
busiest	!align="right	!align="right
busy	airports	airports
busier	airports	airports
busiest	!align="right	!align="right
gentler	calm	calm
gentle	!align="right	!align="right
gentlest	!align="right	!align="right
gentle	thickness	thickness
gentler	thinner	thinner
gentlest	!align="right	!align="right
fancier	dress	dress
fancy	!align="right	!align="right
fanciest	!align="right	!align="right
fancy	thickness	thickness
fancier	thinner	thinner
fanciest	!align="right	!align="right
noisier	than	than
noisy	!align="right	!align="right
noisiest	!align="right	!align="right
noisy	thickness	thickness
noisier	thinner	thinner
noisiest	!align="right	!align="right
smarter	apps	apps
smart	!align="right	!align="right
smartest	!align="right	!align="right
smart	thickness	thickness
smarter	thinner	thinner
smartest	!align="right	!align="right
trickier	!align="right	!align="right
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	thickness	thickness
trickier	thinner	thinner
trickiest	!align="right	!align="right
tastier	!align="right	!align="right
tasty	it's	it's
tastiest	!align="right	!align="right
tasty	it's	it's
tastier	!align="right	!align="right
tastiest	!align="right	!align="right
easier	!align="right	!align="right
easy	much	much
easiest	!align="right	!align="right
easy	it's	it's
easier	!align="right	!align="right
easiest	easy	difficult
mightier	!align="right	!align="right
mighty	it's	it's
mightiest	!align="right	!align="right
mighty	it's	it's
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
fewer	!align="right	!align="right
few	than	than
fewest	!align="right	!align="right
few	shutouts	shutouts
fewer	shutouts	shutouts
fewest	than	than
trickier	!align="right	!align="right
tricky	it's	it's
trickiest	!align="right	!align="right
tricky	it's	it's
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
thicker	!align="right	!align="right
thick	thinner	ridges
thickest	!align="right	!align="right
thick	slopes	slopes
thicker	!align="right	!align="right
thickest	thinner	thinner
earlier	!align="right	!align="right
early	slopes	slopes
earliest	!align="right	!align="right
early	slopes	climb
earlier	extant	extant
earliest	later	later
swifter	!align="right	!align="right
swift	slopes	slopes
swiftest	!align="right	!align="right
swift	slopes	slopes
swifter	!align="right	!align="right
swiftest	!align="right	!align="right
bigger	!align="right	!align="right
big	slopes	climb
biggest	!align="right	!align="right
big	slopes	slopes
bigger	number-one	number-one
biggest	maybe	maybe
deeper	!align="right	!align="right
deep	slope	slope
deepest	!align="right	!align="right
deep	slope	slope
deeper	deep	deep
deepest	depths	depths
tighter	linebacker	linebacker
tight	!align="right	!align="right
tightest	!align="right	!align="right
tight	winters	winters
tighter	warmer	warmer
tightest	!align="right	!align="right
wider	long	long
wide	width	width
widest	!align="right	colspan=3|total
wide	warm	warm
wider	temperatures	temperatures
widest	!align="right	!align="right
prettier	it's	stupid
pretty	!align="right	!align="right
prettiest	!align="right	!align="right
pretty	winters	winters
prettier	warmer	warmer
prettiest	!align="right	!align="right
older	demolished	demolished
old	65	65
oldest	!align="right	!align="right
old	warm	warm
older	warmer	cooler
oldest	!align="right	!align="right
wiser	stupid	stupid
wise	!align="right	!align="right
wisest	!align="right	colspan=3|total
wise	winters	winters
wiser	warmer	warmer
wisest	!align="right	!align="right
milder	!align="right	!align="right
mild	fairs	fairs
mildest	essendon	essendon
mild	!align="right	colspan=3|total
milder	!align="right	!align="right
mildest	essendon	essendon
prettier	!align="right	!align="right
pretty	fairs	fairs
prettiest	essendon	essendon
pretty	!align="right	colspan=3|total
prettier	!align="right	!align="right
prettiest	essendon	essendon
narrower	!align="right	!align="right
narrow	fest	fest
narrowest	essendon	essendon
narrow	!align="right	colspan=3|total
narrower	!align="right	!align="right
narrowest	essendon	essendon
stiffer	!align="right	!align="right
stiff	fairs	fairs
stiffest	essendon	essendon
stiff	!align="right	colspan=3|total
stiffer	!align="right	!align="right
stiffest	essendon	essendon
older	!align="right	!align="right
old	age	median
oldest	essendon	essendon
old	world's	world's
older	!align="right	!align="right
oldest	age	age
steadier	!align="right	!align="right
steady	terrain	terrain
steadiest	!align="right	!align="right
steady	terrain	terrain
steadier	!align="right	!align="right
steadiest	!align="right	!align="right
fairer	!align="right	colspan=3|total
fair	terrain	terrain
fairest	!align="right	colspan=3|total
fair	essendon	hawthorn
fairer	essendon	essendon
fairest	!align="right	!align="right
smarter	!align="right	!align="right
smart	terrain	terrain
smartest	!align="right	!align="right
smart	terrain	terrain
smarter	!align="right	!align="right
smartest	!align="right	!align="right
sharper	!align="right	!align="right
sharp	terrain	terrain
sharpest	!align="right	!align="right
sharp	terrain	terrain
sharper	!align="right	!align="right
sharpest	!align="right	!align="right
deeper	!align="right	colspan=3|total
deep	deep	deep
deepest	!align="right	colspan=3|total
deep	deep	deep
deeper	deep	deep
deepest	depths	depths
bloodier	!align="right	!align="right
bloody	busiest	busiest
bloodiest	uprisings	knife
bloody	!align="right	!align="right
bloodier	!align="right	!align="right
bloodiest	airports	airports
quicker	!align="right	!align="right
quick	faster	faster
quickest	transit	transit
quick	!align="right	!align="right
quicker	!align="right	!align="right
quickest	hub	hub
narrower	!align="right	colspan=3|total
narrow	narrow	narrow
narrowest	narrower	narrower
narrow	!align="right	!align="right
narrower	!align="right	!align="right
narrowest	traffic	traffic
savvier	!align="right	!align="right
savvy	busiest	busiest
savviest	!align="right	!align="right
savvy	!align="right	!align="right
savvier	!align="right	!align="right
savviest	airports	airports
stronger	!align="right	colspan=3|total
strong	weaker	weaker
strongest	largest	largest
strong	storm	storm
stronger	!align="right	colspan=3|total
strongest	airports	airports
better	it's	really
good	always	develop
best	!align="right	!align="right
good	awards	awards
better	nominated	nominated
best	!align="right	colspan=3|total
slicker	taller	taller
slick	!align="right	!align="right
slickest	!align="right	!align="right
slick	yellow	yellow
slicker	brightness	brightness
slickest	!align="right	!align="right
friendlier	substitute	substitute
friendly	!align="right	!align="right
friendliest	!align="right	!align="right
friendly	yellow	yellow
friendlier	brightness	brightness
friendliest	!align="right	!align="right
bigger	conference	conference
big	leaf	leaf
biggest	!align="right	!align="right
big	yellow	yellow
bigger	star	number-one
biggest	!align="right	!align="right
stronger	galaxy	galaxy
strong	weak	weak
strongest	!align="right	!align="right
strong	yellow	yellow
stronger	galaxies	magnitude
strongest	!align="right	colspan=3|total
milder	!align="right	!align="right
mild	dogg	dogg
mildest	!align="right	!align="right
mild	dogg	dogg
milder	!align="right	!align="right
mildest	!align="right	!align="right
faster	!align="right	!align="right
fastest	slower	slower
fast	!align="right	!align="right
fastest	slow	slow
faster	slow	slow
fast	slower	slower
busier	!align="right	!align="right
busy	dogg	dogg
busiest	!align="right	!align="right
busy	traffic	traffic
busier	airports	airports
busiest	!align="right	!align="right
luckier	!align="right	!align="right
lucky	dogg	dogg
luckiest	!align="right	!align="right
lucky	dogg	dogg
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
wiser	!align="right	colspan=3|total
wise	dogg	dogg
wisest	!align="right	colspan=3|total
wise	dogg	dogg
wiser	!align="right	!align="right
wisest	!align="right	!align="right
lighter	!align="right	colspan=3|total
light	heavier	heavier
lightest	!align="right	colspan=3|total
light	dress	dress
lighter	!align="right	!align="right
lightest	heavier	heavier
healthier	!align="right	!align="right
healthy	dress	dress
healthiest	!align="right	!align="right
healthy	dress	dress
healthier	!align="right	!align="right
healthiest	!align="right	!align="right
costlier	!align="right	colspan=3|total
costly	dress	dress
costliest	!align="right	colspan=3|total
costly	dress	dress
costlier	!align="right	!align="right
costliest	!align="right	!align="right
meaner	!align="right	colspan=3|total
mean	dress	dress
meanest	!align="right	colspan=3|total
mean	dress	dress
meaner	!align="right	!align="right
meanest	!align="right	!align="right
older	!align="right	!align="right
old	65	45
oldest	!align="right	!align="right
old	surviving	surviving
older	dating	dating
oldest	age	age
louder	!align="right	!align="right
loud	blue	blue
loudest	!align="right	!align="right
loud	blue	blue
louder	!align="right	!align="right
loudest	!align="right	!align="right
tougher	!align="right	!align="right
tough	blue	blue
toughest	!align="right	!align="right
tough	blue	blue
tougher	!align="right	!align="right
toughest	!align="right	!align="right
darker	!align="right	!align="right
dark	dark	yellow
darkest	!align="right	!align="right
dark	blue	blue
darker	!align="right	!align="right
darkest	paler	paler
easier	!align="right	!align="right
easy	yellow	yellow
easiest	!align="right	!align="right
easy	blue	blue
easier	!align="right	!align="right
easiest	easy	difficult
trickier	!align="right	!align="right
tricky	blue	blue
trickiest	!align="right	!align="right
tricky	blue	blue
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
larger	!align="right	!align="right
large	hilarious	hilarious
largest	!align="right	!align="right
large	world's	hilarious
larger	world's	world's
largest	smaller	smaller
tastier	!align="right	!align="right
tasty	hilarious	hilarious
tastiest	!align="right	!align="right
tasty	hilarious	hilarious
tastier	!align="right	!align="right
tastiest	!align="right	!align="right
healthier	!align="right	!align="right
healthy	hilarious	hilarious
healthiest	!align="right	!align="right
healthy	hilarious	hilarious
healthier	!align="right	!align="right
healthiest	!align="right	!align="right
faster	!align="right	!align="right
fastest	slower	slower
fast	!align="right	!align="right
fastest	hilarious	hilarious
faster	slow	slow
fast	slower	slower
noisier	!align="right	!align="right
noisy	hilarious	hilarious
noisiest	!align="right	!align="right
noisy	hilarious	hilarious
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
smaller	!align="right	!align="right
small	larger	larger
smallest	!align="right	!align="right
small	eating	eating
smaller	graph	graph
smallest	larger	larger
fuller	!align="right	!align="right
full	nutrition	foods
fullest	!align="right	!align="right
full	nutrition	nutrition
fuller	!align="right	!align="right
fullest	brush	brush
younger	!align="right	!align="right
young	brother	brother
youngest	!align="right	!align="right
young	eating	infancy
younger	sons	sons
youngest	brother	brother
smarter	!align="right	colspan=3|total
smart	nutrition	nutrition
smartest	!align="right	colspan=3|total
smart	nutrition	nutrition
smarter	!align="right	!align="right
smartest	!align="right	!align="right
deeper	!align="right	colspan=3|total
deep	deep	deep
deepest	!align="right	colspan=3|total
deep	deep	deep
deeper	deep	deep
deepest	depths	depths
classier	!align="right	!align="right
classy	variance	variance
classiest	!align="right	!align="right
classy	variance	variance
classier	!align="right	!align="right
classiest	!align="right	!align="right
stickier	!align="right	!align="right
sticky	variance	variance
stickiest	!align="right	!align="right
sticky	variance	variance
stickier	!align="right	!align="right
stickiest	!align="right	!align="right
happier	!align="right	!align="right
happy	variance	variance
happiest	!align="right	!align="right
happy	variance	variance
happier	!align="right	!align="right
happiest	!align="right	!align="right
poorer	!align="right	!align="right
poor	low	rates
poorest	!align="right	!align="right
poor	neighbourhoods	neighbourhoods
poorer	neighborhoods	neighborhoods
poorest	affluent	affluent
softer	!align="right	!align="right
soft	thinner	thinner
softest	!align="right	!align="right
soft	variance	variance
softer	!align="right	!align="right
softest	thinner	thinner
higher	!align="right	!align="right
high	low	low
highest	!align="right	!align="right
high	peak	peak
higher	peak	peak
highest	low	low
thinner	!align="right	!align="right
thin	thicker	thicker
thinnest	!align="right	!align="right
thin	marseille	marseille
thinner	!align="right	!align="right
thinnest	thicker	thicker
fairer	!align="right	colspan=3|total
fair	marseille	marseille
fairest	!align="right	colspan=3|total
fair	geelong	geelong
fairer	essendon	essendon
fairest	!align="right	!align="right
mightier	!align="right	!align="right
mighty	marseille	marseille
mightiest	!align="right	!align="right
mighty	marseille	marseille
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
noisier	!align="right	!align="right
noisy	marseille	marseille
noisiest	!align="right	!align="right
noisy	marseille	marseille
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
kinder	!align="right	!align="right
kind	winters	winters
kindest	!align="right	!align="right
kind	winters	winters
kinder	!align="right	!align="right
kindest	!align="right	!align="right
easier	!align="right	!align="right
easy	winters	warm
easiest	!align="right	!align="right
easy	winters	winters
easier	!align="right	!align="right
easiest	easy	difficult
busier	!align="right	!align="right
busy	winters	winters
busiest	!align="right	!align="right
busy	winters	warm
busier	airports	airports
busiest	!align="right	!align="right
trickier	!align="right	!align="right
tricky	winters	winters
trickiest	!align="right	!align="right
tricky	winters	winters
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
riskier	!align="right	!align="right
risky	winters	winters
riskiest	!align="right	!align="right
risky	winters	winters
riskier	!align="right	!align="right
riskiest	!align="right	!align="right
rougher	!align="right	!align="right
rough	it's	it's
roughest	!align="right	!align="right
rough	it's	it's
rougher	!align="right	!align="right
roughest	!align="right	!align="right
friendlier	!align="right	!align="right
friendly	it's	it's
friendliest	!align="right	!align="right
friendly	it's	it's
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
shorter	!align="right	!align="right
short	thats	much
shortest	!align="right	!align="right
short	vertices	vertices
shorter	vertices	vertices
shortest	larger	larger
faster	!align="right	!align="right
fastest	slower	slower
fast	!align="right	!align="right
fastest	slow	slow
faster	slow	slow
fast	slower	slower
fewer	!align="right	!align="right
few	than	thats
fewest	!align="right	!align="right
few	thing	thing
fewer	shutouts	shutouts
fewest	than	than
stickier	!align="right	!align="right
sticky	playful	playful
stickiest	!align="right	!align="right
sticky	playful	playful
stickier	!align="right	!align="right
stickiest	!align="right	!align="right
messier	!align="right	!align="right
messy	playful	playful
messiest	!align="right	!align="right
messy	playful	playful
messier	!align="right	!align="right
messiest	!align="right	!align="right
leaner	!align="right	colspan=3|total
lean	playful	playful
leanest	!align="right	colspan=3|total
lean	playful	playful
leaner	!align="right	!align="right
leanest	!align="right	!align="right
closer	!align="right	!align="right
close	playful	maintained
closest	!align="right	!align="right
close	playful	playful
closer	phylogenetic	phylogenetic
closest	farther	farther
trickier	!align="right	!align="right
tricky	playful	playful
trickiest	!align="right	!align="right
tricky	playful	playful
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
thinner	!align="right	colspan=3|total
thin	thicker	much
thinnest	!align="right	colspan=3|total
thin	novi	novi
thinner	!align="right	!align="right
thinnest	thicker	thicker
nicer	!align="right	!align="right
nice	novi	novi
nicest	!align="right	!align="right
nice	novi	novi
nicer	!align="right	!align="right
nicest	!align="right	!align="right
savvier	!align="right	!align="right
savvy	novi	novi
savviest	!align="right	!align="right
savvy	novi	novi
savvier	!align="right	!align="right
savviest	!align="right	!align="right
smarter	!align="right	colspan=3|total
smart	novi	novi
smartest	!align="right	colspan=3|total
smart	novi	novi
smarter	!align="right	!align="right
smartest	!align="right	!align="right
fewer	!align="right	!align="right
few	than	than
fewest	!align="right	!align="right
few	shutouts	shutouts
fewer	shutouts	shutouts
fewest	than	than
simpler	!align="right	!align="right
simple	much	much
simplest	!align="right	!align="right
simple	harder	harder
simpler	algorithms	algorithms
simplest	much	much
fancier	!align="right	!align="right
fancy	very	very
fanciest	!align="right	!align="right
fancy	very	very
fancier	!align="right	!align="right
fanciest	!align="right	!align="right
greater	!align="right	colspan=3|total
great	administrative	much
greatest	!align="right	colspan=3|total
great	most	most
greater	one	one
greatest	within	within
luckier	!align="right	!align="right
lucky	very	very
luckiest	!align="right	!align="right
lucky	very	very
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
deeper	!align="right	colspan=3|total
deep	deep	much
deepest	!align="right	colspan=3|total
deep	deep	deep
deeper	deep	deep
deepest	depths	depths
richer	wealthy	wealthy
rich	poorer	poorer
richest	wealthy	wealthy
rich	world's	world's
richer	world's	world's
richest	poorer	poorer
louder	noises	noises
loud	!align="right	!align="right
loudest	noises	noises
loud	!align="right	!align="right
louder	!align="right	!align="right
loudest	!align="right	!align="right
rougher	terrain	terrain
rough	!align="right	!align="right
roughest	terrain	terrain
rough	!align="right	!align="right
rougher	!align="right	!align="right
roughest	!align="right	!align="right
slower	fast	fast
slow	faster	faster
slowest	fast	fast
slow	!align="right	!align="right
slower	!align="right	!align="right
slowest	faster	faster
nastier	neal	neal
nasty	!align="right	!align="right
nastiest	neal	neal
nasty	!align="right	!align="right
nastier	!align="right	!align="right
nastiest	!align="right	!align="right
slimmer	!align="right	!align="right
slim	neal	neal
slimmest	!align="right	!align="right
slim	neal	neal
slimmer	!align="right	!align="right
slimmest	!align="right	!align="right
smoother	!align="right	colspan=3|total
smooth	neal	neal
smoothest	!align="right	colspan=3|total
smooth	neal	neal
smoother	!align="right	!align="right
smoothest	!align="right	!align="right
meaner	!align="right	colspan=3|total
mean	neal	neal
meanest	!align="right	colspan=3|total
mean	neal	neal
meaner	!align="right	!align="right
meanest	!align="right	!align="right
longer	!align="right	!align="right
long	short	short
longest	!align="right	!align="right
long	midst	midst
longer	stretch	stretch
longest	shorter	shorter
shorter	!align="right	!align="right
short	longer	short
shortest	!align="right	!align="right
short	vertices	vertices
shorter	vertices	vertices
shortest	larger	larger
wider	!align="right	!align="right
wide	faster	faster
widest	!align="right	!align="right
wide	grossing	grossing
wider	width	width
widest	narrower	narrower
fairer	!align="right	!align="right
fair	decline	decline
fairest	!align="right	!align="right
fair	kilda	kilda
fairer	essendon	essendon
fairest	!align="right	!align="right
smarter	!align="right	!align="right
smart	decline	decline
smartest	!align="right	!align="right
smart	decline	decline
smarter	!align="right	!align="right
smartest	!align="right	!align="right
deeper	!align="right	!align="right
deep	depths	pushed
deepest	!align="right	!align="right
deep	deep	caverns
deeper	deep	deep
deepest	depths	depths
luckier	!align="right	!align="right
lucky	decline	decline
luckiest	!align="right	!align="right
lucky	decline	decline
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
earlier	!align="right	!align="right
early	months	months
earliest	!align="right	!align="right
early	dating	dating
earlier	extant	extant
earliest	later	later
pricier	!align="right	!align="right
pricey	loser	loser
priciest	!align="right	!align="right
pricey	loser	loser
pricier	!align="right	!align="right
priciest	!align="right	!align="right
wider	!align="right	!align="right
wide	width	better
widest	!align="right	!align="right
wide	width	box-office
wider	width	width
widest	narrower	narrower
lower	!align="right	!align="right
low	upper	upper
lowest	!align="right	!align="right
low	highest	rates
lower	highest	highest
lowest	upper	upper
steeper	!align="right	!align="right
steep	loser	loser
steepest	!align="right	!align="right
steep	loser	loser
steeper	!align="right	!align="right
steepest	!align="right	!align="right
wealthier	!align="right	!align="right
wealthy	expensive	expensive
wealthiest	!align="right	!align="right
wealthy	prosperous	prosperous
wealthier	wealthy	wealthy
wealthiest	!align="right	!align="right
richer	!align="right	!align="right
rich	expensive	much
richest	!align="right	!align="right
rich	economically	economically
richer	world's	world's
richest	poorer	poorer
faster	!align="right	!align="right
fastest	slower	slower
fast	!align="right	!align="right
fastest	slow	slower
faster	slow	slow
fast	slower	slower
taller	!align="right	!align="right
tall	much	much
tallest	!align="right	!align="right
tall	skyscraper	skyscraper
taller	skyscraper	skyscraper
tallest	tall	tall
luckier	!align="right	!align="right
lucky	expensive	expensive
luckiest	!align="right	!align="right
lucky	expensive	expensive
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
wider	!align="right	colspan=3|total
wide	hear	hear
widest	!align="right	colspan=3|total
wide	laughter	laughter
wider	width	width
widest	narrower	narrower
slower	!align="right	!align="right
slow	faster	faster
slowest	!align="right	!align="right
slow	noises	noises
slower	!align="right	!align="right
slowest	faster	faster
friendlier	!align="right	colspan=3|total
friendly	noises	noises
friendliest	!align="right	colspan=3|total
friendly	noises	noises
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
easier	!align="right	!align="right
easy	difficult	faster
easiest	!align="right	!align="right
easy	noises	noises
easier	!align="right	!align="right
easiest	easy	difficult
colder	!align="right	!align="right
cold	warmer	cooler
coldest	!align="right	!align="right
cold	noises	noises
colder	!align="right	!align="right
coldest	warmer	warmer
lower	!align="right	!align="right
low	upper	upper
lowest	!align="right	!align="right
low	fats	fats
lower	highest	highest
lowest	upper	upper
darker	!align="right	!align="right
dark	dark	dark
darkest	!align="right	!align="right
dark	fats	fats
darker	!align="right	!align="right
darkest	paler	paler
safer	!align="right	!align="right
safe	fats	calories
safest	!align="right	!align="right
safe	fats	fats
safer	!align="right	!align="right
safest	cheaper	cheaper
faster	!align="right	!align="right
fastest	slower	slower
fast	!align="right	!align="right
fastest	fats	calories
faster	slow	slow
fast	slower	slower
fresher	!align="right	!align="right
fresh	fats	fats
freshest	!align="right	!align="right
fresh	fats	fats
fresher	!align="right	!align="right
freshest	!align="right	!align="right
thinner	!align="right	!align="right
thin	thicker	kilograms
thinnest	!align="right	!align="right
thin	tomatoes	tomatoes
thinner	!align="right	!align="right
thinnest	thicker	thicker
simpler	!align="right	!align="right
simple	cooked	much
simplest	!align="right	!align="right
simple	cooked	cooked
simpler	algorithms	algorithms
simplest	much	much
firmer	!align="right	!align="right
firm	tomatoes	tomatoes
firmest	!align="right	!align="right
firm	tomatoes	tomatoes
firmer	!align="right	!align="right
firmest	!align="right	!align="right
gentler	!align="right	!align="right
gentle	tomatoes	tomatoes
gentlest	!align="right	!align="right
gentle	tomatoes	tomatoes
gentler	!align="right	!align="right
gentlest	!align="right	!align="right
livelier	!align="right	!align="right
lively	tomatoes	tomatoes
liveliest	!align="right	!align="right
lively	tomatoes	tomatoes
livelier	!align="right	!align="right
liveliest	!align="right	!align="right
greener	blue	blue
green	!align="right	!align="right
greenest	blue	blue
green	!align="right	!align="right
greener	!align="right	!align="right
greenest	!align="right	!align="right
cheaper	cheaper	cheaper
cheap	expensive	expensive
cheapest	cheaper	cheaper
cheap	!align="right	!align="right
cheaper	!align="right	!align="right
cheapest	expensive	expensive
stickier	glands	glands
sticky	!align="right	!align="right
stickiest	glands	glands
sticky	!align="right	!align="right
stickier	!align="right	!align="right
stickiest	!align="right	!align="right
fatter	fats	fats
fat	!align="right	!align="right
fattest	fats	fats
fat	!align="right	!align="right
fatter	!align="right	!align="right
fattest	!align="right	!align="right
harder	floppy	floppy
hard	softer	softer
hardest	floppy	floppy
hard	i've	i've
harder	i've	i've
hardest	softer	softer
milder	winters	winters
mild	!align="right	!align="right
mildest	winters	winters
mild	!align="right	!align="right
milder	!align="right	!align="right
mildest	!align="right	!align="right
thinner	coated	coated
thin	thicker	thicker
thinnest	coated	coated
thin	!align="right	!align="right
thinner	!align="right	!align="right
thinnest	thicker	thicker
poorer	homeless	homeless
poor	affluent	affluent
poorest	homeless	homeless
poor	neighborhoods	neighborhoods
poorer	neighborhoods	neighborhoods
poorest	affluent	affluent
lower	higher	higher
low	upper	upper
lowest	higher	higher
low	highest	highest
lower	highest	highest
lowest	upper	upper
quicker	fast	fast
quick	faster	faster
quickest	fast	fast
quick	!align="right	!align="right
quicker	!align="right	!align="right
quickest	faster	faster
newer	!align="right	!align="right
new	substitute	substitute
newest	!align="right	!align="right
new	1-1	1-1
newer	proximity	proximity
newest	usb	usb
tougher	!align="right	!align="right
tough	substitute	substitute
toughest	!align="right	!align="right
tough	substitute	substitute
tougher	!align="right	!align="right
toughest	!align="right	!align="right
quicker	!align="right	!align="right
quick	substitute	substitute
quickest	!align="right	!align="right
quick	substitute	substitute
quicker	!align="right	!align="right
quickest	faster	faster
costlier	!align="right	!align="right
costly	substitute	substitute
costliest	!align="right	!align="right
costly	substitute	substitute
costlier	!align="right	!align="right
costliest	!align="right	!align="right
shorter	!align="right	!align="right
short	3-0	3-0
shortest	!align="right	!align="right
short	1-1	1-1
shorter	vertices	vertices
shortest	larger	larger
louder	!align="right	!align="right
loud	jonathan	jonathan
loudest	!align="right	!align="right
loud	jonathan	jonathan
louder	!align="right	!align="right
loudest	!align="right	!align="right
nastier	!align="right	!align="right
nasty	jonathan	jonathan
nastiest	!align="right	!align="right
nasty	jonathan	jonathan
nastier	!align="right	!align="right
nastiest	!align="right	!align="right
greater	!align="right	!align="right
great	administrative	administrative
greatest	!align="right	!align="right
great	ever	ever
greater	one	one
greatest	within	within
wiser	!align="right	!align="right
wise	jonathan	jonathan
wisest	!align="right	!align="right
wise	jonathan	jonathan
wiser	!align="right	!align="right
wisest	!align="right	!align="right
closer	!align="right	!align="right
close	asteroids	asteroids
closest	!align="right	!align="right
close	phylogenetic	relatives
closer	phylogenetic	phylogenetic
closest	farther	farther
thicker	thickness	thickness
thick	thinner	thinner
thickest	thickness	thickness
thick	!align="right	!align="right
thicker	!align="right	!align="right
thickest	thinner	thinner
classier	!align="right	!align="right
classy	!align="right	!align="right
classiest	!align="right	!align="right
classy	!align="right	!align="right
classier	!align="right	!align="right
classiest	!align="right	!align="right
simpler	graph	graph
simple	much	much
simplest	graph	graph
simple	algorithms	algorithms
simpler	algorithms	algorithms
simplest	much	much
busier	busiest	busiest
busy	!align="right	!align="right
busiest	busiest	busiest
busy	airports	airports
busier	airports	airports
busiest	!align="right	!align="right
trickier	!align="right	!align="right
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	!align="right	!align="right
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
worse	good	good
bad	worst	worst
worst	good	good
bad	disaster	disaster
worse	disaster	disaster
worst	worst	worst
fatter	fats	fats
fat	!align="right	!align="right
fattest	fats	fats
fat	!align="right	!align="right
fatter	!align="right	!align="right
fattest	!align="right	!align="right
lower	higher	higher
low	upper	upper
lowest	higher	higher
low	highest	highest
lower	highest	highest
lowest	upper	upper
steeper	slopes	slopes
steep	!align="right	!align="right
steepest	slopes	slopes
steep	!align="right	!align="right
steeper	!align="right	!align="right
steepest	!align="right	!align="right
friendlier	substitute	substitute
friendly	!align="right	!align="right
friendliest	substitute	substitute
friendly	!align="right	!align="right
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
smaller	mollusks	mollusks
small	boar	deer
smallest	!align="right	!align="right
small	deer	deer
smaller	smaller	smaller
smallest	!align="right	!align="right
cheaper	cheaper	cheaper
cheap	deer	exotic
cheapest	!align="right	!align="right
cheap	boar	boar
cheaper	thornton	thornton
cheapest	!align="right	!align="right
tighter	quarterback	quarterback
tight	!align="right	!align="right
tightest	!align="right	!align="right
tight	boar	boar
tighter	thornton	thornton
tightest	!align="right	!align="right
happier	we're	we're
happy	!align="right	!align="right
happiest	!align="right	!align="right
happy	boar	boar
happier	thornton	thornton
happiest	!align="right	!align="right
harsher	brutal	brutal
harsh	!align="right	!align="right
harshest	!align="right	!align="right
harsh	boar	boar
harsher	thornton	thornton
harshest	!align="right	!align="right
higher	!align="right	!align="right
high	low	compared
highest	!align="right	!align="right
high	peak	peak
higher	peak	peak
highest	low	low
prettier	!align="right	!align="right
