rougher	terrain	terrain
saddest	!	!
better	better	better
good	good	good
best	...	...
good	nominated	nominated
better	nominated	nominated
best	skyscraper	good
stronger	stronger	stronger
strong	weaker	strong
strongest	strongest	strongest
strong	shrub	hurricane
stronger	weaker	weaker
strongest	skyscraper	strong
lighter	ultraviolet	incandescent
light	heavier	heavier
lightest	wavelengths	wavelengths
light	!	!
lighter	!	!
lightest	heavier	upperparts
wilder	deer	herds
wild	low-budget	low-budget
wildest	deer	deer
wild	!	!
wilder	!	!
wildest	directorial	directorial
prettier	ugly	much
pretty	!	!
prettiest	stuff	stuff
pretty	!	!
prettier	!	!
prettiest	!	!
heavier	heavier	heavier
heavy	heaviest	heaviest
heaviest	heaviest	heaviest
heavy	heavier	heavier
heavier	heavier	heavier
heaviest	heaviest	heaviest
deeper	deeper	deeper
deep	deep	deep
deepest	deepest	deepest
deep	deep	deep
deeper	deep	deeper
deepest	deep	depth
newer	york	york
new	sheets	sheets
newest	!	!
new	thick	thick
newer	thicker	thicker
newest	!	!
bloodier	than	brutal
bloody	!	!
bloodiest	!	!
bloody	thick	thick
bloodier	thicker	thicker
bloodiest	!	!
prettier	much	much
pretty	!	!
prettiest	!	!
pretty	thick	thick
prettier	thicker	thicker
prettiest	!	!
softer	softer	softer
soft	soft	soft
softest	!	!
soft	thick	thick
softer	thicker	thicker
softest	!	!
taller	taller	taller
tall	tall	tall
tallest	!	!
tall	skyscraper	tall
taller	taller	taller
tallest	!	!
newer	!	!
new	compatibility	compatibility
newest	!	!
new	startup	startup
newer	state-of-the-art	state-of-the-art
newest	compatible	compatible
weaker	!	!
weak	stronger	softer
weakest	!	!
weak	slant	slant
weaker	catchers	catchers
weakest	stronger	stronger
longer	!	!
long	shorter	shorter
longest	!	!
long	shortest	shortest
longer	span	span
longest	shorter	shorter
smarter	!	!
smart	fat	fat
smartest	!	!
smart	fat	fat
smarter	!	!
smartest	!	!
riskier	!	!
risky	fat	fat
riskiest	!	!
risky	fat	fat
riskier	!	!
riskiest	!	!
thicker	thin	thin
thick	businessman	businessman
thickest	thin	thin
thick	!	!
thicker	!	!
thickest	thinner	thinner
bloodier	ensued	riots
bloody	!	!
bloodiest	ensued	ensued
bloody	!	!
bloodier	!	!
bloodiest	!	!
happier	'm	'm
happy	businessman	businessman
happiest	're	're
happy	!	!
happier	!	!
happiest	richest	remorse
sharper	blunt	blunt
sharp	businessman	philanthropist
sharpest	knife	knife
sharp	!	!
sharper	!	!
sharpest	billionaire	billionaire
stronger	stronger	stronger
strong	businessman	financier
strongest	strongest	strongest
strong	winds	winds
stronger	strong	strong
strongest	weaker	weaker
classier	!	!
classy	!	!
classiest	!	!
classy	!	!
classier	!	!
classiest	!	!
lighter	ultraviolet	ultraviolet
light	heavier	smaller
lightest	ultraviolet	ultraviolet
light	!	!
lighter	!	!
lightest	heavier	heavier
gentler	calm	disposition
gentle	!	!
gentlest	cheerful	disposition
gentle	!	!
gentler	!	!
gentlest	!	!
narrower	rounded	rounded
narrow	longer	longer
narrowest	broad	broad
narrow	!	!
narrower	!	!
narrowest	wider	wider
livelier	vibrant	vibrant
lively	!	!
liveliest	vibrant	vividly
lively	!	!
livelier	!	!
liveliest	!	!
savvier	!	!
savvy	intelligent	intelligent
savviest	!	!
savvy	intelligent	intelligent
savvier	!	!
savviest	!	!
livelier	!	!
lively	intelligent	intelligent
liveliest	!	!
lively	intelligent	intelligent
livelier	!	!
liveliest	!	!
harder	!	!
hard	softer	softer
hardest	!	!
hard	courageous	courageous
harder	ive	ive
hardest	softer	softer
taller	!	!
tall	tall	tall
tallest	!	!
tall	skyscraper	skyscraper
taller	skyscraper	skyscraper
tallest	height	height
freer	!	!
free	thoughtful	thoughtful
freest	!	!
free	intelligent	intelligent
freer	!	!
freest	guggenheim	guggenheim
sadder	!	!
sad	high-risk	high-risk
saddest	!	!
sad	high-risk	high-risk
sadder	!	!
saddest	!	!
rougher	!	!
rough	high-risk	high-risk
roughest	!	!
rough	high-risk	high-risk
rougher	!	!
roughest	!	!
steeper	!	!
steep	high-risk	high-risk
steepest	!	!
steep	high-risk	high-risk
steeper	!	!
steepest	!	!
smarter	!	!
smart	high-risk	high-risk
smartest	!	!
smart	high-risk	high-risk
smarter	!	!
smartest	!	!
cleaner	!	!
clean	safer	safer
cleanest	!	!
clean	high-risk	high-risk
cleaner	!	!
cleanest	quieter	quieter
lighter	!	!
light	consulting	firms
lightest	!	!
light	consulting	consulting
lighter	!	!
lightest	heavier	heavier
classier	!	!
classy	consulting	consulting
classiest	!	!
classy	consulting	consulting
classier	!	!
classiest	!	!
poorer	!	!
poor	consulting	llp
poorest	!	!
poor	llp	llp
poorer	impoverished	impoverished
poorest	wealthier	wealthier
slower	!	!
slow	faster	firms
slowest	!	!
slow	consulting	llp
slower	fastest	fastest
slowest	faster	faster
faster	!	!
fastest	slower	slower
fast	!	!
fastest	consulting	llp
faster	slow	slow
fast	slower	slower
classier	!	!
classy	!	!
classiest	!	!
classy	whorls	whorls
classier	quieter	quieter
classiest	!	!
simpler	simpler	simpler
simple	convex	shell
simplest	!	!
simple	convex	convex
simpler	simpler	simpler
simplest	!	!
meaner	much	shallower
mean	!	!
meanest	!	!
mean	whorls	whorls
meaner	quieter	quieter
meanest	!	!
mightier	faster	shallower
mighty	!	!
mightiest	!	!
mighty	whorls	whorls
mightier	quieter	quieter
mightiest	!	!
cleaner	faster	faster
clean	whorls	whorls
cleanest	!	!
clean	whorls	whorls
cleaner	quieter	quieter
cleanest	!	!
louder	!	!
loud	energetic	forceful
loudest	!	!
loud	italics	italics
louder	!	!
loudest	quieter	loud
newer	!	!
new	typefaces	typefaces
newest	!	!
new	typeface	typeface
newer	state-of-the-art	state-of-the-art
newest	compatible	compatible
cooler	!	!
cool	warmer	warmer
coolest	!	!
cool	warmest	freezing
cooler	warmest	warmest
coolest	warmer	warmer
narrower	!	!
narrow	typeface	typeface
narrowest	!	!
narrow	italics	italics
narrower	!	!
narrowest	wider	wider
busier	!	!
busy	italics	italics
busiest	!	!
busy	airports	destinations
busier	airports	airports
busiest	!	!
gentler	cheerful	cheerful
gentle	!	!
gentlest	!	!
gentle	thin	thin
gentler	thinner	thinner
gentlest	!	!
fancier	than	than
fancy	!	!
fanciest	!	!
fancy	thin	thin
fancier	thinner	thinner
fanciest	!	!
noisier	quieter	quieter
noisy	!	!
noisiest	!	!
noisy	thin	thin
noisier	thinner	thinner
noisiest	!	!
smarter	phones	phones
smart	!	!
smartest	!	!
smart	thin	thin
smarter	thinner	thinner
smartest	!	!
trickier	weaker	weaker
tricky	!	!
trickiest	!	!
tricky	thin	thin
trickier	thinner	thinner
trickiest	!	!
tastier	!	!
tasty	!	!
tastiest	!	!
tasty	something	something
tastier	die	die
tastiest	!	!
easier	easier	easier
easy	easy	easy
easiest	!	!
easy	seemed	seemed
easier	contrived	contrived
easiest	!	!
mightier	ein	ein
mighty	!	!
mightiest	!	!
mighty	something	something
mightier	die	die
mightiest	!	!
fewer	hundred	several
few	than	makes
fewest	!	!
few	single-season	single-season
fewer	tying	tying
fewest	!	!
trickier	dem	dem
tricky	!	!
trickiest	!	!
tricky	something	something
trickier	die	die
trickiest	!	!
thicker	!	!
thick	rugged	rugged
thickest	!	!
thick	slopes	slopes
thicker	!	!
thickest	thinner	thinner
earlier	!	late
early	slope	slope
earliest	!	late
early	slopes	slope
earlier	dating	dating
earliest	though	though
swifter	!	!
swift	slopes	slopes
swiftest	!	!
swift	slopes	slopes
swifter	!	!
swiftest	!	!
bigger	!	!
big	slopes	rugged
biggest	!	!
big	slope	slope
bigger	number-one	number-one
biggest	much	much
deeper	!	!
deep	slopes	deep
deepest	!	!
deep	slope	canyons
deeper	deep	deep
deepest	shallower	shallower
tighter	quarterback	linebacker
tight	tight	tight
tightest	quarterback	quarterback
tight	!	!
tighter	!	!
tightest	restrictions	restrictions
wider	10cm	10cm
wide	broader	broader
widest	width	width
wide	wide	wide
wider	wide	wider
widest	broader	width
prettier	really	thats
pretty	!	!
prettiest	really	thing
pretty	!	!
prettier	!	!
prettiest	!	!
older	norse	germanic
old	65	65
oldest	norse	norse
old	dating	dating
older	dating	dating
oldest	65	65
wiser	brave	brave
wise	!	!
wisest	eloquent	albedo
wise	!	!
wiser	!	!
wisest	!	!
milder	!	!
mild	warmer	warmer
mildest	essendon	essendon
mild	!	!
milder	!	!
mildest	vfa	vfa
prettier	!	!
pretty	fairs	fairs
prettiest	premierships	premierships
pretty	!	!
prettier	!	!
prettiest	kilda	kilda
narrower	!	!
narrow	wider	longer
narrowest	kilda	premierships
narrow	!	!
narrower	!	!
narrowest	vfa	vfa
stiffer	!	!
stiff	fairs	fairs
stiffest	kilda	essendon
stiff	!	!
stiffer	!	!
stiffest	kilda	kilda
older	!	!
old	65	65
oldest	sanfl	premierships
old	largest	largest
older	!	!
oldest	65	65
steadier	!	!
steady	smooth	smooth
steadiest	!	!
steady	smooth	smooth
steadier	!	!
steadiest	!	!
fairer	!	!
fair	smooth	smooth
fairest	!	!
fair	sanfl	sanfl
fairer	kilda	kilda
fairest	!	!
smarter	!	!
smart	smooth	smooth
smartest	!	!
smart	smooth	smooth
smarter	!	!
smartest	!	!
sharper	!	!
sharp	softer	softer
sharpest	!	!
sharp	smooth	smooth
sharper	!	!
sharpest	brighter	brighter
deeper	!	!
deep	deep	deep
deepest	!	!
deep	deep	deep
deeper	deep	deep
deepest	shallower	shallower
bloodier	!	!
bloody	traffic	traffic
bloodiest	violent	violent
bloody	!	!
bloodier	!	!
bloodiest	airports	airports
quicker	!	!
quick	slower	slower
quickest	rapid	rapid
quick	montoya	montoya
quicker	!	!
quickest	slower	slower
narrower	!	!
narrow	wider	wider
narrowest	long	long
narrow	!	!
narrower	!	!
narrowest	airports	expressways
savvier	!	!
savvy	traffic	traffic
savviest	!	!
savvy	!	!
savvier	!	!
savviest	airports	airports
stronger	!	!
strong	weaker	weaker
strongest	strongest	strongest
strong	winds	winds
stronger	!	!
strongest	weaker	weaker
better	better	better
good	yellow	just
best	constellation	things
good	nominated	nominations
better	nominated	nominated
best	good	good
slicker	much	quicker
slick	!	!
slickest	galaxies	mojo
slick	!	!
slicker	!	!
slickest	!	!
friendlier	friendlies	friendlies
friendly	!	!
friendliest	friendlies	u-17
friendly	!	!
friendlier	!	!
friendliest	!	!
bigger	bigger	bigger
big	pink	pink
biggest	galaxy	cornhuskers
big	green	green
bigger	much	much
biggest	galaxies	galaxies
stronger	stronger	stronger
strong	yellow	yellow
strongest	galaxies	galaxies
strong	yellow	pink
stronger	weaker	weaker
strongest	weak	weak
milder	!	!
mild	winters	winters
mildest	!	!
mild	pimp	pimp
milder	!	!
mildest	warmer	warmer
faster	!	!
fastest	slower	slower
fast	!	!
fastest	slow	slow
faster	slow	slow
fast	slower	slower
busier	!	!
busy	pimp	pimp
busiest	!	!
busy	airports	airports
busier	airports	airports
busiest	!	!
luckier	!	!
lucky	pimp	pimp
luckiest	!	!
lucky	pimp	pimp
luckier	!	!
luckiest	!	!
wiser	!	!
wise	pimp	pimp
wisest	!	!
wise	pimp	pimp
wiser	!	!
wisest	!	!
lighter	!	!
light	heavier	heavier
lightest	!	!
light	dresses	dresses
lighter	!	!
lightest	heavier	heavier
healthier	!	!
healthy	meals	meals
healthiest	!	!
healthy	dresses	dresses
healthier	!	!
healthiest	healthy	healthy
costlier	!	!
costly	dresses	dresses
costliest	!	!
costly	dresses	dresses
costlier	!	!
costliest	!	!
meaner	!	!
mean	dresses	dresses
meanest	!	!
mean	dresses	dresses
meaner	!	!
meanest	!	!
older	!	!
old	65	65
oldest	!	!
old	earliest	earliest
older	dating	dating
oldest	65	65
louder	!	!
loud	shades	bright
loudest	!	!
loud	yellow	yellow
louder	!	!
loudest	quieter	loud
tougher	!	!
tough	yellow	maroon
toughest	!	!
tough	yellow	yellow
tougher	greatest	greatest
toughest	stronger	stronger
darker	!	!
dark	colour	colour
darkest	!	!
dark	purple	purple
darker	shadows	shadows
darkest	paler	paler
easier	!	!
easy	yellow	colour
easiest	!	!
easy	yellow	yellow
easier	easy	easy
easiest	easy	easy
trickier	!	!
tricky	yellow	yellow
trickiest	!	!
tricky	yellow	yellow
trickier	!	!
trickiest	!	!
larger	!	!
large	smaller	smaller
largest	small	small
large	second-largest	kind
larger	!	!
largest	smaller	smaller
tastier	!	!
tasty	amusing	hilarious
tastiest	!	!
tasty	!	!
tastier	!	!
tastiest	stand-up	stand-up
healthier	!	healthier
healthy	entertaining	entertaining
healthiest	healthier	healthier
healthy	!	!
healthier	!	!
healthiest	healthy	healthy
faster	!	!
fastest	slower	slower
fast	vettel	vettel
fastest	slow	very
faster	!	!
fast	slower	slower
noisier	!	!
noisy	amusing	hilarious
noisiest	cheering	cheering
noisy	!	!
noisier	!	!
noisiest	stand-up	stand-up
smaller	large	smaller
small	larger	larger
smallest	!	!
small	diets	diets
smaller	smaller	smaller
smallest	!	!
fuller	much	much
full	brooks	brooks
fullest	!	!
full	diets	diets
fuller	motivate	nurture
fullest	!	!
younger	girl	younger
young	brother	brother
youngest	!	!
young	siblings	siblings
younger	healthy	healthy
youngest	!	!
smarter	phones	phones
smart	!	!
smartest	!	!
smart	healthier	healthier
smarter	healthy	healthy
smartest	!	!
deeper	deeper	deeper
deep	deep	deep
deepest	!	!
deep	deep	healthier
deeper	deep	deep
deepest	!	!
classier	!	!
classy	temperature	temperature
classiest	!	!
classy	temperature	temperature
classier	!	!
classiest	!	!
stickier	!	!
sticky	temperature	temperature
stickiest	!	!
sticky	temperature	temperature
stickier	!	!
stickiest	!	!
happier	!	!
happy	error	error
happiest	!	!
happy	temperature	temperature
happier	!	!
happiest	healthier	healthier
poorer	!	!
poor	decrease	decrease
poorest	!	!
poor	lowest	lowest
poorer	impoverished	impoverished
poorest	wealthier	wealthier
softer	!	!
soft	than	interval
softest	!	!
soft	temperature	temperature
softer	!	!
softest	harder	harder
higher	!	school
high	low	increases
highest	!	school
high	second-highest	second-highest
higher	second-highest	second-highest
highest	low	low
thinner	!	thick
thin	thicker	thicker
thinnest	!	thick
thin	marseille	marseille
thinner	!	!
thinnest	thicker	thicker
fairer	!	!
fair	marseille	marseille
fairest	!	!
fair	kilda	premierships
fairer	kilda	kilda
fairest	!	!
mightier	!	!
mighty	marseille	marseille
mightiest	!	!
mighty	marseille	marseille
mightier	!	!
mightiest	!	!
noisier	!	!
noisy	marseille	marseille
noisiest	!	!
noisy	marseille	marseille
noisier	!	!
noisiest	!	!
kinder	something	something
kind	die	ich
kindest	!	!
kind	winters	winters
kinder	warmer	warmer
kindest	!	!
easier	easier	easier
easy	easy	easy
easiest	!	!
easy	summers	summers
easier	warmer	warmer
easiest	!	!
busier	congested	congested
busy	!	!
busiest	!	!
busy	summers	summers
busier	warmer	warmer
busiest	!	!
trickier	diddy	diddy
tricky	!	!
trickiest	!	!
tricky	winters	winters
trickier	warmer	warmer
trickiest	!	!
riskier	high-risk	volatility
risky	!	!
riskiest	!	!
risky	winters	winters
riskier	warmer	warmer
riskiest	!	!
rougher	!	!
rough	stuff	stuff
roughest	!	!
rough	stuff	stuff
rougher	!	!
roughest	!	!
friendlier	!	friendlies
friendly	stuff	stuff
friendliest	!	friendlies
friendly	stuff	stuff
friendlier	!	!
friendliest	!	!
shorter	!	!
short	longer	longer
shortest	!	!
short	incredibly	incredibly
shorter	longest	longest
shortest	longer	longer
faster	!	quickest
fastest	slower	slower
fast	!	quickest
fastest	slow	slow
faster	slow	slow
fast	slower	slower
fewer	!	hundred
few	than	than
fewest	!	hundred
few	single-season	single-season
fewer	single-season	single-season
fewest	than	than
stickier	!	!
sticky	witty	witty
stickiest	!	!
sticky	witty	witty
stickier	!	!
stickiest	!	!
messier	!	!
messy	witty	witty
messiest	!	!
messy	witty	witty
messier	!	!
messiest	!	!
leaner	!	!
lean	witty	witty
leanest	!	!
lean	witty	witty
leaner	!	!
leanest	!	!
closer	!	!
close	charming	charming
closest	!	!
close	vibrant	intimate
closer	relatives	relatives
closest	stronger	stronger
trickier	!	!
tricky	witty	witty
trickiest	!	!
tricky	witty	witty
trickier	!	!
trickiest	!	!
thinner	!	thick
thin	thicker	thicker
thinnest	!	thick
thin	novi	novi
thinner	!	!
thinnest	thicker	thicker
nicer	!	!
nice	novi	novi
nicest	!	!
nice	novi	novi
nicer	!	!
nicest	!	!
savvier	!	!
savvy	novi	novi
savviest	!	!
savvy	novi	novi
savvier	!	!
savviest	!	!
smarter	!	!
smart	novi	novi
smartest	!	!
smart	novi	novi
smarter	!	!
smartest	!	!
fewer	!	!
few	than	than
fewest	!	!
few	single-season	understands
fewer	single-season	single-season
fewest	than	than
simpler	!	!
simple	cumbersome	cumbersome
simplest	!	!
simple	algorithms	algorithms
simpler	first-order	first-order
simplest	easier	easier
fancier	!	!
fancy	loud	loud
fanciest	!	!
fancy	loud	loud
fancier	!	!
fanciest	!	!
greater	!	!
great	lesser	lesser
greatest	!	!
great	regarded	regarded
greater	regarded	regarded
greatest	within	within
luckier	!	!
lucky	loud	loud
luckiest	!	!
lucky	loud	loud
luckier	!	!
luckiest	!	!
deeper	!	!
deep	shallower	quieter
deepest	!	!
deep	deep	deep
deeper	deep	deep
deepest	shallower	shallower
richer	!	!
rich	mellow	mellow
richest	!	!
rich	wealthiest	wealthiest
richer	wealthiest	wealthiest
richest	poorer	poorer
louder	!	!
loud	mellow	mellow
loudest	!	!
loud	diddy	diddy
louder	!	!
loudest	quieter	loud
rougher	!	!
rough	diddy	diddy
roughest	!	!
rough	diddy	diddy
rougher	!	!
roughest	!	!
slower	!	!
slow	faster	faster
slowest	!	!
slow	slower	slower
slower	fastest	fastest
slowest	faster	faster
nastier	!	!
nasty	diddy	diddy
nastiest	!	!
nasty	diddy	diddy
nastier	!	!
nastiest	!	!
slimmer	!	!
slim	dirty	dirty
slimmest	!	!
slim	dirty	dirty
slimmer	!	!
slimmest	!	!
smoother	!	!
smooth	quieter	softer
smoothest	!	!
smooth	dirty	dirty
smoother	!	!
smoothest	quieter	quieter
meaner	!	!
mean	dirty	dirty
meanest	!	!
mean	dirty	dirty
meaner	!	!
meanest	!	!
longer	!	!
long	shorter	shorter
longest	!	!
long	span	span
longer	span	span
longest	shorter	shorter
shorter	!	!
short	longer	longer
shortest	!	!
short	longest	longest
shorter	longest	longest
shortest	longer	longer
wider	!	!
wide	broader	broader
widest	!	!
wide	gradual	fairly
wider	width	width
widest	narrower	broader
fairer	!	!
fair	slow	slow
fairest	!	!
fair	sanfl	sanfl
fairer	kilda	kilda
fairest	!	!
smarter	!	!
smart	slow	slow
smartest	!	!
smart	slow	slow
smarter	!	!
smartest	!	!
deeper	!	!
deep	deep	slow
deepest	!	!
deep	deep	deep
deeper	deep	deep
deepest	shallower	shallower
luckier	!	!
lucky	slow	slow
luckiest	!	!
lucky	slow	slow
luckier	!	!
luckiest	!	!
earlier	late	late
early	date	date
earliest	late	late
early	dating	dating
earlier	dating	dating
earliest	though	though
pricier	!	!
pricey	loser	loser
priciest	!	!
pricey	loser	loser
pricier	!	!
priciest	!	!
wider	!	long
wide	narrower	narrower
widest	!	long
wide	1km	12km
wider	width	width
widest	narrower	broader
lower	!	higher
low	upper	upper
lowest	!	higher
low	percentage	averages
lower	highest	highest
lowest	upper	upper
steeper	slopes	slopes
steep	loser	loser
steepest	slopes	slopes
steep	loser	loser
steeper	!	!
steepest	!	!
wealthier	!	!
wealthy	expensive	expensive
wealthiest	!	!
wealthy	richest	expensive
wealthier	richest	richest
wealthiest	affluent	affluent
richer	!	!
rich	expensive	expensive
richest	!	!
rich	wealthiest	wealthiest
richer	wealthiest	wealthiest
richest	poorer	poorer
faster	!	!
fastest	slower	slower
fast	!	!
fastest	slow	expensive
faster	slow	slow
fast	slower	slower
taller	!	!
tall	expensive	expensive
tallest	!	!
tall	skyscraper	skyscraper
taller	skyscraper	skyscraper
tallest	height	height
luckier	!	!
lucky	expensive	expensive
luckiest	!	!
lucky	expensive	expensive
luckier	!	!
luckiest	!	!
wider	width	wider
wide	broad	broad
widest	!	!
wide	noises	noises
wider	wider	narrower
widest	!	!
slower	slower	slower
slow	faster	slow
slowest	!	!
slow	noises	noises
slower	slower	slower
slowest	!	!
friendlier	friendlies	friendlies
friendly	!	!
friendliest	!	!
friendly	noises	noises
friendlier	quieter	loud
friendliest	!	!
easier	easier	easier
easy	easy	easy
easiest	!	!
easy	noises	noises
easier	softer	softer
easiest	!	!
colder	warmer	warmer
cold	cold	cold
coldest	cool	cool
cold	warmest	temperatures
colder	warmest	warmer
coldest	!	cool
lower	!	!
low	upper	upper
lowest	!	!
low	calories	calories
lower	highest	highest
lowest	upper	upper
darker	!	!
dark	paler	paler
darkest	!	!
dark	calories	calories
darker	shadows	shadows
darkest	paler	paler
safer	!	!
safe	calories	calories
safest	!	!
safe	carbohydrates	carbohydrates
safer	ukip	ukip
safest	quieter	quieter
faster	!	!
fastest	slower	slower
fast	!	!
fastest	slow	slow
faster	slow	slow
fast	slower	slower
fresher	!	!
fresh	fats	fats
freshest	!	!
fresh	fats	fats
fresher	!	!
freshest	!	!
thinner	!	!
thin	thicker	thicker
thinnest	!	!
thin	dried	dried
thinner	!	!
thinnest	thicker	thicker
simpler	!	!
simple	dried	meats
simplest	!	!
simple	dried	dried
simpler	first-order	first-order
simplest	easier	easier
firmer	!	!
firm	dried	dried
firmest	!	!
firm	dried	dried
firmer	!	!
firmest	!	!
gentler	!	!
gentle	dried	dried
gentlest	!	!
gentle	dried	dried
gentler	!	!
gentlest	!	!
livelier	!	!
lively	dried	dried
liveliest	!	!
lively	dried	dried
livelier	!	!
liveliest	!	!
greener	yellow	yellow
green	!	!
greenest	yellow	yellow
green	!	!
greener	!	!
greenest	!	!
cheaper	inexpensive	inexpensive
cheap	expensive	expensive
cheapest	inexpensive	inexpensive
cheap	expensive	expensive
cheaper	expensive	expensive
cheapest	expensive	expensive
stickier	adhesive	adhesive
sticky	!	!
stickiest	adhesive	adhesive
sticky	!	!
stickier	!	!
stickiest	!	!
fatter	fats	fats
fat	!	!
fattest	fats	fats
fat	!	!
fatter	!	!
fattest	!	!
harder	rock	rock
hard	softer	softer
hardest	rock	rock
hard	ive	ive
harder	ive	ive
hardest	softer	softer
milder	winters	winters
mild	warmer	warmer
mildest	winters	winters
mild	!	!
milder	!	!
mildest	warmer	warmer
thinner	thick	thick
thin	thicker	thicker
thinnest	thick	thick
thin	!	!
thinner	!	!
thinnest	thicker	thicker
poorer	impoverished	impoverished
poor	wealthier	wealthier
poorest	impoverished	impoverished
poor	impoverished	impoverished
poorer	impoverished	impoverished
poorest	wealthier	wealthier
lower	higher	higher
low	upper	upper
lowest	higher	higher
low	highest	highest
lower	highest	highest
lowest	upper	upper
quicker	fast	fast
quick	faster	faster
quickest	fast	fast
quick	hkkinen	hkkinen
quicker	hkkinen	hkkinen
quickest	faster	faster
newer	!	!
new	u20	u21
newest	!	!
new	u20	u20
newer	state-of-the-art	state-of-the-art
newest	compatible	compatible
tougher	!	!
tough	friendlies	friendlies
toughest	!	!
tough	friendlies	friendlies
tougher	greatest	greatest
toughest	stronger	stronger
quicker	!	!
quick	slower	slower
quickest	!	!
quick	lap	montoya
quicker	hkkinen	hkkinen
quickest	faster	faster
costlier	!	!
costly	friendlies	friendlies
costliest	!	!
costly	friendlies	friendlies
costlier	!	!
costliest	!	!
shorter	!	!
short	longer	longer
shortest	!	!
short	u21	u21
shorter	longest	longest
shortest	longer	longer
louder	!	!
loud	softer	softer
loudest	!	!
loud	rihanna	rihanna
louder	!	!
loudest	quieter	loud
nastier	!	!
nasty	rihanna	rihanna
nastiest	!	!
nasty	rihanna	rihanna
nastier	!	!
nastiest	!	!
greater	!	!
great	lesser	lesser
greatest	!	!
great	regarded	regarded
greater	regarded	regarded
greatest	within	within
wiser	!	!
wise	rihanna	rihanna
wisest	!	!
wise	rihanna	rihanna
wiser	!	!
wisest	!	!
closer	!	!
close	farther	aguilera
closest	!	!
close	timberlake	timberlake
closer	relatives	relatives
closest	stronger	stronger
thicker	thin	thin
thick	thinner	thinner
thickest	thin	thin
thick	!	!
thicker	!	!
thickest	thinner	thinner
classier	!	!
classy	!	!
classiest	!	!
classy	!	!
classier	!	!
classiest	!	!
simpler	similar	similar
simple	easier	easier
simplest	similar	similar
simple	first-order	first-order
simpler	first-order	first-order
simplest	easier	easier
busier	traffic	traffic
busy	!	!
busiest	traffic	traffic
busy	airports	airports
busier	airports	airports
busiest	!	!
trickier	diddy	diddy
tricky	!	!
trickiest	diddy	diddy
tricky	!	!
trickier	!	!
trickiest	!	!
worse	good	good
bad	better	better
worst	good	good
bad	catastrophic	catastrophic
worse	catastrophic	catastrophic
worst	better	better
fatter	fats	fats
fat	!	!
fattest	fats	fats
fat	!	!
fatter	!	!
fattest	!	!
lower	higher	higher
low	upper	upper
lowest	higher	higher
low	highest	highest
lower	highest	highest
lowest	upper	upper
steeper	slopes	slopes
steep	!	!
steepest	slopes	slopes
steep	!	!
steeper	!	!
steepest	!	!
friendlier	friendlies	friendlies
friendly	!	!
friendliest	friendlies	friendlies
friendly	!	!
friendlier	!	!
friendliest	!	!
smaller	large	large
small	larger	larger
smallest	!	!
small	domesticated	domesticated
smaller	kubrick	kubrick
smallest	!	!
cheaper	inexpensive	inexpensive
cheap	deer	deer
cheapest	!	!
cheap	domesticated	domesticated
cheaper	kubrick	kubrick
cheapest	!	!
tighter	receiver	receiver
tight	deer	deer
tightest	!	!
tight	deer	deer
tighter	screenplay	screenplay
tightest	!	!
happier	loved	loved
happy	deer	feral
happiest	!	!
happy	deer	deer
happier	screenplay	screenplay
happiest	!	!
harsher	punishment	punishment
harsh	!	!
harshest	!	!
harsh	deer	deer
harsher	screenplay	screenplay
harshest	!	!
higher	!	!
high	low	low
highest	!	!
high	second-highest	second-highest
higher	second-highest	second-highest
highest	low	low
prettier	!	!
pretty	enjoyable	enjoyable
prettiest	!	!
pretty	enjoyable	enjoyable
prettier	!	!
prettiest	!	!
smoother	!	!
smooth	softer	softer
smoothest	!	!
smooth	enjoyable	enjoyable
smoother	!	!
smoothest	quieter	quieter
fresher	!	!
fresh	enjoyable	enjoyable
freshest	!	!
fresh	enjoyable	enjoyable
fresher	!	!
freshest	!	!
faster	!	!
fastest	slower	slower
fast	!	!
fastest	slow	slow
faster	slow	slow
fast	slower	slower
worse	good	good
bad	better	better
worst	good	good
bad	catastrophic	catastrophic
worse	catastrophic	catastrophic
worst	better	better
higher	school	school
high	low	low
highest	school	school
high	second-highest	second-highest
higher	second-highest	second-highest
highest	low	low
costlier	expensive	expensive
costly	!	!
costliest	expensive	expensive
costly	!	!
costlier	!	!
costliest	!	!
firmer	consulting	consulting
firm	!	!
firmest	consulting	consulting
firm	!	!
firmer	!	!
firmest	!	!
steeper	slopes	slopes
steep	!	!
steepest	slopes	slopes
steep	!	!
steeper	!	!
steepest	!	!
greener	!	!
green	phones	phones
greenest	!	!
green	phones	phones
greener	!	!
greenest	!	!
smaller	!	!
small	larger	larger
smallest	!	!
small	phones	phones
smaller	smaller	smaller
smallest	larger	larger
narrower	!	!
narrow	phones	phones
narrowest	!	!
narrow	phones	phones
narrower	!	!
narrowest	wider	wider
cleaner	!	!
clean	phones	phones
cleanest	!	!
clean	phones	phones
cleaner	!	!
cleanest	quieter	quieter
riskier	!	!
risky	phones	phones
riskiest	!	!
risky	phones	phones
riskier	!	!
riskiest	!	!
newer	!	york
new	compatible	compatible
newest	!	york
new	thor	thor
newer	state-of-the-art	state-of-the-art
newest	compatible	compatible
wilder	!	!
wild	kubrick	kubrick
wildest	!	!
wild	blackhawks	blackhawks
wilder	!	!
wildest	screenplay	screenplay
narrower	!	!
narrow	wider	wider
narrowest	!	!
narrow	blackhawks	blackhawks
narrower	!	!
narrowest	wider	wider
safer	!	!
