rougher	softer	softer
meaner	deviation	asymptotic
mean	!	!
meanest	!	!
mean	available	available
meaner	cubism	cubism
meanest	!	!
older	cognate	cognate
old	alone	alone
oldest	!	!
old	earliest	earliest
older	extant	extant
oldest	someone	someone
deeper	deeper	deeper
deep	depths	deep
deepest	!	!
deep	deep	deep
deeper	deeper	deeper
deepest	!	!
tastier	delicious	delicious
tasty	!	!
tastiest	delicious	delicious
tasty	!	!
tastier	!	!
tastiest	!	!
weaker	weaker	weaker
weak	weak	weak
weakest	feeble	feeble
weak	herb	herb
weaker	flatter	flatter
weakest	weak	weak
sadder	novi	novi
sad	!	!
saddest	novi	novi
sad	!	!
sadder	!	!
saddest	!	!
better	better	better
good	good	good
best	bad	bad
good	nominated	nominated
better	nominated	nominated
best	nothing	nothing
stronger	stronger	stronger
strong	strong	weak
strongest	strongest	strongest
strong	hurricane	hurricane
stronger	stronger	stronger
strongest	steel	steel
lighter	wavelengths	wavelengths
light	heavier	dark
lightest	wavelengths	wavelengths
light	weighing	lighter
lighter	lighter	lighter
lightest	heavier	heavier
wilder	feral	feral
wild	stuff	stuff
wildest	leopards	leopards
wild	!	!
wilder	!	!
wildest	scorsese	scorsese
prettier	cute	delightful
pretty	!	!
prettiest	stuff	stuff
pretty	!	!
prettier	!	!
prettiest	!	!
heavier	heavier	heavier
heavy	lighter	heavy
heaviest	heaviest	heaviest
heavy	lightest	lightest
heavier	heavier	heavier
heaviest	heaviest	heaviest
deeper	deeper	deeper
deep	deep	deep
deepest	deepest	deepest
deep	deep	deep
deeper	deeper	deeper
deepest	depths	depths
newer	york	york
new	operating	operating
newest	!	!
new	thick	thick
newer	thicker	thicker
newest	!	!
bloodier	ensued	ensued
bloody	!	!
bloodiest	!	!
bloody	thick	thick
bloodier	thicker	thicker
bloodiest	!	!
prettier	much	much
pretty	!	!
prettiest	!	!
pretty	thick	thick
prettier	thicker	thicker
prettiest	!	!
softer	softer	softer
soft	soft	soft
softest	!	!
soft	thick	thick
softer	thicker	thicker
softest	!	!
taller	taller	taller
tall	tall	tall
tallest	!	!
tall	thick	thick
taller	taller	taller
tallest	!	!
newer	!	!
new	heavier	heavier
newest	!	!
new	fraternities	fraternities
newer	campus	campus
newest	superseded	superseded
weaker	!	!
weak	stronger	stronger
weakest	!	!
weak	leaning	leaning
weaker	contestant	contestant
weakest	stronger	stronger
longer	!	!
long	shorter	shorter
longest	!	!
long	shortest	spanning
longer	span	span
longest	shorter	shorter
smarter	!	!
smart	agile	agile
smartest	!	!
smart	leaning	leaning
smarter	!	!
smartest	than	than
riskier	!	!
risky	leaning	leaning
riskiest	!	!
risky	leaning	leaning
riskier	!	!
riskiest	!	!
thicker	thin	thin
thick	thinner	businessman
thickest	thin	thin
thick	!	!
thicker	!	!
thickest	thinner	thinner
bloodier	ensued	riots
bloody	!	!
bloodiest	ensued	ensued
bloody	!	!
bloodier	!	!
bloodiest	!	!
happier	're	everybody
happy	businessman	businessman
happiest	're	're
happy	miserable	miserable
happier	joyous	joyous
happiest	richest	richest
sharper	serrated	blunt
sharp	businessman	businessman
sharpest	serrated	serrated
sharp	!	!
sharper	!	!
sharpest	forbes	forbes
stronger	stronger	stronger
strong	self-made	self-made
strongest	strongest	strongest
strong	hurricane	hurricane
stronger	hurricane	hurricane
strongest	weaker	forbes
classier	dreamy	dreamy
classy	!	!
classiest	stylish	endeavors
classy	!	!
classier	!	!
classiest	!	!
lighter	ultraviolet	ultraviolet
light	heavier	heavier
lightest	ultraviolet	ultraviolet
light	weight	weight
lighter	heavier	lighter
lightest	heavier	heavier
gentler	dreamy	dreamy
gentle	!	!
gentlest	cheerful	loving
gentle	!	!
gentler	!	!
gentlest	!	!
narrower	narrower	narrower
narrow	wider	broad
narrowest	broad	broad
narrow	length	length
narrower	phillips	phillips
narrowest	wider	broad
livelier	thoughtful	thoughtful
lively	!	!
liveliest	energetic	energetic
lively	!	!
livelier	!	!
liveliest	!	!
savvier	!	!
savvy	neowise	neowise
savviest	!	!
savvy	neowise	neowise
savvier	!	!
savviest	!	!
livelier	!	!
lively	neowise	neowise
liveliest	!	!
lively	neowise	neowise
livelier	!	!
liveliest	!	!
harder	!	!
hard	softer	softer
hardest	!	!
hard	thoughtful	thoughtful
harder	toughest	toughest
hardest	easier	easier
taller	!	!
tall	tall	tall
tallest	!	!
tall	skyscraper	skyscraper
taller	skyscraper	skyscraper
tallest	tall	tall
freer	!	!
free	compassionate	compassionate
freest	!	!
free	neowise	neowise
freer	!	!
freest	cubism	cubism
sadder	!	!
sad	subprime	subprime
saddest	!	!
sad	subprime	subprime
sadder	!	!
saddest	!	!
rougher	!	!
rough	subprime	subprime
roughest	!	!
rough	subprime	subprime
rougher	!	!
roughest	!	!
steeper	!	!
steep	steep	steep
steepest	!	!
steep	subprime	subprime
steeper	!	!
steepest	steep	steep
smarter	!	!
smart	safer	safer
smartest	!	!
smart	subprime	subprime
smarter	!	!
smartest	than	than
cleaner	!	!
clean	safer	safer
cleanest	!	!
clean	subprime	subprime
cleaner	!	!
cleanest	cleaners	cleaners
lighter	!	!
light	consulting	llp
lightest	!	!
light	llp	llp
lighter	heaviest	heaviest
lightest	heavier	heavier
classier	!	!
classy	consulting	consulting
classiest	!	!
classy	consulting	consulting
classier	!	!
classiest	!	!
poorer	!	!
poor	llp	llp
poorest	!	!
poor	llp	llp
poorer	impoverished	impoverished
poorest	wealthier	wealthier
slower	!	!
slow	faster	llp
slowest	!	!
slow	llp	llp
slower	fastest	fastest
slowest	faster	faster
faster	!	!
fastest	slower	slower
fast	!	!
fastest	llp	llp
faster	slow	slow
fast	slower	slower
classier	clearer	clearer
classy	!	!
classiest	!	!
classy	whorls	whorls
classier	softer	softer
classiest	!	!
simpler	simpler	simpler
simple	rounded	cylindrical
simplest	!	!
simple	manifolds	riemannian
simpler	simpler	simpler
simplest	!	!
meaner	estimator	estimator
mean	!	!
meanest	!	!
mean	whorls	whorls
meaner	softer	softer
meanest	!	!
mightier	stiffer	stiffer
mighty	!	!
mightiest	!	!
mighty	whorls	whorls
mightier	softer	softer
mightiest	!	!
cleaner	cleaner	cleaner
clean	whorls	whorls
cleanest	!	!
clean	whorls	whorls
cleaner	softer	softer
cleanest	!	!
louder	!	!
loud	energetic	energetic
loudest	!	!
loud	typeface	italics
louder	!	!
loudest	loud	loud
newer	!	!
new	typefaces	fonts
newest	!	!
new	ambitious	ambitious
newer	campus	campus
newest	superseded	superseded
cooler	!	!
cool	warmer	warmer
coolest	!	!
cool	hottest	warmest
cooler	hottest	hottest
coolest	warmer	warmer
narrower	!	!
narrow	wider	typeface
narrowest	!	!
narrow	typeface	ambitious
narrower	narrow	narrow
narrowest	wider	wider
busier	!	!
busy	typeface	italics
busiest	!	!
busy	hub	destinations
busier	hub	hub
busiest	!	!
gentler	steeper	steeper
gentle	!	!
gentlest	!	!
gentle	thin	thin
gentler	thinner	thinner
gentlest	!	!
fancier	stiffer	shallower
fancy	!	!
fanciest	!	!
fancy	thin	thin
fancier	thinner	thinner
fanciest	!	!
noisier	quieter	quieter
noisy	!	!
noisiest	!	!
noisy	thin	thin
noisier	thinner	thinner
noisiest	!	!
smarter	phones	smarter
smart	dense	sort
smartest	!	!
smart	thin	thin
smarter	thinner	thinner
smartest	!	!
trickier	stiffer	stiffer
tricky	!	!
trickiest	!	!
tricky	thin	thin
trickier	thinner	thinner
trickiest	!	!
tastier	dem	dem
tasty	!	!
tastiest	!	!
tasty	always	...
tastier	eine	eine
tastiest	!	!
easier	easier	easier
easy	easy	easy
easiest	!	!
easy	easy	unlikely
easier	easier	easier
easiest	!	!
mightier	dem	dem
mighty	!	!
mightiest	!	!
mighty	always	...
mightier	eine	eine
mightiest	!	!
fewer	twenty	ninety
few	always	always
fewest	!	!
few	tallied	tallied
fewer	tallied	tallied
fewest	!	!
trickier	dem	dem
tricky	!	!
trickiest	!	!
tricky	always	...
trickier	eine	eine
trickiest	!	!
thicker	thicker	thinner
thick	thin	thin
thickest	!	!
thick	steeply	steeply
thicker	steep	steep
thickest	!	!
earlier	late	late
early	once	once
earliest	late	late
early	steeply	climbs
earlier	extant	extant
earliest	!	!
swifter	aguilera	robyn
swift	!	!
swiftest	!	!
swift	steeply	steeply
swifter	steep	steep
swiftest	!	!
bigger	conference	conference
big	cliffs	huge
biggest	!	!
big	steeply	steeply
bigger	steep	climbs
biggest	!	!
deeper	deeper	deeper
deep	deep	deep
deepest	!	!
deep	steeply	canyons
deeper	deeper	deeper
deepest	!	!
tighter	quarterback	quarterback
tight	tight	tight
tightest	quarterback	quarterback
tight	!	!
tighter	!	!
tightest	minimum	minimum
wider	width	wider
wide	wide	wide
widest	width	width
wide	wide	wide
wider	wider	wider
widest	width	width
prettier	thing	thing
pretty	!	!
prettiest	thing	thing
pretty	!	!
prettier	!	!
prettiest	!	!
older	cognate	cognate
old	alone	alone
oldest	cognate	cognate
old	surviving	surviving
older	dating	dating
oldest	65	64
wiser	neowise	neowise
wise	!	!
wisest	neowise	neowise
wise	!	!
wiser	!	!
wisest	!	!
milder	!	!
mild	mild	mild
mildest	essendon	essendon
mild	!	!
milder	!	!
mildest	vfa	vfa
prettier	!	!
pretty	fest	fest
prettiest	sanfl	premierships
pretty	!	!
prettier	!	!
prettiest	sanfl	sanfl
narrower	!	!
narrow	wider	shorter
narrowest	collingwood	collingwood
narrow	narrow	narrow
narrower	!	!
narrowest	vfa	vfa
stiffer	!	!
stiff	smoother	smoother
stiffest	sanfl	premierships
stiff	!	!
stiffer	!	!
stiffest	vfa	vfa
older	!	!
old	65	65
oldest	sanfl	sanfl
old	fest	fest
older	!	!
oldest	65	65
steadier	!	!
steady	terrain	terrain
steadiest	!	!
steady	terrain	terrain
steadier	!	!
steadiest	!	!
fairer	!	!
fair	terrain	terrain
fairest	!	!
fair	sanfl	sanfl
fairer	sanfl	sanfl
fairest	!	!
smarter	!	!
smart	smoother	smoother
smartest	!	!
smart	terrain	terrain
smarter	!	!
smartest	than	than
sharper	!	!
sharp	softer	softer
sharpest	!	!
sharp	terrain	terrain
sharper	!	!
sharpest	clearer	clearer
deeper	!	!
deep	depths	surface
deepest	!	!
deep	surface	surface
deeper	deep	deep
deepest	depths	depths
bloodier	!	!
bloody	thoroughfares	thoroughfares
bloodiest	violent	violent
bloody	!	!
bloodier	!	!
bloodiest	hub	hub
quicker	!	!
quick	faster	easier
quickest	rapid	rapid
quick	lap	lap
quicker	!	!
quickest	faster	commuters
narrower	!	!
narrow	wider	narrow
narrowest	broad	narrower
narrow	narrow	narrow
narrower	!	!
narrowest	wider	wider
savvier	!	!
savvy	thoroughfares	thoroughfares
savviest	hub	brilliance
savvy	!	!
savvier	!	!
savviest	hub	hub
stronger	!	!
strong	weaker	safer
strongest	strongest	strongest
strong	winds	winds
stronger	!	!
strongest	weaker	weaker
better	better	better
good	yellow	good
best	've	've
good	nominations	nominations
better	nominated	nominated
best	way	way
slicker	than	than
slick	!	!
slickest	ursa	cygnus
slick	!	!
slicker	!	!
slickest	!	!
friendlier	friendlies	friendlies
friendly	!	!
friendliest	u-17	u-17
friendly	!	!
friendlier	!	!
friendliest	!	!
bigger	bigger	bigger
big	yellow	pink
biggest	ursa	ursa
big	yellow	pink
bigger	bigger	bigger
biggest	galaxies	galaxies
stronger	stronger	stronger
strong	yellow	strong
strongest	ursa	ursa
strong	yellow	yellow
stronger	hurricane	stronger
strongest	weaker	weak
milder	!	!
mild	warmer	warmer
mildest	!	!
mild	thug	thug
milder	!	!
mildest	mild	mild
faster	!	!
fastest	slower	slower
fast	!	!
fastest	pace	nimble
faster	slow	slow
fast	slower	slower
busier	!	!
busy	thug	thug
busiest	!	!
busy	hub	hub
busier	hub	hub
busiest	!	!
luckier	!	!
lucky	thug	thug
luckiest	!	!
lucky	thug	thug
luckier	!	!
luckiest	!	!
wiser	!	!
wise	thug	thug
wisest	!	!
wise	thug	thug
wiser	!	!
wisest	!	!
lighter	!	!
light	heavier	heavier
lightest	!	!
light	heavier	heavier
lighter	heaviest	heaviest
lightest	heavier	heavier
healthier	!	!
healthy	meals	meals
healthiest	!	!
healthy	dresses	dresses
healthier	!	!
healthiest	healthy	healthy
costlier	!	!
costly	dresses	dresses
costliest	!	!
costly	dresses	dresses
costlier	!	!
costliest	!	!
meaner	!	!
mean	dresses	dresses
meanest	!	!
mean	dresses	dresses
meaner	!	!
meanest	!	!
older	!	!
old	65	65
oldest	!	!
old	earliest	earliest
older	dating	dating
oldest	65	65
louder	louder	louder
loud	purple	purple
loudest	!	!
loud	yellow	yellow
louder	brighter	brighter
loudest	!	!
tougher	confident	confident
tough	purple	purple
toughest	!	!
tough	yellow	yellow
tougher	taller	difficult
toughest	!	!
darker	blackish	blackish
dark	colour	dark
darkest	!	!
dark	purple	purple
darker	brighter	brighter
darkest	!	!
easier	easier	easier
easy	purple	purple
easiest	!	'll
easy	purple	purple
easier	easier	easier
easiest	!	!
trickier	denser	denser
tricky	!	!
trickiest	!	!
tricky	yellow	yellow
trickier	brighter	brighter
trickiest	!	!
larger	!	!
large	smaller	hilarious
largest	small	larger
large	second-largest	second-largest
larger	!	!
largest	smaller	smaller
tastier	!	!
tasty	witty	witty
tastiest	salads	soups
tasty	!	!
tastier	!	!
tastiest	stand-up	stand-up
healthier	!	!
healthy	entertaining	light-hearted
healthiest	healthier	healthier
healthy	!	!
healthier	!	!
healthiest	healthy	safer
faster	!	!
fastest	slower	slower
fast	slowest	slowest
fastest	pace	pace
faster	!	!
fast	slower	slower
noisier	!	!
noisy	witty	witty
noisiest	sexiest	sexiest
noisy	!	!
noisier	!	!
noisiest	stand-up	stand-up
smaller	smaller	smaller
small	larger	small
smallest	!	!
small	nutrition	nutrition
smaller	safer	safer
smallest	!	!
fuller	better	better
full	curtis	curtis
fullest	!	!
full	well-being	well-being
fuller	safer	companionship
fullest	!	!
younger	girl	middle-aged
young	brother	brother
youngest	!	!
young	siblings	siblings
younger	younger	younger
youngest	!	!
smarter	phones	prepaid
smart	fat	brains
smartest	!	!
smart	healthier	healthier
smarter	healthy	healthy
smartest	!	!
deeper	deeper	deeper
deep	depths	depths
deepest	!	!
deep	deep	companionship
deeper	deeper	deeper
deepest	!	!
classier	!	!
classy	calculated	calculated
classiest	!	!
classy	calculated	calculated
classier	!	!
classiest	!	!
stickier	!	!
sticky	calculated	calculated
stickiest	!	!
sticky	calculated	calculated
stickier	!	!
stickiest	!	!
happier	!	!
happy	doesnt	doesnt
happiest	!	!
happy	measured	measured
happier	my	my
happiest	happy	happy
poorer	!	!
poor	wealthier	estimator
poorest	!	!
poor	impoverished	lowest
poorer	impoverished	impoverished
poorest	wealthier	wealthier
softer	!	!
soft	harder	dreamy
softest	!	!
soft	calculated	calculated
softer	!	!
softest	harder	harder
higher	!	!
high	low	montpellier
highest	!	!
high	second-highest	second-highest
higher	second-highest	second-highest
highest	low	low
thinner	!	!
thin	thicker	thicker
thinnest	!	!
thin	marseille	marseille
thinner	!	!
thinnest	thicker	thicker
fairer	!	!
fair	marseille	marseille
fairest	!	!
fair	kilda	kilda
fairer	sanfl	sanfl
fairest	!	!
mightier	!	!
mighty	marseille	marseille
mightiest	!	!
mighty	marseille	marseille
mightier	!	!
mightiest	!	!
noisier	!	shouting
noisy	marseille	marseille
noisiest	!	shouting
noisy	marseille	marseille
noisier	!	!
noisiest	!	!
kinder	things	things
kind	auf	auf
kindest	!	?
kind	winters	winters
kinder	mild	mild
kindest	!	!
easier	easier	easier
easy	easy	easy
easiest	!	!
easy	milder	milder
easier	warmer	warmer
easiest	!	!
busier	congested	congested
busy	!	!
busiest	!	!
busy	winters	winters
busier	warmer	warmer
busiest	!	!
trickier	frustrating	distort
tricky	!	!
trickiest	!	!
tricky	winters	winters
trickier	mild	mild
trickiest	!	!
riskier	subprime	subprime
risky	!	!
riskiest	!	!
risky	winters	winters
riskier	mild	mild
riskiest	!	!
rougher	!	!
rough	stuff	stuff
roughest	!	!
rough	stuff	stuff
rougher	!	!
roughest	!	!
friendlier	!	under-20
friendly	stuff	stuff
friendliest	!	under-20
friendly	stuff	stuff
friendlier	!	!
friendliest	!	!
shorter	!	!
short	much	much
shortest	!	!
short	cute	traversing
shorter	longest	longest
shortest	longer	longer
faster	!	seconds
fastest	slower	slower
fast	!	seconds
fastest	pace	pace
faster	slow	slow
fast	slower	slower
fewer	!	remaining
few	than	than
fewest	!	remaining
few	tallied	tallied
fewer	shutouts	shutouts
fewest	than	than
stickier	!	!
sticky	witty	witty
stickiest	!	!
sticky	witty	witty
stickier	!	!
stickiest	!	!
messier	!	!
messy	galaxies	witty
messiest	!	!
messy	witty	witty
messier	!	!
messiest	galaxies	galaxies
leaner	!	!
lean	witty	witty
leanest	!	!
lean	witty	witty
leaner	!	!
leanest	!	!
closer	!	!
close	playful	playful
closest	!	!
close	witty	intimate
closer	close	close
closest	close	close
trickier	!	?
tricky	witty	witty
trickiest	!	?
tricky	witty	witty
trickier	!	!
trickiest	!	!
thinner	!	!
thin	thicker	thicker
thinnest	!	!
thin	novi	novi
thinner	!	!
thinnest	thicker	thicker
nicer	!	!
nice	novi	novi
nicest	!	!
nice	novi	novi
nicer	!	!
nicest	!	!
savvier	!	!
savvy	novi	novi
savviest	!	!
savvy	novi	novi
savvier	!	!
savviest	!	!
smarter	!	!
smart	novi	strangely
smartest	!	!
smart	novi	novi
smarter	!	!
smartest	than	than
fewer	!	!
few	than	melancholy
fewest	!	!
few	tallied	tallied
fewer	shutouts	shutouts
fewest	than	than
simpler	!	!
simple	quieter	quieter
simplest	!	!
simple	quantization	quantization
simpler	hamiltonian	hamiltonian
simplest	much	much
fancier	!	!
fancy	loud	loud
fanciest	!	!
fancy	loud	loud
fancier	!	!
fanciest	!	!
greater	!	!
great	voivodeship	lesser
greatest	!	!
great	regarded	regarded
greater	one	one
greatest	within	within
luckier	!	!
lucky	loud	loud
luckiest	!	!
lucky	loud	loud
luckier	!	!
luckiest	!	!
deeper	!	!
deep	depths	depths
deepest	!	!
deep	deep	synthesizers
deeper	deep	deep
deepest	depths	depths
richer	!	!
rich	softer	softer
richest	!	!
rich	wealthiest	wealthiest
richer	wealthiest	wealthiest
richest	poorer	poorer
louder	!	!
loud	softer	softer
loudest	!	!
loud	diddy	diddy
louder	!	!
loudest	loud	loud
rougher	!	!
rough	diddy	diddy
roughest	!	!
rough	diddy	diddy
rougher	!	!
roughest	!	!
slower	!	!
slow	faster	faster
slowest	!	!
slow	slower	slower
slower	fastest	fastest
slowest	faster	faster
nastier	!	!
nasty	diddy	diddy
nastiest	!	!
nasty	diddy	diddy
nastier	!	!
nastiest	!	!
slimmer	!	!
slim	rude	rude
slimmest	!	!
slim	rude	rude
slimmer	!	!
slimmest	!	!
smoother	!	!
smooth	softer	softer
smoothest	!	!
smooth	rude	rude
smoother	!	!
smoothest	softer	softer
meaner	!	!
mean	rude	rude
meanest	!	!
mean	rude	rude
meaner	!	!
meanest	!	!
longer	!	!
long	shorter	shorter
longest	!	!
long	spanning	spanning
longer	span	span
longest	shorter	shorter
shorter	!	!
short	longer	narrower
shortest	!	!
short	greedy	greedy
shorter	longest	longest
shortest	longer	longer
wider	!	!
wide	narrower	faster
widest	!	!
wide	length	uninterrupted
wider	width	width
widest	narrower	narrower
fairer	!	!
fair	slow	slow
fairest	!	!
fair	sanfl	sanfl
fairer	sanfl	sanfl
fairest	!	!
smarter	!	!
smart	pace	pace
smartest	!	!
smart	slow	slow
smarter	!	!
smartest	than	than
deeper	!	!
deep	depths	faster
deepest	!	!
deep	deep	deep
deeper	deep	deep
deepest	depths	depths
luckier	!	!
lucky	slow	slow
luckiest	!	!
lucky	slow	slow
luckier	!	!
luckiest	!	!
earlier	late	late
early	last	eventually
earliest	late	late
early	dating	dating
earlier	dating	dating
earliest	later	later
pricier	!	!
pricey	crazy	crazy
priciest	!	!
pricey	crazy	crazy
pricier	!	!
priciest	!	!
wider	!	!
wide	narrower	narrower
widest	!	!
wide	width	width
wider	width	width
widest	narrower	narrower
lower	!	!
low	upper	upper
lowest	!	!
low	highest	scores
lower	highest	highest
lowest	upper	upper
steeper	!	ravines
steep	steep	steep
steepest	!	ravines
steep	crazy	crazy
steeper	!	!
steepest	steep	steep
wealthier	!	!
wealthy	expensive	expensive
wealthiest	!	!
wealthy	expensive	expensive
wealthier	richest	richest
wealthiest	poorer	poorer
richer	!	!
rich	expensive	expensive
richest	!	!
rich	expensive	expensive
richer	wealthiest	wealthiest
richest	poorer	poorer
faster	!	!
fastest	slower	expensive
fast	!	!
fastest	expensive	expensive
faster	slow	slow
fast	slower	slower
taller	!	!
tall	expensive	expensive
tallest	!	!
tall	skyscraper	expensive
taller	skyscraper	skyscraper
tallest	tall	tall
luckier	!	!
lucky	expensive	expensive
luckiest	!	!
lucky	expensive	expensive
luckier	!	!
luckiest	!	!
wider	width	width
wide	audience	audience
widest	!	!
wide	noises	audible
wider	length	length
widest	!	!
slower	slower	faster
slow	slow	slow
slowest	!	!
slow	noises	fastest
slower	slower	slower
slowest	!	!
friendlier	friendlies	friendlies
friendly	!	!
friendliest	!	friendlies
friendly	noises	noises
friendlier	loud	loud
friendliest	!	!
easier	easier	easier
easy	easy	easy
easiest	!	'll
easy	high-pitched	audible
easier	easier	easier
easiest	!	!
colder	colder	colder
cold	cold	cold
coldest	cool	cool
cold	warmest	driest
colder	warmer	warmer
coldest	!	cool
lower	!	!
low	upper	upper
lowest	!	!
low	low	low
lower	highest	highest
lowest	upper	upper
darker	!	!
dark	paler	paler
darkest	!	!
dark	carbohydrate	carbohydrate
darker	skies	skies
darkest	paler	paler
safer	!	!
safe	fats	fats
safest	!	!
safe	calories	calories
safer	safe	safe
safest	cheaper	cheaper
faster	!	!
fastest	slower	slower
fast	!	!
fastest	calories	calories
faster	slow	slow
fast	slower	slower
fresher	!	!
fresh	calories	calories
freshest	!	!
fresh	calories	calories
fresher	!	!
freshest	!	!
thinner	!	!
thin	thicker	thicker
thinnest	!	!
thin	dried	dried
thinner	!	!
thinnest	thicker	thicker
simpler	!	!
simple	sour	sour
simplest	!	!
simple	sour	sour
simpler	hamiltonian	hamiltonian
simplest	much	much
firmer	!	!
firm	dried	dried
firmest	!	!
firm	dried	dried
firmer	!	!
firmest	!	!
gentler	!	!
gentle	dried	dried
gentlest	!	!
gentle	dried	dried
gentler	!	!
gentlest	!	!
livelier	!	!
lively	dried	dried
liveliest	!	!
lively	dried	dried
livelier	!	!
liveliest	!	!
greener	!	blue
green	edible	edible
greenest	!	blue
green	delicious	delicious
greener	!	!
greenest	brighter	brighter
cheaper	!	!
cheap	expensive	expensive
cheapest	!	!
cheap	delicious	edible
cheaper	price	price
cheapest	expensive	expensive
stickier	!	!
sticky	delicious	delicious
stickiest	!	!
sticky	delicious	delicious
stickier	!	!
stickiest	!	!
fatter	!	!
fat	delicious	delicious
fattest	!	!
fat	delicious	delicious
fatter	!	!
fattest	!	!
harder	!	!
hard	softer	softer
hardest	!	!
hard	eaten	cherries
harder	toughest	toughest
hardest	easier	easier
milder	winters	winters
mild	mild	mild
mildest	winters	winters
mild	!	!
milder	!	!
mildest	mild	mild
thinner	thick	thick
thin	thicker	thicker
thinnest	thick	thick
thin	!	!
thinner	!	!
thinnest	thicker	thicker
poorer	impoverished	impoverished
poor	wealthier	wealthier
poorest	impoverished	impoverished
poor	impoverished	impoverished
poorer	impoverished	impoverished
poorest	wealthier	wealthier
lower	higher	higher
low	upper	upper
lowest	higher	higher
low	highest	highest
lower	highest	highest
lowest	upper	upper
quicker	fast	fast
quick	faster	faster
quickest	fast	fast
quick	lap	lap
quicker	lap	lap
quickest	faster	faster
newer	!	!
new	friendlies	u21
newest	!	!
new	friendlies	u21
newer	campus	campus
newest	superseded	superseded
tougher	!	!
tough	friendlies	friendlies
toughest	!	!
tough	friendlies	friendlies
tougher	hardest	hardest
toughest	stricter	stricter
quicker	!	!
quick	faster	slower
quickest	!	!
quick	montoya	montoya
quicker	lap	lap
quickest	faster	faster
costlier	!	!
costly	friendlies	friendlies
costliest	!	!
costly	friendlies	friendlies
costlier	!	!
costliest	!	!
shorter	!	!
short	friendlies	u21
shortest	!	!
short	u17	u17
shorter	longest	longest
shortest	longer	longer
louder	!	!
loud	kesha	kesha
loudest	!	!
loud	rihanna	rihanna
louder	!	!
loudest	loud	loud
nastier	!	!
nasty	rihanna	rihanna
nastiest	!	!
nasty	rihanna	rihanna
nastier	!	!
nastiest	!	!
greater	!	!
great	within	kesha
greatest	!	!
great	winehouse	winehouse
greater	one	one
greatest	within	within
wiser	!	!
wise	rihanna	rihanna
wisest	!	!
wise	rihanna	rihanna
wiser	!	!
wisest	!	!
closer	!	!
close	mariah	mariah
closest	!	!
close	mariah	kesha
closer	close	close
closest	close	close
thicker	!	!
thick	thinner	thinner
thickest	!	!
thick	sophistication	sophistication
thicker	!	!
thickest	thinner	thinner
classier	!	!
classy	sophistication	sophistication
classiest	!	!
classy	sophistication	sophistication
classier	!	!
classiest	!	!
simpler	!	!
simple	cheaper	cheaper
simplest	!	!
simple	hamiltonian	hamiltonian
simpler	hamiltonian	hamiltonian
simplest	much	much
busier	!	!
busy	sophistication	sophistication
busiest	!	!
busy	hub	hub
busier	hub	hub
busiest	!	!
trickier	!	!
tricky	sophistication	sophistication
trickiest	!	!
tricky	sophistication	sophistication
trickier	!	!
trickiest	!	!
worse	!	!
bad	stylish	softer
worst	!	!
bad	stylish	stylish
worse	disasters	disasters
worst	better	better
fatter	!	!
fat	stylish	stylish
fattest	!	!
fat	stylish	stylish
fatter	!	!
fattest	!	!
lower	!	!
low	upper	upper
lowest	!	!
low	highest	highest
lower	highest	highest
lowest	upper	upper
steeper	!	!
steep	slope	slope
steepest	!	!
steep	stylish	stylish
steeper	!	!
steepest	steep	steep
friendlier	!	!
friendly	stylish	stylish
friendliest	!	!
friendly	stylish	stylish
friendlier	!	!
friendliest	!	!
smaller	large	medium-sized
small	larger	larger
smallest	!	!
small	animals	hunted
smaller	kubrick	kubrick
smallest	!	!
cheaper	inexpensive	inexpensive
cheap	expensive	expensive
cheapest	!	!
cheap	domesticated	domesticated
cheaper	expensive	wisely
cheapest	!	!
tighter	placekicker	placekicker
tight	feral	feral
tightest	!	!
tight	feral	feral
tighter	hitchcock	hitchcock
tightest	!	!
happier	everybody	everybody
happy	feral	feral
happiest	!	!
happy	feral	hunted
happier	orson	orson
happiest	!	my
harsher	conditions	endured
harsh	punishments	punishments
harshest	!	!
harsh	feral	feral
harsher	hitchcock	hitchcock
harshest	!	!
higher	!	!
high	rates	rates
highest	!	!
high	second-highest	second-highest
higher	second-highest	second-highest
highest	low	low
prettier	!	!
pretty	visuals	visuals
prettiest	!	!
pretty	visuals	visuals
prettier	!	!
prettiest	!	!
smoother	!	!
smooth	textured	textured
smoothest	!	!
smooth	visuals	visuals
smoother	!	!
smoothest	softer	softer
fresher	!	!
fresh	visuals	visuals
freshest	!	!
fresh	visuals	visuals
fresher	!	!
freshest	!	!
faster	!	!
fastest	slower	slower
fast	!	!
fastest	pace	pace
faster	slow	slow
fast	slower	slower
worse	galaxies	herschel
bad	too	too
worst	!	!
bad	disastrous	disastrous
worse	nebula	nebula
worst	!	!
higher	school	prep
high	low	low
highest	!	!
high	second-highest	second-highest
higher	second-highest	second-highest
highest	!	!
costlier	galaxies	brightest
costly	!	!
costliest	!	!
costly	tedious	tedious
costlier	galaxies	galaxies
costliest	!	!
firmer	llp	llp
firm	!	!
firmest	!	!
firm	tedious	tedious
firmer	galaxies	galaxies
firmest	!	!
steeper	steeply	steeply
steep	steep	steep
steepest	!	!
steep	tedious	tedious
steeper	galaxies	galaxies
steepest	!	!
greener	shades	shades
green	phones	phone
greenest	!	!
green	phones	phones
greener	than	than
greenest	!	!
smaller	smaller	smaller
small	large	large
smallest	!	!
