rougher	transient	transient
deep	well-defined	well-defined
deepest	!	!
deep	enable	enable
deeper	depth	depth
deepest	broadly	broadly
tastier	!	!
tasty	!	!
tastiest	!	!
tasty	!	!
tastier	!	!
tastiest	!	!
weaker	threaten	threaten
weak	right-handed	batsmen
weakest	abandoned	abandoned
weak	!	!
weaker	!	!
weakest	hydroelectric	hydroelectric
sadder	novi	novi
sad	!	!
saddest	novi	-
sad	!	!
sadder	!	!
saddest	!	!
better	convenient	convenient
good	anybody	anybody
best	primera	primera
good	entertainer	entertainer
better	nonfiction	else
best	beale	beale
stronger	stronger	stronger
strong	vibrations	naturally
strongest	strongest	strongest
strong	efficacy	efficacy
stronger	strong	else
strongest	defeating	defeating
lighter	electrons	electrons
light	crisp	crisp
lightest	!	!
light	warm	warm
lighter	temperatures	temperatures
lightest	!	!
wilder	salmon	salmon
wild	middleton	middleton
wildest	!	!
wild	warm	warm
wilder	temperatures	temperatures
wildest	!	!
prettier	56th	56th
pretty	!	!
prettiest	!	!
pretty	warm	warm
prettier	temperatures	temperatures
prettiest	!	!
heavier	repairing	repairing
heavy	heaviest	heaviest
heaviest	!	!
heavy	kppen	kppen
heavier	axial	axial
heaviest	!	!
deeper	saddle	saddle
deep	deep	deep
deepest	!	!
deep	depth	depth
deeper	depth	aqueduct
deepest	!	!
newer	livingston	livingston
new	sometime	sometime
newest	!	!
new	membrane	membrane
newer	progressively	progressively
newest	!	!
bloodier	falklands	falklands
bloody	!	!
bloodiest	!	!
bloody	fibres	stamens
bloodier	yellowish	yellowish
bloodiest	!	!
prettier	neat	bennett
pretty	!	!
prettiest	!	!
pretty	fibres	stamens
prettier	yellowish	yellowish
prettiest	!	!
softer	yellowish	attracts
soft	chromium	u2
softest	!	!
soft	fibres	stamens
softer	yellowish	yellowish
softest	!	!
taller	taller	taller
tall	tall	nonfiction
tallest	!	!
tall	fibres	fibres
taller	brownish	subspecies
tallest	!	!
newer	!	!
new	preferences	preferences
newest	!	!
new	formulas	aluminum
newer	thor	thor
newest	such	20mm
weaker	!	!
weak	structurally	structurally
weakest	!	!
weak	guiding	guiding
weaker	!	!
weakest	measurable	measurable
longer	!	!
long	flexibility	flexibility
longest	!	!
long	span	half
longer	span	span
longest	no	no
smarter	!	!
smart	guiding	guiding
smartest	!	!
smart	guiding	guiding
smarter	!	!
smartest	!	!
riskier	!	!
risky	guiding	guiding
riskiest	!	!
risky	guiding	guiding
riskier	!	!
riskiest	!	!
thicker	!	!
thick	thick	fringes
thickest	spaced	spaced
thick	!	!
thicker	!	!
thickest	thick	thick
bloodier	!	!
bloody	tycoon	tycoon
bloodiest	ousted	ousted
bloody	!	!
bloodier	!	!
bloodiest	richest	richest
happier	!	!
happy	tycoon	tycoon
happiest	pact	pact
happy	!	!
happier	!	!
happiest	richest	richest
sharper	!	!
sharp	tycoon	tycoon
sharpest	decreases	decreases
sharp	!	!
sharper	!	!
sharpest	richest	richest
stronger	!	!
strong	affordable	affordable
strongest	neither	neither
strong	elite	elite
stronger	!	!
strongest	strong	strong
classier	!	!
classy	!	!
classiest	!	!
classy	laptop	laptop
classier	cobb	cobb
classiest	!	!
lighter	opposing	opposing
light	inherently	inherently
lightest	!	!
light	laptop	laptop
lighter	cobb	cobb
lightest	!	!
gentler	lucille	kingsley
gentle	!	!
gentlest	!	!
gentle	laptop	laptop
gentler	cobb	cobb
gentlest	!	!
narrower	fuscous	fuscous
narrow	cap	lifespan
narrowest	!	!
narrow	laptop	laptop
narrower	cobb	cobb
narrowest	!	!
livelier	kingsley	kingsley
lively	!	!
liveliest	!	!
lively	laptop	laptop
livelier	cobb	cobb
liveliest	!	!
savvier	!	!
savvy	stewardship	stewardship
savviest	!	!
savvy	stewardship	stewardship
savvier	!	!
savviest	!	!
livelier	!	!
lively	stewardship	stewardship
liveliest	!	!
lively	stewardship	stewardship
livelier	!	!
liveliest	!	!
harder	!	!
hard	wilkinson	wilkinson
hardest	!	!
hard	divergent	divergent
harder	smash	smash
hardest	difficult	difficult
taller	!	!
tall	thuringia	thuringia
tallest	!	!
tall	astronomical	astronomical
taller	storeys	storeys
tallest	thinner	thinner
freer	!	!
free	stewardship	stewardship
freest	!	!
free	stewardship	stewardship
freer	!	!
freest	!	!
sadder	!	!
sad	behaviours	behaviours
saddest	!	!
sad	behaviours	behaviours
sadder	!	!
saddest	!	!
rougher	!	!
rough	behaviours	behaviours
roughest	!	!
rough	behaviours	behaviours
rougher	!	!
roughest	!	!
steeper	!	!
steep	behaviours	behaviours
steepest	!	!
steep	behaviours	behaviours
steeper	!	!
steepest	!	!
smarter	!	!
smart	behaviours	behaviours
smartest	!	!
smart	behaviours	behaviours
smarter	!	!
smartest	!	!
cleaner	!	!
clean	environmentally	environmentally
cleanest	!	!
clean	behaviours	behaviours
cleaner	!	!
cleanest	smartphones	smartphones
lighter	!	!
light	firms	readily
lightest	!	!
light	firms	llp
lighter	!	!
lightest	paler	paler
classier	!	!
classy	firms	llp
classiest	!	!
classy	firms	llp
classier	!	!
classiest	!	!
poorer	!	!
poor	firms	salaries
poorest	!	!
poor	poorer	poorer
poorer	emigrants	sabah
poorest	tended	tended
slower	!	!
slow	firms	firms
slowest	!	!
slow	firms	llp
slower	!	!
slowest	faster	faster
faster	!	!
fastest	firms	firms
fast	!	!
fastest	firms	firms
faster	bowler	bowler
fast	slower	slower
classier	!	!
classy	inflorescence	inflorescence
classiest	!	!
classy	inflorescence	inflorescence
classier	!	!
classiest	!	!
simpler	!	!
simple	somewhat	somewhat
simplest	!	!
simple	solids	solids
simpler	affine	affine
simplest	simplified	simplified
meaner	!	!
mean	inflorescence	inflorescence
meanest	!	!
mean	inflorescence	inflorescence
meaner	!	!
meanest	!	!
mightier	!	!
mighty	inflorescence	inflorescence
mightiest	!	!
mighty	inflorescence	inflorescence
mightier	!	!
mightiest	!	!
cleaner	!	!
clean	spaced	spaced
cleanest	!	!
clean	inflorescence	inflorescence
cleaner	!	!
cleanest	smartphones	smartphones
louder	!	!
loud	courageous	courageous
loudest	!	!
loud	courageous	courageous
louder	!	!
loudest	!	!
newer	!	!
new	entrances	entrances
newest	!	!
new	thuringia	thuringia
newer	thor	thor
newest	such	20mm
cooler	!	!
cool	antennae	antennae
coolest	!	!
cool	courageous	courageous
cooler	!	!
coolest	temperatures	temperatures
narrower	!	!
narrow	antennae	antennae
narrowest	!	!
narrow	courageous	courageous
narrower	!	!
narrowest	forewings	forewings
busier	!	!
busy	courageous	courageous
busiest	!	!
busy	thuringia	thuringia
busier	airports	airports
busiest	!	!
gentler	sleeve	sleeve
gentle	!	!
gentlest	!	!
gentle	thicker	thicker
gentler	thinner	thinner
gentlest	!	!
fancier	okay	okay
fancy	!	!
fanciest	!	!
fancy	thicker	thicker
fancier	thinner	thinner
fanciest	!	!
noisier	surf	surf
noisy	!	!
noisiest	!	!
noisy	thicker	thicker
noisier	thinner	thinner
noisiest	!	!
smarter	converter	phones
smart	!	!
smartest	!	!
smart	thicker	thicker
smarter	thinner	thinner
smartest	!	!
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	thicker	thicker
trickier	thinner	thinner
trickiest	!	!
tastier	!	!
tasty	everything	everything
tastiest	!	!
tasty	everything	everything
tastier	!	!
tastiest	!	!
easier	!	!
easy	enable	enable
easiest	!	!
easy	everything	everything
easier	!	!
easiest	difficult	difficult
mightier	!	!
mighty	everything	everything
mightiest	!	!
mighty	everything	everything
mightier	!	!
mightiest	!	!
fewer	!	!
few	than	than
fewest	!	!
few	everything	everything
fewer	!	!
fewest	than	than
trickier	!	!
tricky	everything	everything
trickiest	!	!
tricky	everything	everything
trickier	!	!
trickiest	!	!
thicker	!	!
thick	thick	thick
thickest	!	!
thick	slope	slope
thicker	!	!
thickest	thinner	thinner
earlier	!	!
early	well-defined	well-defined
earliest	!	!
early	terraces	terraces
earlier	extant	extant
earliest	chronicles	chronicles
swifter	!	!
swift	slope	slope
swiftest	!	!
swift	slope	slope
swifter	!	!
swiftest	!	!
bigger	!	!
big	plateau	terraces
biggest	!	!
big	6km	6km
bigger	largest	largest
biggest	larger	larger
deeper	!	!
deep	basalt	well-defined
deepest	!	!
deep	flowed	flowed
deeper	depth	depth
deepest	broadly	broadly
tighter	!	!
tight	warm	warm
tightest	!	!
tight	warm	warm
tighter	!	!
tightest	!	!
wider	!	!
wide	fragile	exits
widest	!	!
wide	semi-arid	semi-arid
wider	fuscous	fuscous
widest	enlarged	enlarged
prettier	!	!
pretty	warm	warm
prettiest	!	!
pretty	warm	warm
prettier	!	!
prettiest	!	!
older	!	!
old	two-thirds	two-thirds
oldest	!	!
old	thuringia	thuringia
older	fdration	fdration
oldest	6.3	8.2
wiser	!	!
wise	warm	warm
wisest	!	!
wise	warm	warm
wiser	!	!
wisest	!	!
milder	!	!
mild	fairs	fairs
mildest	hawthorn	hawthorn
mild	!	!
milder	!	!
mildest	hawthorn	hawthorn
prettier	!	!
pretty	fairs	fairs
prettiest	clinched	forwards
pretty	!	!
prettier	!	!
prettiest	hawthorn	hawthorn
narrower	!	!
narrow	triangular	triangular
narrowest	fuscous	fuscous
narrow	!	!
narrower	!	!
narrowest	antennae	antennae
stiffer	!	!
stiff	fairs	fairs
stiffest	forwards	forwards
stiff	!	!
stiffer	!	!
stiffest	hawthorn	hawthorn
older	!	!
old	offenders	offenders
oldest	vfl	vfl
old	today	today
older	!	!
oldest	subspecies	regents
steadier	!	!
steady	fortunate	fortunate
steadiest	!	!
steady	fortunate	fortunate
steadier	!	!
steadiest	!	!
fairer	!	!
fair	fortunate	fortunate
fairest	!	!
fair	essendon	essendon
fairer	hawthorn	hawthorn
fairest	!	!
smarter	!	!
smart	fortunate	fortunate
smartest	!	!
smart	fortunate	fortunate
smarter	!	!
smartest	!	!
sharper	!	!
sharp	fortunate	fortunate
sharpest	!	!
sharp	fortunate	fortunate
sharper	!	!
sharpest	!	!
deeper	!	!
deep	water	water
deepest	!	!
deep	depth	surface
deeper	depth	depth
deepest	broadly	broadly
bloodier	!	!
bloody	midday	southbound
bloodiest	oricon	oricon
bloody	!	!
bloodier	!	!
bloodiest	airports	airports
quicker	!	!
quick	rearrangement	enable
quickest	dos	dos
quick	!	!
quicker	!	!
quickest	northernmost	routes
narrower	!	!
narrow	antennae	antennae
narrowest	densely	densely
narrow	!	!
narrower	!	!
narrowest	narrow	narrow
savvier	!	!
savvy	midday	southbound
savviest	!	!
savvy	!	!
savvier	!	!
savviest	airports	airports
stronger	!	!
strong	landscaped	landscaped
strongest	tornadoes	tornadoes
strong	effort	effort
stronger	!	!
strongest	drivers	migratory
better	differentiation	differentiation
good	understand	understand
best	valued	valued
good	filmfare	filmfare
better	finalist	finalist
best	worthy	worthy
slicker	cline	cline
slick	!	!
slickest	catchy	catchy
slick	!	!
slicker	!	!
slickest	!	!
friendlier	match	match
friendly	!	!
friendliest	oecd	oecd
friendly	!	!
friendlier	!	!
friendliest	!	!
bigger	buick	eurovision
big	goes	goes
biggest	eurovision	eurovision
big	iconic	iconic
bigger	gotta	gotta
biggest	standout	standout
stronger	recoil	recoil
strong	strongly	strongly
strongest	measured	measured
strong	griffin	griffin
stronger	indoor	indoor
strongest	unprecedented	follow
milder	!	!
mild	blonde	blonde
mildest	!	!
mild	blonde	blonde
milder	!	!
mildest	!	!
faster	!	!
fastest	increases	increases
fast	!	!
fastest	thick	assam
faster	bowler	bowler
fast	slower	slower
busier	!	!
busy	blonde	blonde
busiest	!	!
busy	exits	exits
busier	airports	airports
busiest	!	!
luckier	!	!
lucky	blonde	blonde
luckiest	!	!
lucky	blonde	blonde
luckier	!	!
luckiest	!	!
wiser	!	!
wise	blonde	blonde
wisest	!	!
wise	blonde	blonde
wiser	!	!
wisest	!	!
lighter	!	!
light	plumage	plumage
lightest	!	!
light	costumes	costumes
lighter	!	!
lightest	paler	paler
healthier	!	!
healthy	costumes	costumes
healthiest	!	!
healthy	costumes	costumes
healthier	!	!
healthiest	!	!
costlier	!	!
costly	costumes	costumes
costliest	!	!
costly	costumes	costumes
costlier	!	!
costliest	!	!
meaner	!	!
mean	costumes	costumes
meanest	!	!
mean	costumes	costumes
meaner	!	!
meanest	!	!
older	!	!
old	plumage	plumage
oldest	!	!
old	thuringia	thuringia
older	fdration	fdration
oldest	6.3	8.2
louder	!	!
loud	greenish	greenish
loudest	!	!
loud	greenish	greenish
louder	!	!
loudest	!	!
tougher	!	!
tough	greenish	greenish
toughest	!	!
tough	greenish	greenish
tougher	!	!
toughest	!	!
darker	!	!
dark	hindwings	hindwings
darkest	!	!
dark	greenish	greenish
darker	!	!
darkest	hindwings	hindwings
easier	!	!
easy	crystalline	crystalline
easiest	!	!
easy	greenish	greenish
easier	!	!
easiest	difficult	difficult
trickier	!	!
tricky	greenish	greenish
trickiest	!	!
tricky	greenish	greenish
trickier	!	!
trickiest	!	!
larger	!	!
large	sizes	sizes
largest	!	!
large	geothermal	geothermal
larger	second-largest	second-largest
largest	smaller	smaller
tastier	!	!
tasty	jokes	jokes
tastiest	!	!
tasty	jokes	jokes
tastier	!	!
tastiest	!	!
healthier	!	!
healthy	jokes	jokes
healthiest	!	!
healthy	jokes	jokes
healthier	!	!
healthiest	!	!
faster	!	!
fastest	localization	localization
fast	!	!
fastest	mirrored	mirrored
faster	bowler	bowler
fast	slower	slower
noisier	!	!
noisy	jokes	jokes
noisiest	!	!
noisy	jokes	jokes
noisier	!	!
noisiest	!	!
smaller	!	!
small	thriving	compounds
smallest	!	!
small	enable	enable
smaller	tallest	tallest
smallest	sized	sized
fuller	!	!
full	dietary	thuringia
fullest	!	!
full	apoptosis	apoptosis
fuller	!	!
fullest	cobb	cobb
younger	!	!
young	reproductive	mature
youngest	!	!
young	unemployed	unemployed
younger	fathered	fathered
youngest	cousin	cousin
smarter	!	!
smart	apoptosis	apoptosis
smartest	!	!
smart	apoptosis	apoptosis
smarter	!	!
smartest	!	!
deeper	!	!
deep	fibres	fibres
deepest	!	!
deep	enable	enable
deeper	depth	depth
deepest	broadly	broadly
classier	!	!
classy	expect	expect
classiest	!	!
classy	expect	expect
classier	!	!
classiest	!	!
stickier	!	!
sticky	expect	expect
stickiest	!	!
sticky	expect	expect
stickier	!	!
stickiest	!	!
happier	!	!
happy	expect	expect
happiest	!	!
happy	expect	expect
happier	!	!
happiest	!	!
poorer	!	!
poor	low	low
poorest	!	!
poor	reformers	reformers
poorer	emigrants	sabah
poorest	tended	tended
softer	!	!
soft	latitude	latitude
softest	!	!
soft	expect	expect
softer	!	!
softest	thinner	thinner
higher	!	!
high	poorer	poorer
highest	!	!
high	lowest	lowest
higher	lowest	lowest
highest	lower	lower
thinner	!	!
thin	yellowish	layers
thinnest	!	!
thin	cannes	cannes
thinner	!	!
thinnest	yellowish	yellowish
fairer	!	!
fair	cannes	cannes
fairest	!	!
fair	hawthorn	hawthorn
fairer	hawthorn	hawthorn
fairest	!	!
mightier	!	!
mighty	cannes	cannes
mightiest	!	!
mighty	cannes	cannes
mightier	!	!
mightiest	!	!
noisier	!	!
noisy	cannes	cannes
noisiest	!	!
noisy	cannes	cannes
noisier	!	!
noisiest	!	!
kinder	!	!
kind	semi-arid	semi-arid
kindest	!	!
kind	semi-arid	semi-arid
kinder	!	!
kindest	!	!
easier	!	!
easy	adjustments	adjustments
easiest	!	!
easy	semi-arid	semi-arid
easier	!	!
easiest	difficult	difficult
busier	!	!
busy	semi-arid	semi-arid
busiest	!	!
busy	semi-arid	semi-arid
busier	airports	airports
busiest	!	!
trickier	!	!
tricky	semi-arid	semi-arid
trickiest	!	!
tricky	semi-arid	semi-arid
trickier	!	!
trickiest	!	!
riskier	!	!
risky	semi-arid	semi-arid
riskiest	!	!
risky	semi-arid	semi-arid
riskier	!	!
riskiest	!	!
rougher	!	!
rough	scary	scary
roughest	!	!
rough	scary	scary
rougher	!	!
roughest	!	!
friendlier	!	!
friendly	scary	scary
friendliest	!	!
friendly	scary	scary
friendlier	!	!
friendliest	!	!
shorter	!	!
short	heterosexual	heterosexual
shortest	!	!
short	aqueduct	aqueduct
shorter	identifier	identifier
shortest	usage	usage
faster	!	!
fastest	slower	confident
fast	!	!
fastest	slower	coupled
faster	bowler	bowler
fast	slower	slower
fewer	!	!
few	expected	expected
fewest	!	!
few	scary	scary
fewer	!	!
fewest	than	than
stickier	!	!
sticky	vibrant	vibrant
stickiest	!	!
sticky	vibrant	vibrant
stickier	!	!
stickiest	!	!
messier	!	!
messy	vibrant	vibrant
messiest	!	!
messy	vibrant	vibrant
messier	!	!
messiest	!	!
leaner	!	!
lean	vibrant	vibrant
leanest	!	!
lean	vibrant	vibrant
leaner	!	!
leanest	!	!
closer	!	!
close	strong	strong
closest	!	!
close	divergent	divergent
closer	influence	influence
closest	aguilera	aguilera
trickier	!	!
tricky	vibrant	vibrant
trickiest	!	!
tricky	vibrant	vibrant
trickier	!	!
trickiest	!	!
thinner	!	!
thin	antibiotics	antibiotics
thinnest	!	!
thin	novi	novi
thinner	!	!
thinnest	yellowish	yellowish
nicer	!	!
nice	novi	novi
nicest	!	!
nice	novi	novi
nicer	!	!
nicest	!	!
savvier	!	!
savvy	novi	novi
savviest	!	!
savvy	novi	novi
savvier	!	!
savviest	!	!
smarter	!	!
smart	novi	novi
smartest	!	!
smart	novi	novi
smarter	!	!
smartest	!	!
fewer	!	!
few	novi	expected
fewest	!	!
few	novi	novi
fewer	!	!
fewest	than	than
simpler	!	!
simple	subunit	subunit
simplest	!	!
simple	packets	packets
simpler	affine	affine
simplest	simplified	simplified
fancier	!	!
fancy	quadratic	quadratic
fanciest	!	!
fancy	quadratic	quadratic
fancier	!	!
fanciest	!	!
greater	!	!
great	antibiotics	antibiotics
greatest	!	!
great	pinnacle	pinnacle
greater	fame	fame
greatest	increase	increase
luckier	!	!
lucky	quadratic	quadratic
luckiest	!	!
lucky	quadratic	quadratic
luckier	!	!
luckiest	!	!
deeper	!	!
deep	plumage	plumage
deepest	!	!
deep	groundwater	groundwater
deeper	depth	depth
deepest	broadly	broadly
richer	posing	posing
rich	continents	continents
richest	posing	posing
rich	wealthiest	wealthiest
richer	wealthiest	wealthiest
richest	continents	continents
louder	catchy	catchy
loud	!	!
loudest	catchy	catchy
loud	!	!
louder	!	!
loudest	!	!
rougher	fortunate	fortunate
rough	!	!
roughest	fortunate	fortunate
rough	!	!
rougher	!	!
roughest	!	!
slower	slowing	slowing
slow	faster	faster
slowest	slowing	slowing
slow	!	!
slower	!	!
slowest	faster	faster
nastier	clown	clown
nasty	!	!
nastiest	clown	clown
nasty	!	!
nastier	!	!
nastiest	!	!
slimmer	!	!
slim	clown	clown
slimmest	!	!
slim	clown	clown
slimmer	!	!
slimmest	!	!
smoother	!	!
smooth	clown	clown
smoothest	!	!
smooth	clown	clown
smoother	!	!
smoothest	!	!
meaner	!	!
mean	clown	clown
meanest	!	!
mean	clown	clown
meaner	!	!
meanest	!	!
longer	!	!
long	prohibiting	prohibiting
longest	!	!
long	shetland	shetland
longer	span	span
longest	no	no
shorter	!	!
short	forewings	contrasting
shortest	!	!
short	avoided	cloak
shorter	identifier	identifier
shortest	usage	usage
wider	!	!
wide	enlarged	enlarged
widest	!	!
wide	metres	metres
wider	fuscous	fuscous
widest	enlarged	enlarged
fairer	!	!
fair	accelerating	accelerating
fairest	!	!
fair	geelong	geelong
fairer	hawthorn	hawthorn
fairest	!	!
smarter	!	!
smart	accelerating	accelerating
smartest	!	!
smart	accelerating	accelerating
smarter	!	!
smartest	!	!
deeper	!	!
deep	sinks	sinks
deepest	!	!
deep	depth	depth
deeper	depth	depth
deepest	broadly	broadly
luckier	!	!
lucky	accelerating	accelerating
luckiest	!	!
lucky	accelerating	accelerating
luckier	!	!
luckiest	!	!
earlier	!	!
early	theoretically	theoretically
earliest	!	!
early	leopold	leopold
earlier	extant	extant
earliest	chronicles	chronicles
pricier	!	!
pricey	lil	lil
priciest	!	!
pricey	lil	lil
pricier	!	!
priciest	!	!
wider	!	!
wide	sensitive	sensitive
widest	!	!
wide	plumage	plumage
wider	fuscous	fuscous
widest	enlarged	enlarged
lower	!	!
low	upper	lowest
lowest	!	!
low	leopold	leopold
lower	highest	highest
lowest	upper	upper
steeper	!	!
steep	lil	lil
steepest	!	!
steep	lil	lil
steeper	!	!
steepest	!	!
wealthier	!	!
wealthy	costs	costs
wealthiest	!	!
wealthy	expensive	expensive
wealthier	richest	richest
wealthiest	!	!
richer	!	!
rich	ultraviolet	ultraviolet
richest	!	!
rich	expensive	expensive
richer	wealthiest	wealthiest
richest	continents	continents
faster	!	!
fastest	enable	enable
fast	!	!
fastest	expensive	expensive
faster	bowler	bowler
fast	slower	slower
taller	!	!
tall	two-thirds	two-thirds
tallest	!	!
tall	expensive	expensive
taller	storeys	storeys
tallest	thinner	thinner
luckier	!	!
lucky	costs	costs
luckiest	!	!
lucky	costs	costs
luckier	!	!
luckiest	!	!
wider	!	!
wide	enlarged	enlarged
widest	!	!
wide	forewing	forewing
wider	fuscous	fuscous
widest	enlarged	enlarged
slower	!	!
slow	antennae	antennae
slowest	!	!
slow	catchy	catchy
slower	!	!
slowest	faster	faster
friendlier	!	!
friendly	catchy	catchy
friendliest	!	!
friendly	catchy	catchy
friendlier	!	!
friendliest	!	!
easier	!	!
easy	difficult	difficult
easiest	!	!
easy	catchy	catchy
easier	!	!
easiest	difficult	difficult
colder	!	!
cold	catchy	catchy
coldest	!	!
cold	catchy	catchy
colder	!	!
coldest	!	!
lower	!	!
low	upper	upper
lowest	!	!
low	increases	increases
lower	highest	highest
lowest	upper	upper
darker	!	!
dark	yellowish	yellowish
darkest	!	!
dark	fats	fats
darker	!	!
darkest	hindwings	hindwings
safer	!	!
safe	hydrogen	probes
safest	!	!
safe	fats	fats
safer	!	!
safest	expensive	worse
faster	!	!
fastest	increases	increases
fast	!	!
fastest	cooked	cooked
faster	bowler	bowler
fast	slower	slower
fresher	!	!
fresh	fats	fats
freshest	!	!
fresh	fats	fats
fresher	!	!
freshest	!	!
thinner	!	!
thin	brownish	gallons
thinnest	!	!
thin	pools	shores
thinner	!	!
thinnest	yellowish	yellowish
simpler	!	!
simple	wastewater	wastewater
simplest	!	!
simple	porous	porous
simpler	affine	affine
simplest	simplified	simplified
firmer	!	!
firm	pools	shores
firmest	!	!
firm	pools	shores
firmer	!	!
firmest	!	!
gentler	!	!
gentle	pools	shores
gentlest	!	!
gentle	pools	shores
gentler	!	!
gentlest	!	!
livelier	!	!
lively	pools	shores
liveliest	!	!
lively	pools	shores
livelier	!	!
liveliest	!	!
greener	greenish	greenish
green	!	!
greenest	greenish	greenish
green	!	!
greener	!	!
greenest	!	!
cheaper	inexpensive	inexpensive
cheap	expensive	expensive
cheapest	inexpensive	inexpensive
cheap	!	!
cheaper	!	!
cheapest	expensive	expensive
stickier	poisonous	poisonous
sticky	!	!
stickiest	poisonous	poisonous
sticky	!	!
stickier	!	!
stickiest	!	!
fatter	fats	fats
fat	!	!
fattest	fats	fats
fat	!	!
fatter	!	!
fattest	!	!
harder	surfaces	your
hard	difficult	difficult
hardest	surfaces	your
hard	smash	smash
harder	smash	smash
hardest	difficult	difficult
milder	semi-arid	semi-arid
mild	!	!
mildest	semi-arid	semi-arid
mild	!	!
milder	!	!
mildest	!	!
thinner	fibres	stamens
thin	yellowish	yellowish
thinnest	fibres	stamens
thin	!	!
thinner	!	!
thinnest	yellowish	yellowish
poorer	needy	needy
poor	tended	tended
poorest	needy	needy
poor	emigrants	sabah
poorer	emigrants	sabah
poorest	tended	tended
lower	steeply	steeply
low	upper	upper
lowest	steeply	steeply
low	highest	highest
lower	highest	highest
lowest	upper	upper
quicker	slow	slow
quick	rikknen	rikknen
quickest	slow	slow
quick	!	!
quicker	!	!
quickest	rikknen	rikknen
newer	!	!
new	zambia	entrances
newest	!	!
new	under-18	enable
newer	thor	thor
newest	such	20mm
tougher	!	!
tough	match	match
toughest	!	!
tough	match	match
tougher	!	!
toughest	!	!
quicker	!	!
quick	enable	enable
quickest	!	!
quick	match	match
quicker	!	!
quickest	rikknen	rikknen
costlier	!	!
costly	match	match
costliest	!	!
costly	match	match
costlier	!	!
costliest	!	!
shorter	!	!
short	antibiotics	antibiotics
shortest	!	!
short	qualification	enable
shorter	identifier	identifier
shortest	usage	usage
louder	!	!
loud	crash	crash
loudest	!	!
loud	crash	crash
louder	!	!
loudest	!	!
nastier	!	!
nasty	crash	crash
nastiest	!	!
nasty	crash	crash
nastier	!	!
nastiest	!	!
greater	!	!
great	increase	migratory
greatest	!	!
great	accomplishments	accomplishments
greater	fame	fame
greatest	increase	increase
wiser	!	!
wise	crash	crash
wisest	!	!
wise	crash	crash
wiser	!	!
wisest	!	!
closer	!	!
close	nocturnal	nocturnal
closest	!	!
close	influence	influence
closer	influence	influence
closest	aguilera	aguilera
thicker	thicker	thicker
thick	thinner	thinner
thickest	thicker	thicker
thick	!	!
thicker	!	!
thickest	thinner	thinner
classier	!	!
classy	!	!
classiest	!	!
classy	!	!
classier	!	!
classiest	!	!
simpler	method	method
simple	simplified	simplified
simplest	method	method
simple	affine	affine
simpler	affine	affine
simplest	simplified	simplified
busier	midday	southbound
busy	!	!
busiest	midday	southbound
busy	airports	airports
busier	airports	airports
busiest	!	!
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	!	!
trickier	!	!
trickiest	!	!
worse	rhineland-palatinate	rhineland-palatinate
bad	exacerbated	exacerbated
worst	rhineland-palatinate	rhineland-palatinate
bad	controversially	controversially
worse	controversially	controversially
worst	exacerbated	exacerbated
fatter	fats	fats
fat	!	!
fattest	fats	fats
fat	!	!
fatter	!	!
fattest	!	!
lower	steeply	steeply
low	upper	upper
lowest	steeply	steeply
low	highest	highest
lower	highest	highest
lowest	upper	upper
steeper	slope	slope
steep	!	!
steepest	slope	slope
steep	!	!
steeper	!	!
steepest	!	!
friendlier	match	match
friendly	!	!
friendliest	match	match
friendly	!	!
friendlier	!	!
friendliest	!	!
smaller	dormitories	dormitories
small	domesticated	domesticated
smallest	!	!
small	plentiful	plentiful
smaller	ogden	ogden
smallest	!	!
cheaper	ramps	ramps
cheap	bikes	bikes
cheapest	!	!
cheap	cattle	cattle
cheaper	brig.	brig.
cheapest	!	!
tighter	crowe	crowe
tight	!	!
tightest	!	!
tight	cattle	cattle
tighter	brig.	brig.
tightest	!	!
happier	mrs	mrs
happy	!	!
happiest	!	!
happy	cattle	cattle
happier	brig.	brig.
happiest	!	!
harsher	brig.	brig.
harsh	!	!
harshest	!	!
harsh	cattle	cattle
harsher	brig.	brig.
harshest	!	!
higher	!	!
high	lower	regents
highest	!	!
high	lowest	legislative
higher	lowest	lowest
highest	lower	lower
prettier	!	!
pretty	demos	demos
prettiest	!	!
pretty	demos	demos
prettier	!	!
prettiest	!	!
smoother	!	!
smooth	demos	demos
smoothest	!	!
smooth	demos	demos
smoother	!	!
smoothest	!	!
fresher	!	!
fresh	demos	demos
freshest	!	!
fresh	demos	demos
fresher	!	!
freshest	!	!
faster	!	!
fastest	tyres	tyres
fast	!	!
fastest	bounds	bounds
faster	bowler	bowler
fast	slower	slower
worse	rhineland-palatinate	rhineland-palatinate
bad	exacerbated	exacerbated
worst	rhineland-palatinate	rhineland-palatinate
bad	controversially	controversially
worse	controversially	controversially
worst	exacerbated	exacerbated
higher	school	school
high	lower	lower
highest	school	school
high	lowest	lowest
higher	lowest	lowest
highest	lower	lower
costlier	costs	costs
costly	!	!
costliest	costs	costs
costly	!	!
costlier	!	!
costliest	!	!
firmer	firms	llp
firm	!	!
firmest	firms	llp
firm	!	!
firmer	!	!
firmest	!	!
steeper	slope	slope
steep	!	!
steepest	slope	slope
steep	!	!
steeper	!	!
steepest	!	!
greener	!	!
green	wi-fi	wi-fi
greenest	!	!
green	wi-fi	wi-fi
greener	!	!
greenest	!	!
smaller	!	!
