iraq	iraqi	iraqi
albania	albania	albania
japan	japan	japan
libya	lebanon	lebanon
tunisia	algeria	algeria
liechtenstein	!align="left	!align="left
malta	malta	malta
austria	austria	austria
laos	laos	laos
lithuania	lithuania	lithuania
poland	poland	poland
namibia	namibia	namibia
armenia	armenia	armenia
croatia	croatia	croatia
nigeria	nigeria	nigeria
ghana	ghana	ghana
algeria	france	france
jordan	iraq	iraq
turkey	turkey	turkey
suriname	!align="left	colspan=3|turnout
france	france	france
montenegro	serbia	serbia
ecuador	colombia	colombia
morocco	morocco	morocco
latvia	baltic	baltic
italy	italy	italy
dominica	!align="left	colspan=3|turnout
chile	chile	chile
macedonia	bulgaria	bulgaria
bulgaria	bulgaria	bulgaria
sweden	sweden	denmark
fiji	zealand	zealand
taiwan	taiwan	china
estonia	denmark	denmark
uzbekistan	russia	russia
georgia	bulgaria	bulgaria
honduras	guatemala	guatemala
iran	iran	iran
bhutan	!align="left	colspan=3|turnout
albania	albania	romania
japan	japan	japan
libya	morocco	morocco
tunisia	morocco	morocco
liechtenstein	!align="left	colspan=3|turnout
malta	malta	malta
austria	austria	austria
laos	thailand	thailand
lithuania	poland	poland
poland	poland	poland
namibia	namibia	namibia
armenia	armenia	armenia
croatia	serbia	serbia
nigeria	lagos	nigerian
ghana	ghana	ghana
algeria	morocco	morocco
jordan	arabia	arabia
turkey	turkey	turkey
madagascar	madagascar	madagascar
france	france	france
montenegro	montenegro	and
ecuador	colombia	colombia
morocco	mauritius	mauritius
latvia	latvia	latvia
italy	italy	italy
dominica	surinamese	surinamese
chile	chile	chile
macedonia	albania	albania
bulgaria	bulgaria	and
sweden	amsterdam	amsterdam
fiji	fiji	fiji
taiwan	taiwan	taiwan
estonia	estonia	estonia
uzbekistan	kazakhstan	kazakhstan
georgia	georgian	and
honduras	honduras	honduras
iran	iranian	iranian
bhutan	surinamese	surinamese
albania	albania	albania
japan	japan	japan
libya	cyprus	cyprus
tunisia	tunisia	tunisia
liechtenstein	surinamese	surinamese
malta	surinamese	malta
austria	austria	austria
laos	cambodia	cambodia
lithuania	lithuania	lithuania
poland	polish	polish
namibia	namibia	namibia
armenia	armenia	armenia
croatia	croatia	croatia
nigeria	nigeria	nigeria
ghana	ghana	ghana
algeria	caribbean	caribbean
jordan	syria	and
turkey	istanbul	and
madagascar	seychelles	and
samoa	fiji	fiji
montenegro	gornja	bosnia
ecuador	colombia	colombia
morocco	tunisia	tunisia
latvia	latvia	latvia
italy	italy	italy
dominica	!align="left	!align="left
chile	chile	chile
macedonia	bosnia	bosnia
bulgaria	bulgaria	bulgaria
sweden	sweden	sweden
fiji	fiji	fiji
taiwan	taiwan	taiwan
estonia	estonia	estonia
uzbekistan	kazakhstan	kazakhstan
georgia	armenia	armenia
honduras	guatemala	guatemala
iran	iran	iranian
bhutan	!align="left	!align="left
albania	albania	albania
japan	japan	japan
libya	tunisia	tunisia
tunisia	tunisia	tunisia
liechtenstein	!align="left	!align="left
malta	malta	lecce
austria	austria	austria
laos	laos	laos
lithuania	lithuania	lithuania
poland	poland	poland
namibia	namibia	malawi
armenia	armenia	armenia
croatia	croatia	croatia
nigeria	ghana	ghana
ghana	ghana	ghana
algeria	tunisia	tunisia
jordan	iraq	iraq
turkey	turkey	turkey
madagascar	laos	laos
samoa	tonga	tonga
turkmenistan	!align="left	!align="left
ecuador	ecuador	ecuador
morocco	morocco	morocco
latvia	latvia	latvia
italy	italy	italy
dominica	!align="left	!align="left
chile	chile	chile
macedonia	serbia's	serbia's
bulgaria	bulgaria	bulgaria
sweden	sweden	sweden
fiji	fiji	fiji
taiwan	hong	hong
estonia	estonia	estonia
uzbekistan	kazakhstan	kazakhstan
georgia	georgian	georgian
honduras	nicaragua	nicaragua
iran	iranian	iranian
bhutan	!align="left	!align="left
albania	albania	albania
japan	japan	japan
libya	italy	italy
tunisia	morocco	morocco
liechtenstein	!align="left	!align="left
malta	albania	albania
austria	austria	austria
laos	cambodia	cambodia
lithuania	lithuania	lithuania
poland	poland	poland
namibia	namibia	namibia
armenia	armenia	armenia
croatia	croatia	croatia
nigeria	nigeria	nigeria's
ghana	ghana	ghana
algeria	morocco	morocco
jordan	lebanon	lebanon
turkey	turkey	chile
madagascar	madagascar	madagascar
samoa	ecuador	ecuador
turkmenistan	!align="left	!align="left
eritrea	burkina	menem
morocco	tunisia	tunisia
latvia	latvia	latvia
italy	italy	italy
dominica	!align="left	colspan=3|turnout
chile	chile	chile
macedonia	herzegovina	herzegovina
bulgaria	bulgaria	bulgaria
sweden	sweden	sweden
fiji	fiji	fiji
taiwan	taiwan	taiwan
estonia	estonia	estonia
uzbekistan	kazakhstan	kazakhstan
georgia	bulgaria	bulgaria
honduras	honduras	honduras
iran	iran	iran
bhutan	!align="left	colspan=3|turnout
albania	albania	albania
japan	japan	japan
libya	libya	libya
tunisia	tunisia	tunisia
liechtenstein	!align="left	colspan=3|turnout
malta	antilles	madagascar
austria	austria	austria
laos	cambodia	cambodia
lithuania	tarnw	tarnw
poland	poland	poland
namibia	tanzania	tanzania
armenia	armenia	armenia
croatia	croatia	croatia
nigeria	ghana	ghana
ghana	ghana	ghana
algeria	egypt	patrice
jordan	syria	syria
turkey	chile	turkey
madagascar	madagascar	madagascar
samoa	samoa	samoa
turkmenistan	!align="left	colspan=3|turnout
eritrea	cambodia	cambodia
kazakhstan	kazakhstan	kazakhstan
latvia	latvia	estonia
italy	italy	italy
dominica	!align="left	!align="left
chile	chile	chile
macedonia	albania	albania
bulgaria	bulgaria	bulgaria
sweden	sweden	norway
fiji	fiji	fiji
taiwan	taiwan	taiwan
estonia	estonia	estonia
uzbekistan	algeria	algeria
georgia	armenia	armenia
honduras	honduras	honduras
iran	iran	iran
bhutan	!align="left	!align="left
albania	albania	albania
japan	japan	japan
libya	algeria	algeria
tunisia	algeria	algeria
liechtenstein	!align="left	!align="left
malta	spain	spain
austria	austria	austria
laos	cambodia	laos
lithuania	lithuania	poland
poland	poland	poland
namibia	namibia	namibia
armenia	armenia	armenia
croatia	serbia	serbia
nigeria	algeria	algeria
ghana	ghana	ghana
algeria	algeria	algeria
jordan	syria	syria
turkey	turkey	turkey
madagascar	madagascar	madagascar
samoa	fiji	fiji
turkmenistan	!align="left	!align="left
eritrea	algeria	algeria
kazakhstan	algeria	china
greece	greece	greece
italy	italy	italy
dominica	!align="left	!align="left
chile	chile	chile
macedonia	montenegro	montenegro
bulgaria	bulgaria	bulgaria
sweden	sweden	sweden
fiji	fiji	fiji
taiwan	taiwan	taiwan
estonia	estonia	estonia
uzbekistan	kazakhstan	kazakhstan
georgia	bulgaria	bulgaria
honduras	honduras	honduras
iran	iran	iran
bhutan	!align="left	!align="left
albania	albania	albania
japan	japan	japan
libya	lebanon	lebanon
tunisia	greece	greece
liechtenstein	!align="left	!align="left
malta	montenegro	montenegro
austria	austria	austria
laos	cambodia	cambodia
lithuania	lithuania	lithuania
poland	poland	poland
namibia	namibia	namibia
armenia	armenia	armenia
croatia	croatia	croatia
nigeria	ghana	ghana
ghana	ghana	ghana
algeria	lebanon	lebanon
jordan	lebanon	lebanon
turkey	turkey	turkey
madagascar	sardinia	sardinia
samoa	samoa	samoa
turkmenistan	!align="left	!align="left
eritrea	burkina	burkina
kazakhstan	kazakhstan	kazakhstan
greece	greece	greece
iraq	iraq	iraq
dominica	!align="left	!align="left
chile	chile	chile
macedonia	slovenia	slovenia
bulgaria	bulgaria	bulgaria
sweden	finland	finland
fiji	fiji	fiji
taiwan	taiwan	taiwan
estonia	estonia	estonia
uzbekistan	kazakhstan	kazakhstan
georgia	slovakia	slovakia
honduras	argentina	argentina
iran	iran	iran
bhutan	!align="left	!align="left
albania	albania	albania
japan	japan	japan
libya	libya	libya
tunisia	algeria	libya
liechtenstein	!align="left	!align="left
malta	italian	slovenia
austria	austria	austria
laos	thailand	thailand
lithuania	lithuania	lithuania
poland	poland	poland
namibia	namibia	namibia
armenia	armenia	armenia
croatia	croatia	croatia
nigeria	oman	oman
ghana	ghana	ghana
algeria	austria	austria
jordan	iraq	iraq
turkey	turkey	turkey
madagascar	slovenia	slovenia
samoa	samoa	samoa
turkmenistan	!align="left	!align="left
eritrea	italian	italian
kazakhstan	kazakhstan	kazakhstan
greece	greece	greece
iraq	iraq	iraq
azerbaijan	azerbaijan	azerbaijan
chile	cuba	cuba
macedonia	albania	albania
bulgaria	bulgaria	bulgaria
sweden	sweden	sweden
fiji	fiji	fiji
taiwan	taiwan	taiwan
estonia	estonia	estonia
uzbekistan	kazakhstan	kazakhstan
georgia	yerevan	yerevan
honduras	honduras	honduras
iran	iranian	iranian
bhutan	bahamas	bahamas
albania	albania	albania
japan	japan	japan
libya	barbados	barbados
tunisia	algeria	and
liechtenstein	bahamas	bahamas
malta	malta	malta
austria	berlin	hungary
laos	cambodia	cambodia
lithuania	lithuania	lithuania
poland	polish	polish
namibia	namibia	namibia
armenia	armenia	armenia
croatia	bahamas	and
nigeria	nigeria	nigeria
ghana	ghana	ghana
algeria	caribbean	caribbean
jordan	bahamas	and
turkey	istanbul	istanbul
madagascar	madagascar	madagascar
samoa	tonga	tonga
turkmenistan	bahamas	bahamas
eritrea	ethiopia	and
kazakhstan	kazakhstan	kazakhstan
greece	greece	greece
iraq	egypt	egypt
azerbaijan	azerbaijani	azerbaijani
mali	senegal	senegal
macedonia	bulgarian	bulgarian
bulgaria	bulgaria	bulgaria
sweden	sweden	sweden
fiji	zealand	zealand
taiwan	taiwan	taiwan
estonia	estonia	estonia
uzbekistan	kazakhstan	kazakhstan
georgia	turkey	turkey
honduras	ecuador	ecuador
iran	iran	iran
bhutan	!align="left	!align="left
albania	albania	albania
japan	japan	japan
libya	cyprus	cyprus
tunisia	algeria	algeria
liechtenstein	!align="left	!align="left
malta	ecuador	kuwait
austria	austria	austria
laos	thailand	thailand
lithuania	lithuania	belarus
poland	poland	poland
namibia	namibia	namibia
armenia	armenia	armenia
croatia	croatia	croatia
nigeria	kuwait	kuwait
ghana	ghana	ghana
algeria	kuwait	kuwait
jordan	kuwait	kuwait
turkey	turkey	turkey
madagascar	madagascar	madagascar
samoa	ecuador	australia
turkmenistan	!align="left	!align="left
eritrea	kuwait	kuwait
kazakhstan	kazakhstan	kazakhstan
greece	greece	greece
iraq	iraq	kuwait
azerbaijan	azerbaijan	azerbaijan
mali	mali	mali
thailand	thailand	thailand
bulgaria	bulgaria	bulgaria
sweden	sweden	sweden
fiji	fiji	fiji
taiwan	taiwan	taiwan
estonia	estonia	estonia
uzbekistan	kazakhstan	kazakhstan
georgia	bulgaria	bulgaria
honduras	honduras	honduras
iran	iranian	iranian
bhutan	!align="left	!align="left
albania	albania	albania
japan	japan	japan
libya	lebanon	lebanon
tunisia	algeria	algeria
liechtenstein	!align="left	!align="left
malta	achaea	achaea
austria	hungary	hungary
laos	cambodia	cambodia
lithuania	lithuania	lithuania
poland	poland	poland
namibia	botswana	botswana
armenia	armenia	armenia
croatia	croatia	croatia
nigeria	botswana	botswana
ghana	ghana	ghana
algeria	arab	lyce
jordan	syria	syria
turkey	turkey	turkey
madagascar	cambodia	cambodia
samoa	samoa	samoa
turkmenistan	!align="left	!align="left
eritrea	botswana	botswana
kazakhstan	kazakhstan	kazakhstan
greece	greece	greece
iraq	iraq	iraq
azerbaijan	azerbaijani	azerbaijani
mali	mali	mali
thailand	thailand	thailand
gambia	!align="left	!align="left
sweden	finland	finland
fiji	fiji	fiji
taiwan	china	china
estonia	latvia	latvia
uzbekistan	kazakh	kazakh
georgia	albania	albania
honduras	albania	albania
iran	iran	iran
bhutan	!align="left	!align="left
albania	albania	albania
japan	japan	japan
libya	albania	egypt
tunisia	algeria	algeria
liechtenstein	!align="left	!align="left
malta	albania	albania
austria	austria	austria
laos	cambodia	cambodia
lithuania	lithuania	lithuania
poland	poland	poland
namibia	namibia	namibia
armenia	armenia	armenia
croatia	croatia	croatia
nigeria	algeria	ecowas
ghana	ghana	ghana
algeria	egypt	egypt
jordan	syria	syria
turkey	turkey	turkey
madagascar	albania	albania
samoa	macedonia	japan
turkmenistan	!align="left	!align="left
eritrea	albania	sudan
kazakhstan	mongolia	mongolia
greece	greece	greece
iraq	iraq	iraq
azerbaijan	azerbaijani	azerbaijani
mali	albania	mali
thailand	thailand	thailand
gambia	!align="left	!align="left
china	china	china
fiji	fiji	fiji
taiwan	taiwan	taiwan
estonia	estonia	estonia
uzbekistan	kazakhstan	kazakhstan
georgia	belarus	belarus
honduras	chile	chile
iran	iran	iran
bhutan	!align="left	!align="left
albania	albania	albania
japan	japan	japan
libya	cyprus	cyprus
tunisia	tunisia	tunisia
liechtenstein	!align="left	!align="left
malta	portugal	portugal
austria	austria	austria
laos	thailand	thailand
lithuania	lithuania	lithuania
poland	poland	poland
namibia	namibia	namibia
armenia	armenia	armenia
croatia	croatia	croatia
nigeria	nigeria	nigeria
ghana	ghana	ghana
algeria	france	france
jordan	iraq	iraq
turkey	turkey	turkey
madagascar	lithuania	lithuania
samoa	tonga	tonga
turkmenistan	!align="left	!align="left
eritrea	indonesian	indonesian
kazakhstan	kazakhstan	kazakhstan
greece	greece	greece
iraq	iraq	iraq
azerbaijan	azerbaijani	azerbaijani
mali	mali	mali
thailand	thailand	thailand
gambia	!align="left	!align="left
china	china	china
lebanon	syria	syria
taiwan	taiwan	taiwan
estonia	estonia	estonia
uzbekistan	kazakhstan	kazakhstan
georgia	azerbaijan	azerbaijan
honduras	ecuador	ecuador
iran	iran	iran
bhutan	!align="left	!align="left
albania	albania	albania
japan	japan	japan
libya	libya	libya
tunisia	libya	libya
liechtenstein	!align="left	!align="left
malta	barbuda	barbuda
austria	austria	austria
laos	cambodia	cambodia
lithuania	lithuania	lithuania
poland	poland	poland
namibia	namibia	namibia
armenia	armenia	armenia
croatia	croatia	croatia
nigeria	burundi	burundi
ghana	ghana	ghana
algeria	tunisian	tunisian
jordan	libya	libya
turkey	turkey	turkey
madagascar	burundi	burundi
samoa	samoa	samoa
turkmenistan	!align="left	!align="left
eritrea	burundi	burundi
kazakhstan	kazakhstan	kazakhstan
greece	greece	greece
iraq	iraq	iraq
azerbaijan	azerbaijan	azerbaijan
mali	burundi	burundi
thailand	thailand	cambodia
gambia	!align="left	!align="left
china	china	china
lebanon	libya	libya
serbia	serbian	serbian
estonia	estonia	estonia
uzbekistan	xinjiang	siberia
georgia	albania	albania
honduras	tabasco	tabasco
iran	iran	iran
bhutan	!align="left	!align="left
albania	albania	albania
japan	japan	japan
libya	libya	libya
tunisia	algeria	algeria
liechtenstein	!align="left	!align="left
malta	albania	albania
austria	austria	austria
laos	laos	laos
lithuania	lithuania	lithuania
poland	poland	poland
namibia	namibia	namibia
armenia	armenia	armenia
croatia	croatia	croatia
nigeria	nigeria	nigeria
ghana	ghana	ghana
algeria	algeria	algeria
jordan	syria	syria
turkey	turkey	turkey
madagascar	madagascar	madagascar
samoa	samoa	samoa
turkmenistan	!align="left	!align="left
eritrea	kalimantan	kalimantan
kazakhstan	sichuan	sichuan
greece	greece	greece
iraq	iraq	iraq
azerbaijan	armenia	albania
mali	algeria	algeria
thailand	thailand	thailand
gambia	!align="left	!align="left
china	china	china
lebanon	syria	syria
serbia	serbia	albania
belize	!align="left	!align="left
uzbekistan	kazakhstan	uzbekistan
georgia	armenia	armenia
honduras	honduras	honduras
iran	iran	iran
bhutan	!align="left	!align="left
albania	albania	albania
japan	japan	japan
libya	lebanon	lebanon
tunisia	tunisia	tunisia
liechtenstein	!align="left	!align="left
malta	albania	albania
austria	austria	austria
laos	cambodia	cambodia
lithuania	lithuania	lithuania
poland	poland	poland
namibia	namibia	namibia
armenia	armenia	armenia
croatia	croatia	croatia
nigeria	nigeria	ecowas
ghana	ghana	ghana
algeria	morocco	morocco
jordan	lebanon	lebanon
turkey	turkey	turkey
madagascar	madagascar	madagascar
samoa	samoa	samoa
turkmenistan	!align="left	!align="left
eritrea	sahrawi	sahrawi
kazakhstan	kazakhstan	kazakhstan
greece	greece	greece
iraq	iraq	iraq
azerbaijan	azerbaijan	azerbaijan
mali	senegal	senegal
thailand	thailand	thailand
gambia	!align="left	!align="left
china	china	china
lebanon	lebanon	lebanon
serbia	serbia	serbia
belize	!align="left	!align="left
germany	germany	germany
georgia	yerevan	yerevan
honduras	honduras	honduras
iran	iran	iran
bhutan	!align="left	!align="left
albania	albania	albania
japan	japan	japan
libya	libya	aden
tunisia	tunisia	tunisia
liechtenstein	!align="left	!align="left
malta	turkmenistan	malta
austria	berlin	berlin
laos	cambodia	cambodia
lithuania	lithuania	lithuania
poland	poland	poland
namibia	zambia	zambia
armenia	armenia	armenia
croatia	croatia	croatia
nigeria	ghana	ghana
ghana	ghana	ghana
algeria	jeddah	aden
jordan	saudi	saudi
turkey	turkey	turkey
madagascar	mali	mali
samoa	samoa	samoa
turkmenistan	!align="left	!align="left
eritrea	aden	aden
kazakhstan	mongolia	mongolia
greece	greece	greece
iraq	iraq	iraq
azerbaijan	azerbaijan	azerbaijan
mali	mali	mali
thailand	thailand	thailand
gambia	!align="left	!align="left
china	china	china
lebanon	lebanon	lebanon
serbia	serbia	serbia
belize	!align="left	!align="left
germany	dsseldorf	dsseldorf
switzerland	switzerland	switzerland
honduras	carolina	carolina
iran	iran	iran
bhutan	!align="left	!align="left
albania	kentucky	kentucky
japan	japan	japan
libya	lebanon	lebanon
tunisia	kentucky	kentucky
liechtenstein	!align="left	!align="left
malta	carolina	carolina
austria	kentucky	kentucky
laos	kentucky	kentucky
lithuania	lithuania	lithuania
poland	kentucky	kentucky
namibia	carolina	carolina
armenia	armenia	mississippi
croatia	croatia	croatia
nigeria	carolina	carolina
ghana	ghana	kentucky
algeria	carolina	carolina
jordan	carolina	lebanon
turkey	carolina	kentucky
madagascar	carolina	jefferson
samoa	carolina	carolina
turkmenistan	!align="left	!align="left
eritrea	kentucky	kentucky
kazakhstan	carolina	carolina
greece	kentucky	kentucky
iraq	iraq	iraq
azerbaijan	azerbaijan	greenville
mali	carolina	carolina
thailand	thailand	thailand
gambia	!align="left	!align="left
china	china	china
lebanon	lebanon	lebanon
serbia	kentucky	kentucky
belize	!align="left	!align="left
germany	carolina	carolina
switzerland	carolina	carolina
kyrgyzstan	!align="left	!align="left
iran	iran	iran
bhutan	!align="left	!align="left
albania	belize	belize
japan	japan	japan
libya	niger	iraq's
tunisia	tunisia	tunisian
liechtenstein	!align="left	!align="left
malta	grenada	grenada
austria	hungary	hungary
laos	laos	laos
lithuania	lithuania	lithuanians
poland	poland	poland
namibia	belize	namibia
armenia	armenia	armenian
croatia	croatia	croatia
nigeria	belize	belize
ghana	ghana	ghana
algeria	belize	haiti
jordan	belize	syria
turkey	turkey	turkey
madagascar	belize	belize
samoa	tonga	tonga
turkmenistan	!align="left	!align="left
eritrea	belize	belize
kazakhstan	belize	kazakhstan
greece	greece	greece
iraq	iraq	iraq
azerbaijan	azerbaijani	azerbaijani
mali	niger	niger
thailand	thailand	thailand
gambia	!align="left	!align="left
china	china	china
lebanon	haiti	syria
serbia	serbian	serbian
belize	!align="left	!align="left
germany	germany	germany
switzerland	switzerland	switzerland
kyrgyzstan	!align="left	!align="left
slovakia	slovakia	slovakia
bhutan	!align="left	!align="left
albania	albania	albania
japan	japan	japan
libya	libya	libya
tunisia	algeria	algeria
liechtenstein	!align="left	!align="left
malta	boyer-ahmad	boyer-ahmad
austria	austria	austria
laos	cambodia	cambodia
lithuania	russia	russia
poland	poland	poland
namibia	namibia	namibia
armenia	armenia	armenia
croatia	croatia	croatia
nigeria	khuzestan	nigeria
ghana	ghana	ghana
algeria	mazandaran	mazandaran
jordan	syria	syria
turkey	turkey	turkey
madagascar	madagascar	madagascar
samoa	boyer-ahmad	cossidae
turkmenistan	!align="left	!align="left
eritrea	lorestan	cossidae
kazakhstan	kazakhstan	kazakhstan
greece	greece	greece
iraq	iraq	iraq
azerbaijan	azerbaijan	azerbaijan
mali	mali	mali
thailand	thailand	thailand
gambia	!align="left	!align="left
china	china	china
lebanon	syria	syria
serbia	serbia	serbia
belize	!align="left	!align="left
germany	germany	germany
switzerland	aargau	aargau
kyrgyzstan	!align="left	!align="left
slovakia	slovak	slovak
belgium	belgium	belgium
albania	albania	albania
japan	japan	japan
libya	india	india
tunisia	india	india
liechtenstein	bangladesh	bangladesh
malta	india	india
austria	austria	austria
laos	cambodia	cambodia
lithuania	lithuania	lithuania
poland	poland	poland
namibia	india	india
armenia	armenia	armenia
croatia	croatia	croatia
nigeria	nigeria	nigeria
ghana	ghana	ghana
algeria	egypt	egypt
jordan	bangladesh	bangladesh
turkey	turkey	turkey
madagascar	india	india
samoa	tonga	tonga
turkmenistan	bangladesh	bangladesh
eritrea	india	india
kazakhstan	kazakhstan	kazakhstan
greece	greece	greece
iraq	iraq	afghanistan
azerbaijan	azerbaijani	azerbaijani
mali	cambodia	cambodia
thailand	thailand	thailand
gambia	bangladesh	bangladesh
china	china	china
lebanon	bangladesh	bangladesh
serbia	sarajevo	bulgaria
belize	bangladesh	bangladesh
germany	germany	germany
switzerland	bangladesh	and
kyrgyzstan	bangladesh	bangladesh
slovakia	india	india
belgium	belgium	belgium
romania	romanian	romanian
japan	japan	japan
libya	bulgaria	bulgaria
tunisia	tunisia	tunisia
liechtenstein	!align="left	!align="left
malta	bulgaria	bulgaria
austria	austria	austria
laos	cambodia	cambodia
lithuania	lithuania	lithuania
poland	poland	poland
namibia	bulgaria	bulgaria
armenia	armenia	armenia
croatia	croatia	croatia
nigeria	nigeria	nigeria
ghana	ghana	ghana
algeria	morocco	tunisia
jordan	syria	syria
turkey	turkey	turkey
madagascar	madagascar	madagascar
samoa	bulgaria	samoa
turkmenistan	!align="left	!align="left
eritrea	bulgaria	bulgaria
kazakhstan	kazakhstan	kazakhstan
greece	greece	greece
iraq	iraq	iraq
azerbaijan	azerbaijani	azerbaijani
mali	mali	mali
thailand	thailand	thailand
gambia	!align="left	!align="left
china	china	china
lebanon	syria	syria
serbia	bulgaria	bulgaria
belize	!align="left	!align="left
germany	germany	germany
switzerland	bernese	bernese
kyrgyzstan	!align="left	!align="left
slovakia	hungary	hungary
belgium	belgium	belgium
romania	romania	romania
hungary	hungary	hungary
libya	mauritania	mauritania
tunisia	morocco	morocco
liechtenstein	!align="left	!align="left
malta	malta	malta
austria	austria	austria
laos	cambodia	cambodia
lithuania	lithuania	lithuania
poland	poland	poland
namibia	namibia	lanka
armenia	armenia	armenia
croatia	croatia	croatia
nigeria	nigeria	nigeria
ghana	ghana	ghana
algeria	france	france
jordan	iraq	iraq
turkey	turkey	turkey
madagascar	lanka	lanka
samoa	samoa	fiji
turkmenistan	!align="left	!align="left
eritrea	indonesian	indonesian
kazakhstan	china	lanka
greece	greece	greece
iraq	iraq	iraq
azerbaijan	azerbaijan	azerbaijan
mali	niger	niger
thailand	thailand	thailand
gambia	!align="left	!align="left
china	china	china
lebanon	syria	iraq
serbia	serbia	serbia
belize	!align="left	!align="left
germany	germany	germany
switzerland	aargau	aargau
kyrgyzstan	!align="left	!align="left
slovakia	slovakia	slovakia
belgium	belgium	belgium
romania	romania	romania
hungary	hungary	hungary
burundi	!align="left	!align="left
tunisia	algeria	algeria
liechtenstein	!align="left	!align="left
malta	uae	uae
austria	austria	austria
laos	cambodia	cambodia
lithuania	ukraine	ukraine
poland	poland	poland
namibia	namibia	namibia
armenia	armenia	armenia
croatia	serbia	serbia
nigeria	rwanda	rwanda
ghana	ghana	ghana
algeria	egypt	egypt
jordan	iraq	arabia
turkey	turkey	turkey
madagascar	madagascar	madagascar
samoa	tonga	tonga
turkmenistan	!align="left	!align="left
eritrea	eritrean	eritrean
kazakhstan	kazakhstan	kazakhstan
greece	greece	greece
iraq	iraq	iraq
azerbaijan	kazakhstan	kazakhstan
mali	mali	rwanda
thailand	thailand	thailand
gambia	!align="left	!align="left
china	china	china
lebanon	syria	syria
serbia	serbia	serbia
belize	!align="left	!align="left
germany	germany	germany
switzerland	winterthur	winterthur
kyrgyzstan	!align="left	!align="left
slovakia	slovakia	slovakia
belgium	belgium	belgium
romania	romania	romania
hungary	hungarian	hungary
burundi	!align="left	!align="left
egypt	egypt	egypt
liechtenstein	!align="left	!align="left
malta	malta	millwall
austria	hungary	hungary
laos	laos	laos
lithuania	lithuania	belarus
poland	poland	poland
namibia	lesotho	lesotho
armenia	armenia	armenia
croatia	croatia	croatia
nigeria	ghana	ghana
ghana	ghana	ghana
algeria	morocco	morocco
jordan	iraq	iraq
turkey	turkey	turkey
madagascar	lesotho	lesotho
samoa	tonga	tonga
turkmenistan	!align="left	!align="left
eritrea	ethiopia	ethiopia
kazakhstan	kazakhstan	kazakhstan
greece	greece	greece
iraq	iraq	iraq
azerbaijan	azerbaijan	azerbaijan
mali	kinshasa	kinshasa
thailand	thailand	thailand
gambia	!align="left	!align="left
china	china	china
lebanon	lebanon	iraq
serbia	slovenia	slovenia
belize	!align="left	!align="left
germany	germany	germany
switzerland	switzerland	switzerland
kyrgyzstan	!align="left	!align="left
slovakia	slovakia	slovakia
belgium	belgium	belgium
romania	romania	romania
hungary	hungary	hungary
burundi	!align="left	!align="left
egypt	egypt	egypt
australia	australia	australia
malta	luxembourg	malta
austria	austria	hungary
laos	cambodia	cambodia
lithuania	lithuania	lithuania
poland	poland	poland
namibia	hungary	hungary
armenia	armenia	armenia
croatia	croatia	croatia
nigeria	nigeria	nigeria
ghana	ghana	ghana
algeria	luxembourg	luxembourg
jordan	lebanon	lebanon
turkey	turkey	turkey
madagascar	luxembourg	luxembourg
samoa	tonga	tonga
turkmenistan	luxembourg	luxembourg
eritrea	germany	germany
kazakhstan	kazakhstan	kazakhstan
greece	greece	greece
iraq	iraq	moscow
azerbaijan	azerbaijani	russian
mali	luxembourg	luxembourg
thailand	thailand	thailand
gambia	luxembourg	luxembourg
china	china	china
lebanon	lebanon	lebanon
serbia	serbian	hungary
belize	luxembourg	luxembourg
germany	germany	germany
switzerland	switzerland	switzerland
kyrgyzstan	luxembourg	luxembourg
slovakia	hungary	hungary
belgium	belgium	belgium
romania	romania	romania
hungary	hungary	hungary
burundi	luxembourg	luxembourg
egypt	egypt	egypt
australia	australia	australia
venezuela	venezuela	venezuela
austria	austria	austria
laos	cambodia	cambodia
lithuania	lithuania	lithuania
poland	poland	poland
namibia	enugu	enugu
armenia	armenia	armenia
croatia	croatia	croatia
nigeria	enugu	enugu
ghana	ghana	ghana
algeria	egypt	egypt
jordan	egypt	egypt
turkey	turkey	turkey
madagascar	mauritius	guinea
samoa	samoa	samoa
turkmenistan	!align="left	!align="left
eritrea	libya	subordination
kazakhstan	kazakhstan	kazakhstan
greece	greece	greece
iraq	iraq	bakr
azerbaijan	azerbaijani	azerbaijani
mali	guinean	guinean
thailand	thailand	thailand
gambia	!align="left	!align="left
china	china	china
lebanon	libya	libya
serbia	sarajevo	sarajevo
belize	!align="left	!align="left
germany	germany	germany
switzerland	switzerland	switzerland
kyrgyzstan	!align="left	!align="left
slovakia	slovakia	slovakia
belgium	belgium	belgium
romania	romania	romania
hungary	hungary	hungary
burundi	!align="left	!align="left
egypt	egypt	egypt
australia	australia	australia
venezuela	venezuela	venezuela
moldova	!align="left	!align="left
laos	thailand	thailand
lithuania	lithuania	lithuania
poland	poland	poland
namibia	tanzania	tanzania
armenia	armenia	armenia
croatia	croatia	croatia
nigeria	niger	niger
ghana	ghana	ghana
algeria	france	niger
jordan	burma	sabah
turkey	turkey	turkey
madagascar	madagascar	sabah
samoa	tonga	tonga
turkmenistan	!align="left	!align="left
eritrea	tanzania	sabah
kazakhstan	kazakhstan	kazakhstan
greece	greece	greece
iraq	iraq	iraq
azerbaijan	azerbaijan	azerbaijan
mali	niger	niger
thailand	thailand	thailand
gambia	!align="left	!align="left
china	china	china
lebanon	lebanese	lebanese
serbia	serbia	serbia
belize	!align="left	!align="left
